REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,32.26094640164566
REGION1,DKBMCSPN2,2039,2.0205497464900337
REGION1,DKBMCSPN2,2040,6.79612260656153
REGION1,DKBMCSPN2,2041,2.139535988206993
REGION1,DKBMCSPN2,2043,3.5422212191699343
REGION1,DKBMCSPN2,2044,33.346142430565614
REGION1,DKBMCSPN2,2050,1.4510462777238688
REGION1,DKBMCSPN2,2051,14.46567954259689
REGION1,DKBMCSPN2,2052,7.852891531265514
REGION1,DKBMCSPN2,2053,8.055773653053176
REGION1,DKBMCSPN2,2054,3.052608403141167
REGION1,DKBMSTPH3,2032,0.824165383056396
REGION1,DKBMSTPH3,2033,1.1215764992555326
REGION1,DKBMSTPH3,2034,1.411729756171915
REGION1,DKBMSTPH3,2035,1.474062447161239
REGION1,DKBMSTPH3,2036,0.8776671233914811
REGION1,DKBMSTPH3,2037,1.0280178039543908
REGION1,DKBMSTPH3,2038,1.1707793621146023
REGION1,DKBMSTPH3,2042,6.501774514937145
REGION1,DKBMSTPH3,2043,23.318294100341536
REGION1,DKBMSTPH3,2044,10.349767107769932
REGION1,DKBMSTPH3,2046,2.5075584121251846
REGION1,DKBMSTPH3,2047,2.6155443210681555
REGION1,DKBMSTPH3,2048,2.718427912378706
REGION1,DKBMSTPH3,2049,2.8154790336661226
REGION1,DKGOCVPH2,2022,0.629612620253135
REGION1,DKGOCVPH2,2023,0.08442606324355435
REGION1,DKGOCVPH2,2024,0.12347239625729849
REGION1,DKGOCVPH2,2025,0.16054159608603277
REGION1,DKGOCVPH2,2026,1.96341303871899
REGION1,DKGOCVPH2,2027,2.2985131646111263
REGION1,DKGOCVPH2,2028,2.6164968873449364
REGION1,DKGOCVPH2,2029,2.918202191989568
REGION1,DKGOCVPH2,2030,3.204443203815039
REGION1,DKGOCVPH2,2031,2.6915026981482604
REGION1,DKGOCVPH2,2032,2.8982088462967948
REGION1,DKGOCVPH2,2033,3.095589735774344
REGION1,DKGOCVPH2,2034,1.7050330215398029
REGION1,DKHFCHPH3,2037,0.12241755784171644
REGION1,DKHFCHPH3,2038,0.36351814563569806
REGION1,DKHFCHPH3,2040,0.09384580446937704
REGION1,DKHFCHPH3,2042,0.11452240990416986
REGION1,DKHFCHPH3,2044,2.296355687799549
REGION1,DKHFCHPH3,2046,0.915927358548177
REGION1,DKHFCHPH3,2047,21.179780484291275
REGION1,DKHFCHPH3,2048,115.41195889228688
REGION1,DKHFCHPH3,2049,84.6978484005441
REGION1,DKHFCHPH3,2050,4.499585466232422
REGION1,DKHFCHPH3,2051,5.2567633367528765
REGION1,DKHFCHPH3,2052,5.9215804924543995
REGION1,DKHFCHPH3,2053,4.243089285988513
REGION1,DKHFCHPH3,2054,4.928340304841422
REGION1,DKHFCHPH3,2055,11.82904164508394
REGION1,DKHFCHPH3,2056,7.161692939543556
REGION1,DKHFCHPH3,2057,17.59551789743974
REGION1,DKHFCHPH3,2058,13.108233940242398
REGION1,DKHFCHPH3,2059,7.834070612324243
REGION1,DKHFCHPH3,2060,13.432703310308163
REGION1,DKHYDMPH3,2018,0.37292657599399776
REGION1,DKHYDMPH3,2059,0.0074239946363995855
REGION1,DKSOUTPH2,2037,0.8728698752318963
REGION1,DKSOUTPH2,2038,0.947022107326909
REGION1,DKSOUTPH2,2039,0.6706797079328476
REGION1,DKSOUTPH2,2040,1.7186481128214863
REGION1,DKSOUTPH2,2041,0.6048858686519365
REGION1,DKSOUTPH2,2042,0.6903983069940659
REGION1,DKSOUTPH2,2043,0.7656972600150976
REGION1,DKSOUTPH2,2044,0.8393499819772288
REGION1,DKSOUTPH2,2045,0.9011890818874613
REGION1,DKSOUTPH2,2046,0.3641439706619013
REGION1,DKSOUTPH2,2047,0.3490542694274671
REGION1,DKSOUTPH2,2048,0.40142246583505425
REGION1,DKSOUTPH2,2049,13.422830277657464
REGION1,DKSOUTPH2,2050,9.197906117014384
REGION1,DKSOUTPH2,2051,3.333447028032358
REGION1,DKSOUTPH2,2052,3.365103438763245
REGION1,DKSOUTPH2,2053,3.4453003948597725
REGION1,DKSOUTPH2,2054,3.572281507514584
REGION1,DKSOUTPH2,2055,3.6932159005191374
REGION1,DKSOUTPH2,2056,2.621360391999157
REGION1,DKSOUTPH2,2057,2.720374917184982
REGION1,DKSOUTPH2,2058,2.7165274401753288
REGION1,DKSOUTPH2,2059,2.8216575341087275
REGION1,DKSOUTPH2,2060,2.941283861353869
REGION1,DKWIONPH3,2037,8.857791490287417
REGION1,DKWIONPH3,2038,24.70560312536934
REGION1,DKWIONPH3,2039,41.24365303804383
REGION1,DKWIONPH3,2040,43.45789128317861
REGION1,DKWIONPH3,2041,76.06175187246625
REGION1,DKWIONPH3,2042,42.924514386894735
REGION1,DKWIONPH3,2043,140.84392050863488
REGION1,DKWIONPH3,2044,16.14746595145352
REGION1,DKWIONPH3,2045,71.22535845568426
REGION1,DKWIONPH3,2057,28.33452898449173
REGION1,DKWIONPH3,2058,239.37518539441248
