REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00X00,DKBM,2021,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2024,1.44205502809439
REGION1,S01B1,DKBM00X00,DKBM,2025,1.829118479087103
REGION1,S01B1,DKBM00X00,DKBM,2026,1.9514415714215902
REGION1,S01B1,DKBM00X00,DKBM,2028,2.993794686929843
REGION1,S01B1,DKBM00X00,DKBM,2029,3.4459860709301533
REGION1,S01B1,DKBM00X00,DKBM,2030,4.318518670654185
REGION1,S01B1,DKBM00X00,DKBM,2031,2.8603291354408418
REGION1,S01B1,DKBM00X00,DKBM,2032,2.5881569635429362
REGION1,S01B1,DKBM00X00,DKBM,2034,1.7384061256950776
REGION1,S01B1,DKBM00X00,DKBM,2035,1.7421074429571912
REGION1,S01B1,DKBM00X00,DKBM,2036,2.976525459837109
REGION1,S01B1,DKBM00X00,DKBM,2039,0.8328509889747913
REGION1,S01B1,DKBM00X00,DKBM,2040,0.09951712377091099
REGION1,S01B1,DKBM00X00,DKBM,2041,0.12130239598001753
REGION1,S01B1,DKBM00X00,DKBM,2042,1.1761440190460932
REGION1,S01B1,DKBM00X00,DKBM,2043,0.15322751645674576
REGION1,S01B1,DKBM00X00,DKBM,2047,0.4457175806107715
REGION1,S01B1,DKBM00X00,DKBM,2048,0.4419923278114462
REGION1,S01B1,DKBM00X00,DKBM,2049,0.43826872627665947
REGION1,S01B1,DKBM00X00,DKBM,2050,0.44523352888385526
REGION1,S01B1,DKBM00X00,DKBM,2051,0.5458309717287966
REGION1,S01B1,DKBM00X00,DKBM,2052,1.9294175745438111
REGION1,S01B1,DKBM00X00,DKBM,2053,0.6501081258277642
REGION1,S01B1,DKBM00X00,DKBM,2054,0.6682535345232681
REGION1,S01B1,DKBM00X00,DKBM,2055,1.2434207028997357
REGION1,S01B1,DKBM00X00,DKBM,2056,0.6648981066860724
REGION1,S01B1,DKBM00X00,DKBM,2057,0.6637088083252438
REGION1,S01B1,DKBM00X00,DKBM,2058,0.37957023067205414
REGION1,S01B1,DKBM00X00,DKBM,2060,0.6613923971387938
REGION1,S01B1,DKBMCSPN2,DKE1,2039,0.008309161296829534
REGION1,S01B1,DKBMCSPN2,DKE1,2040,0.034831028150846995
REGION1,S01B1,DKBMCSPN2,DKE1,2041,0.04279363011229755
REGION1,S01B1,DKBMCSPN2,DKE1,2042,0.04279363011229752
REGION1,S01B1,DKBMCSPN2,DKE1,2043,0.05493069165710539
