REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DKBM00X00,DKBM,2015,32.15557825915471
REGION1,DKBM00X00,DKBM,2016,32.155582176539276
REGION1,DKBM00X00,DKBM,2017,32.155581033867094
REGION1,DKBM00X00,DKBM,2018,32.15558405527248
REGION1,DKBM00X00,DKBM,2019,32.15558056746736
REGION1,DKBM00X00,DKBM,2020,32.15557979766578
REGION1,DKBM00X00,DKBM,2021,32.155580841651265
REGION1,DKBM00X00,DKBM,2022,32.1555812758954
REGION1,DKBM00X00,DKBM,2023,23.02781635950381
REGION1,DKBM00X00,DKBM,2024,23.027810045418466
REGION1,DKBM00X00,DKBM,2025,29.20872753086536
REGION1,DKBM00X00,DKBM,2026,31.162089788823423
REGION1,DKBM00X00,DKBM,2027,52.91074616091261
REGION1,DKBM00X00,DKBM,2028,59.32994205376325
REGION1,DKBM00X00,DKBM,2029,61.953906272881866
REGION1,DKBM00X00,DKBM,2030,68.9613517175237
REGION1,DKBM00X00,DKBM,2031,68.96135512725883
REGION1,DKBM00X00,DKBM,2032,73.03080562790282
REGION1,DKBM00X00,DKBM,2033,75.87769511021882
REGION1,DKBM00X00,DKBM,2034,78.33339867885444
REGION1,DKBM00X00,DKBM,2035,80.3098710935018
REGION1,DKBM00X00,DKBM,2036,81.27467128509639
REGION1,DKBM00X00,DKBM,2037,82.23956587889096
REGION1,DKBM00X00,DKBM,2038,83.20445938392591
REGION1,DKBM00X00,DKBM,2039,83.66616429242391
REGION1,DKBM00X00,DKBM,2040,85.13414950452264
REGION1,DKBM00X00,DKBM,2041,85.55661209859356
REGION1,DKBM00X00,DKBM,2042,88.7531784475368
REGION1,DKBM00X00,DKBM,2043,86.78724302790194
REGION1,DKBM00X00,DKBM,2044,88.07295150065042
REGION1,DKBM00X00,DKBM,2045,94.18174804329638
REGION1,DKBM00X00,DKBM,2046,95.27086576031783
REGION1,DKBM00X00,DKBM,2047,96.35996311172595
REGION1,DKBM00X00,DKBM,2048,97.44915435026951
REGION1,DKBM00X00,DKBM,2049,98.53826780221713
REGION1,DKBM00X00,DKBM,2050,98.67331163935148
REGION1,DKBM00X00,DKBM,2051,100.62395516479896
REGION1,DKBM00X00,DKBM,2052,101.6299759229873
REGION1,DKBM00X00,DKBM,2053,102.64596568337103
REGION1,DKBM00X00,DKBM,2054,102.99779429090488
REGION1,DKBM00X00,DKBM,2055,96.78067277013041
REGION1,DKBM00X00,DKBM,2056,94.7984645333935
REGION1,DKBM00X00,DKBM,2057,79.15399162416888
REGION1,DKBM00X00,DKBM,2058,72.71145067653251
REGION1,DKBM00X00,DKBM,2059,70.06784699253772
REGION1,DKBM00X00,DKBM,2060,59.468725740391406
REGION1,DKBMCCPH1,DKE1,2057,2.963519179969813
REGION1,DKBMCCPH1,DKE1,2058,2.963519057326551
REGION1,DKBMCCPH1,DKE1,2059,2.963519179969796
REGION1,DKBMCCPH1,DKE1,2060,2.963518384848058
REGION1,DKBMCSPN2,DKE1,2039,0.16111984759075593
REGION1,DKBMCSPN2,DKE1,2040,0.6753953412764149
REGION1,DKBMCSPN2,DKE1,2041,0.8297951899968855
REGION1,DKBMCSPN2,DKE1,2042,0.8297951498072675
REGION1,DKBMCSPN2,DKE1,2043,1.0651402722573682
REGION1,DKBMCSPN2,DKE1,2044,3.201904986168769
REGION1,DKBMCSPN2,DKE1,2045,3.2019051003013574
REGION1,DKBMCSPN2,DKE1,2046,3.201905025788019
REGION1,DKBMCSPN2,DKE1,2047,3.2019050547507786
REGION1,DKBMCSPN2,DKE1,2048,3.2019050467538297
REGION1,DKBMCSPN2,DKE1,2049,3.2019050999365066
REGION1,DKBMCSPN2,DKE1,2050,3.2806740786438335
REGION1,DKBMCSPN2,DKE1,2051,4.0494795898959675
REGION1,DKBMCSPN2,DKE1,2052,4.458670859315819
REGION1,DKBMCSPN2,DKE1,2053,4.870755520165488
REGION1,DKBMCSPN2,DKE1,2054,5.024234849232889
REGION1,DKBMCSPN2,DKE1,2055,5.0242347489978565
REGION1,DKBMCSPN2,DKE1,2056,5.024234748758919
REGION1,DKBMCSPN2,DKE1,2057,5.024234751583892
REGION1,DKBMCSPN2,DKE1,2058,5.024234896210903
REGION1,DKBMCSPN2,DKE1,2059,5.024235180978266
REGION1,DKBMCSPN2,DKE1,2060,5.024234899542705
REGION1,DKBMSTPH3,DKE1,2015,11.254463645167792
REGION1,DKBMSTPH3,DKE1,2016,11.254465016253762
REGION1,DKBMSTPH3,DKE1,2017,11.254464616318097
REGION1,DKBMSTPH3,DKE1,2018,11.25446567381104
REGION1,DKBMSTPH3,DKE1,2019,11.254464453078027
REGION1,DKBMSTPH3,DKE1,2020,11.254464183647206
REGION1,DKBMSTPH3,DKE1,2021,11.254464549042492
REGION1,DKBMSTPH3,DKE1,2022,11.254464701028091
REGION1,DKBMSTPH3,DKE1,2023,8.05974378557012
REGION1,DKBMSTPH3,DKE1,2024,8.059741575638038
REGION1,DKBMSTPH3,DKE1,2025,10.223064858867737
REGION1,DKBMSTPH3,DKE1,2026,10.90674233283053
REGION1,DKBMSTPH3,DKE1,2027,18.518779675099086
REGION1,DKBMSTPH3,DKE1,2028,20.76550048431762
REGION1,DKBMSTPH3,DKE1,2029,21.683888879397532
REGION1,DKBMSTPH3,DKE1,2030,24.136497237630525
REGION1,DKBMSTPH3,DKE1,2031,24.136498431039026
REGION1,DKBMSTPH3,DKE1,2032,25.560807530573527
REGION1,DKBMSTPH3,DKE1,2033,26.557219845796435
REGION1,DKBMSTPH3,DKE1,2034,27.416716954316
REGION1,DKBMSTPH3,DKE1,2035,28.108482991208625
REGION1,DKBMSTPH3,DKE1,2036,28.446163395947135
REGION1,DKBMSTPH3,DKE1,2037,28.783876841488677
REGION1,DKBMSTPH3,DKE1,2038,29.121589905963972
REGION1,DKBMSTPH3,DKE1,2039,29.121592681198763
REGION1,DKBMSTPH3,DKE1,2040,29.121586782288635
REGION1,DKBMSTPH3,DKE1,2041,29.12159815444126
REGION1,DKBMSTPH3,DKE1,2042,30.246949604298088
REGION1,DKBMSTPH3,DKE1,2043,29.335652503079366
REGION1,DKBMSTPH3,DKE1,2044,27.72476551947763
REGION1,DKBMSTPH3,DKE1,2045,29.888128604910264
REGION1,DKBMSTPH3,DKE1,2046,30.294602525997334
REGION1,DKBMSTPH3,DKE1,2047,30.701058013499484
REGION1,DKBMSTPH3,DKE1,2048,31.10755760329351
REGION1,DKBMSTPH3,DKE1,2049,31.51401870411378
REGION1,DKBMSTPH3,DKE1,2050,31.514015885631764
REGION1,DKBMSTPH3,DKE1,2051,31.514014659791105
REGION1,DKBMSTPH3,DKE1,2052,31.5140221099267
REGION1,DKBMSTPH3,DKE1,2053,31.51401867658943
REGION1,DKBMSTPH3,DKE1,2054,31.514010835413668
REGION1,DKBMSTPH3,DKE1,2055,29.350694886695365
REGION1,DKBMSTPH3,DKE1,2056,28.6670150079829
REGION1,DKBMSTPH3,DKE1,2057,21.054984880124046
REGION1,DKBMSTPH3,DKE1,2058,18.808258322791172
REGION1,DKBMSTPH3,DKE1,2059,17.889869929208952
REGION1,DKBMSTPH3,DKE1,2060,14.186000893468272
REGION1,DKCO00I00,DKCO,2015,78.24870198383906
REGION1,DKCO00I00,DKCO,2016,92.25970055495007
REGION1,DKCO00I00,DKCO,2017,86.15644034995685
REGION1,DKCO00I00,DKCO,2018,28.926942840282404
REGION1,DKCO00I00,DKCO,2019,21.997730300668966
REGION1,DKCO00I00,DKCO,2020,15.504279995660667
REGION1,DKCO00I00,DKCO,2021,32.56309805123162
REGION1,DKCO00I00,DKCO,2022,56.39552718288142
REGION1,DKCO00I00,DKCO,2023,28.56147469985835
REGION1,DKCOCHPH3,DKE1,2015,26.202899666890485
REGION1,DKCOCHPH3,DKE1,2016,32.02160983614927
REGION1,DKCOCHPH3,DKE1,2017,29.955581708614595
REGION1,DKCOCHPH3,DKE1,2018,7.307508341506902
REGION1,DKCOCHPH3,DKE1,2019,4.613381126308629
REGION1,DKCOCHPH3,DKE1,2020,2.206628547612509
REGION1,DKCOCHPH3,DKE1,2021,12.688926381609818
REGION1,DKCOCHPH3,DKE1,2022,23.23279840771909
REGION1,DKCOCHPH3,DKE1,2023,11.794464279756504
REGION1,DKCOSTPH1,DKE1,2015,4.314124623831041
REGION1,DKCOSTPH1,DKE1,2016,4.314124838458595
REGION1,DKCOSTPH1,DKE1,2017,4.314124524687129
REGION1,DKCOSTPH1,DKE1,2018,4.314125062381476
REGION1,DKCOSTPH1,DKE1,2019,4.314124231018756
REGION1,DKCOSTPH1,DKE1,2020,4.150137692787597
REGION1,DKCOSTPH1,DKE1,2021,0.6937920126297582
REGION1,DKEL00TD0,DKE2,2015,114.42961498916907
REGION1,DKEL00TD0,DKE2,2016,113.89961529525895
REGION1,DKEL00TD0,DKE2,2017,113.37961559557353
REGION1,DKEL00TD0,DKE2,2018,112.85961589588811
REGION1,DKEL00TD0,DKE2,2019,112.3396161962027
REGION1,DKEL00TD0,DKE2,2020,111.82961649074201
REGION1,DKEL00TD0,DKE2,2021,114.44961497761852
REGION1,DKEL00TD0,DKE2,2022,117.08961345294448
REGION1,DKEL00TD0,DKE2,2023,119.7396296405116
REGION1,DKEL00TD0,DKE2,2024,122.39984072048452
REGION1,DKEL00TD0,DKE2,2025,125.07992776279166
REGION1,DKEL00TD0,DKE2,2026,127.28992648645468
REGION1,DKEL00TD0,DKE2,2027,129.49992521011768
REGION1,DKEL00TD0,DKE2,2028,131.7099239337807
REGION1,DKEL00TD0,DKE2,2029,133.92992265166845
REGION1,DKEL00TD0,DKE2,2030,136.14992136955618
REGION1,DKEL00TD0,DKE2,2031,141.60991821625302
REGION1,DKEL00TD0,DKE2,2032,147.09991504562404
REGION1,DKEL00TD0,DKE2,2033,152.6299118518939
REGION1,DKEL00TD0,DKE2,2034,158.18990864083796
REGION1,DKEL00TD0,DKE2,2035,163.7899054066809
REGION1,DKEL00TD0,DKE2,2036,169.1799022938047
REGION1,DKEL00TD0,DKE2,2037,174.58989916937796
REGION1,DKEL00TD0,DKE2,2038,180.01989603340067
REGION1,DKEL00TD0,DKE2,2039,185.4798928800975
REGION1,DKEL00TD0,DKE2,2040,190.94988972101908
REGION1,DKEL00TD0,DKE2,2041,195.54988706439008
REGION1,DKEL00TD0,DKE2,2042,200.15988440198578
REGION1,DKEL00TD0,DKE2,2043,204.7998817222556
REGION1,DKEL00TD0,DKE2,2044,209.4598790309749
REGION1,DKEL00TD0,DKE2,2045,214.1298763339189
REGION1,DKEL00TD0,DKE2,2046,218.80987363108764
REGION1,DKEL00TD0,DKE2,2047,223.4998709224811
REGION1,DKEL00TD0,DKE2,2048,228.20986820232397
REGION1,DKEL00TD0,DKE2,2049,232.9298654763916
REGION1,DKEL00TD0,DKE2,2050,237.67986273313338
REGION1,DKEL00TD0,DKE2,2051,238.74986211517833
REGION1,DKEL00TD0,DKE2,2052,239.81986149722334
REGION1,DKEL00TD0,DKE2,2053,240.89986087349303
REGION1,DKEL00TD0,DKE2,2054,241.98986024398747
REGION1,DKEL00TD0,DKE2,2055,243.06985962025715
REGION1,DKEL00TD0,DKE2,2056,244.24985893877408
REGION1,DKEL00TD0,DKE2,2057,245.4198582630663
REGION1,DKEL00TD0,DKE2,2058,246.6098575758079
REGION1,DKEL00TD0,DKE2,2059,247.7898568943248
REGION1,DKEL00TD0,DKE2,2060,248.98985620129113
REGION1,DKELDEIH1,DKE1,2015,8.159894614917855
REGION1,DKELDEIH1,DKE1,2017,2.2428747498742014
REGION1,DKELDEIH1,DKE1,2018,0.49610894127143096
REGION1,DKELDEIH1,DKE1,2019,6.090668547402251
REGION1,DKELDEIH1,DKE1,2020,6.516144597366152
REGION1,DKELNLIH1,DKE1,2023,0.5285102717373231
REGION1,DKELNOPH1,DKE1,2015,12.434554359272115
REGION1,DKELNOPH1,DKE1,2016,8.877010174995718
REGION1,DKELNOPH1,DKE1,2017,0.4576788101269327
REGION1,DKELNOPH1,DKE1,2018,5.417889280538887
REGION1,DKELNOPH1,DKE1,2019,20.646289912776357
REGION1,DKELNOPH1,DKE1,2020,34.763196556705786
REGION1,DKELNOPH1,DKE1,2021,30.295758690749878
REGION1,DKELNOPH1,DKE1,2022,7.0359626526535095
REGION1,DKELNOPH1,DKE1,2023,13.119024547658078
REGION1,DKELNOPH1,DKE1,2024,38.892772939137565
REGION1,DKELNOPH1,DKE1,2025,47.74900105610128
REGION1,DKELNOPH1,DKE1,2026,56.61727285205434
REGION1,DKELNOPH1,DKE1,2027,61.32068848935555
REGION1,DKELNOPH1,DKE1,2028,76.85240672011292
REGION1,DKELNOPH1,DKE1,2029,83.39966759432356
REGION1,DKELNOPH1,DKE1,2030,83.88575999999998
REGION1,DKELNOPH1,DKE1,2031,83.88575999999998
REGION1,DKELNOPH1,DKE1,2032,83.88575999999998
REGION1,DKELNOPH1,DKE1,2033,83.88575999999998
REGION1,DKELNOPH1,DKE1,2034,83.88575999999998
REGION1,DKELNOPH1,DKE1,2035,83.88575999999998
REGION1,DKELNOPH1,DKE1,2036,83.88575999999998
REGION1,DKELNOPH1,DKE1,2037,83.88575999999998
REGION1,DKELNOPH1,DKE1,2038,83.88575999999998
REGION1,DKELNOPH1,DKE1,2039,83.88575999999998
REGION1,DKELNOPH1,DKE1,2040,83.88575999999998
REGION1,DKELNOPH1,DKE1,2041,83.88575999999998
REGION1,DKELNOPH1,DKE1,2042,83.88575999999998
REGION1,DKELNOPH1,DKE1,2043,83.88575999999998
REGION1,DKELNOPH1,DKE1,2044,83.88575999999998
REGION1,DKELNOPH1,DKE1,2045,83.88575999999998
REGION1,DKELNOPH1,DKE1,2046,83.88575999999998
REGION1,DKELNOPH1,DKE1,2047,83.88575999999999
REGION1,DKELNOPH1,DKE1,2048,83.88575999999999
REGION1,DKELNOPH1,DKE1,2049,83.88575999999998
REGION1,DKELNOPH1,DKE1,2050,83.88575999999999
REGION1,DKELNOPH1,DKE1,2051,83.88575999999998
REGION1,DKELNOPH1,DKE1,2052,83.88575999999999
REGION1,DKELNOPH1,DKE1,2053,83.88575999999999
REGION1,DKELNOPH1,DKE1,2054,83.88575999999998
REGION1,DKELNOPH1,DKE1,2055,83.88575999999999
REGION1,DKELNOPH1,DKE1,2056,83.88575999999999
REGION1,DKELNOPH1,DKE1,2057,83.88575999999999
REGION1,DKELNOPH1,DKE1,2058,83.88575999999999
REGION1,DKELNOPH1,DKE1,2059,83.88575999999999
REGION1,DKELNOPH1,DKE1,2060,83.88575999999999
REGION1,DKELSEPH1,DKE1,2016,5.32326659652929
REGION1,DKELSEPH1,DKE1,2017,13.49251178033862
REGION1,DKELSEPH1,DKE1,2018,32.73890893526457
REGION1,DKELSEPH1,DKE1,2019,14.488778790990876
REGION1,DKELSEPH1,DKE1,2020,2.4076064138472675
REGION1,DKELSEPH1,DKE1,2021,9.950876518493027
REGION1,DKELSEPH1,DKE1,2022,34.24531491871451
REGION1,DKELSEPH1,DKE1,2023,28.51991063472464
REGION1,DKELSEPH1,DKE1,2024,16.18323435554846
REGION1,DKELSEPH1,DKE1,2025,6.65134305025063
REGION1,DKELSEPH1,DKE1,2026,0.14649782436676412
REGION1,DKELSEPH1,DKE1,2028,9.986481800933184
REGION1,DKELSEPH1,DKE1,2029,4.830311514660472
REGION1,DKELSEPH1,DKE1,2030,58.266192514571706
REGION1,DKELSEPH1,DKE1,2031,61.41635999999998
REGION1,DKELSEPH1,DKE1,2032,61.41635999999998
REGION1,DKELSEPH1,DKE1,2033,61.41635999999998
REGION1,DKELSEPH1,DKE1,2034,61.41635999999998
REGION1,DKELSEPH1,DKE1,2035,59.80249167445588
REGION1,DKELSEPH1,DKE1,2036,57.729249672788306
REGION1,DKELSEPH1,DKE1,2037,56.74628365807392
