REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,S01B2,DKBM00X00,1,2015,29.09306911932968
REGION1,S02B2,DKBM00X00,1,2015,45.936553103400975
REGION1,S03B2,DKBM00X00,1,2015,45.93655310340096
REGION1,S03B3,DKBM00X00,1,2015,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2015,45.93655310340096
REGION1,S05B1,DKBM00X00,1,2015,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2015,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2016,36.1271391808583
REGION1,S02B1,DKBM00X00,1,2016,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2016,45.936553103400975
REGION1,S03B1,DKBM00X00,1,2016,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2016,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2016,45.93655310340096
REGION1,S05B3,DKBM00X00,1,2016,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2017,41.869197839503336
REGION1,S02B1,DKBM00X00,1,2017,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2017,45.93655310340097
REGION1,S03B1,DKBM00X00,1,2017,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2017,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2017,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2018,45.936553103400975
REGION1,S03B1,DKBM00X00,1,2018,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2018,43.002754346671175
REGION1,S03B3,DKBM00X00,1,2018,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S05B3,DKBM00X00,1,2018,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2019,40.57722835374012
REGION1,S02B2,DKBM00X00,1,2019,45.93655310340097
REGION1,S03B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S03B3,DKBM00X00,1,2019,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2020,28.491266083976225
REGION1,S01B3,DKBM00X00,1,2020,45.93655310340096
REGION1,S02B1,DKBM00X00,1,2020,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2020,45.936553103400975
REGION1,S02B3,DKBM00X00,1,2020,45.93655310340096
REGION1,S03B1,DKBM00X00,1,2020,34.26801573706009
REGION1,S03B2,DKBM00X00,1,2020,45.93655310340096
REGION1,S04B1,DKBM00X00,1,2020,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2020,45.93655310340096
REGION1,S01B1,DKBM00X00,1,2021,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2021,4.689298861528148
REGION1,S02B2,DKBM00X00,1,2021,45.93655310340096
REGION1,S03B1,DKBM00X00,1,2021,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2021,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2021,45.93655310340096
