REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00X00,1,DKBM,2021,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2024,32.89688065737216
REGION1,S01B1,DKBM00X00,1,DKBM,2025,41.72676572144229
REGION1,S01B1,DKBM00X00,1,DKBM,2026,44.51726129322775
REGION1,S01B1,DKBM00X00,1,DKBM,2028,68.29594197854662
REGION1,S01B1,DKBM00X00,1,DKBM,2029,78.61155802920989
REGION1,S01B1,DKBM00X00,1,DKBM,2030,98.5162081594609
REGION1,S01B1,DKBM00X00,1,DKBM,2031,65.25125905475694
REGION1,S01B1,DKBM00X00,1,DKBM,2032,59.042331321246685
REGION1,S01B1,DKBM00X00,1,DKBM,2034,39.65739013899295
REGION1,S01B1,DKBM00X00,1,DKBM,2035,39.74182643987928
REGION1,S01B1,DKBM00X00,1,DKBM,2036,67.90198773155409
REGION1,S01B1,DKBM00X00,1,DKBM,2039,18.999413375981604
REGION1,S01B1,DKBM00X00,1,DKBM,2040,2.2702344087262563
REGION1,S01B1,DKBM00X00,1,DKBM,2041,2.7672109359662658
REGION1,S01B1,DKBM00X00,1,DKBM,2042,26.830785702796923
REGION1,S01B1,DKBM00X00,1,DKBM,2043,3.4955027541245483
REGION1,S01B1,DKBM00X00,1,DKBM,2047,10.167932409362573
REGION1,S01B1,DKBM00X00,1,DKBM,2048,10.08295007902814
REGION1,S01B1,DKBM00X00,1,DKBM,2049,9.998005418166372
REGION1,S01B1,DKBM00X00,1,DKBM,2050,10.156889979231872
REGION1,S01B1,DKBM00X00,1,DKBM,2051,12.451769167080892
REGION1,S01B1,DKBM00X00,1,DKBM,2052,44.01483885942918
REGION1,S01B1,DKBM00X00,1,DKBM,2053,14.830591768751823
REGION1,S01B1,DKBM00X00,1,DKBM,2054,15.244533908757427
REGION1,S01B1,DKBM00X00,1,DKBM,2055,28.365535068555637
REGION1,S01B1,DKBM00X00,1,DKBM,2056,15.167988210455944
REGION1,S01B1,DKBM00X00,1,DKBM,2057,15.140857341328234
REGION1,S01B1,DKBM00X00,1,DKBM,2058,8.658945973795715
REGION1,S01B1,DKBM00X00,1,DKBM,2060,15.088014210608913
REGION1,S01B1,DKBMCSPN2,1,DKE1,2039,0.18955274397945163
REGION1,S01B1,DKBMCSPN2,1,DKE1,2040,0.7945828376370273
REGION1,S01B1,DKBMCSPN2,1,DKE1,2041,0.9762296966990872
REGION1,S01B1,DKBMCSPN2,1,DKE1,2042,0.9762296966990864
REGION1,S01B1,DKBMCSPN2,1,DKE1,2043,1.2531064159587837
REGION1,S01B1,DKBMCSPN2,1,DKE1,2047,3.76694726659723
REGION1,S01B1,DKBMCSPN2,1,DKE1,2048,3.76694726659723
