REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCSPN2,DKBM,2039,0.5431721486218398
REGION1,S01B1,DKBMCSPN2,DKBM,2040,2.2702366788494235
REGION1,S01B1,DKBMCSPN2,DKBM,2041,2.7672074859705176
REGION1,S01B1,DKBMCSPN2,DKBM,2042,2.745187267225959
REGION1,S01B1,DKBMCSPN2,DKBM,2043,3.4955073705685846
REGION1,S01B1,DKBMCSPN2,DKBM,2047,10.167925327501711
REGION1,S01B1,DKBMCSPN2,DKBM,2048,10.082956592079963
REGION1,S01B1,DKBMCSPN2,DKBM,2049,9.997987856658217
REGION1,S01B1,DKBMCSPN2,DKBM,2050,10.156885915055543
REGION1,S01B1,DKBMCSPN2,DKBM,2051,12.451778385602488
REGION1,S01B1,DKBMCSPN2,DKBM,2052,13.63531961330945
REGION1,S01B1,DKBMCSPN2,DKBM,2053,14.830590003819148
REGION1,S01B1,DKBMCSPN2,DKBM,2054,15.244520674331287
REGION1,S01B1,DKBMCSPN2,DKBM,2055,15.201945625927575
REGION1,S01B1,DKBMCSPN2,DKBM,2056,15.167971222630696
REGION1,S01B1,DKBMCSPN2,DKBM,2057,15.140846370763287
REGION1,S01B1,DKBMCSPN2,DKBM,2058,8.65895568263711
REGION1,S01B1,DKBMCSPN2,DKBM,2060,15.088038338758752
REGION1,S01B1,DKBMSTPH3,DKBM,2021,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2024,32.89691355264087
REGION1,S01B1,DKBMSTPH3,DKBM,2025,41.726807446163406
REGION1,S01B1,DKBMSTPH3,DKBM,2026,44.51730580830769
REGION1,S01B1,DKBMSTPH3,DKBM,2028,68.29601027114212
REGION1,S01B1,DKBMSTPH3,DKBM,2029,78.61163663691596
REGION1,S01B1,DKBMSTPH3,DKBM,2030,98.51630667084177
REGION1,S01B1,DKBMSTPH3,DKBM,2031,65.2513243028187
REGION1,S01B1,DKBMSTPH3,DKBM,2032,59.042390360684934
REGION1,S01B1,DKBMSTPH3,DKBM,2034,39.65742979443988
REGION1,S01B1,DKBMSTPH3,DKBM,2035,39.74186617975837
REGION1,S01B1,DKBMSTPH3,DKBM,2036,67.90205563021462
REGION1,S01B1,DKBMSTPH3,DKBM,2039,18.456258965807443
REGION1,S01B1,DKBMSTPH3,DKBM,2042,24.08562259320651
REGION1,S01B1,DKBMSTPH3,DKBM,2052,30.37957112021204
REGION1,S01B1,DKBMSTPH3,DKBM,2055,13.163631657501702
REGION1,S01B1,DKCOCHPH3,DKCO,2016,82.74659635143995
REGION1,S01B1,DKCOCHPH3,DKCO,2017,85.98514394506206
REGION1,S01B1,DKCOCHPH3,DKCO,2018,73.04941372678115
REGION1,S01B1,DKCOCHPH3,DKCO,2020,65.3472218387976
REGION1,S01B1,DKCOCHPH3,DKCO,2021,46.57814896984197
REGION1,S01B1,DKCOCHPH3,DKCO,2022,88.61980735933048
REGION1,S01B1,DKCOCHPH3,DKCO,2023,33.60177281596608
REGION1,S01B1,DKCOSTPH1,DKCO,2017,13.557521653409518
REGION1,S01B1,DKCOSTPH1,DKCO,2018,13.42262093923296
REGION1,S01B1,DKCOSTPH1,DKCO,2020,12.652858535320082
REGION1,S01B1,DKCOSTPH1,DKCO,2021,2.1101832749883602
REGION1,S01B1,DKEL00TD0,DKE1,2015,101.52779961108276
REGION1,S01B1,DKEL00TD0,DKE1,2016,101.05755812026852
REGION1,S01B1,DKEL00TD0,DKE1,2017,100.59618911041302
REGION1,S01B1,DKEL00TD0,DKE1,2018,100.13482010055752
REGION1,S01B1,DKEL00TD0,DKE1,2019,99.67345109070207
REGION1,S01B1,DKEL00TD0,DKE1,2020,99.22095456180534
REGION1,S01B1,DKEL00TD0,DKE1,2021,101.54554457300029
REGION1,S01B1,DKEL00TD0,DKE1,2022,103.88787954611274
REGION1,S01B1,DKEL00TD0,DKE1,2023,106.23908700018394
REGION1,S01B1,DKEL00TD0,DKE1,2024,108.59916693521392
REGION1,S01B1,DKEL00TD0,DKE1,2025,110.97699183216142
REGION1,S01B1,DKEL00TD0,DKE1,2026,112.93781012404722
REGION1,S01B1,DKEL00TD0,DKE1,2027,114.89862841593305
REGION1,S01B1,DKEL00TD0,DKE1,2028,116.85944670781883
REGION1,S01B1,DKEL00TD0,DKE1,2029,118.8291374806634
REGION1,S01B1,DKEL00TD0,DKE1,2030,120.79882825350798
REGION1,S01B1,DKEL00TD0,DKE1,2031,125.64320285699054
REGION1,S01B1,DKEL00TD0,DKE1,2032,130.51419490334942
REGION1,S01B1,DKEL00TD0,DKE1,2033,135.4206768735433
REGION1,S01B1,DKEL00TD0,DKE1,2034,140.35377628661348
REGION1,S01B1,DKEL00TD0,DKE1,2035,145.3223656235187
REGION1,S01B1,DKEL00TD0,DKE1,2036,150.10463286028997
REGION1,S01B1,DKEL00TD0,DKE1,2037,154.90464505897876
REGION1,S01B1,DKEL00TD0,DKE1,2038,159.72240221958504
REGION1,S01B1,DKEL00TD0,DKE1,2039,164.56677682306764
REGION1,S01B1,DKEL00TD0,DKE1,2040,169.42002390750898
REGION1,S01B1,DKEL00TD0,DKE1,2041,173.50136514853827
REGION1,S01B1,DKEL00TD0,DKE1,2042,177.5915788705263
REGION1,S01B1,DKEL00TD0,DKE1,2043,181.7084100353906
REGION1,S01B1,DKEL00TD0,DKE1,2044,185.84298616217245
REGION1,S01B1,DKEL00TD0,DKE1,2045,189.98643476991305
REGION1,S01B1,DKEL00TD0,DKE1,2046,194.1387558586124
REGION1,S01B1,DKEL00TD0,DKE1,2047,198.29994942827048
REGION1,S01B1,DKEL00TD0,DKE1,2048,202.47888795984613
REGION1,S01B1,DKEL00TD0,DKE1,2049,206.66669897238057
REGION1,S01B1,DKEL00TD0,DKE1,2050,210.88112742779123
REGION1,S01B1,DKEL00TD0,DKE1,2051,211.83048289037845
REGION1,S01B1,DKEL00TD0,DKE1,2052,212.77983835296567
REGION1,S01B1,DKEL00TD0,DKE1,2053,213.73806629651173
REGION1,S01B1,DKEL00TD0,DKE1,2054,214.70516672101647
REGION1,S01B1,DKEL00TD0,DKE1,2055,215.66339466456247
REGION1,S01B1,DKEL00TD0,DKE1,2056,216.71034741769608
REGION1,S01B1,DKEL00TD0,DKE1,2057,217.7484276898709
REGION1,S01B1,DKEL00TD0,DKE1,2058,218.80425292396328
REGION1,S01B1,DKEL00TD0,DKE1,2059,219.85120567709689
REGION1,S01B1,DKEL00TD0,DKE1,2060,220.915903392148
REGION1,S01B1,DKELDEEH1,DKE1,2028,40.5592819236657
REGION1,S01B1,DKELDEEH1,DKE1,2029,42.353123467252296
REGION1,S01B1,DKELDEEH1,DKE1,2030,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2031,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2032,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2033,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2034,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2035,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2036,73.258128
