REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCCPH1,1,2057,DKBM,S01B2,8.753182337085256
REGION1,DKBMCCPH1,1,2057,DKBM,S01B3,8.753182337085256
REGION1,DKBMCCPH1,1,2057,DKBM,S02B1,8.753182337085256
REGION1,DKBMCCPH1,1,2057,DKBM,S02B3,8.753182337085256
REGION1,DKBMCCPH1,1,2057,DKBM,S03B1,8.753182337085256
REGION1,DKBMCCPH1,1,2057,DKBM,S03B2,5.993897415981931
REGION1,DKBMCCPH1,1,2057,DKBM,S03B3,8.753182337085256
REGION1,DKBMCCPH1,1,2057,DKBM,S04B2,8.753182337085256
REGION1,DKBMCCPH1,1,2057,DKBM,S05B2,8.753182337085256
REGION1,DKBMCCPH1,1,2058,DKBM,S01B2,8.746179791185106
REGION1,DKBMCCPH1,1,2058,DKBM,S01B3,8.746179791185106
REGION1,DKBMCCPH1,1,2058,DKBM,S02B1,8.746179791185106
REGION1,DKBMCCPH1,1,2058,DKBM,S02B3,8.746179791185106
REGION1,DKBMCCPH1,1,2058,DKBM,S03B1,8.746179791185106
REGION1,DKBMCCPH1,1,2058,DKBM,S03B2,6.768650727506204
REGION1,DKBMCCPH1,1,2058,DKBM,S03B3,8.746179791185106
REGION1,DKBMCCPH1,1,2058,DKBM,S04B2,5.034765102767417
REGION1,DKBMCCPH1,1,2058,DKBM,S05B2,8.746179791185106
REGION1,DKBMCCPH1,1,2059,DKBM,S01B2,8.739182850569692
REGION1,DKBMCCPH1,1,2059,DKBM,S01B3,8.739182850569692
REGION1,DKBMCCPH1,1,2059,DKBM,S02B1,8.739182850569692
REGION1,DKBMCCPH1,1,2059,DKBM,S02B3,8.739182850569692
REGION1,DKBMCCPH1,1,2059,DKBM,S03B1,8.739182850569692
REGION1,DKBMCCPH1,1,2059,DKBM,S03B2,5.984311018393012
REGION1,DKBMCCPH1,1,2059,DKBM,S03B3,8.739182850569692
REGION1,DKBMCCPH1,1,2059,DKBM,S04B2,8.739182850569692
REGION1,DKBMCCPH1,1,2059,DKBM,S05B2,8.739182850569692
REGION1,DKBMCCPH1,1,2060,DKBM,S01B2,8.732191502538221
REGION1,DKBMCCPH1,1,2060,DKBM,S01B3,8.732191502538221
REGION1,DKBMCCPH1,1,2060,DKBM,S02B1,8.732191502538221
REGION1,DKBMCCPH1,1,2060,DKBM,S02B3,8.732191502538221
REGION1,DKBMCCPH1,1,2060,DKBM,S03B2,8.708328514491434
REGION1,DKBMCCPH1,1,2060,DKBM,S03B3,8.732191502538221
REGION1,DKBMCCPH1,1,2060,DKBM,S04B2,8.732191502538221
REGION1,DKBMCCPH1,1,2060,DKBM,S05B2,8.732191502538221
REGION1,DKBMCSPN2,1,2039,DKBM,S01B1,0.5431721486218398
REGION1,DKBMCSPN2,1,2039,DKBM,S01B2,0.5431721486218403
REGION1,DKBMCSPN2,1,2039,DKBM,S01B3,0.5431721486218403
REGION1,DKBMCSPN2,1,2039,DKBM,S02B1,0.5431721486218398
REGION1,DKBMCSPN2,1,2039,DKBM,S02B2,0.5431721486218398
REGION1,DKBMCSPN2,1,2039,DKBM,S03B1,0.5431721486218398
REGION1,DKBMCSPN2,1,2039,DKBM,S03B2,0.3799238188760628
REGION1,DKBMCSPN2,1,2039,DKBM,S03B3,0.5431721486218398
REGION1,DKBMCSPN2,1,2039,DKBM,S04B1,0.5431721486218398
REGION1,DKBMCSPN2,1,2039,DKBM,S04B2,0.5431721486218398
REGION1,DKBMCSPN2,1,2039,DKBM,S04B3,0.5431721486218398
REGION1,DKBMCSPN2,1,2039,DKBM,S05B2,0.5431721486218398
REGION1,DKBMCSPN2,1,2040,DKBM,S01B1,2.2702366788494235
REGION1,DKBMCSPN2,1,2040,DKBM,S01B2,1.5480684299833771
REGION1,DKBMCSPN2,1,2040,DKBM,S01B3,2.2702366788494235
REGION1,DKBMCSPN2,1,2040,DKBM,S02B1,2.1002526943419784
REGION1,DKBMCSPN2,1,2040,DKBM,S02B2,2.2702366788494235
REGION1,DKBMCSPN2,1,2040,DKBM,S03B1,2.2702366788494235
REGION1,DKBMCSPN2,1,2040,DKBM,S03B2,2.2702366788494235
REGION1,DKBMCSPN2,1,2040,DKBM,S04B2,2.2702366788494235
REGION1,DKBMCSPN2,1,2040,DKBM,S05B1,2.2702366788494235
REGION1,DKBMCSPN2,1,2040,DKBM,S05B2,2.2702366788494235
REGION1,DKBMCSPN2,1,2040,DKBM,S05B3,2.2702366788494235
REGION1,DKBMCSPN2,1,2041,DKBM,S01B1,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S01B2,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S01B3,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S02B1,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S02B2,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S03B1,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S03B2,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S04B1,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S04B2,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S04B3,2.7672074859705176
REGION1,DKBMCSPN2,1,2041,DKBM,S05B2,1.2406292082129373
REGION1,DKBMCSPN2,1,2042,DKBM,S01B1,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S01B2,1.7986672057930757
REGION1,DKBMCSPN2,1,2042,DKBM,S01B3,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S02B1,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S02B2,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S03B1,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S03B2,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S04B1,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S04B2,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S04B3,2.745187267225959
REGION1,DKBMCSPN2,1,2042,DKBM,S05B2,2.745187267225959
REGION1,DKBMCSPN2,1,2043,DKBM,S01B1,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S01B2,2.1155055795204842
REGION1,DKBMCSPN2,1,2043,DKBM,S02B1,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S02B2,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S03B1,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S03B2,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S04B1,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S04B2,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S04B3,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S05B1,3.4955073705685846
REGION1,DKBMCSPN2,1,2043,DKBM,S05B2,3.4955073705685846
REGION1,DKBMCSPN2,1,2044,DKBM,S01B2,5.07026842581756
REGION1,DKBMCSPN2,1,2044,DKBM,S01B3,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S02B1,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S02B2,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S03B1,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S03B2,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S03B3,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S04B1,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S04B2,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S05B2,10.42283153376696
REGION1,DKBMCSPN2,1,2044,DKBM,S05B3,10.42283153376696
REGION1,DKBMCSPN2,1,2045,DKBM,S01B2,8.326356968327941
REGION1,DKBMCSPN2,1,2045,DKBM,S01B3,10.337862798345208
REGION1,DKBMCSPN2,1,2045,DKBM,S02B1,7.5342216201337875
REGION1,DKBMCSPN2,1,2045,DKBM,S02B2,10.337862798345208
REGION1,DKBMCSPN2,1,2045,DKBM,S03B1,10.337862798345208
REGION1,DKBMCSPN2,1,2045,DKBM,S03B2,10.337862798345208
REGION1,DKBMCSPN2,1,2045,DKBM,S03B3,10.337862798345208
REGION1,DKBMCSPN2,1,2045,DKBM,S04B2,10.337862798345208
REGION1,DKBMCSPN2,1,2045,DKBM,S05B2,10.337862798345208
REGION1,DKBMCSPN2,1,2045,DKBM,S05B3,10.337862798345208
REGION1,DKBMCSPN2,1,2046,DKBM,S01B2,7.173509162868938
REGION1,DKBMCSPN2,1,2046,DKBM,S01B3,10.252894062923462
REGION1,DKBMCSPN2,1,2046,DKBM,S02B1,10.252894062923462
REGION1,DKBMCSPN2,1,2046,DKBM,S02B2,10.243724067219976
REGION1,DKBMCSPN2,1,2046,DKBM,S03B1,10.252894062923462
REGION1,DKBMCSPN2,1,2046,DKBM,S03B2,10.252894062923462
REGION1,DKBMCSPN2,1,2046,DKBM,S03B3,10.252894062923462
REGION1,DKBMCSPN2,1,2046,DKBM,S04B1,0.23640248065787473
REGION1,DKBMCSPN2,1,2046,DKBM,S04B2,10.252894062923462
REGION1,DKBMCSPN2,1,2046,DKBM,S05B1,1.5458946054075382
REGION1,DKBMCSPN2,1,2046,DKBM,S05B2,10.252894062923462
REGION1,DKBMCSPN2,1,2046,DKBM,S05B3,10.252894062923462
REGION1,DKBMCSPN2,1,2047,DKBM,S01B1,10.167925327501711
REGION1,DKBMCSPN2,1,2047,DKBM,S01B2,4.5014223022948086
REGION1,DKBMCSPN2,1,2047,DKBM,S01B3,10.167925327501711
REGION1,DKBMCSPN2,1,2047,DKBM,S02B2,10.167925327501711
REGION1,DKBMCSPN2,1,2047,DKBM,S03B1,10.167925327501711
REGION1,DKBMCSPN2,1,2047,DKBM,S03B2,10.167925327501711
REGION1,DKBMCSPN2,1,2047,DKBM,S03B3,10.167925327501711
REGION1,DKBMCSPN2,1,2047,DKBM,S04B1,10.167925327501711
REGION1,DKBMCSPN2,1,2047,DKBM,S04B2,10.167925327501711
REGION1,DKBMCSPN2,1,2047,DKBM,S05B2,10.167925327501711
REGION1,DKBMCSPN2,1,2048,DKBM,S01B1,10.082956592079963
REGION1,DKBMCSPN2,1,2048,DKBM,S01B2,8.841026840866679
REGION1,DKBMCSPN2,1,2048,DKBM,S01B3,10.082956592079963
REGION1,DKBMCSPN2,1,2048,DKBM,S02B1,2.021755258888376
REGION1,DKBMCSPN2,1,2048,DKBM,S02B3,1.053307505395775
REGION1,DKBMCSPN2,1,2048,DKBM,S03B1,10.082956592079963
REGION1,DKBMCSPN2,1,2048,DKBM,S03B2,10.082956592079963
