REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,304.35809758645274
REGION1,DKBMCSPN2,2039,19.06238798032056
REGION1,DKBMCSPN2,2040,64.11637531476255
REGION1,DKBMCSPN2,2041,20.18493490492313
REGION1,DKBMCSPN2,2043,33.4182295235434
REGION1,DKBMCSPN2,2044,314.59611710263164
REGION1,DKBMCSPN2,2050,13.689545219771109
REGION1,DKBMCSPN2,2051,136.47295559982297
REGION1,DKBMCSPN2,2052,74.0862061903682
REGION1,DKBMCSPN2,2053,76.00024850806183
REGION1,DKBMCSPN2,2054,28.799095807340336
REGION1,DKBMSTPH3,2032,7.775389009383155
REGION1,DKBMSTPH3,2033,10.581242266149832
REGION1,DKBMSTPH3,2034,13.318623004585907
REGION1,DKBMSTPH3,2035,13.906685704630782
REGION1,DKBMSTPH3,2036,8.280138240953134
REGION1,DKBMSTPH3,2037,9.698585379398564
REGION1,DKBMSTPH3,2038,11.045434777713275
REGION1,DKBMSTPH3,2042,61.33941942265545
REGION1,DKBMSTPH3,2043,219.9908069336529
REGION1,DKBMSTPH3,2044,97.642375030356
REGION1,DKBMSTPH3,2046,23.656953469362453
REGION1,DKBMSTPH3,2047,24.675720414474448
REGION1,DKBMSTPH3,2048,25.646350777709667
REGION1,DKBMSTPH3,2049,26.56195611290105
REGION1,DKGOCVPH2,2022,5.939928014848652
REGION1,DKGOCVPH2,2023,0.796497278028117
REGION1,DKGOCVPH2,2024,1.1648704647857149
REGION1,DKGOCVPH2,2025,1.5145908666134211
REGION1,DKGOCVPH2,2026,18.52334552747234
REGION1,DKGOCVPH2,2027,21.68476663235068
REGION1,DKGOCVPH2,2028,24.684707170666176
REGION1,DKGOCVPH2,2029,27.531072909914823
REGION1,DKGOCVPH2,2030,30.231544518087414
REGION1,DKGOCVPH2,2031,25.39233135502255
REGION1,DKGOCVPH2,2032,27.34245052470389
REGION1,DKGOCVPH2,2033,29.204592796458325
REGION1,DKGOCVPH2,2034,16.085721736032642
REGION1,DKHFCHPH3,2037,1.1549188468315903
REGION1,DKHFCHPH3,2038,3.4295240401934493
REGION1,DKHFCHPH3,2040,0.8853655487711547
REGION1,DKHFCHPH3,2042,1.0804339827944738
REGION1,DKHFCHPH3,2044,21.664412439086057
REGION1,DKHFCHPH3,2046,8.641095177570104
REGION1,DKHFCHPH3,2047,199.81551735161565
REGION1,DKHFCHPH3,2048,1088.826217614945
REGION1,DKHFCHPH3,2049,799.061369369511
REGION1,DKHFCHPH3,2050,42.45025100566464
REGION1,DKHFCHPH3,2051,49.59366252673557
REGION1,DKHFCHPH3,2052,55.865719218222765
REGION1,DKHFCHPH3,2053,40.03039981824735
REGION1,DKHFCHPH3,2054,46.49523485038424
REGION1,DKHFCHPH3,2055,111.59823293916196
REGION1,DKHFCHPH3,2056,67.56526022022149
REGION1,DKHFCHPH3,2057,166.00065871099054
REGION1,DKHFCHPH3,2058,123.6664633176054
REGION1,DKHFCHPH3,2059,73.9086447818318
REGION1,DKHFCHPH3,2060,126.72759112733554
REGION1,DKHYDMPH3,2018,3.5182856012919994
REGION1,DKHYDMPH3,2059,0.0700398821502442
REGION1,DKSOUTPH2,2037,8.234879763246886
REGION1,DKSOUTPH2,2038,8.934451065689393
REGION1,DKSOUTPH2,2039,6.327365522849836
REGION1,DKSOUTPH2,2040,16.214170022371437
REGION1,DKSOUTPH2,2041,5.706649456211896
REGION1,DKSOUTPH2,2042,6.513395877403733
REGION1,DKSOUTPH2,2043,7.223785641126345
REGION1,DKSOUTPH2,2044,7.91864443601014
REGION1,DKSOUTPH2,2045,8.502050470377961
REGION1,DKSOUTPH2,2046,3.435428235068137
REGION1,DKSOUTPH2,2047,3.293068097715624
REGION1,DKSOUTPH2,2048,3.787123183211624
REGION1,DKSOUTPH2,2049,126.634446388258
REGION1,DKSOUTPH2,2050,86.77542105244908
REGION1,DKSOUTPH2,2051,31.448599902369555
REGION1,DKSOUTPH2,2052,31.747254654357135
REGION1,DKSOUTPH2,2053,32.50385344367592
REGION1,DKSOUTPH2,2054,33.70182604484729
REGION1,DKSOUTPH2,2055,34.8427523316769
REGION1,DKSOUTPH2,2056,24.730590729249133
REGION1,DKSOUTPH2,2057,25.664719323735945
REGION1,DKSOUTPH2,2058,25.62842123227308
REGION1,DKSOUTPH2,2059,26.620245681261405
REGION1,DKSOUTPH2,2060,27.74883133799616
REGION1,DKWIONPH3,2037,83.56669185203523
REGION1,DKWIONPH3,2038,233.07903845560352
REGION1,DKWIONPH3,2039,389.1032711778849
REGION1,DKWIONPH3,2040,409.99296646153
REGION1,DKWIONPH3,2041,717.5862050288683
REGION1,DKWIONPH3,2042,404.96095111305146
REGION1,DKWIONPH3,2043,1328.7579096079774
REGION1,DKWIONPH3,2044,152.33936278991845
REGION1,DKWIONPH3,2045,671.9584208595755
REGION1,DKWIONPH3,2057,267.3152619381369
REGION1,DKWIONPH3,2058,2258.3273016544663
REGION1,DKWIONPH3,2059,1560.6870974915284
REGION1,DKWIONPH3,2060,2538.3803863028115
REGION1,DKWSSTPH1,2038,1.8095500528624464
REGION1,DKWSSTPH1,2052,473.0722894932224
REGION1,DKWSSTPH1,2053,90.3487764579089
REGION1,DKWSSTPH1,2054,134.19916742208528
REGION1,DKWSSTPH1,2055,12.744908932790684
REGION1,DKWSSTPH1,2059,6.0790266705029685
REGION1,DKWSSTPH1,2060,14.230504338894155
REGION1,FIBMCSPN2,2035,217.28985435984404
REGION1,FIBMCSPN2,2036,256.74896566871206
REGION1,FIBMCSPN2,2037,417.32918708756426
REGION1,FIBMCSPN2,2038,621.0990841119642
REGION1,FIBMCSPN2,2039,585.423414471548
REGION1,FIBMCSPN2,2040,332.29619317638065
REGION1,FIBMCSPN2,2041,697.1865137141523
REGION1,FIBMCSPN2,2042,193.6841032016821
REGION1,FIBMCSPN2,2043,559.7347174230471
REGION1,FIBMCSPN2,2044,580.8160495979896
REGION1,FIBMCSPN2,2045,1004.519495468159
REGION1,FIBMCSPN2,2047,927.3425783983876
REGION1,FIBMCSPN2,2048,952.0682756986904
REGION1,FIBMCSPN2,2049,974.7886191617544
REGION1,FIBMCSPN2,2050,949.5033891086467
REGION1,FIBMCSPN2,2051,90.12200876542344
REGION1,FIBMCSPN2,2052,157.0303975225734
REGION1,FIBMCSPN2,2053,11.933618838958724
REGION1,FIBMSTPH3,2034,53.38323421119534
REGION1,FIBMSTPH3,2035,90.84355621420659
