REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
REGION1,DKHGSTPN2,1,1,2016,0.021565698767799235
REGION1,DKHGSTPN2,1,1,2017,0.021565698767799013
REGION1,DKHGSTPN2,1,1,2018,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2019,0.021565698767799235
REGION1,DKHGSTPN2,1,1,2020,0.021565698767799013
REGION1,DKHGSTPN2,1,1,2021,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2022,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2024,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2025,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2026,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2027,0.021565698767799235
REGION1,DKHGSTPN2,1,1,2028,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2029,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2030,0.021565698767799235
REGION1,DKHGSTPN2,1,1,2031,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2032,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2033,0.020976873493481207
REGION1,DKHGSTPN2,1,1,2034,0.017993959622870537
REGION1,DKHGSTPN2,1,1,2035,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2036,0.01399154781435541
REGION1,DKHGSTPN2,1,1,2037,0.011984782316702912
REGION1,DKHGSTPN2,1,1,2038,0.0099819504975484
REGION1,DKHGSTPN2,1,1,2039,0.007979121457764249
REGION1,DKHGSTPN2,1,1,2040,0.0059762924199439
REGION1,DKHGSTPN2,1,1,2041,0.003973463382125092
REGION1,DKHGSTPN2,1,1,2042,0.001970634344306252
REGION1,DKHGSTPN2,2,1,2015,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2016,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2017,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2018,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2019,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2020,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2021,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2022,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2023,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2024,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2025,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2026,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2027,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2028,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2029,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2030,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2031,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2032,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2033,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2034,0.017993959622870537
REGION1,DKHGSTPN2,2,1,2035,0.02156569876779949
REGION1,DKHGSTPN2,2,1,2036,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2037,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2038,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2039,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2040,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2041,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2042,0.020326401667191765
REGION1,DKHGSTPN2,3,1,2015,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2016,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2017,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2018,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2019,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2020,0.02156569876779944
REGION1,DKHGSTPN2,3,1,2021,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2022,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2023,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2024,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2025,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2026,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2027,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2028,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2029,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2030,0.02156569876779944
REGION1,DKHGSTPN2,3,1,2031,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2032,0.020976873493481745
REGION1,DKHGSTPN2,3,1,2033,0.017993959622870714
REGION1,DKHGSTPN2,3,1,2034,0.016079348988818076
REGION1,DKHGSTPN2,3,1,2035,0.013991547814355545
REGION1,DKHGSTPN2,3,1,2036,0.011984782316702853
REGION1,DKHGSTPN2,3,1,2037,0.009981950497548351
REGION1,DKHGSTPN2,3,1,2038,0.007979121457764287
REGION1,DKHGSTPN2,3,1,2039,0.005976292419944001
REGION1,DKHGSTPN2,3,1,2040,0.003973463382125107
REGION1,DKHGSTPN2,3,1,2041,0.0019706343443062183
REGION1,DKHGSTPN2,4,1,2015,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2016,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2017,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2018,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2019,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2020,0.02156569876779944
REGION1,DKHGSTPN2,4,1,2021,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2023,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2024,0.02156569876779943
REGION1,DKHGSTPN2,4,1,2025,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2026,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2027,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2028,0.021565698767799457
REGION1,DKHGSTPN2,4,1,2029,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2030,0.02156569876779944
REGION1,DKHGSTPN2,4,1,2031,0.021565698767799457
REGION1,DKHGSTPN2,4,1,2032,0.020976873493481745
REGION1,DKHGSTPN2,4,1,2033,0.017993959622870714
REGION1,DKHGSTPN2,4,1,2034,0.016079348988818076
REGION1,DKHGSTPN2,4,1,2035,0.013991547814355545
REGION1,DKHGSTPN2,4,1,2036,0.011984782316702853
REGION1,DKHGSTPN2,4,1,2037,0.009981950497548351
REGION1,DKHGSTPN2,4,1,2038,0.007979121457764287
REGION1,DKHGSTPN2,4,1,2039,0.005976292419944001
REGION1,DKHGSTPN2,4,1,2040,0.003973463382125107
REGION1,DKHGSTPN2,4,1,2041,0.0019706343443062183
REGION1,DKHGSTPN2,5,1,2015,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2016,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2017,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2018,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2019,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2020,0.02156569876779944
REGION1,DKHGSTPN2,5,1,2021,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2023,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2024,0.02156569876779943
REGION1,DKHGSTPN2,5,1,2025,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2026,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2027,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2028,0.021565698767799457
REGION1,DKHGSTPN2,5,1,2029,0.021565698767799436
REGION1,DKHGSTPN2,5,1,2030,0.02156569876779944
REGION1,DKHGSTPN2,5,1,2031,0.021565698767799457
REGION1,DKHGSTPN2,5,1,2032,0.020976873493481745
REGION1,DKHGSTPN2,5,1,2033,0.017993959622870714
REGION1,DKHGSTPN2,5,1,2034,0.016079348988818076
REGION1,DKHGSTPN2,5,1,2035,0.013991547814355545
REGION1,DKHGSTPN2,5,1,2036,0.011984782316702853
REGION1,DKHGSTPN2,5,1,2037,0.009981950497548351
REGION1,DKHGSTPN2,5,1,2038,0.007979121457764287
REGION1,DKHGSTPN2,5,1,2039,0.005976292419944001
REGION1,DKHGSTPN2,5,1,2040,0.003973463382125107
REGION1,DKHGSTPN2,5,1,2041,0.0019706343443062183
REGION1,NOHGSTPN2,1,1,2045,0.0016148673504812747
REGION1,NOHGSTPN2,1,1,2046,0.00262384958484066
REGION1,NOHGSTPN2,1,1,2050,0.0046721951745218
REGION1,NOHGSTPN2,2,1,2053,0.001051202044944244
REGION1,NOHGSTPN2,2,1,2054,0.0053874140774222735
REGION1,NOHGSTPN2,2,1,2055,0.003153606134834064
REGION1,NOHGSTPN2,2,1,2056,0.001051202044944244
REGION1,NOHGSTPN2,2,1,2058,0.001051202044944688
REGION1,NOHGSTPN2,2,1,2059,0.0010448311207538197
REGION1,NOHGSTPN2,2,1,2060,0.001051202044944688
REGION1,NOHGSTPN2,5,1,2043,0.00048735488217545656
REGION1,NOHGSTPN2,5,1,2044,0.0016148673505127025
