REGION,STORAGE,YEAR,VALUE
REGION1,DKHGSTPN2,2015,0.021565698767799235
REGION1,DKHGSTPN2,2016,0.021565698767799013
REGION1,DKHGSTPN2,2017,0.021565698767799457
REGION1,DKHGSTPN2,2018,0.021565698767799235
REGION1,DKHGSTPN2,2019,0.021565698767799013
REGION1,DKHGSTPN2,2020,0.021565698767799457
REGION1,DKHGSTPN2,2021,0.021565698767799457
REGION1,DKHGSTPN2,2023,0.021565698767799457
REGION1,DKHGSTPN2,2024,0.021565698767799457
REGION1,DKHGSTPN2,2025,0.021565698767799457
REGION1,DKHGSTPN2,2026,0.021565698767799235
REGION1,DKHGSTPN2,2027,0.021565698767799457
REGION1,DKHGSTPN2,2028,0.021565698767799457
REGION1,DKHGSTPN2,2029,0.021565698767799235
REGION1,DKHGSTPN2,2030,0.021565698767799457
REGION1,DKHGSTPN2,2031,0.021565698767799457
REGION1,DKHGSTPN2,2032,0.020976873493481207
REGION1,DKHGSTPN2,2033,0.017993959622870537
REGION1,DKHGSTPN2,2034,0.021565698767799457
REGION1,DKHGSTPN2,2035,0.01399154781435541
REGION1,DKHGSTPN2,2036,0.011984782316702912
REGION1,DKHGSTPN2,2037,0.0099819504975484
REGION1,DKHGSTPN2,2038,0.007979121457764249
REGION1,DKHGSTPN2,2039,0.0059762924199439
REGION1,DKHGSTPN2,2040,0.003973463382125092
REGION1,DKHGSTPN2,2041,0.001970634344306252
REGION1,NOHGSTPN2,2044,0.0016148673504812747
REGION1,NOHGSTPN2,2045,0.00262384958484066
REGION1,NOHGSTPN2,2049,0.0046721951745218
