REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,0.063007
REGION1,DKBFHPFH1,2016,0.063007
REGION1,DKBFHPFH1,2017,0.063007
REGION1,DKBFHPFH1,2018,0.063007
REGION1,DKBFHPFH1,2019,0.063007
REGION1,DKBFHPFH1,2020,0.063007
REGION1,DKBFHPFH1,2021,0.063007
REGION1,DKBFHPFH1,2022,0.063007
REGION1,DKBFHPFH1,2023,0.047405
REGION1,DKBFHPFH1,2024,0.021909
REGION1,DKBFHPFH1,2025,0.019007
REGION1,DKBFHPFH1,2026,0.018507
REGION1,DKBFHPFH1,2027,0.017662
REGION1,DKBFHPFH1,2028,0.011327
REGION1,DKBFHPFH1,2029,0.009876
REGION1,DKBFHPFH1,2030,0.008176
REGION1,DKBFHPFH1,2031,0.007331
REGION1,DKBMCCPH1,2057,0.13424653551545804
REGION1,DKBMCCPH1,2058,0.13424653551545804
REGION1,DKBMCCPH1,2059,0.13424653551545804
REGION1,DKBMCCPH1,2060,0.13424653551545804
REGION1,DKBMCSPN2,2039,0.006010678081540197
REGION1,DKBMCSPN2,2040,0.025196056495339524
REGION1,DKBMCSPN2,2041,0.03095604061070163
REGION1,DKBMCSPN2,2042,0.03095604061070163
REGION1,DKBMCSPN2,2043,0.039735743783573786
REGION1,DKBMCSPN2,2044,0.11944911423760876
REGION1,DKBMCSPN2,2045,0.11944911423760876
REGION1,DKBMCSPN2,2046,0.11944911423760876
REGION1,DKBMCSPN2,2047,0.11944911423760876
REGION1,DKBMCSPN2,2048,0.11944911423760876
REGION1,DKBMCSPN2,2049,0.11944911423760876
REGION1,DKBMCSPN2,2050,0.12238764105344531
REGION1,DKBMCSPN2,2051,0.15106842490367514
REGION1,DKBMCSPN2,2052,0.1663335681034788
REGION1,DKBMCSPN2,2053,0.1817066496593067
REGION1,DKBMCSPN2,2054,0.18743229114996626
REGION1,DKBMCSPN2,2055,0.18743229114996626
REGION1,DKBMCSPN2,2056,0.18743229114996626
REGION1,DKBMCSPN2,2057,0.18743229114996626
REGION1,DKBMCSPN2,2058,0.18743229114996626
REGION1,DKBMCSPN2,2059,0.18743229114996626
REGION1,DKBMCSPN2,2060,0.18743229114996626
REGION1,DKBMSTPH3,2015,0.5098239999999999
REGION1,DKBMSTPH3,2016,0.5098239999999999
REGION1,DKBMSTPH3,2017,0.5098239999999999
REGION1,DKBMSTPH3,2018,0.5098239999999999
REGION1,DKBMSTPH3,2019,0.5098239999999999
REGION1,DKBMSTPH3,2020,0.5098239999999999
REGION1,DKBMSTPH3,2021,0.5098239999999999
REGION1,DKBMSTPH3,2022,0.5098239999999999
REGION1,DKBMSTPH3,2023,0.365104
REGION1,DKBMSTPH3,2024,0.365104
REGION1,DKBMSTPH3,2025,0.4631019345157093
REGION1,DKBMSTPH3,2026,0.4940720774253787
REGION1,DKBMSTPH3,2027,0.8388951417887232
REGION1,DKBMSTPH3,2028,0.9406710650776668
REGION1,DKBMSTPH3,2029,0.9822737883273661
REGION1,DKBMSTPH3,2030,1.0933760570940718
REGION1,DKBMSTPH3,2031,1.0933760570940718
REGION1,DKBMSTPH3,2032,1.1578967783199818
REGION1,DKBMSTPH3,2033,1.2030340239769493
REGION1,DKBMSTPH3,2034,1.2419689827877014
REGION1,DKBMSTPH3,2035,1.2733058883355566
REGION1,DKBMSTPH3,2036,1.2886027013195864
REGION1,DKBMSTPH3,2037,1.3039010997941824
REGION1,DKBMSTPH3,2038,1.3191994982687782
REGION1,DKBMSTPH3,2039,1.3191994982687782
REGION1,DKBMSTPH3,2040,1.3191994982687782
REGION1,DKBMSTPH3,2041,1.3191994982687782
REGION1,DKBMSTPH3,2042,1.3701776175038174
REGION1,DKBMSTPH3,2043,1.3288962649236102
REGION1,DKBMSTPH3,2044,1.25592358214906
REGION1,DKBMSTPH3,2045,1.35392358214906
REGION1,DKBMSTPH3,2046,1.3723364391596382
REGION1,DKBMSTPH3,2047,1.3907487885109728
REGION1,DKBMSTPH3,2048,1.4091632310121167
REGION1,DKBMSTPH3,2049,1.427575580363451
REGION1,DKBMSTPH3,2050,1.427575580363451
REGION1,DKBMSTPH3,2051,1.427575580363451
REGION1,DKBMSTPH3,2052,1.427575580363451
REGION1,DKBMSTPH3,2053,1.427575580363451
REGION1,DKBMSTPH3,2054,1.427575580363451
REGION1,DKBMSTPH3,2055,1.3295776458477417
REGION1,DKBMSTPH3,2056,1.298607502938072
REGION1,DKBMSTPH3,2057,0.9537844385747276
REGION1,DKBMSTPH3,2058,0.8520085152857839
REGION1,DKBMSTPH3,2059,0.8104057920360849
REGION1,DKBMSTPH3,2060,0.6426215232693788
REGION1,DKCOCHPH3,2015,3.806
REGION1,DKCOCHPH3,2016,3.806
REGION1,DKCOCHPH3,2017,3.806
REGION1,DKCOCHPH3,2018,3.806
REGION1,DKCOCHPH3,2019,3.806
REGION1,DKCOCHPH3,2020,3.806
REGION1,DKCOCHPH3,2021,3.104
REGION1,DKCOCHPH3,2022,2.132
REGION1,DKCOCHPH3,2023,0.44
REGION1,DKCOSTPH1,2015,0.171
REGION1,DKCOSTPH1,2016,0.171
REGION1,DKCOSTPH1,2017,0.171
REGION1,DKCOSTPH1,2018,0.171
REGION1,DKCOSTPH1,2019,0.171
REGION1,DKCOSTPH1,2020,0.1645
REGION1,DKCOSTPH1,2021,0.0275
REGION1,DKELDEEH1,2015,2.24321
REGION1,DKELDEEH1,2016,2.39774
REGION1,DKELDEEH1,2017,2.33512
REGION1,DKELDEEH1,2018,2.23513
REGION1,DKELDEEH1,2019,2.323
REGION1,DKELDEEH1,2020,2.323
REGION1,DKELDEEH1,2021,2.323
