REGION,YEAR,VALUE
REGION1,2015,17414.79864277761
REGION1,2016,9040.975947949377
REGION1,2017,8738.222736500773
REGION1,2018,17444.664443359463
REGION1,2019,9334.909034977138
REGION1,2020,8997.893809935395
REGION1,2021,9670.254171341277
REGION1,2022,19139.035254246555
REGION1,2023,10845.020098637558
REGION1,2024,14619.268020923271
REGION1,2025,9315.115652323197
REGION1,2026,8651.953127286017
REGION1,2027,9637.304199001032
REGION1,2028,9323.593534827143
REGION1,2029,9794.272291817706
REGION1,2030,12121.3579632476
REGION1,2031,9040.819295094221
REGION1,2032,9715.496940959923
REGION1,2033,10581.710849674668
REGION1,2034,8773.014145349594
REGION1,2035,9204.885336249068
REGION1,2036,7308.807096487865
REGION1,2037,7430.765336076863
REGION1,2038,7254.443236778523
REGION1,2039,6895.92149124863
REGION1,2040,8595.471170811421
REGION1,2041,7031.961169660766
REGION1,2042,5916.093523972574
REGION1,2043,6357.927557181367
REGION1,2044,5505.746544474066
REGION1,2045,6104.652098129677
REGION1,2046,5103.506495569393
REGION1,2047,4965.486006400992
REGION1,2048,4730.2166432629165
REGION1,2049,4535.422406912819
REGION1,2050,4090.796630473287
REGION1,2051,3376.934245215134
REGION1,2052,3657.22125937731
REGION1,2053,3131.002799386532
REGION1,2054,3131.304158669132
REGION1,2055,2940.234787411925
REGION1,2056,2423.2890348372016
REGION1,2057,2326.1524905171186
REGION1,2058,2238.589200652114
REGION1,2059,1953.556539676408
REGION1,2060,1775.2880372673646
