REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,11.7249414673799
REGION1,DKBFHPFH1,2016,11.0903651368028
REGION1,DKBFHPFH1,2017,10.4896374783728
REGION1,DKBFHPFH1,2018,9.92097375762365
REGION1,DKBFHPFH1,2019,9.38263187367094
REGION1,DKBFHPFH1,2020,8.87311228407666
REGION1,DKBFHPFH1,2021,8.42498002744309
REGION1,DKBFHPFH1,2022,7.99940659732774
REGION1,DKBFHPFH1,2023,5.7144965862424
REGION1,DKBFHPFH1,2024,2.50759374922575
REGION1,DKBFHPFH1,2025,2.06549862164519
REGION1,DKBFHPFH1,2026,1.9094907523462
REGION1,DKBFHPFH1,2027,1.73017436615883
REGION1,DKBFHPFH1,2028,1.05348702379892
REGION1,DKBFHPFH1,2029,0.872078302808432
REGION1,DKBFHPFH1,2030,0.685442738311622
REGION1,DKBFHPFH1,2031,0.583505795289972
REGION1,DKBM00X00,2015,73.0466267455146
REGION1,DKBM00X00,2016,69.5682159481091
REGION1,DKBM00X00,2017,66.25544376010393
REGION1,DKBM00X00,2018,63.10042262867033
REGION1,DKBM00X00,2019,60.09564059873369
REGION1,DKBM00X00,2020,57.23394342736547
REGION1,DKBM00X00,2021,54.508517549871776
REGION1,DKBM00X00,2022,51.91287385702078
REGION1,DKBM00X00,2023,35.40642577810935
REGION1,DKBM00X00,2024,33.72040550296132
REGION1,DKBM00X00,2025,40.73460352868942
REGION1,DKBM00X00,2026,41.38928364106976
REGION1,DKBM00X00,2027,66.92925327923086
REGION1,DKBM00X00,2028,71.47543162748543
REGION1,DKBM00X00,2029,71.08242858645451
REGION1,DKBM00X00,2030,75.35463361117068
REGION1,DKBM00X00,2031,71.76631772492442
REGION1,DKBM00X00,2032,72.38217859299154
REGION1,DKBM00X00,2033,71.62265501954286
REGION1,DKBM00X00,2034,70.41966531627531
REGION1,DKBM00X00,2035,68.75854139638228
REGION1,DKBM00X00,2036,66.27101864661951
REGION1,DKBM00X00,2037,63.864565422256966
REGION1,DKBM00X00,2038,61.537023800562565
REGION1,DKBM00X00,2039,58.93189457431694
REGION1,DKBM00X00,2040,57.11039107703344
REGION1,DKBM00X00,2041,54.66073240211955
REGION1,DKBM00X00,2042,54.00282722193016
REGION1,DKBM00X00,2043,50.29203600986401
REGION1,DKBM00X00,2044,48.60674995846568
REGION1,DKBM00X00,2045,49.503005335218326
REGION1,DKBM00X00,2046,47.69090328736095
REGION1,DKBM00X00,2047,45.939130674140365
REGION1,DKBM00X00,2048,44.2460963143216
REGION1,DKBM00X00,2049,42.61008971560394
REGION1,DKBM00X00,2050,40.636656273884746
REGION1,DKBM00X00,2051,39.46665891566442
REGION1,DKBM00X00,2052,37.963077497359066
REGION1,DKBM00X00,2053,36.51675829497213
REGION1,DKBM00X00,2054,34.897076946566074
REGION1,DKBM00X00,2055,31.229164602077542
REGION1,DKBM00X00,2056,29.132907855214626
REGION1,DKBM00X00,2057,23.166794286635167
REGION1,DKBM00X00,2058,20.2678029796534
REGION1,DKBM00X00,2059,18.60087317656249
REGION1,DKBM00X00,2060,15.035361073901676
REGION1,DKBMCCPH1,2057,10.82535246902446
REGION1,DKBMCCPH1,2058,1.0954517397021328
