REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCSPN2,DKBM,2039,0.023810285728881844
REGION1,S01B1,DKBMCSPN2,DKBM,2040,0.09951722328315842
REGION1,S01B1,DKBMCSPN2,DKBM,2041,0.12130224474732872
REGION1,S01B1,DKBMCSPN2,DKBM,2042,0.12033697489420625
REGION1,S01B1,DKBMCSPN2,DKBM,2043,0.1532277188214138
REGION1,S01B1,DKBMCSPN2,DKBM,2047,0.4457172701730382
REGION1,S01B1,DKBMCSPN2,DKBM,2048,0.4419926133150849
REGION1,S01B1,DKBMCSPN2,DKBM,2049,0.43826795645713157
REGION1,S01B1,DKBMCSPN2,DKBM,2050,0.4452333507281824
REGION1,S01B1,DKBMCSPN2,DKBM,2051,0.5458313758283693
REGION1,S01B1,DKBMCSPN2,DKBM,2052,0.5977126346063002
REGION1,S01B1,DKBMCSPN2,DKBM,2053,0.6501080484608532
REGION1,S01B1,DKBMCSPN2,DKBM,2054,0.6682529543840457
REGION1,S01B1,DKBMCSPN2,DKBM,2055,0.6663866509110392
REGION1,S01B1,DKBMCSPN2,DKBM,2056,0.6648973620142882
REGION1,S01B1,DKBMCSPN2,DKBM,2057,0.6637083274237715
REGION1,S01B1,DKBMCSPN2,DKBM,2058,0.37957065626509734
REGION1,S01B1,DKBMCSPN2,DKBM,2060,0.661393454811105
REGION1,S01B1,DKBMSTPH3,DKBM,2021,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2024,1.4420564700787575
REGION1,S01B1,DKBMSTPH3,DKBM,2025,1.8291203081159555
REGION1,S01B1,DKBMSTPH3,DKBM,2026,1.9514435227675409
REGION1,S01B1,DKBMSTPH3,DKBM,2028,2.993797680577835
REGION1,S01B1,DKBMSTPH3,DKBM,2029,3.4459895167473715
REGION1,S01B1,DKBMSTPH3,DKBM,2030,4.318522988961248
REGION1,S01B1,DKBMSTPH3,DKBM,2031,2.8603319956298217
REGION1,S01B1,DKBMSTPH3,DKBM,2032,2.58815955157308
REGION1,S01B1,DKBMSTPH3,DKBM,2034,1.7384078640160214
REGION1,S01B1,DKBMSTPH3,DKBM,2035,1.7421091849792707
REGION1,S01B1,DKBMSTPH3,DKBM,2036,2.976528436216719
REGION1,S01B1,DKBMSTPH3,DKBM,2039,0.8090414808216903
REGION1,S01B1,DKBMSTPH3,DKBM,2042,1.0558081031167221
REGION1,S01B1,DKBMSTPH3,DKBM,2052,1.3317072138703017
REGION1,S01B1,DKBMSTPH3,DKBM,2055,0.5770359025036867
REGION1,S01B1,DKCOCHPH3,DKCO,2016,3.627248022968714
REGION1,S01B1,DKCOCHPH3,DKCO,2017,3.769211751680457
REGION1,S01B1,DKCOCHPH3,DKCO,2018,3.2021660491523
REGION1,S01B1,DKCOCHPH3,DKCO,2020,2.8645357231923385
REGION1,S01B1,DKCOCHPH3,DKCO,2021,2.0417818522327833
REGION1,S01B1,DKCOCHPH3,DKCO,2022,3.884703845397576
REGION1,S01B1,DKCOCHPH3,DKCO,2023,1.4729544100799243
REGION1,S01B1,DKCOSTPH1,DKCO,2017,0.5943023131105433
REGION1,S01B1,DKCOSTPH1,DKCO,2018,0.5883888572057739
REGION1,S01B1,DKCOSTPH1,DKCO,2020,0.5546458480566122
REGION1,S01B1,DKCOSTPH1,DKCO,2021,0.09250118373201195
REGION1,S01B1,DKEL00TD0,DKE1,2015,4.450533637076362
REGION1,S01B1,DKEL00TD0,DKE1,2016,4.429920311657763
REGION1,S01B1,DKEL00TD0,DKE1,2017,4.409695916907436
REGION1,S01B1,DKEL00TD0,DKE1,2018,4.389471522157111
REGION1,S01B1,DKEL00TD0,DKE1,2019,4.369247127406787
REGION1,S01B1,DKEL00TD0,DKE1,2020,4.349411663324737
REGION1,S01B1,DKEL00TD0,DKE1,2021,4.451311498412914
REGION1,S01B1,DKEL00TD0,DKE1,2022,4.553989194837642
REGION1,S01B1,DKEL00TD0,DKE1,2023,4.657055821930644
REGION1,S01B1,DKEL00TD0,DKE1,2024,4.7605113796919225
REGION1,S01B1,DKEL00TD0,DKE1,2025,4.8647447987897525
REGION1,S01B1,DKEL00TD0,DKE1,2026,4.950698476478634
REGION1,S01B1,DKEL00TD0,DKE1,2027,5.036652154167517
REGION1,S01B1,DKEL00TD0,DKE1,2028,5.122605831856398
REGION1,S01B1,DKEL00TD0,DKE1,2029,5.208948440213557
REGION1,S01B1,DKEL00TD0,DKE1,2030,5.295291048570714
REGION1,S01B1,DKEL00TD0,DKE1,2031,5.507647193449127
REGION1,S01B1,DKEL00TD0,DKE1,2032,5.721170130332369
REGION1,S01B1,DKEL00TD0,DKE1,2033,5.936248789888711
REGION1,S01B1,DKEL00TD0,DKE1,2034,6.15249424144988
REGION1,S01B1,DKEL00TD0,DKE1,2035,6.370295415684151
REGION1,S01B1,DKEL00TD0,DKE1,2036,6.579929045884637
REGION1,S01B1,DKEL00TD0,DKE1,2037,6.790340537421674
REGION1,S01B1,DKEL00TD0,DKE1,2038,7.001529890295261
REGION1,S01B1,DKEL00TD0,DKE1,2039,7.213886035173676
REGION1,S01B1,DKEL00TD0,DKE1,2040,7.426631110720366
REGION1,S01B1,DKEL00TD0,DKE1,2041,7.605539218127088
REGION1,S01B1,DKEL00TD0,DKE1,2042,7.784836256202086
REGION1,S01B1,DKEL00TD0,DKE1,2043,7.9653000862819106
REGION1,S01B1,DKEL00TD0,DKE1,2044,8.146541777698285
REGION1,S01B1,DKEL00TD0,DKE1,2045,8.328172399782938
REGION1,S01B1,DKEL00TD0,DKE1,2046,8.510191952535864
REGION1,S01B1,DKEL00TD0,DKE1,2047,8.692600435957063
REGION1,S01B1,DKEL00TD0,DKE1,2048,8.875786780714817
REGION1,S01B1,DKEL00TD0,DKE1,2049,9.059362056140849
REGION1,S01B1,DKEL00TD0,DKE1,2050,9.244104123571702
REGION1,S01B1,DKEL00TD0,DKE1,2051,9.285719705077177
REGION1,S01B1,DKEL00TD0,DKE1,2052,9.327335286582654
REGION1,S01B1,DKEL00TD0,DKE1,2053,9.369339798756409
REGION1,S01B1,DKEL00TD0,DKE1,2054,9.411733241598435
REGION1,S01B1,DKEL00TD0,DKE1,2055,9.453737753772188
REGION1,S01B1,DKEL00TD0,DKE1,2056,9.499631572628696
REGION1,S01B1,DKEL00TD0,DKE1,2057,9.545136460816925
REGION1,S01B1,DKEL00TD0,DKE1,2058,9.591419210341709
REGION1,S01B1,DKEL00TD0,DKE1,2059,9.637313029198216
REGION1,S01B1,DKEL00TD0,DKE1,2060,9.683984709391275
REGION1,S01B1,DKELDEEH1,DKE1,2028,1.7779411076415468
REGION1,S01B1,DKELDEEH1,DKE1,2029,1.8565752567110558
REGION1,S01B1,DKELDEEH1,DKE1,2030,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2031,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2032,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2033,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2034,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2035,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2036,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2037,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2038,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2039,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2040,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2041,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2042,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2043,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2044,2.889186966542475
REGION1,S01B1,DKELDEEH1,DKE1,2045,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2046,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2047,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2048,3.034233610681505
REGION1,S01B1,DKELDEEH1,DKE1,2049,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2050,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2051,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2052,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2053,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2054,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2055,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2056,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2057,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2058,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2059,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2060,3.2113151678868403
REGION1,S01B1,DKELNLEH1,DKE1,2030,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2031,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2032,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2033,0.2141798490646366
REGION1,S01B1,DKELNLEH1,DKE1,2034,0.820868011183602
REGION1,S01B1,DKELNLEH1,DKE1,2035,0.9773567902264297
