REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,0.03984542036429414
REGION1,DKBMCCPH1,2058,0.03984542036429414
REGION1,DKBMCCPH1,2059,0.03984542036429414
REGION1,DKBMCCPH1,2060,0.03984542036429414
REGION1,DKBMSTPH3,2026,0.08326571239161906
REGION1,DKBMSTPH3,2027,0.4280887767549634
REGION1,DKBMSTPH3,2028,0.529864700043907
REGION1,DKBMSTPH3,2029,0.5714674232936063
REGION1,DKBMSTPH3,2030,0.7551280061534855
REGION1,DKBMSTPH3,2031,0.7551280061534855
REGION1,DKBMSTPH3,2032,0.8414847913876692
REGION1,DKBMSTPH3,2033,0.8866220370446369
REGION1,DKBMSTPH3,2034,0.9255569958553891
REGION1,DKBMSTPH3,2035,0.9543110333401343
REGION1,DKBMSTPH3,2036,0.9801807013195862
REGION1,DKBMSTPH3,2037,0.9801807013195862
REGION1,DKBMSTPH3,2038,1.0107774982687787
REGION1,DKBMSTPH3,2039,1.0107774982687787
REGION1,DKBMSTPH3,2040,1.0107774982687787
REGION1,DKBMSTPH3,2041,1.0228154223688368
REGION1,DKBMSTPH3,2042,1.0885531043444372
REGION1,DKBMSTPH3,2043,1.3123232428827707
REGION1,DKBMSTPH3,2044,1.49324355420741
REGION1,DKBMSTPH3,2045,1.49324355420741
REGION1,DKBMSTPH3,2046,1.510511131965398
REGION1,DKBMSTPH3,2047,1.5277787097233861
REGION1,DKBMSTPH3,2048,1.545047872971941
REGION1,DKBMSTPH3,2049,1.5623154507299295
REGION1,DKBMSTPH3,2050,1.5795830284879175
REGION1,DKBMSTPH3,2051,1.5953840274720428
REGION1,DKBMSTPH3,2052,1.6113340625694041
REGION1,DKBMSTPH3,2053,1.6113340625694041
REGION1,DKBMSTPH3,2054,1.6113340625694041
REGION1,DKBMSTPH3,2055,1.6113340625694041
REGION1,DKBMSTPH3,2056,1.5280683501777852
REGION1,DKBMSTPH3,2057,1.1832452858144407
REGION1,DKBMSTPH3,2058,1.0814693625254972
REGION1,DKBMSTPH3,2059,1.0398666392757978
REGION1,DKBMSTPH3,2060,0.8562060564159187
REGION1,DKGOCVPH2,2022,0.03235840530895435
REGION1,DKGOCVPH2,2023,0.03459136881880665
REGION1,DKGOCVPH2,2024,0.03683177852742425
REGION1,DKGOCVPH2,2025,0.03907966970919921
REGION1,DKGOCVPH2,2026,0.061704337980852494
REGION1,DKGOCVPH2,2027,0.08440577361750802
REGION1,DKGOCVPH2,2028,0.10718406595938258
REGION1,DKGOCVPH2,2029,0.13003954795610995
REGION1,DKGOCVPH2,2030,0.1529728153938243
REGION1,DKGOCVPH2,2031,0.17075822164791488
REGION1,DKGOCVPH2,2032,0.18861643641373121
REGION1,DKGOCVPH2,2033,0.206547848486881
REGION1,DKGOCVPH2,2034,0.21589574551756152
REGION1,DKGOCVPH2,2035,0.21589574551756152
REGION1,DKGOCVPH2,2036,0.21589574551756152
REGION1,DKGOCVPH2,2037,0.21589574551756152
REGION1,DKGOCVPH2,2038,0.21589574551756152
REGION1,DKGOCVPH2,2039,0.21589574551756152
REGION1,DKGOCVPH2,2040,0.21589574551756152
REGION1,DKGOCVPH2,2041,0.21589574551756152
REGION1,DKGOCVPH2,2042,0.21589574551756152
REGION1,DKGOCVPH2,2043,0.21589574551756152
REGION1,DKGOCVPH2,2044,0.21589574551756152
REGION1,DKGOCVPH2,2045,0.21589574551756152
REGION1,DKGOCVPH2,2046,0.21589574551756152
REGION1,DKGOCVPH2,2047,0.21589574551756152
REGION1,DKGOCVPH2,2048,0.21589574551756152
REGION1,DKGOCVPH2,2049,0.21589574551756152
REGION1,DKGOCVPH2,2050,0.21589574551756152
REGION1,DKGOCVPH2,2051,0.21589574551756152
REGION1,DKGOCVPH2,2052,0.21589574551756152
REGION1,DKGOCVPH2,2053,0.21589574551756152
REGION1,DKGOCVPH2,2054,0.21589574551756152
REGION1,DKGOCVPH2,2055,0.21589574551756152
REGION1,DKGOCVPH2,2056,0.21589574551756152
REGION1,DKGOCVPH2,2057,0.21589574551756152
REGION1,DKGOCVPH2,2058,0.21589574551756152
REGION1,DKGOCVPH2,2059,0.21589574551756152
REGION1,DKGOCVPH2,2060,0.21589574551756152
REGION1,DKHFCHPH3,2022,0.4334602202171613
REGION1,DKHFCHPH3,2023,3.2247189907527813
REGION1,DKHFCHPH3,2024,5.241653499445702
REGION1,DKHFCHPH3,2025,5.351341468204456
REGION1,DKHFCHPH3,2026,5.351341468204456
REGION1,DKHFCHPH3,2027,5.351341468204456
REGION1,DKHFCHPH3,2028,5.351341468204456
REGION1,DKHFCHPH3,2029,5.351341468204456
REGION1,DKHFCHPH3,2030,5.351341468204456
REGION1,DKHFCHPH3,2031,5.351341468204456
REGION1,DKHFCHPH3,2032,5.351341468204456
REGION1,DKHFCHPH3,2033,5.351341468204456
REGION1,DKHFCHPH3,2034,5.351341468204456
REGION1,DKHFCHPH3,2035,5.351341468204456
REGION1,DKHFCHPH3,2036,5.36232080818002
REGION1,DKHFCHPH3,2037,5.36232080818002
REGION1,DKHFCHPH3,2038,5.379920047941807
REGION1,DKHFCHPH3,2039,5.379920047941807
REGION1,DKHFCHPH3,2040,5.379920047941807
REGION1,DKHFCHPH3,2041,5.379920047941807
REGION1,DKHFCHPH3,2042,5.379920047941807
REGION1,DKHFCHPH3,2043,5.379920047941807
REGION1,DKHFCHPH3,2044,5.439948171180874
REGION1,DKHFCHPH3,2045,5.441519733132917
REGION1,DKHFCHPH3,2046,5.521128155374929
REGION1,DKHFCHPH3,2047,5.600748077616942
REGION1,DKHFCHPH3,2048,5.680366414368388
REGION1,DKHFCHPH3,2049,5.759986336610398
REGION1,DKHFCHPH3,2050,5.839606258852412
REGION1,DKHFCHPH3,2051,5.917886759868286
REGION1,DKHFCHPH3,2052,6.1248074879041825
REGION1,DKHFCHPH3,2053,6.384025453413561
REGION1,DKHFCHPH3,2054,6.487729169852435
REGION1,DKHFCHPH3,2055,6.601322106351945
REGION1,DKHFCHPH3,2056,6.787168938080292
REGION1,DKHFCHPH3,2057,7.192012582079341
REGION1,DKHFCHPH3,2058,7.376628881957264
REGION1,DKHFCHPH3,2059,7.553228358213283
REGION1,DKHFCHPH3,2060,7.795777262189072
REGION1,DKHYDMPH3,2018,0.001875553438118412
REGION1,DKHYDMPH3,2019,0.001875553438118412
REGION1,DKHYDMPH3,2020,0.001875553438118412
REGION1,DKHYDMPH3,2021,0.001875553438118412
REGION1,DKHYDMPH3,2022,0.001875553438118412
REGION1,DKHYDMPH3,2023,0.001875553438118412
REGION1,DKHYDMPH3,2024,0.001875553438118412
REGION1,DKHYDMPH3,2025,0.001875553438118412
REGION1,DKHYDMPH3,2026,0.001875553438118412
REGION1,DKHYDMPH3,2027,0.001875553438118412
REGION1,DKHYDMPH3,2028,0.001875553438118412
REGION1,DKHYDMPH3,2029,0.001875553438118412
REGION1,DKHYDMPH3,2030,0.001875553438118412
REGION1,DKHYDMPH3,2031,0.001875553438118412
REGION1,DKHYDMPH3,2032,0.001875553438118412
REGION1,DKHYDMPH3,2033,0.001875553438118412
REGION1,DKHYDMPH3,2034,0.001875553438118412
REGION1,DKHYDMPH3,2035,0.001875553438118412
REGION1,DKHYDMPH3,2036,0.001875553438118412
REGION1,DKHYDMPH3,2037,0.001875553438118412
REGION1,DKHYDMPH3,2038,0.001875553438118412
REGION1,DKHYDMPH3,2039,0.001875553438118412
REGION1,DKHYDMPH3,2040,0.001875553438118412
REGION1,DKHYDMPH3,2041,0.001875553438118412
REGION1,DKHYDMPH3,2042,0.001875553438118412
REGION1,DKHYDMPH3,2043,0.001875553438118412
REGION1,DKHYDMPH3,2044,0.001875553438118412
REGION1,DKHYDMPH3,2045,0.001875553438118412
REGION1,DKHYDMPH3,2046,0.001875553438118412
REGION1,DKHYDMPH3,2047,0.001875553438118412
REGION1,DKHYDMPH3,2048,0.001875553438118412
REGION1,DKHYDMPH3,2049,0.001875553438118412
REGION1,DKHYDMPH3,2050,0.001875553438118412
REGION1,DKHYDMPH3,2051,0.001875553438118412
REGION1,DKHYDMPH3,2052,0.001875553438118412
REGION1,DKHYDMPH3,2053,0.001875553438118412
REGION1,DKHYDMPH3,2054,0.001875553438118412
REGION1,DKHYDMPH3,2055,0.001875553438118412
REGION1,DKHYDMPH3,2056,0.001875553438118412
REGION1,DKHYDMPH3,2057,0.001875553438118412
REGION1,DKHYDMPH3,2058,0.001875553438118412
REGION1,DKHYDMPH3,2059,0.001908553438118411
REGION1,DKHYDMPH3,2060,0.001908553438118411
REGION1,DKNGCCPH2,2022,0.08062860818327501
REGION1,DKNGCCPH2,2023,0.23700956649904387
REGION1,DKNGCCPH2,2024,0.23700956649904387
REGION1,DKNGCCPH2,2025,0.23700956649904387
REGION1,DKNGCCPH2,2026,0.23700956649904387
REGION1,DKNGCCPH2,2027,0.23700956649904387
REGION1,DKNGCCPH2,2028,0.23700956649904387
REGION1,DKNGCCPH2,2029,0.23700956649904387
REGION1,DKNGCCPH2,2030,0.23700956649904387
REGION1,DKNGCCPH2,2031,0.23700956649904387
REGION1,DKNGCCPH2,2032,0.23700956649904387
REGION1,DKNGCCPH2,2033,0.23700956649904387
REGION1,DKNGCCPH2,2034,0.23700956649904387
REGION1,DKNGCCPH2,2035,0.23700956649904387
REGION1,DKNGCCPH2,2036,0.23700956649904387
REGION1,DKNGCCPH2,2037,0.23700956649904387
REGION1,DKNGCCPH2,2038,0.23700956649904387
REGION1,DKNGCCPH2,2039,0.23700956649904387
REGION1,DKNGCCPH2,2040,0.23700956649904387
REGION1,DKNGCCPH2,2041,0.23700956649904387
REGION1,DKNGCCPH2,2042,0.23700956649904387
REGION1,DKNGCCPH2,2043,0.23700956649904387
REGION1,DKNGCCPH2,2044,0.23700956649904387
REGION1,DKNGCCPH2,2045,0.23700956649904387
REGION1,DKNGCCPH2,2046,0.23700956649904387
REGION1,DKNGCCPH2,2047,0.23700956649904387
REGION1,DKNGCCPH2,2048,0.23700956649904387
REGION1,DKNGCCPH2,2049,0.23700956649904387
REGION1,DKNGCCPH2,2050,0.23700956649904387
REGION1,DKNGCCPH2,2051,0.23700956649904387
