REGION,EMISSION,YEAR,VALUE
REGION1,BMIM,2015,0.0
REGION1,BMIM,2016,0.0
REGION1,BMIM,2017,0.0
REGION1,BMIM,2018,0.0
REGION1,BMIM,2019,0.0
REGION1,BMIM,2020,0.0
REGION1,BMIM,2021,0.0
REGION1,BMIM,2022,0.0
REGION1,BMIM,2023,0.0
REGION1,BMIM,2024,0.0
REGION1,BMIM,2025,0.0
REGION1,BMIM,2026,0.0
REGION1,BMIM,2027,0.0
REGION1,BMIM,2028,0.0
REGION1,BMIM,2029,0.0
REGION1,BMIM,2030,0.0
REGION1,BMIM,2031,0.0
REGION1,BMIM,2032,0.0
REGION1,BMIM,2033,0.0
REGION1,BMIM,2034,0.0
REGION1,BMIM,2035,0.0
REGION1,BMIM,2036,0.0
REGION1,BMIM,2037,0.0
REGION1,BMIM,2038,0.0
REGION1,BMIM,2039,0.0
REGION1,BMIM,2040,0.0
REGION1,BMIM,2041,0.0
REGION1,BMIM,2042,0.0
REGION1,BMIM,2043,0.0
REGION1,BMIM,2044,0.0
REGION1,BMIM,2045,0.0
REGION1,BMIM,2046,0.0
REGION1,BMIM,2047,0.0
REGION1,BMIM,2048,0.0
REGION1,BMIM,2049,0.0
REGION1,BMIM,2050,0.0
REGION1,BMIM,2051,0.0
REGION1,BMIM,2052,0.0
REGION1,BMIM,2053,0.0
REGION1,BMIM,2054,0.0
REGION1,BMIM,2055,0.0
REGION1,BMIM,2056,0.0
REGION1,BMIM,2057,0.0
REGION1,BMIM,2058,0.0
REGION1,BMIM,2059,0.0
REGION1,BMIM,2060,0.0
REGION1,CO2,2015,22900.860802135485
REGION1,CO2,2016,24001.53914410291
REGION1,CO2,2017,24918.08166157836
REGION1,CO2,2018,13592.671627691403
REGION1,CO2,2019,13071.633623567084
REGION1,CO2,2020,12660.85191208274
REGION1,CO2,2021,18424.205092237295
REGION1,CO2,2022,28243.873155244717
REGION1,CO2,2023,17016.48225638897
REGION1,CO2,2024,10875.660384631454
REGION1,CO2,2025,10820.911965354628
REGION1,CO2,2026,10351.576026450755
REGION1,CO2,2027,10632.027072439887
REGION1,CO2,2028,10605.201143100203
REGION1,CO2,2029,9498.017162949924
REGION1,CO2,2030,9817.252658356234
REGION1,CO2,2031,9192.785861086448
REGION1,CO2,2032,10005.203537958272
REGION1,CO2,2033,10658.418404130025
REGION1,CO2,2034,11107.053801659884
REGION1,CO2,2035,11418.08671611742
REGION1,CO2,2036,12302.448829271145
REGION1,CO2,2037,12521.891157609865
REGION1,CO2,2038,13075.568305927818
REGION1,CO2,2039,13577.81543771726
REGION1,CO2,2040,14070.977384349157
REGION1,CO2,2041,14630.713456536596
REGION1,CO2,2042,15061.00221364943
REGION1,CO2,2043,15419.89240911483
REGION1,CO2,2044,15976.242796418435
REGION1,CO2,2045,16556.3996876781
REGION1,CO2,2046,17062.377064392742
REGION1,CO2,2047,17111.57853783828
REGION1,CO2,2048,17705.572593939258
REGION1,CO2,2049,18273.14025926481
REGION1,CO2,2050,19384.90731431492
REGION1,CO2,2051,18558.41159858629
REGION1,CO2,2052,19756.189080501135
REGION1,CO2,2053,20285.988760813638
REGION1,CO2,2054,20780.580050581088
REGION1,CO2,2055,21336.19760204841
REGION1,CO2,2056,22020.243254946345
REGION1,CO2,2057,22409.26385743702
REGION1,CO2,2058,22747.61266700474
REGION1,CO2,2059,23111.531722698706
REGION1,CO2,2060,23538.83624217585
REGION1,DKHO,2015,0.07999994796426124
REGION1,DKHO,2016,0.07999995404822358
REGION1,DKHO,2017,0.02203546422782084
REGION1,DKHO,2018,0.07999996748391172
REGION1,DKHO,2019,0.07999996748391171
REGION1,DKHO,2020,0.07999996748391171
REGION1,DKHO,2021,0.07999996748391171
REGION1,DKHO,2022,0.07999996748391171
REGION1,DKHO,2023,0.07999996748391171
REGION1,DKHO,2024,0.07999996837727978
REGION1,DKHO,2025,0.07999996748391226
REGION1,DKHO,2026,0.07999996748391171
REGION1,DKHO,2027,0.07999996748391172
REGION1,DKHO,2028,0.07999996748391171
REGION1,DKHO,2029,0.07999996748391171
REGION1,DKHO,2030,0.07999996748391157
REGION1,DKHO,2031,0.07999996748391171
REGION1,DKHO,2032,0.07999996785522365
REGION1,DKHO,2033,0.07999996785522298
REGION1,DKHO,2034,0.07999996785522387
REGION1,DKHO,2035,0.079999967480497
REGION1,DKHO,2036,0.07999996767490274
REGION1,DKHO,2037,0.0799999678552227
REGION1,DKHO,2038,0.0799999678552307
REGION1,DKHO,2039,0.0799999678552227
REGION1,DKHO,2040,0.07999996804242422
REGION1,DKHO,2041,0.07999996980193166
REGION1,DKHO,2042,0.07999996980193165
REGION1,DKHO,2043,0.07999996756736853
REGION1,DKHO,2044,0.07999996756736046
REGION1,DKHO,2045,0.0799999698018691
REGION1,DKHO,2046,0.07999996980194371
REGION1,DKHO,2047,0.07999996980195082
REGION1,DKHO,2048,0.07999996980193168
REGION1,DKHO,2049,0.0799999698019366
REGION1,DKHO,2050,0.07999996980193168
REGION1,DKHO,2051,0.0799999698019366
REGION1,DKHO,2052,0.07999996980193166
REGION1,DKHO,2053,0.07999996980193166
REGION1,DKHO,2054,0.07999996980193166
REGION1,DKHO,2055,0.07999996980105198
REGION1,DKHO,2056,0.07999996980193166
REGION1,DKHO,2057,0.07999997023922019
REGION1,DKHO,2058,0.0799999702392202
REGION1,DKHO,2059,0.07999996982217085
REGION1,DKHO,2060,0.07999996982217084
REGION1,DKPM25,2015,1.6114399681975795
REGION1,DKPM25,2016,1.6361134855398782
REGION1,DKPM25,2017,1.6537333301217032
REGION1,DKPM25,2018,1.551965551794489
REGION1,DKPM25,2019,1.558084607670911
REGION1,DKPM25,2020,1.5549359638977376
REGION1,DKPM25,2021,1.5939957220670253
REGION1,DKPM25,2022,1.6957174320593889
REGION1,DKPM25,2023,1.1421983418426178
REGION1,DKPM25,2024,1.1091399653241656
REGION1,DKPM25,2025,1.108907455193787
REGION1,DKPM25,2026,1.3549190973076393
REGION1,DKPM25,2027,2.3657760695451318
REGION1,DKPM25,2028,2.66579729087234
REGION1,DKPM25,2029,2.787607219040945
REGION1,DKPM25,2030,3.1604367767369412
REGION1,DKPM25,2031,3.1606761318323082
REGION1,DKPM25,2032,3.4157446274669945
REGION1,DKPM25,2033,3.547749621508642
REGION1,DKPM25,2034,3.661544519379537
REGION1,DKPM25,2035,3.7454482656531503
REGION1,DKPM25,2036,3.8211760113620046
REGION1,DKPM25,2037,3.820951468364463
REGION1,DKPM25,2038,3.9105576237680966
REGION1,DKPM25,2039,3.9103324699754323
REGION1,DKPM25,2040,3.9101069072899306
REGION1,DKPM25,2041,3.945418050711646
REGION1,DKPM25,2042,4.11360649666791
REGION1,DKPM25,2043,4.062400061051522
REGION1,DKPM25,2044,4.133244491069294
REGION1,DKPM25,2045,4.420941148594905
REGION1,DKPM25,2046,4.471363661381584
REGION1,DKPM25,2047,4.520517092040054
REGION1,DKPM25,2048,4.570945056319902
REGION1,DKPM25,2049,4.621368957908117
REGION1,DKPM25,2050,4.673062090784321
REGION1,DKPM25,2051,4.707133880852549
REGION1,DKPM25,2052,4.7537106433594785
REGION1,DKPM25,2053,4.753367222344551
REGION1,DKPM25,2054,4.753074530492588
REGION1,DKPM25,2055,4.752786741014522
REGION1,DKPM25,2056,4.507989660154516
REGION1,DKPM25,2057,3.4954404391287066
REGION1,DKPM25,2058,3.196307084711248
REGION1,DKPM25,2059,3.0738474424466946
REGION1,DKPM25,2060,2.534310383845058
REGION1,DKSO,2015,2.7710977745460212
REGION1,DKSO,2016,2.7710977745460212
REGION1,DKSO,2017,2.7710977745460212
REGION1,DKSO,2018,2.7710977745460212
REGION1,DKSO,2019,2.7710977745460212
REGION1,DKSO,2020,2.7710977745460212
REGION1,DKSO,2021,2.7710977745460212
REGION1,DKSO,2022,2.7710977745460212
REGION1,DKSO,2023,2.7710800565295597
REGION1,DKSO,2024,3.456337292905085
REGION1,DKSO,2025,6.894536683977629
REGION1,DKSO,2026,9.129991432875213
REGION1,DKSO,2027,9.80999079479801
