REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,12.014504280309298
REGION1,DKBFHPFH1,2016,11.932454006825099
REGION1,DKBFHPFH1,2017,11.850403733340897
REGION1,DKBFHPFH1,2018,11.7683534598567
REGION1,DKBFHPFH1,2019,11.686303186372498
REGION1,DKBFHPFH1,2020,11.604252912888299
REGION1,DKBFHPFH1,2021,11.569088510866598
REGION1,DKBFHPFH1,2022,11.5339241088449
REGION1,DKBFHPFH1,2023,8.651399112828
REGION1,DKBFHPFH1,2024,3.9861588320805
REGION1,DKBFHPFH1,2025,3.4475564011798
REGION1,DKBFHPFH1,2026,3.3465358314080995
REGION1,DKBFHPFH1,2027,3.1838811426761997
REGION1,DKBFHPFH1,2028,2.0355661310540003
REGION1,DKBFHPFH1,2029,1.7692962527363998
REGION1,DKBFHPFH1,2030,1.4601763336608
REGION1,DKBFHPFH1,2031,1.3051737983837
REGION1,DKBMCCPH1,2057,2.7132775953693486
REGION1,DKBMCCPH1,2058,2.70785104039776
REGION1,DKBMCCPH1,2059,2.702435338123315
REGION1,DKBMCCPH1,2060,2.697030467427943
REGION1,DKBMSTPH3,2015,39.360586592669435
REGION1,DKBMSTPH3,2016,39.07605223271679
REGION1,DKBMSTPH3,2017,38.79151787276416
REGION1,DKBMSTPH3,2018,38.506983512811516
REGION1,DKBMSTPH3,2019,38.222449147760635
REGION1,DKBMSTPH3,2020,37.937914787808
REGION1,DKBMSTPH3,2021,37.81145507057408
REGION1,DKBMSTPH3,2022,37.6849953584384
REGION1,DKBMSTPH3,2023,26.897069570570082
REGION1,DKBMSTPH3,2024,26.806507045853756
REGION1,DKBMSTPH3,2025,26.715944521137438
REGION1,DKBMSTPH3,2026,32.69757348506
REGION1,DKBMSTPH3,2027,57.647210494404824
REGION1,DKBMSTPH3,2028,64.82202952238512
REGION1,DKBMSTPH3,2029,67.60297640543973
REGION1,DKBMSTPH3,2030,76.50465100086946
REGION1,DKBMSTPH3,2031,76.24084185684661
REGION1,DKBMSTPH3,2032,82.14611950587579
REGION1,DKBMSTPH3,2033,85.07417218543587
REGION1,DKBMSTPH3,2034,87.53983557351664
REGION1,DKBMSTPH3,2035,89.26646315059186
REGION1,DKBMSTPH3,2036,90.82198335873221
REGION1,DKBMSTPH3,2037,90.54951740218723
REGION1,DKBMSTPH3,2038,92.42144159726779
REGION1,DKBMSTPH3,2039,92.14417727287174
REGION1,DKBMSTPH3,2040,91.86774473014334
REGION1,DKBMSTPH3,2041,92.427935670546
REGION1,DKBMSTPH3,2042,96.11676216141622
REGION1,DKBMSTPH3,2043,94.62550504364508
REGION1,DKBMSTPH3,2044,96.0026531873339
REGION1,DKBMSTPH3,2045,102.43751106924267
REGION1,DKBMSTPH3,2046,103.31121226264446
REGION1,DKBMSTPH3,2047,104.17874931713324
REGION1,DKBMSTPH3,2048,105.0402591476593
REGION1,DKBMSTPH3,2049,105.8955548331193
REGION1,DKBMSTPH3,2050,106.7447733725205
REGION1,DKBMSTPH3,2051,107.48913268769495
REGION1,DKBMSTPH3,2052,108.23807634019776
REGION1,DKBMSTPH3,2053,107.91336212071627
REGION1,DKBMSTPH3,2054,107.58962203324228
REGION1,DKBMSTPH3,2055,107.2668531612612
REGION1,DKBMSTPH3,2056,101.41866537113546
REGION1,DKBMSTPH3,2057,78.29698730847072
REGION1,DKBMSTPH3,2058,71.34764581715649
REGION1,DKBMSTPH3,2059,68.39718547024539
REGION1,DKBMSTPH3,2060,56.147967421912654
REGION1,DKCOSTPH1,2015,6.83955363699
REGION1,DKCOSTPH1,2016,6.83955363699
REGION1,DKCOSTPH1,2017,6.83955363699
REGION1,DKCOSTPH1,2018,6.83955363699
REGION1,DKCOSTPH1,2019,6.83955363699
REGION1,DKCOSTPH1,2020,6.579570604005
REGION1,DKCOSTPH1,2021,1.099928216475
REGION1,DKGOCVPH2,2022,2.1404006499441617
REGION1,DKGOCVPH2,2023,2.2772980579173026
REGION1,DKGOCVPH2,2024,2.4132882848153048
REGION1,DKGOCVPH2,2025,2.5483666523889617
REGION1,DKGOCVPH2,2026,4.004435237025109
REGION1,DKGOCVPH2,2027,5.451326792072058
REGION1,DKGOCVPH2,2028,6.888975119111365
REGION1,DKGOCVPH2,2029,8.317329487272792
REGION1,DKGOCVPH2,2030,9.736355479192104
REGION1,DKGOCVPH2,2031,10.835015730348031
REGION1,DKGOCVPH2,2032,11.931336863967502
REGION1,DKGOCVPH2,2033,13.0253007496626
REGION1,DKGOCVPH2,2034,13.572645868923686
REGION1,DKGOCVPH2,2035,13.530494793770755
REGION1,DKGOCVPH2,2036,13.48834372077678
REGION1,DKGOCVPH2,2037,13.446192645623848
REGION1,DKGOCVPH2,2038,13.404041572629872
REGION1,DKGOCVPH2,2039,13.36189049747694
REGION1,DKGOCVPH2,2040,13.319739424482965
REGION1,DKGOCVPH2,2041,13.277588349330033
REGION1,DKGOCVPH2,2042,13.235437274177102
REGION1,DKGOCVPH2,2043,13.193286201183126
REGION1,DKGOCVPH2,2044,13.151135126030194
REGION1,DKGOCVPH2,2045,13.108984053036218
REGION1,DKGOCVPH2,2046,13.066832977883287
REGION1,DKGOCVPH2,2047,13.024681904889311
REGION1,DKGOCVPH2,2048,12.98253082973638
REGION1,DKGOCVPH2,2049,12.940379756742406
REGION1,DKGOCVPH2,2050,12.898228681589472
REGION1,DKGOCVPH2,2051,12.88533045444938
REGION1,DKGOCVPH2,2052,12.872445122762166
REGION1,DKGOCVPH2,2053,12.859572677892002
REGION1,DKGOCVPH2,2054,12.846713104726184
REGION1,DKGOCVPH2,2055,12.833866392469929
REGION1,DKGOCVPH2,2056,12.821032526010532
REGION1,DKGOCVPH2,2057,12.808211492394248
REGION1,DKGOCVPH2,2058,12.79540328082629
REGION1,DKGOCVPH2,2059,12.782607878352914
REGION1,DKGOCVPH2,2060,12.769825269861416
REGION1,DKHFCHPH3,2015,0.003085250308
REGION1,DKHFCHPH3,2016,0.003085250308
REGION1,DKHFCHPH3,2017,0.003085250308
REGION1,DKHFCHPH3,2018,0.003085250308
REGION1,DKHFCHPH3,2019,0.003085250308
REGION1,DKHFCHPH3,2020,0.003085250308
REGION1,DKHFCHPH3,2021,0.000200095112
REGION1,DKHFCHPH3,2022,0.002544237579889123
REGION1,DKHFCHPH3,2023,0.017639298020735262
REGION1,DKHFCHPH3,2024,0.02834673632531837
REGION1,DKHFCHPH3,2025,0.028939926227854462
REGION1,DKHFCHPH3,2026,0.028939926227854462
REGION1,DKHFCHPH3,2027,0.028939926227854462
REGION1,DKHFCHPH3,2028,0.028939926227854462
REGION1,DKHFCHPH3,2029,0.028939926227854462
REGION1,DKHFCHPH3,2030,0.028939926227854462
REGION1,DKHFCHPH3,2031,0.028939926227854462
REGION1,DKHFCHPH3,2032,0.028939926227854462
REGION1,DKHFCHPH3,2033,0.028939926227854462
REGION1,DKHFCHPH3,2034,0.028939926227854462
REGION1,DKHFCHPH3,2035,0.028939926227854462
REGION1,DKHFCHPH3,2036,0.028999302234938153
REGION1,DKHFCHPH3,2037,0.028999302234938153
REGION1,DKHFCHPH3,2038,0.029094478501188143
REGION1,DKHFCHPH3,2039,0.029094478501188143
REGION1,DKHFCHPH3,2040,0.029094478501188143
REGION1,DKHFCHPH3,2041,0.029094478501188143
REGION1,DKHFCHPH3,2042,0.029094478501188143
REGION1,DKHFCHPH3,2043,0.029094478501188143
REGION1,DKHFCHPH3,2044,0.02941910915099006
REGION1,DKHFCHPH3,2045,0.02942760812030922
REGION1,DKHFCHPH3,2046,0.029858128557191888
REGION1,DKHFCHPH3,2047,0.030288711185798557
REGION1,DKHFCHPH3,2048,0.0307192852401103
REGION1,DKHFCHPH3,2049,0.031149867868716954
REGION1,DKHFCHPH3,2050,0.03158045049732364
REGION1,DKHFCHPH3,2051,0.03200378956808545
REGION1,DKHFCHPH3,2052,0.03312281189920611
REGION1,DKHFCHPH3,2053,0.034524656435449656
REGION1,DKHFCHPH3,2054,0.03508548364506189
REGION1,DKHFCHPH3,2055,0.035699791519420765
REGION1,DKHFCHPH3,2056,0.03670484672508371
REGION1,DKHFCHPH3,2057,0.038894231435583106
REGION1,DKHFCHPH3,2058,0.039892631954531715
REGION1,DKHFCHPH3,2059,0.04084767768373684
REGION1,DKHFCHPH3,2060,0.04215937633526421
REGION1,DKHFGCPH3,2015,1.7263838892864
REGION1,DKHFGCPH3,2016,1.7642481814536
REGION1,DKHFGCPH3,2017,1.8021124733902
REGION1,DKHFGCPH3,2018,1.8399767653268
REGION1,DKHFGCPH3,2019,1.8778410572634
REGION1,DKHFGCPH3,2020,1.9157053492
REGION1,DKHFGCPH3,2021,1.9157053492
REGION1,DKHFGCPH3,2022,0.103843525
REGION1,DKHFSTPH3,2015,33.7652382705
REGION1,DKHFSTPH3,2016,33.7652382705
REGION1,DKHFSTPH3,2017,33.7652382705
REGION1,DKHFSTPH3,2018,33.7652382705
REGION1,DKHFSTPH3,2019,33.7652382705
REGION1,DKHFSTPH3,2020,33.7652382705
REGION1,DKHFSTPH3,2021,33.7652382705
REGION1,DKHGSRPH2,2015,3.875975969784378
REGION1,DKHGSRPH2,2016,3.8530418025289888
REGION1,DKHGSRPH2,2017,3.8301076352736088
REGION1,DKHGSRPH2,2018,3.8071734680182194
REGION1,DKHGSRPH2,2019,3.7842393007628385
REGION1,DKHGSRPH2,2020,3.761305133507449
REGION1,DKHGSRPH2,2021,3.748693884107587
REGION1,DKHGSRPH2,2022,3.7029781050331043
REGION1,DKHGSRPH2,2023,3.7029781050331043
REGION1,DKHGSRPH2,2024,3.657262325958621
REGION1,DKHGSRPH2,2025,3.657262325958621
REGION1,DKHGSRPH2,2026,3.611546546884139
REGION1,DKHGSRPH2,2027,3.611546546884139
REGION1,DKHGSRPH2,2028,3.565830767809656
REGION1,DKHGSRPH2,2029,3.565830767809656
REGION1,DKHGSRPH2,2030,3.520114988735173
REGION1,DKHGSRPH2,2031,3.520114988735173
REGION1,DKHGSRPH2,2032,3.47439920966069
REGION1,DKHGSRPH2,2033,3.47439920966069
REGION1,DKHGSRPH2,2034,3.4286834305862075
REGION1,DKHGSRPH2,2035,3.4286834305862075
REGION1,DKHGSRPH2,2036,3.3829676515117244
