REGION,TECHNOLOGY,YEAR,VALUE,absolute_production
REGION1,DKELRENEW,2015,0.6694,66.84
REGION1,DKELRENEW,2016,0.6151,66.84
REGION1,DKELRENEW,2017,0.59,66.79
REGION1,DKELRENEW,2018,0.8746,66.84
REGION1,DKELRENEW,2019,0.8689,66.84
REGION1,DKELRENEW,2020,0.8876,66.84
REGION1,DKELRENEW,2021,0.7563,66.84
REGION1,DKELRENEW,2022,0.5571,75.59
REGION1,DKELRENEW,2023,0.7921,71.47
REGION1,DKELRENEW,2024,0.91,70.4
REGION1,DKELRENEW,2025,0.9128,72.94
REGION1,DKELRENEW,2026,0.9239,77.13
REGION1,DKELRENEW,2027,0.9292,83.42
REGION1,DKELRENEW,2028,0.9293,83.48
REGION1,DKELRENEW,2029,1.0,85.63
REGION1,DKELRENEW,2030,0.9339,89.74
REGION1,DKELRENEW,2031,0.9653,90.72
REGION1,DKELRENEW,2032,0.9364,93.57
REGION1,DKELRENEW,2033,0.9399,99.38
REGION1,DKELRENEW,2034,0.9437,106.51
REGION1,DKELRENEW,2035,0.9482,116.24
REGION1,DKELRENEW,2036,0.9516,124.87
REGION1,DKELRENEW,2037,0.9564,139.45
REGION1,DKELRENEW,2038,0.9586,147.2
REGION1,DKELRENEW,2039,0.9621,161.41
REGION1,DKELRENEW,2040,0.9651,175.94
REGION1,DKELRENEW,2041,0.9678,190.96
REGION1,DKELRENEW,2042,0.9692,200.05
REGION1,DKELRENEW,2043,0.9719,219.7
REGION1,DKELRENEW,2044,0.9724,223.6
REGION1,DKELRENEW,2045,0.9727,226.62
REGION1,DKELRENEW,2046,0.9728,226.94
REGION1,DKELRENEW,2047,1.0,227.25
REGION1,DKELRENEW,2048,1.0,227.58
REGION1,DKELRENEW,2049,1.0,227.9
REGION1,DKELRENEW,2050,0.9729,228.21
REGION1,DKELRENEW,2051,1.0,228.46
REGION1,DKELRENEW,2052,0.9989,228.71
REGION1,DKELRENEW,2053,1.0,228.62
REGION1,DKELRENEW,2054,1.0,228.52
REGION1,DKELRENEW,2055,1.0,227.51
REGION1,DKELRENEW,2056,1.0,225.64
REGION1,DKELRENEW,2057,1.0,218.81
REGION1,DKELRENEW,2058,1.0,220.83
REGION1,DKELRENEW,2059,1.0,216.59
REGION1,DKELRENEW,2060,1.0,220.82
REGION1,ELRENEW,2015,0.9336,1277.28
REGION1,ELRENEW,2016,0.9342,1294.47
REGION1,ELRENEW,2017,0.9327,1293.51
REGION1,ELRENEW,2018,0.9694,1362.67
REGION1,ELRENEW,2019,0.9707,1348.31
REGION1,ELRENEW,2020,0.9718,1338.51
REGION1,ELRENEW,2021,0.9556,1355.2
REGION1,ELRENEW,2022,0.9255,1438.71
REGION1,ELRENEW,2023,0.9548,1493.55
REGION1,ELRENEW,2024,0.9752,1547.23
REGION1,ELRENEW,2025,0.9784,1588.76
REGION1,ELRENEW,2026,0.9848,1630.65
REGION1,ELRENEW,2027,0.9853,1674.37
REGION1,ELRENEW,2028,0.9859,1727.87
REGION1,ELRENEW,2029,0.9961,1769.62
REGION1,ELRENEW,2030,0.9902,1808.95
REGION1,ELRENEW,2031,0.9983,1869.72
REGION1,ELRENEW,2032,0.9967,1929.14
REGION1,ELRENEW,2033,0.9963,2012.1
REGION1,ELRENEW,2034,0.9962,2086.45
REGION1,ELRENEW,2035,0.997,2137.02
REGION1,ELRENEW,2036,0.9952,2176.74
REGION1,ELRENEW,2037,0.9972,2225.72
REGION1,ELRENEW,2038,0.9972,2270.48
REGION1,ELRENEW,2039,0.9973,2319.44
REGION1,ELRENEW,2040,0.9973,2368.54
REGION1,ELRENEW,2041,0.9974,2397.41
REGION1,ELRENEW,2042,0.9974,2446.85
REGION1,ELRENEW,2043,0.9974,2484.86
REGION1,ELRENEW,2044,0.9975,2524.09
REGION1,ELRENEW,2045,0.9975,2558.53
REGION1,ELRENEW,2046,0.9976,2603.26
REGION1,ELRENEW,2047,1.0,2652.54
REGION1,ELRENEW,2048,1.0,2693.54
REGION1,ELRENEW,2049,1.0,2736.09
REGION1,ELRENEW,2050,0.9977,2769.63
REGION1,ELRENEW,2051,1.0,2778.34
REGION1,ELRENEW,2052,0.9999,2775.79
REGION1,ELRENEW,2053,1.0,2774.73
