REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DKBMCCPH1,DKPM25,2057,0.00017591911318375696
REGION1,DKBMCCPH1,DKPM25,2058,0.00017591911318375696
REGION1,DKBMCCPH1,DKPM25,2059,0.00017591914063143146
REGION1,DKBMCCPH1,DKPM25,2060,0.00017591910863240572
REGION1,DKBMSTPH3,DKPM25,2015,1.496843746305161
REGION1,DKBMSTPH3,DKPM25,2016,1.4968440955558824
REGION1,DKBMSTPH3,DKPM25,2017,1.49684411114945
REGION1,DKBMSTPH3,DKPM25,2018,1.496844594761075
REGION1,DKBMSTPH3,DKPM25,2019,1.4968437994966042
REGION1,DKBMSTPH3,DKPM25,2020,1.4968442347920419
REGION1,DKBMSTPH3,DKPM25,2021,1.4968437677997608
REGION1,DKBMSTPH3,DKPM25,2022,1.4968439987241602
REGION1,DKBMSTPH3,DKPM25,2023,1.0719461871040865
REGION1,DKBMSTPH3,DKPM25,2024,1.0719461187425183
REGION1,DKBMSTPH3,DKPM25,2025,1.0719460638147738
REGION1,DKBMSTPH3,DKPM25,2026,1.3164144270122904
REGION1,DKBMSTPH3,DKPM25,2027,2.328815367187233
REGION1,DKBMSTPH3,DKPM25,2028,2.6276292410721207
REGION1,DKBMSTPH3,DKPM25,2029,2.749774775367185
REGION1,DKBMSTPH3,DKPM25,2030,3.122585192347741
REGION1,DKBMSTPH3,DKPM25,2031,3.1225847076890805
REGION1,DKBMSTPH3,DKPM25,2032,3.376128385480352
REGION1,DKBMSTPH3,DKPM25,2033,3.5086515214573892
REGION1,DKBMSTPH3,DKPM25,2034,3.6229646342163884
REGION1,DKBMSTPH3,DKPM25,2035,3.7073865143492
REGION1,DKBMSTPH3,DKPM25,2036,3.7833398023681473
REGION1,DKBMSTPH3,DKPM25,2037,3.7833407359521316
REGION1,DKBMSTPH3,DKPM25,2038,3.873172424928475
REGION1,DKBMSTPH3,DKPM25,2039,3.8731727407973358
REGION1,DKBMSTPH3,DKPM25,2040,3.873172717860175
REGION1,DKBMSTPH3,DKPM25,2041,3.9085156076074754
REGION1,DKBMSTPH3,DKPM25,2042,4.076735795763152
REGION1,DKBMSTPH3,DKPM25,2043,4.025561110748798
REGION1,DKBMSTPH3,DKPM25,2044,4.096437209961397
REGION1,DKBMSTPH3,DKPM25,2045,4.384165609803272
REGION1,DKBMSTPH3,DKPM25,2046,4.434862428828123
REGION1,DKBMSTPH3,DKPM25,2047,4.485560803962685
REGION1,DKBMSTPH3,DKPM25,2048,4.536263074632191
REGION1,DKBMSTPH3,DKPM25,2049,4.586961283842494
