REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBM00X00,2015,74.85031417177478
REGION1,DKBM00X00,2016,74.85033163620707
REGION1,DKBM00X00,2017,74.8503324159701
REGION1,DKBM00X00,2018,74.85035659917705
REGION1,DKBM00X00,2019,74.85031683163577
REGION1,DKBM00X00,2020,74.850338598771
REGION1,DKBM00X00,2021,74.85031524662149
REGION1,DKBM00X00,2022,74.85032679409524
REGION1,DKBM00X00,2023,53.60312930326356
REGION1,DKBM00X00,2024,53.603125884813984
REGION1,DKBM00X00,2025,53.60312313812853
REGION1,DKBM00X00,2026,65.82786859707313
REGION1,DKBM00X00,2027,116.45341226316914
REGION1,DKBM00X00,2028,131.39572831611616
REGION1,DKBM00X00,2029,137.50366819910846
REGION1,DKBM00X00,2030,156.1462131583843
REGION1,DKBM00X00,2031,156.14618892281996
REGION1,DKBM00X00,2032,168.82474938431707
REGION1,DKBM00X00,2033,175.45162569481732
REGION1,DKBM00X00,2034,181.16790197621634
REGION1,DKBM00X00,2035,185.38945433698268
REGION1,DKBM00X00,2036,189.1875311132866
REGION1,DKBM00X00,2037,189.18757779755458
REGION1,DKBM00X00,2038,193.67964997212735
REGION1,DKBM00X00,2039,193.6796657672852
REGION1,DKBM00X00,2040,193.67966462030267
REGION1,DKBM00X00,2041,195.44700099582877
REGION1,DKBM00X00,2042,203.8589237262861
REGION1,DKBM00X00,2043,201.29991163138905
REGION1,DKBM00X00,2044,204.8441014016494
REGION1,DKBM00X00,2045,219.2320835657648
REGION1,DKBM00X00,2046,221.7671997666954
REGION1,DKBM00X00,2047,224.30239378156003
REGION1,DKBM00X00,2048,226.83778259432205
REGION1,DKBM00X00,2049,229.37296831207289
REGION1,DKBM00X00,2050,231.90808395206105
REGION1,DKBM00X00,2051,234.22793338298015
REGION1,DKBM00X00,2052,236.56962693510349
REGION1,DKBM00X00,2053,236.56966830808372
REGION1,DKBM00X00,2054,236.5696521941997
REGION1,DKBM00X00,2055,236.569688317699
REGION1,DKBM00X00,2056,224.34493578480496
REGION1,DKBM00X00,2057,177.95263905109272
REGION1,DKBM00X00,2058,163.00691259743417
REGION1,DKBM00X00,2059,156.89557327322072
REGION1,DKBM00X00,2060,129.92787963142246
REGION1,DKBMCCPH1,2057,0.007356937313344716
REGION1,DKBMCCPH1,2058,0.007356937313344716
REGION1,DKBMCCPH1,2059,0.007356938461206462
REGION1,DKBMCCPH1,2060,0.007356937123007206
REGION1,DKCO00I00,2015,204.58200703098407
REGION1,DKCO00I00,2016,269.17693569522805
REGION1,DKCO00I00,2017,309.5632618175984
REGION1,DKCO00I00,2018,56.250669991085914
REGION1,DKCO00I00,2019,63.999222609524345
REGION1,DKCO00I00,2020,56.31287093060445
REGION1,DKCO00I00,2021,162.5731450496767
REGION1,DKCO00I00,2022,441.0514216870279
REGION1,DKCO00I00,2023,93.01244638246898
REGION1,DKCOCHPH3,2015,0.13630749510986745
REGION1,DKCOCHPH3,2016,0.1820699036143638
REGION1,DKCOCHPH3,2017,0.20807989263418494
REGION1,DKCOCHPH3,2018,0.01865328520569134
REGION1,DKCOCHPH3,2019,0.02347192087432334
REGION1,DKCOCHPH3,2020,0.01811788459451223
REGION1,DKCOCHPH3,2021,0.10843474354555604
REGION1,DKCOCHPH3,2022,0.29729188775141047
REGION1,DKCOCHPH3,2023,0.061354797271728344
REGION1,DKHGSLPN2,2015,0.3141213374496151
REGION1,DKHGSLPN2,2016,0.3058549777359988
REGION1,DKHGSLPN2,2017,0.30585497773599857
REGION1,DKHGSLPN2,2018,0.30585497773599857
REGION1,DKHGSLPN2,2019,0.30585497773599857
REGION1,DKHGSLPN2,2020,0.3058549777359985
REGION1,DKHGSLPN2,2021,0.30585497773599857
REGION1,DKHGSLPN2,2022,0.30585497773599857
REGION1,DKHGSLPN2,2023,0.30585497773599857
REGION1,DKHGSLPN2,2024,0.30585497773599857
REGION1,DKHGSLPN2,2025,0.3058549777359985
REGION1,DKHGSLPN2,2026,0.30585497773599857
REGION1,DKHGSLPN2,2027,0.30585497773599857
REGION1,DKHGSLPN2,2028,0.30585497773599857
REGION1,DKHGSLPN2,2029,0.30585497773599857
REGION1,DKHGSLPN2,2030,0.30585497773599857
REGION1,DKHGSLPN2,2031,0.30585497773599857
REGION1,DKHGSLPN2,2032,0.3028615898395259
REGION1,DKHGSLPN2,2033,0.27243783767967983
REGION1,DKHGSLPN2,2034,0.24327200054875175
REGION1,DKHGSLPN2,2035,0.21374122054172945
REGION1,DKHGSLPN2,2036,0.18421018266903605
REGION1,DKHGSLPN2,2037,0.15467914461415436
REGION1,DKHGSLPN2,2038,0.125148106559144
REGION1,DKHGSLPN2,2039,0.10143013710815768
REGION1,DKHGSLPN2,2040,0.06027707843161024
REGION1,DKHGSLPN2,2041,0.036550888034924706
REGION1,DKHGSLPN2,2042,0.007035956180950823
REGION1,DKNG00I00,2040,25.298258741657445
REGION1,DKNG00I00,2041,74.8518367370813
REGION1,DKNG00I00,2042,124.19787102835974
REGION1,DKNG00I00,2043,173.62234177276082
REGION1,DKNG00I00,2044,223.03945378774299
REGION1,DKNG00I00,2045,272.45743714658266
REGION1,DKNG00I00,2046,331.1690081453886
REGION1,DKNG00I00,2047,299.8994380990884
REGION1,DKNG00I00,2048,358.75632914475324
REGION1,DKNG00I00,2049,417.6123322075655
REGION1,DKNG00I00,2050,566.0162160887745
REGION1,DKNG00I00,2051,535.7931932791068
REGION1,DKNG00I00,2052,597.2344395835445
REGION1,DKNG00I00,2053,650.7011269211314
REGION1,DKNG00I00,2054,706.4313538677197
REGION1,DKNG00I00,2055,761.1050990556673
REGION1,DKNG00I00,2056,814.7849628493265
REGION1,DKNG00I00,2057,867.530795122593
REGION1,DKNG00I00,2058,919.3983826444007
REGION1,DKNG00I00,2059,970.441104391385
REGION1,DKNG00I00,2060,1020.7067407604393
REGION1,DKNG00X00,2015,60.761582128102944
REGION1,DKNG00X00,2016,62.05439437537933
REGION1,DKNG00X00,2017,57.588341865798434
REGION1,DKNG00X00,2018,52.8872718873963
REGION1,DKNG00X00,2019,47.95110765060171
REGION1,DKNG00X00,2020,42.77992461829469
REGION1,DKNG00X00,2021,36.51747861417796
REGION1,DKNG00X00,2022,70.54668661181927
REGION1,DKNG00X00,2023,118.31705101641745
REGION1,DKNG00X00,2024,122.86031786464811
REGION1,DKNG00X00,2025,127.46986541314023
REGION1,DKNG00X00,2026,124.88281832307987
REGION1,DKNG00X00,2027,129.46092284073882
REGION1,DKNG00X00,2028,134.10702836298185
REGION1,DKNG00X00,2029,58.58749762332662
REGION1,DKNG00X00,2030,143.60108596972287
REGION1,DKNG00X00,2031,138.01352964407778
REGION1,DKNG00X00,2032,212.18757233122238
REGION1,DKNG00X00,2033,246.3931905761127
REGION1,DKNG00X00,2034,280.6396095878638
REGION1,DKNG00X00,2035,314.8741612941666
REGION1,DKNG00X00,2036,349.1087329623443
REGION1,DKNG00X00,2037,383.3432965014784
REGION1,DKNG00X00,2038,417.5778626956697
REGION1,DKNG00X00,2039,452.00084151746614
REGION1,DKNG00X00,2040,463.0902878652271
REGION1,DKNG00X00,2041,452.78479416746666
REGION1,DKNG00X00,2042,442.4784704295955
REGION1,DKNG00X00,2043,432.1729712974952
REGION1,DKNG00X00,2044,421.8674557088283
REGION1,DKNG00X00,2045,411.5611603982855
REGION1,DKNG00X00,2046,392.89062682581664
REGION1,DKNG00X00,2047,374.2200528976931
REGION1,DKNG00X00,2048,355.5487188322632
REGION1,DKNG00X00,2049,336.87818395140016
REGION1,DKNG00X00,2050,318.20768768155835
REGION1,DKNG00X00,2051,299.115144738391
REGION1,DKNG00X00,2052,281.1677237243223
REGION1,DKNG00X00,2053,264.29774021165264
REGION1,DKNG00X00,2054,248.44040383510958
REGION1,DKNG00X00,2055,233.53390104124804
REGION1,DKNG00X00,2056,219.5218915021562
REGION1,DKNG00X00,2057,206.35051033133453
REGION1,DKNG00X00,2058,193.96954943674524
REGION1,DKNG00X00,2059,182.33096773942398
REGION1,DKNG00X00,2060,171.39176288216862
REGION1,DKNGCCPH2,2015,0.001582538302085021
REGION1,DKNGCCPH2,2016,0.001582538344360057
REGION1,DKNGCCPH2,2017,0.0015825382301461902
REGION1,DKNGCCPH2,2018,0.0015825382511940873
REGION1,DKNGCCPH2,2019,0.0015825383551160074
REGION1,DKNGCCPH2,2020,0.001582538283869901
REGION1,DKNGCCPH2,2022,0.005991585928154728
REGION1,DKNGCCPH2,2023,0.014212743712792903
REGION1,DKNGCCPH2,2024,0.014212746959009974
REGION1,DKNGCCPH2,2025,0.014212745560408604
REGION1,DKNGCCPH2,2026,0.01296049409891286
REGION1,DKNGCCPH2,2027,0.012960494035274554
REGION1,DKNGCCPH2,2028,0.012960493037370603
REGION1,DKNGCCPH2,2030,0.01296049500338916
REGION1,DKNGCCPH2,2031,0.006647857677387391
REGION1,DKNGCCPH2,2032,0.012960495656131074
REGION1,DKNGCCPH2,2033,0.012960493640414359
REGION1,DKNGCCPH2,2034,0.012960496300405557
REGION1,DKNGCCPH2,2035,0.01296049279978119
REGION1,DKNGCCPH2,2036,0.012960493781010647
REGION1,DKNGCCPH2,2037,0.012960493476660544
REGION1,DKNGCCPH2,2038,0.012960493592504256
REGION1,DKNGCCPH2,2039,0.012960494048530596
REGION1,DKNGCCPH2,2040,0.012960494299235507
REGION1,DKNGCCPH2,2041,0.01296049389418031
REGION1,DKNGCCPH2,2042,0.012960493951304147
REGION1,DKNGCCPH2,2043,0.012960494625672458
REGION1,DKNGCCPH2,2044,0.012960494321930681
REGION1,DKNGCCPH2,2045,0.012960494733111547
REGION1,DKNGCCPH2,2046,0.012960493645759512
REGION1,DKNGCCPH2,2050,0.012960493554841248
REGION1,DKNGCCPH2,2052,0.0004904554207500983
REGION1,DKNGCHPH3,2015,0.0018985407609178032
REGION1,DKNGCHPH3,2016,0.0019413084526151542
REGION1,DKNGCHPH3,2017,0.0009223118737502995
REGION1,DKNGCHPH3,2020,0.00012747501812715767
REGION1,DKWSCHPH2,2015,0.04145322144521046
REGION1,DKWSCHPH2,2016,0.04145322827586448
REGION1,DKWSCHPH2,2017,0.04145322501498935
REGION1,DKWSCHPH2,2018,0.04145322543185184
REGION1,DKWSCHPH2,2019,0.04145322428677774
REGION1,DKWSCHPH2,2020,0.04145322366674886
REGION1,DKWSCHPH2,2021,0.04145323054715298
REGION1,DKWSCHPH2,2022,0.0414532210505707
REGION1,DKWSCHPH2,2023,0.03339198643115845
REGION1,DKWSCHPH2,2024,0.020211686777936656
REGION1,DKWSCHPH2,2025,0.01717540653321541
