REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,96.6028309480093
REGION1,DKBMSTPH3,2026,165.50808917794512
REGION1,DKBMSTPH3,2027,682.9634577393268
REGION1,DKBMSTPH3,2028,200.85783788842875
REGION1,DKBMSTPH3,2029,81.80925910713887
REGION1,DKBMSTPH3,2030,359.8535264206757
REGION1,DKBMSTPH3,2032,167.97776436612472
REGION1,DKBMSTPH3,2033,87.47914169039953
REGION1,DKBMSTPH3,2034,75.18223741479801
REGION1,DKBMSTPH3,2035,55.31931763615167
REGION1,DKBMSTPH3,2036,49.72046706978738
REGION1,DKBMSTPH3,2038,58.6880221962155
REGION1,DKBMSTPH3,2041,23.02096491122828
REGION1,DKBMSTPH3,2042,125.58855453028562
REGION1,DKBMSTPH3,2043,427.07426020595113
REGION1,DKBMSTPH3,2044,344.9499023840105
REGION1,DKBMSTPH3,2046,32.8570923094548
REGION1,DKBMSTPH3,2047,32.824283911714815
REGION1,DKBMSTPH3,2048,32.794486392270535
REGION1,DKBMSTPH3,2049,32.75866711623491
REGION1,DKBMSTPH3,2050,32.72585871849413
REGION1,DKBMSTPH3,2051,29.916505406613982
REGION1,DKBMSTPH3,2052,30.168534384553087
REGION1,DKGOCVPH2,2022,107.01992463046398
REGION1,DKGOCVPH2,2023,7.35026831501592
REGION1,DKGOCVPH2,2024,7.3398062464021265
REGION1,DKGOCVPH2,2025,7.329204240353614
REGION1,DKGOCVPH2,2026,73.4138810879569
REGION1,DKGOCVPH2,2027,73.3083840153135
REGION1,DKGOCVPH2,2028,73.20077583569491
REGION1,DKGOCVPH2,2029,73.09183142553411
REGION1,DKGOCVPH2,2030,72.98237162843334
REGION1,DKGOCVPH2,2031,56.42633558985289
REGION1,DKGOCVPH2,2032,56.48303315420991
REGION1,DKGOCVPH2,2033,56.5395354078486
REGION1,DKGOCVPH2,2034,29.383525173449225
REGION1,DKHFCHPH3,2022,248.00599883812967
REGION1,DKHFCHPH3,2023,1597.0298705970372
REGION1,DKHFCHPH3,2024,1153.9971468866895
REGION1,DKHFCHPH3,2025,62.7584100771965
REGION1,DKHFCHPH3,2036,6.281873284378695
REGION1,DKHFCHPH3,2038,10.06947542666555
REGION1,DKHFCHPH3,2044,34.345330823725064
REGION1,DKHFCHPH3,2045,0.8991754571088925
REGION1,DKHFCHPH3,2046,45.548277219456345
REGION1,DKHFCHPH3,2047,293.56085582858606
REGION1,DKHFCHPH3,2048,1642.583820442724
REGION1,DKHFCHPH3,2049,1199.552003877145
REGION1,DKHFCHPH3,2050,108.31326706765375
REGION1,DKHFCHPH3,2051,44.788501778236125
REGION1,DKHFCHPH3,2052,118.39052222865044
REGION1,DKHFCHPH3,2053,148.31259583805306
REGION1,DKHFCHPH3,2054,59.33449617536745
REGION1,DKHFCHPH3,2055,64.99265298994044
REGION1,DKHFCHPH3,2056,106.3330081607008
REGION1,DKHFCHPH3,2057,231.632910288632
REGION1,DKHFCHPH3,2058,105.62895444035291
REGION1,DKHFCHPH3,2059,101.04209673778632
REGION1,DKHFCHPH3,2060,138.77532560536363
REGION1,DKHYDMPH3,2018,4.1257111644322135
REGION1,DKHYDMPH3,2059,0.07018802999999758
REGION1,DKNGCCPH2,2022,66.63390066090396
REGION1,DKNGCCPH2,2023,129.23791538090083
REGION1,DKSOUTPH2,2024,76.83722779581318
REGION1,DKSOUTPH2,2025,369.2764620617205
REGION1,DKSOUTPH2,2026,229.62658669394784
REGION1,DKSOUTPH2,2027,67.16321129764535
REGION1,DKSOUTPH2,2028,64.66857773516155
REGION1,DKSOUTPH2,2029,62.365839062099255
REGION1,DKSOUTPH2,2030,60.25499527845897
REGION1,DKSOUTPH2,2031,37.62268626135309
REGION1,DKSOUTPH2,2032,35.93624423273303
REGION1,DKSOUTPH2,2033,34.46206455322877
REGION1,DKSOUTPH2,2034,34.04330217144814
REGION1,DKSOUTPH2,2035,33.81283141268171
REGION1,DKSOUTPH2,2036,29.013767132183634
REGION1,DKSOUTPH2,2037,121.86503583580756
REGION1,DKSOUTPH2,2038,67.7212819501328
REGION1,DKSOUTPH2,2039,32.746756067152454
REGION1,DKSOUTPH2,2040,64.44579900691791
REGION1,DKSOUTPH2,2041,18.577118486235328
REGION1,DKSOUTPH2,2042,18.086093328008847
REGION1,DKSOUTPH2,2043,17.595068169782255
REGION1,DKSOUTPH2,2044,17.267718064297725
REGION1,DKSOUTPH2,2045,16.858530432442947
REGION1,DKSOUTPH2,2046,6.270447710225516
REGION1,DKSOUTPH2,2047,5.587527662577736
REGION1,DKSOUTPH2,2048,6.022113147444821
REGION1,DKSOUTPH2,2049,42.671430201580456
REGION1,DKSOUTPH2,2050,187.0
REGION1,DKSOUTPH2,2051,127.31058408489308
REGION1,DKSOUTPH2,2052,41.2856210623761
REGION1,DKSOUTPH2,2053,40.6337428350755
REGION1,DKSOUTPH2,2054,40.6337428350756
REGION1,DKSOUTPH2,2055,40.63374283507543
REGION1,DKSOUTPH2,2056,27.968680133233622
REGION1,DKSOUTPH2,2057,28.212528133234056
REGION1,DKSOUTPH2,2058,27.440969187323752
REGION1,DKSOUTPH2,2059,27.814969187323875
REGION1,DKSOUTPH2,2060,28.342680133233493
REGION1,DKWIONPH3,2030,126.40112266257982
REGION1,DKWIONPH3,2033,3216.981910648941
REGION1,DKWIONPH3,2034,1306.951617222507
REGION1,DKWIONPH3,2035,1757.4185267323303
REGION1,DKWIONPH3,2036,1297.8894302735598
REGION1,DKWIONPH3,2037,2410.6109069326667
REGION1,DKWIONPH3,2038,1991.3289341626328
REGION1,DKWIONPH3,2039,2170.8669459439943
REGION1,DKWIONPH3,2040,2296.14981200191
REGION1,DKWIONPH3,2041,2115.3483337417247
REGION1,DKWIONPH3,2042,1098.8127273658204
REGION1,DKWIONPH3,2043,2877.2277272557085
REGION1,DKWIONPH3,2044,454.44371165258127
REGION1,DKWIONPH3,2045,87.99008465858522
REGION1,DKWIONPH3,2058,3439.587887342986
REGION1,DKWIONPH3,2059,730.6880680743966
REGION1,DKWIONPH3,2060,2638.600954503474
REGION1,DKWSSTPH1,2022,882.473732892015
REGION1,DKWSSTPH1,2023,159.41220233557402
REGION1,DKWSSTPH1,2024,223.39846634601716
REGION1,DKWSSTPH1,2025,44.93744234906366
REGION1,DKWSSTPH1,2026,8.867862263346815
REGION1,DKWSSTPH1,2028,20.27443194224791
REGION1,DKWSSTPH1,2029,40.07222737522192
REGION1,DKWSSTPH1,2030,36.25190994272616
REGION1,DKWSSTPH1,2038,4.807366835474354
REGION1,DKWSSTPH1,2052,567.2095768999602
REGION1,DKWSSTPH1,2053,105.51408260992577
REGION1,DKWSSTPH1,2054,152.94204908360916
REGION1,DKWSSTPH1,2055,14.198534271080984
REGION1,DKWSSTPH1,2059,6.272569576732787
REGION1,DKWSSTPH1,2060,14.44796697587376
REGION1,FIBMSTPH3,2034,334.61752019689067
REGION1,FIBMSTPH3,2035,568.0300776512294
REGION1,FIBMSTPH3,2036,189.2845368347201
REGION1,FIBMSTPH3,2037,285.72775553523843
REGION1,FIBMSTPH3,2038,845.2751936117702
REGION1,FIBMSTPH3,2039,353.7179410712524
REGION1,FIBMSTPH3,2040,190.34095113613728
REGION1,FIBMSTPH3,2041,281.44499173549553
REGION1,FIBMSTPH3,2042,281.161312822342
REGION1,FIBMSTPH3,2043,280.65960337341767
REGION1,FIBMSTPH3,2044,280.59835651976755
REGION1,FIBMSTPH3,2045,2740.8297250225355
REGION1,FIBMSTPH3,2046,476.44834460037566
REGION1,FIBMSTPH3,2047,1118.5436146128263
REGION1,FIBMSTPH3,2048,1095.128257139592
REGION1,FIBMSTPH3,2049,672.9533712287126
REGION1,FIGOCVPH2,2022,0.4359261187737888
REGION1,FIGOCVPH2,2023,0.21802960725510256
REGION1,FIGOCVPH2,2024,0.21772569078238163
REGION1,FIGOCVPH2,2025,0.21741884679578152
REGION1,FIGOCVPH2,2026,0.6476933891080574
REGION1,FIGOCVPH2,2027,0.6467581195332761
REGION1,FIGOCVPH2,2028,0.6458097004540766
REGION1,FIGOCVPH2,2029,0.6448639295343637
REGION1,FIGOCVPH2,2030,0.6438982036316481
REGION1,FIGOCVPH2,2031,1.0705376036397225
REGION1,FIGOCVPH2,2032,1.0716494662799672
REGION1,FIGOCVPH2,2033,1.072733357265322
REGION1,FIGOCVPH2,2034,1.073846851228099
REGION1,FIGOCVPH2,2035,1.0749254787572298
REGION1,FIGOCVPH2,2036,0.44220828030010634
REGION1,FIGOCVPH2,2037,0.44268383036623327
REGION1,FIGOCVPH2,2038,0.4431354607558961
REGION1,FIGOCVPH2,2039,0.44358639829093327
REGION1,FIGOCVPH2,2040,0.44401057200662297
REGION1,FIGOCVPH2,2041,0.4434649438145993
REGION1,FIGOCVPH2,2042,0.44383996138547566
REGION1,FIGOCVPH2,2043,0.4442394326622205
REGION1,FIGOCVPH2,2044,0.4445868244743276
REGION1,FIGOCVPH2,2045,0.44496004052370985
REGION1,FIGOCVPH2,2046,0.23645050324717456
REGION1,FIGOCVPH2,2047,0.23662306608084704
REGION1,FIGOCVPH2,2048,0.2368450592050753
REGION1,FIGOCVPH2,2049,0.2370161746113248
REGION1,FIGOCVPH2,2050,0.2372373690890139
REGION1,FIGOCVPH2,2051,0.16022657554202638
REGION1,FIGOCVPH2,2052,0.16199003526219205
REGION1,FIGOCVPH2,2053,0.16378369488504335
REGION1,FIGOCVPH2,2054,0.16560767551155847
REGION1,FIGOCVPH2,2055,0.16742363184769413
REGION1,FIGOCVPH2,2056,0.16921881225556895
REGION1,FIGOCVPH2,2057,0.1711075078720446
REGION1,FIGOCVPH2,2058,0.17302690455460198
REGION1,FIGOCVPH2,2059,0.1749270222017845
REGION1,FIGOCVPH2,2060,0.1768171012437994
REGION1,FIHFCHPH3,2022,1520.4916125153811
REGION1,FIHFCHPH3,2023,724.2757484145175
REGION1,FIHFCHPH3,2024,136.22356748067062
REGION1,FIHFCHPH3,2025,107.14306219912072
REGION1,FIHFCHPH3,2026,8.951574782664826
REGION1,FIHFCHPH3,2027,464.4801774857946
REGION1,FIHFCHPH3,2028,67.81958197233939
REGION1,FIHFCHPH3,2029,523.8251067569133
REGION1,FIHFCHPH3,2031,149.548026543812
REGION1,FIHFCHPH3,2032,534.239474017102
REGION1,FIHFCHPH3,2047,566.4821050934562
REGION1,FIHFCHPH3,2048,460.8356986860909
