REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,S01B1,DKE2,2015,4.228006098580001
REGION1,S01B2,DKE2,2015,15.38486484361
REGION1,S01B3,DKE2,2015,2.50592591372
REGION1,S02B1,DKE2,2015,2.25738532688
REGION1,S02B2,DKE2,2015,8.420912739970001
REGION1,S02B3,DKE2,2015,0.86565539762
REGION1,S03B1,DKE2,2015,8.643012215570002
REGION1,S03B2,DKE2,2015,39.111402055220005
REGION1,S03B3,DKE2,2015,6.304875583
REGION1,S04B1,DKE2,2015,2.4661773944900003
REGION1,S04B2,DKE2,2015,9.25503409034
REGION1,S04B3,DKE2,2015,1.45586336706
REGION1,S05B1,DKE2,2015,2.5586391230900003
REGION1,S05B2,DKE2,2015,9.42582475596
REGION1,S05B3,DKE2,2015,1.54642098046
REGION1,S01B1,DKE2,2016,4.208423443400001
REGION1,S01B2,DKE2,2016,15.3136074953
REGION1,S01B3,DKE2,2016,2.4943193355999997
REGION1,S02B1,DKE2,2016,2.2469299024
REGION1,S02B2,DKE2,2016,8.381909998100001
REGION1,S02B3,DKE2,2016,0.8616459826
REGION1,S03B1,DKE2,2016,8.6029807861
REGION1,S03B2,DKE2,2016,38.930251630600004
REGION1,S03B3,DKE2,2016,6.27567359
REGION1,S04B1,DKE2,2016,2.4547549177000003
REGION1,S04B2,DKE2,2016,9.212167988200001
REGION1,S04B3,DKE2,2016,1.4491203138000002
REGION1,S05B1,DKE2,2016,2.5467883957
REGION1,S05B2,DKE2,2016,9.3821676108
REGION1,S05B3,DKE2,2016,1.5392584958
REGION1,S01B1,DKE2,2017,4.18921027228
REGION1,S01B2,DKE2,2017,15.243694625259998
REGION1,S01B3,DKE2,2017,2.4829317495199996
REGION1,S02B1,DKE2,2017,2.2366717500799997
REGION1,S02B2,DKE2,2017,8.34364315702
REGION1,S02B3,DKE2,2017,0.8577122169199999
REGION1,S03B1,DKE2,2017,8.56370466662
REGION1,S03B2,DKE2,2017,38.75251913852
REGION1,S03B3,DKE2,2017,6.247022577999999
REGION1,S04B1,DKE2,2017,2.44354795934
REGION1,S04B2,DKE2,2017,9.170110680439999
REGION1,S04B3,DKE2,2017,1.44250448796
REGION1,S05B1,DKE2,2017,2.53516126694
REGION1,S05B2,DKE2,2017,9.33933418536
REGION1,S05B3,DKE2,2017,1.5322311523599998
REGION1,S01B1,DKE2,2018,4.16999710116
REGION1,S01B2,DKE2,2018,15.173781755219999
REGION1,S01B3,DKE2,2018,2.47154416344
REGION1,S02B1,DKE2,2018,2.2264135977599997
REGION1,S02B2,DKE2,2018,8.30537631594
REGION1,S02B3,DKE2,2018,0.85377845124
REGION1,S03B1,DKE2,2018,8.52442854714
REGION1,S03B2,DKE2,2018,38.574786646439996
REGION1,S03B3,DKE2,2018,6.218371566
