REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,9.575300887936276
REGION1,DKBMSTPH3,2032,1.1030917142548782
REGION1,DKBMSTPH3,2033,1.1215764992555404
REGION1,DKBMSTPH3,2034,1.4117297561719158
REGION1,DKBMSTPH3,2035,1.3525664426502575
REGION1,DKBMSTPH3,2036,1.4842933036000778
REGION1,DKBMSTPH3,2038,2.34155872422926
REGION1,DKBMSTPH3,2041,1.2257094562367246
REGION1,DKBMSTPH3,2042,7.193044895271138
REGION1,DKBMSTPH3,2043,26.10030614279976
REGION1,DKBMSTPH3,2044,22.3427159974359
REGION1,DKBMSTPH3,2046,2.3515883406466083
REGION1,DKBMSTPH3,2047,2.4529251580942417
REGION1,DKBMSTPH3,2048,2.5493563215600776
REGION1,DKBMSTPH3,2049,2.6404291061473457
REGION1,DKBMSTPH3,2050,2.7270830307855807
REGION1,DKBMSTPH3,2051,2.57072169895313
REGION1,DKBMSTPH3,2052,2.667045407543592
REGION1,DKGOCVPH2,2022,0.629612620253135
REGION1,DKGOCVPH2,2023,0.08442606324355474
REGION1,DKGOCVPH2,2024,0.12347239625729844
REGION1,DKGOCVPH2,2025,0.16054159608603177
REGION1,DKGOCVPH2,2026,1.9634130387189896
REGION1,DKGOCVPH2,2027,2.2985131646111268
REGION1,DKGOCVPH2,2028,2.6164968873449355
REGION1,DKGOCVPH2,2029,2.918202191989573
REGION1,DKGOCVPH2,2030,3.2044432038150363
REGION1,DKGOCVPH2,2031,2.691502698148251
REGION1,DKGOCVPH2,2032,2.8982088462968005
REGION1,DKGOCVPH2,2033,3.0955897357743267
REGION1,DKGOCVPH2,2034,1.7050330215398164
REGION1,DKHFCHPH3,2038,0.14081268935900076
REGION1,DKHFCHPH3,2044,1.6694593171230134
REGION1,DKHFCHPH3,2045,0.0480662954517256
REGION1,DKHFCHPH3,2046,2.6451269973042097
REGION1,DKHFCHPH3,2047,18.338821076455808
REGION1,DKHFCHPH3,2048,109.49147440424376
REGION1,DKHFCHPH3,2049,84.7441208277203
REGION1,DKHFCHPH3,2050,8.06337597953209
REGION1,DKHFCHPH3,2051,3.4963046243490727
REGION1,DKHFCHPH3,2052,9.649760454534356
REGION1,DKHFCHPH3,2053,12.575298492130027
REGION1,DKHFCHPH3,2054,5.216342592540945
REGION1,DKHFCHPH3,2055,5.907206245154782
REGION1,DKHFCHPH3,2056,9.966045398880867
REGION1,DKHFCHPH3,2057,22.335054702221807
REGION1,DKHFCHPH3,2058,10.456771816456197
REGION1,DKHFCHPH3,2059,10.250099203857816
REGION1,DKHFCHPH3,2060,14.401518262860844
REGION1,DKHYDMPH3,2018,0.37292657599399776
REGION1,DKHYDMPH3,2059,0.007423994636399536
REGION1,DKSOUTPH2,2037,0.8728698752318954
REGION1,DKSOUTPH2,2038,0.9470221073269106
REGION1,DKSOUTPH2,2039,0.67067970793285
REGION1,DKSOUTPH2,2040,1.71864811282148
REGION1,DKSOUTPH2,2041,0.6048858686519402
REGION1,DKSOUTPH2,2042,0.6903983069940701
REGION1,DKSOUTPH2,2043,0.7656972600150976
REGION1,DKSOUTPH2,2044,0.8393499819772186
REGION1,DKSOUTPH2,2045,0.9011890818874725
REGION1,DKSOUTPH2,2046,0.3641439706619013
REGION1,DKSOUTPH2,2047,0.3490542694275067
REGION1,DKSOUTPH2,2048,0.4014224658350755
REGION1,DKSOUTPH2,2049,3.014586133161691
REGION1,DKSOUTPH2,2050,13.921206044229862
REGION1,DKSOUTPH2,2051,9.938188735772505
REGION1,DKSOUTPH2,2052,3.365103438763245
REGION1,DKSOUTPH2,2053,3.4453003948597782
REGION1,DKSOUTPH2,2054,3.5722815075145826
REGION1,DKSOUTPH2,2055,3.6932159005191374
REGION1,DKSOUTPH2,2056,2.6213603919991484
REGION1,DKSOUTPH2,2057,2.720374917184991
REGION1,DKSOUTPH2,2058,2.7165274401753385
REGION1,DKSOUTPH2,2059,2.8216575341087275
REGION1,DKSOUTPH2,2060,2.941283861353872
REGION1,DKWIONPH3,2037,17.26622921115743
REGION1,DKWIONPH3,2038,27.846970247852127
REGION1,DKWIONPH3,2039,44.46108818476944
