REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,0.03984542036429414
REGION1,DKBMSTPH3,2026,0.08326571239161906
REGION1,DKBMSTPH3,2027,0.3448230643633443
REGION1,DKBMSTPH3,2028,0.10177592328894354
REGION1,DKBMSTPH3,2029,0.04160272324969939
REGION1,DKBMSTPH3,2030,0.1836605828598792
REGION1,DKBMSTPH3,2032,0.08635678523418366
REGION1,DKBMSTPH3,2033,0.04513724565696778
REGION1,DKBMSTPH3,2034,0.03893495881075212
REGION1,DKBMSTPH3,2035,0.02875403748474524
REGION1,DKBMSTPH3,2036,0.025869667979451907
REGION1,DKBMSTPH3,2038,0.030596796949192435
REGION1,DKBMSTPH3,2041,0.012037924100058188
REGION1,DKBMSTPH3,2042,0.06573768197560032
REGION1,DKBMSTPH3,2043,0.22377013853833355
REGION1,DKBMSTPH3,2044,0.1809203113246394
REGION1,DKBMSTPH3,2046,0.01726757775798804
REGION1,DKBMSTPH3,2047,0.01726757775798814
REGION1,DKBMSTPH3,2048,0.0172691632485548
REGION1,DKBMSTPH3,2049,0.01726757775798838
REGION1,DKBMSTPH3,2050,0.01726757775798806
REGION1,DKBMSTPH3,2051,0.015800998984125316
REGION1,DKBMSTPH3,2052,0.015950035097361318
REGION1,DKGOCVPH2,2022,0.03235840530895435
REGION1,DKGOCVPH2,2023,0.002232963509852302
REGION1,DKGOCVPH2,2024,0.0022404097086176026
REGION1,DKGOCVPH2,2025,0.0022478911817749576
REGION1,DKGOCVPH2,2026,0.022624668271653287
REGION1,DKGOCVPH2,2027,0.02270143563665553
REGION1,DKGOCVPH2,2028,0.02277829234187456
REGION1,DKGOCVPH2,2029,0.022855481996727368
REGION1,DKGOCVPH2,2030,0.022933267437714337
REGION1,DKGOCVPH2,2031,0.017785406254090592
REGION1,DKGOCVPH2,2032,0.017858214765816352
REGION1,DKGOCVPH2,2033,0.01793141207314979
REGION1,DKGOCVPH2,2034,0.0093478970306805
REGION1,DKHFCHPH3,2022,0.4334602202171613
REGION1,DKHFCHPH3,2023,2.79125877053562
REGION1,DKHFCHPH3,2024,2.0169345086929207
REGION1,DKHFCHPH3,2025,0.10968796875875464
REGION1,DKHFCHPH3,2036,0.01097933997556374
REGION1,DKHFCHPH3,2038,0.017599239761787122
REGION1,DKHFCHPH3,2044,0.06002812323906687
REGION1,DKHFCHPH3,2045,0.001571561952042444
REGION1,DKHFCHPH3,2046,0.07960842224201235
REGION1,DKHFCHPH3,2047,0.5130801424591738
