REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00X00,DKBM,2016,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2018,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2020,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2023,1.44205502809439
REGION1,S01B1,DKBM00X00,DKBM,2030,1.5106867734502902
REGION1,S01B1,DKBM00X00,DKBM,2031,1.8980537368017771
REGION1,S01B1,DKBM00X00,DKBM,2032,2.590191759894215
REGION1,S01B1,DKBM00X00,DKBM,2033,2.5264302329133583
REGION1,S01B1,DKBM00X00,DKBM,2034,2.2245566840703948
REGION1,S01B1,DKBM00X00,DKBM,2035,2.0642203687422764
REGION1,S01B1,DKBM00X00,DKBM,2036,1.835188430754324
REGION1,S01B1,DKBM00X00,DKBM,2037,2.4448766837747598
REGION1,S01B1,DKBM00X00,DKBM,2038,2.838203164040331
REGION1,S01B1,DKBM00X00,DKBM,2040,0.9674706245589223
REGION1,S01B1,DKBM00X00,DKBM,2048,0.3058994811287587
REGION1,S01B1,DKBM00X00,DKBM,2052,0.5573959293518962
REGION1,S01B1,DKBM00X00,DKBM,2055,0.9252017618145882
REGION1,S01B1,DKBM00X00,DKBM,2057,0.11388542706483448
REGION1,S01B1,DKBM00X00,DKBM,2058,0.11379454125570919
REGION1,S01B1,DKBM00X00,DKBM,2060,2.9180559835825304
REGION1,S01B1,DKBMCCPH1,DKE1,2057,0.055082308560777005
REGION1,S01B1,DKBMCCPH1,DKE1,2058,0.055082308560777005
REGION1,S01B1,DKBMSTPH3,DKE1,2016,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2018,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2020,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2023,0.5047197645528011
REGION1,S01B1,DKBMSTPH3,DKE1,2030,0.5287408994485012
REGION1,S01B1,DKBMSTPH3,DKE1,2031,0.6643194722000944
