REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DKBM00X00,DKBM,2015,32.155580009912235
REGION1,DKBM00X00,DKBM,2016,32.15558751260552
REGION1,DKBM00X00,DKBM,2017,32.15558784759052
REGION1,DKBM00X00,DKBM,2018,32.15559823665908
REGION1,DKBM00X00,DKBM,2019,32.15558115258442
REGION1,DKBM00X00,DKBM,2020,32.15559050371229
REGION1,DKBM00X00,DKBM,2021,32.15558047166473
REGION1,DKBM00X00,DKBM,2022,32.15558543244171
REGION1,DKBM00X00,DKBM,2023,23.027822022726088
REGION1,DKBM00X00,DKBM,2024,23.0278205541654
REGION1,DKBM00X00,DKBM,2025,23.02781937419355
REGION1,DKBM00X00,DKBM,2026,28.27955124807439
REGION1,DKBM00X00,DKBM,2027,50.02820705417541
REGION1,DKBM00X00,DKBM,2028,56.44740308147969
REGION1,DKBM00X00,DKBM,2029,59.07136467438045
REGION1,DKBM00X00,DKBM,2030,67.08017335687535
REGION1,DKBM00X00,DKBM,2031,67.08016294531413
REGION1,DKBM00X00,DKBM,2032,72.52685304730322
REGION1,DKBM00X00,DKBM,2033,75.37374893245686
REGION1,DKBM00X00,DKBM,2034,77.8294524436467
REGION1,DKBM00X00,DKBM,2035,79.64302485419303
REGION1,DKBM00X00,DKBM,2036,81.27467280404605
REGION1,DKBM00X00,DKBM,2037,81.27469285953586
REGION1,DKBM00X00,DKBM,2038,83.20448016661766
REGION1,DKBM00X00,DKBM,2039,83.20448695219321
REGION1,DKBM00X00,DKBM,2040,83.20448645945127
REGION1,DKBM00X00,DKBM,2041,83.96373145202725
REGION1,DKBM00X00,DKBM,2042,87.57748053764456
REGION1,DKBM00X00,DKBM,2043,86.47813287191593
REGION1,DKBM00X00,DKBM,2044,88.00071135390304
REGION1,DKBM00X00,DKBM,2045,94.18176639393472
REGION1,DKBM00X00,DKBM,2046,95.27084842031569
REGION1,DKBM00X00,DKBM,2047,96.35996387544321
REGION1,DKBM00X00,DKBM,2048,97.44916301544825
REGION1,DKBM00X00,DKBM,2049,98.53827490614843
REGION1,DKBM00X00,DKBM,2050,99.62735669154938
REGION1,DKBM00X00,DKBM,2051,100.62396044414926
REGION1,DKBM00X00,DKBM,2052,101.62994839766931
REGION1,DKBM00X00,DKBM,2053,101.62996617143808
REGION1,DKBM00X00,DKBM,2054,101.62995924893826
REGION1,DKBM00X00,DKBM,2055,101.62997476753806
REGION1,DKBM00X00,DKBM,2056,96.37823985469942
REGION1,DKBM00X00,DKBM,2057,76.44818042915055
REGION1,DKBM00X00,DKBM,2058,70.02751929893844
REGION1,DKBM00X00,DKBM,2059,67.40209731131007
REGION1,DKBM00X00,DKBM,2060,55.816817540919445
REGION1,DKBMCCPH1,DKE1,2057,0.8795955659187848
REGION1,DKBMCCPH1,DKE1,2058,0.8795955659187848
REGION1,DKBMCCPH1,DKE1,2059,0.8795957031571572
REGION1,DKBMCCPH1,DKE1,2060,0.8795955431620285
REGION1,DKBMSTPH3,DKE1,2015,11.25446425793354
REGION1,DKBMSTPH3,DKE1,2016,11.254466883878814
REGION1,DKBMSTPH3,DKE1,2017,11.254467001123682
REGION1,DKBMSTPH3,DKE1,2018,11.254470637301315
REGION1,DKBMSTPH3,DKE1,2019,11.254464657869205
REGION1,DKBMSTPH3,DKE1,2020,11.254467930767232
REGION1,DKBMSTPH3,DKE1,2021,11.254464419547073
REGION1,DKBMSTPH3,DKE1,2022,11.254466155820753
REGION1,DKBMSTPH3,DKE1,2023,8.0597457676999
REGION1,DKBMSTPH3,DKE1,2024,8.059745253703145
REGION1,DKBMSTPH3,DKE1,2025,8.059744840712584
REGION1,DKBMSTPH3,DKE1,2026,9.897852834678874
REGION1,DKBMSTPH3,DKE1,2027,17.509889978851376
REGION1,DKBMSTPH3,DKE1,2028,19.756610835128726
REGION1,DKBMSTPH3,DKE1,2029,20.67499831103147
REGION1,DKBMSTPH3,DKE1,2030,23.47808415299053
REGION1,DKBMSTPH3,DKE1,2031,23.47808050894045
REGION1,DKBMSTPH3,DKE1,2032,25.38442395098009
REGION1,DKBMSTPH3,DKE1,2033,26.380838507198412
REGION1,DKBMSTPH3,DKE1,2034,27.24033559561194
REGION1,DKBMSTPH3,DKE1,2035,27.875086574054134
REGION1,DKBMSTPH3,DKE1,2036,28.446163927580052
REGION1,DKBMSTPH3,DKE1,2037,28.446170947008508
REGION1,DKBMSTPH3,DKE1,2038,29.121597179913344
REGION1,DKBMSTPH3,DKE1,2039,29.121599554867185
REGION1,DKBMSTPH3,DKE1,2040,29.121599382407332
REGION1,DKBMSTPH3,DKE1,2041,29.387335395544927
REGION1,DKBMSTPH3,DKE1,2042,30.652148840324447
REGION1,DKBMSTPH3,DKE1,2043,30.26737677254735
REGION1,DKBMSTPH3,DKE1,2044,30.80027977414584
REGION1,DKBMSTPH3,DKE1,2045,32.96365120152836
REGION1,DKBMSTPH3,DKE1,2046,33.344830291940774
REGION1,DKBMSTPH3,DKE1,2047,33.7260210824262
REGION1,DKBMSTPH3,DKE1,2048,34.10724116264805
REGION1,DKBMSTPH3,DKE1,2049,34.48843070558266
REGION1,DKBMSTPH3,DKE1,2050,34.869609711652004
REGION1,DKBMSTPH3,DKE1,2051,35.2184213738736
REGION1,DKBMSTPH3,DKE1,2052,35.570517509701766
REGION1,DKBMSTPH3,DKE1,2053,35.57052373052706
REGION1,DKBMSTPH3,DKE1,2054,35.570521307649706
REGION1,DKBMSTPH3,DKE1,2055,35.57052673916506
REGION1,DKBMSTPH3,DKE1,2056,33.73241768156248
REGION1,DKBMSTPH3,DKE1,2057,26.120376536268846
REGION1,DKBMSTPH3,DKE1,2058,23.87365086040825
REGION1,DKBMSTPH3,DKE1,2059,22.955263192221924
REGION1,DKBMSTPH3,DKE1,2060,18.900919300261407
REGION1,DKCO00I00,DKCO,2015,78.24870716717393
REGION1,DKCO00I00,DKCO,2016,99.82205338825585
REGION1,DKCO00I00,DKCO,2017,111.40875940874224
REGION1,DKCO00I00,DKCO,2018,19.66336409505824
REGION1,DKCO00I00,DKCO,2019,21.748159473392544
REGION1,DKCO00I00,DKCO,2020,18.617055469911676
REGION1,DKCO00I00,DKCO,2021,52.4081766667246
REGION1,DKCO00I00,DKCO,2022,138.7253558720975
REGION1,DKCO00I00,DKCO,2023,28.561471947946433
REGION1,DKCOCHPH3,DKE1,2015,26.20290178967079
REGION1,DKCOCHPH3,DKE1,2016,34.999981471427105
REGION1,DKCOCHPH3,DKE1,2017,39.999979360666075
REGION1,DKCOCHPH3,DKE1,2018,3.585791081447778
REGION1,DKCOCHPH3,DKE1,2019,4.512095516017558
REGION1,DKCOCHPH3,DKE1,2020,3.482869010863558
REGION1,DKCOCHPH3,DKE1,2021,20.84481805950712
REGION1,DKCOCHPH3,DKE1,2022,57.14953628439264
REGION1,DKCOCHPH3,DKE1,2023,11.794463143354161
REGION1,DKCOSTPH1,DKE1,2015,4.31412452255336
REGION1,DKCOSTPH1,DKE1,2016,4.31412452255336
REGION1,DKCOSTPH1,DKE1,2017,4.314124625596142
REGION1,DKCOSTPH1,DKE1,2018,4.314124587543022
REGION1,DKCOSTPH1,DKE1,2019,4.314124623831041
REGION1,DKCOSTPH1,DKE1,2020,4.150137471211896
REGION1,DKCOSTPH1,DKE1,2021,0.693791957969559
REGION1,DKEL00TD0,DKE2,2015,114.42961498916907
REGION1,DKEL00TD0,DKE2,2016,113.89961529525895
REGION1,DKEL00TD0,DKE2,2017,113.37961559557353
REGION1,DKEL00TD0,DKE2,2018,112.85961589588811
REGION1,DKEL00TD0,DKE2,2019,112.3396161962027
REGION1,DKEL00TD0,DKE2,2020,111.82961649074201
REGION1,DKEL00TD0,DKE2,2021,114.44961497761852
REGION1,DKEL00TD0,DKE2,2022,117.08961345294448
REGION1,DKEL00TD0,DKE2,2023,119.7396296405116
REGION1,DKEL00TD0,DKE2,2024,122.39984072048452
REGION1,DKEL00TD0,DKE2,2025,125.07992776279166
REGION1,DKEL00TD0,DKE2,2026,127.28992648645468
REGION1,DKEL00TD0,DKE2,2027,129.49992521011768
REGION1,DKEL00TD0,DKE2,2028,131.7099239337807
REGION1,DKEL00TD0,DKE2,2029,133.92992265166845
REGION1,DKEL00TD0,DKE2,2030,136.14992136955618
REGION1,DKEL00TD0,DKE2,2031,141.60991821625302
REGION1,DKEL00TD0,DKE2,2032,147.09991504562404
REGION1,DKEL00TD0,DKE2,2033,152.6299118518939
REGION1,DKEL00TD0,DKE2,2034,158.18990864083796
REGION1,DKEL00TD0,DKE2,2035,163.7899054066809
REGION1,DKEL00TD0,DKE2,2036,169.1799022938047
REGION1,DKEL00TD0,DKE2,2037,174.58989916937796
REGION1,DKEL00TD0,DKE2,2038,180.01989603340067
REGION1,DKEL00TD0,DKE2,2039,185.4798928800975
REGION1,DKEL00TD0,DKE2,2040,190.94988972101908
REGION1,DKEL00TD0,DKE2,2041,195.54988706439008
REGION1,DKEL00TD0,DKE2,2042,200.15988440198578
REGION1,DKEL00TD0,DKE2,2043,204.7998817222556
REGION1,DKEL00TD0,DKE2,2044,209.4598790309749
REGION1,DKEL00TD0,DKE2,2045,214.1298763339189
REGION1,DKEL00TD0,DKE2,2046,218.80987363108764
REGION1,DKEL00TD0,DKE2,2047,223.4998709224811
REGION1,DKEL00TD0,DKE2,2048,228.20986820232397
REGION1,DKEL00TD0,DKE2,2049,232.9298654763916
REGION1,DKEL00TD0,DKE2,2050,237.67986273313338
REGION1,DKEL00TD0,DKE2,2051,238.74986211517833
REGION1,DKEL00TD0,DKE2,2052,239.81986149722334
REGION1,DKEL00TD0,DKE2,2053,240.89986087349303
REGION1,DKEL00TD0,DKE2,2054,241.98986024398747
REGION1,DKEL00TD0,DKE2,2055,243.06985962025715
REGION1,DKEL00TD0,DKE2,2056,244.24985893877408
REGION1,DKEL00TD0,DKE2,2057,245.4198582630663
REGION1,DKEL00TD0,DKE2,2058,246.6098575758079
REGION1,DKEL00TD0,DKE2,2059,247.7898568943248
REGION1,DKEL00TD0,DKE2,2060,248.98985620129113
REGION1,DKELDEIH1,DKE1,2015,8.159892459157195
REGION1,DKELDEIH1,DKE1,2017,2.242875268376667
REGION1,DKELDEIH1,DKE1,2018,0.49610894127143096
REGION1,DKELDEIH1,DKE1,2019,6.090669236885119
REGION1,DKELDEIH1,DKE1,2020,6.516146506632745
REGION1,DKELNLIH1,DKE1,2023,0.5285099874331306
REGION1,DKELNOPH1,DKE1,2015,12.434553966660497
REGION1,DKELNOPH1,DKE1,2016,8.877013685765212
REGION1,DKELNOPH1,DKE1,2017,0.4576788101268971
REGION1,DKELNOPH1,DKE1,2018,6.7597633904935925
REGION1,DKELNOPH1,DKE1,2019,21.513731721076095
REGION1,DKELNOPH1,DKE1,2020,35.387167924824055
REGION1,DKELNOPH1,DKE1,2021,29.626969087678678
REGION1,DKELNOPH1,DKE1,2022,5.203242983029615
REGION1,DKELNOPH1,DKE1,2023,12.83936095281061
REGION1,DKELNOPH1,DKE1,2024,37.21780877588667
REGION1,DKELNOPH1,DKE1,2025,47.61325911777565
REGION1,DKELNOPH1,DKE1,2026,51.41947520008647
REGION1,DKELNOPH1,DKE1,2027,55.97639827587676
REGION1,DKELNOPH1,DKE1,2028,76.7627944799667
REGION1,DKELNOPH1,DKE1,2029,83.3996675781089
REGION1,DKELNOPH1,DKE1,2030,83.88575999999998
REGION1,DKELNOPH1,DKE1,2031,83.88575999999998
REGION1,DKELNOPH1,DKE1,2032,83.88575999999998
REGION1,DKELNOPH1,DKE1,2033,83.88575999999998
REGION1,DKELNOPH1,DKE1,2034,83.88575999999998
REGION1,DKELNOPH1,DKE1,2035,83.88575999999998
REGION1,DKELNOPH1,DKE1,2036,83.88575999999998
REGION1,DKELNOPH1,DKE1,2037,83.88575999999998
REGION1,DKELNOPH1,DKE1,2038,83.88575999999998
REGION1,DKELNOPH1,DKE1,2039,83.88575999999998
REGION1,DKELNOPH1,DKE1,2040,83.88575999999998
REGION1,DKELNOPH1,DKE1,2041,83.88575999999998
REGION1,DKELNOPH1,DKE1,2042,83.88575999999998
REGION1,DKELNOPH1,DKE1,2043,83.79603690278897
REGION1,DKELNOPH1,DKE1,2044,83.83991131047787
REGION1,DKELNOPH1,DKE1,2045,83.88575999999998
REGION1,DKELNOPH1,DKE1,2046,83.88575999999998
REGION1,DKELNOPH1,DKE1,2047,83.88575999999998
REGION1,DKELNOPH1,DKE1,2048,83.88575999999998
REGION1,DKELNOPH1,DKE1,2049,83.88575999999998
REGION1,DKELNOPH1,DKE1,2050,83.88575999999998
REGION1,DKELNOPH1,DKE1,2051,83.88575999999998
REGION1,DKELNOPH1,DKE1,2052,83.88575999999999
REGION1,DKELNOPH1,DKE1,2053,83.88575999999999
REGION1,DKELNOPH1,DKE1,2054,83.88575999999999
REGION1,DKELNOPH1,DKE1,2055,83.88575999999999
REGION1,DKELNOPH1,DKE1,2056,83.88575999999999
REGION1,DKELNOPH1,DKE1,2057,83.88575999999999
REGION1,DKELNOPH1,DKE1,2058,83.88575999999999
REGION1,DKELNOPH1,DKE1,2059,83.88575999999999
REGION1,DKELNOPH1,DKE1,2060,83.88575999999999
REGION1,DKELSEPH1,DKE1,2016,2.3448899842507456
REGION1,DKELSEPH1,DKE1,2017,3.448110492760925
REGION1,DKELSEPH1,DKE1,2018,35.11874684750193
REGION1,DKELSEPH1,DKE1,2019,13.722620954549951
REGION1,DKELSEPH1,DKE1,2020,0.5073886249059885
REGION1,DKELSEPH1,DKE1,2021,2.463774605423473
REGION1,DKELSEPH1,DKE1,2023,22.446390822526364
REGION1,DKELSEPH1,DKE1,2024,14.252768135145649
REGION1,DKELSEPH1,DKE1,2025,4.142677231979318
REGION1,DKELSEPH1,DKE1,2028,4.731810781391329
REGION1,DKELSEPH1,DKE1,2029,5.839199013894765
REGION1,DKELSEPH1,DKE1,2030,55.17176013312423
REGION1,DKELSEPH1,DKE1,2031,61.41635999999998
REGION1,DKELSEPH1,DKE1,2032,61.416359999999976
REGION1,DKELSEPH1,DKE1,2033,61.41635999999998
REGION1,DKELSEPH1,DKE1,2034,61.41635999999998
REGION1,DKELSEPH1,DKE1,2035,59.43646671404073
REGION1,DKELSEPH1,DKE1,2036,57.27186161512174
REGION1,DKELSEPH1,DKE1,2037,48.697312238436595
REGION1,DKELSEPH1,DKE1,2038,46.66800785755266
REGION1,DKELSEPH1,DKE1,2039,38.197401139298535
REGION1,DKELSEPH1,DKE1,2040,29.42398142864419
REGION1,DKELSEPH1,DKE1,2041,19.246265716178257
REGION1,DKELSEPH1,DKE1,2042,15.012194012413602
REGION1,DKELSEPH1,DKE1,2043,0.34830595388215607
REGION1,DKELSEPH1,DKE1,2044,1.2944493045714398
REGION1,DKELSEPH1,DKE1,2045,3.149958315440638
REGION1,DKELSEPH1,DKE1,2046,7.753691399605039
REGION1,DKELSEPH1,DKE1,2047,18.731264607044285
REGION1,DKELSEPH1,DKE1,2048,23.36679191886219
REGION1,DKELSEPH1,DKE1,2049,28.012994122668374
REGION1,DKELSEPH1,DKE1,2050,26.347698487569005
REGION1,DKELSEPH1,DKE1,2051,33.579074168355355
REGION1,DKELSEPH1,DKE1,2052,34.21134609777602
REGION1,DKELSEPH1,DKE1,2053,35.68485263938915
REGION1,DKELSEPH1,DKE1,2054,36.92633067877653
REGION1,DKELSEPH1,DKE1,2055,39.07634996355781
REGION1,DKELSEPH1,DKE1,2056,42.182377249230306
REGION1,DKELSEPH1,DKE1,2057,50.24591779753769
REGION1,DKELSEPH1,DKE1,2058,49.48649087002444
REGION1,DKELSEPH1,DKE1,2059,54.9588792138901
REGION1,DKELSEPH1,DKE1,2060,51.997854290181294
REGION1,DKELSEPH1,SEE1,2043,0.007850652028208664
REGION1,DKGO00X00,DKGO,2015,0.2512085501467304
REGION1,DKGO00X00,DKGO,2016,0.9127239988655776
REGION1,DKGO00X00,DKGO,2017,1.5742434475931848
REGION1,DKGO00X00,DKGO,2018,2.2357548963032716
REGION1,DKGO00X00,DKGO,2019,2.8972763450352588
REGION1,DKGO00X00,DKGO,2020,3.5587877937453465
REGION1,DKGO00X00,DKGO,2021,3.8351183989093776
REGION1,DKGO00X00,DKGO,2022,4.111438249194395
REGION1,DKGO00X00,DKGO,2023,4.387768102268033
REGION1,DKGO00X00,DKGO,2024,4.664098188446562
REGION1,DKGO00X00,DKGO,2025,4.940418185173218
REGION1,DKGO00X00,DKGO,2026,7.787447054838525
REGION1,DKGO00X00,DKGO,2027,10.634495310024635
REGION1,DKGO00X00,DKGO,2028,13.481494084610551
REGION1,DKGO00X00,DKGO,2029,16.328492798884504
REGION1,DKGO00X00,DKGO,2030,19.175491586206995
REGION1,DKGO00X00,DKGO,2031,21.36109062721318
REGION1,DKGO00X00,DKGO,2032,23.546589761084707
REGION1,DKGO00X00,DKGO,2033,25.73208875795586
REGION1,DKGO00X00,DKGO,2034,27.917590580033576
REGION1,DKGO00X00,DKGO,2035,30.103097425464185
REGION1,DKGO00X00,DKGO,2036,29.43319573643557
REGION1,DKGO00X00,DKGO,2037,28.763292813030915
REGION1,DKGO00X00,DKGO,2038,28.093391548074216
REGION1,DKGO00X00,DKGO,2039,27.423490226876954
REGION1,DKGO00X00,DKGO,2040,26.753689691932564
REGION1,DKGO00X00,DKGO,2041,26.577788660442696
REGION1,DKGO00X00,DKGO,2042,26.40198940624853
REGION1,DKGO00X00,DKGO,2043,26.22608892494368
REGION1,DKGO00X00,DKGO,2044,26.050289161060533
REGION1,DKGO00X00,DKGO,2045,25.874388388317595
REGION1,DKGO00X00,DKGO,2046,25.706989589304595
REGION1,DKGO00X00,DKGO,2047,25.539489299264183
REGION1,DKGO00X00,DKGO,2048,25.371988203776883
REGION1,DKGO00X00,DKGO,2049,25.204489502413367
REGION1,DKGO00X00,DKGO,2050,25.037089420151176
REGION1,DKGO00X00,DKGO,2051,24.87058930652686
REGION1,DKGO00X00,DKGO,2052,24.70518948255861
REGION1,DKGO00X00,DKGO,2053,24.540890915787195
REGION1,DKGO00X00,DKGO,2054,24.377689597056417
REGION1,DKGO00X00,DKGO,2055,24.215589145681516
REGION1,DKGO00X00,DKGO,2056,24.05448848601684
REGION1,DKGO00X00,DKGO,2057,23.894591198054364
REGION1,DKGO00X00,DKGO,2058,23.735690424607387
REGION1,DKGO00X00,DKGO,2059,23.577790736999713
REGION1,DKGO00X00,DKGO,2060,23.420989934850745
REGION1,DKGOCVPH2,DKE1,2022,0.9694319015897824
REGION1,DKGOCVPH2,DKE1,2023,1.0363296926671395
REGION1,DKGOCVPH2,DKE1,2024,1.1034506210201414
REGION1,DKGOCVPH2,DKE1,2025,1.1707956672788458
REGION1,DKGOCVPH2,DKE1,2026,1.8486126242616838
REGION1,DKGOCVPH2,DKE1,2027,2.5287293239577586
REGION1,DKGOCVPH2,DKE1,2028,3.2111487122554507
REGION1,DKGOCVPH2,DKE1,2029,3.8958806263771653
REGION1,DKGOCVPH2,DKE1,2030,4.582942947397767
REGION1,DKGOCVPH2,DKE1,2031,5.115779464454376
REGION1,DKGOCVPH2,DKE1,2032,5.650797288444717
REGION1,DKGOCVPH2,DKE1,2033,6.188008012244156
REGION1,DKGOCVPH2,DKE1,2034,6.468063503607566
REGION1,DKGOCVPH2,DKE1,2035,6.4680639656582475
REGION1,DKGOCVPH2,DKE1,2036,6.468063877651598
REGION1,DKGOCVPH2,DKE1,2037,6.4680634899292215
REGION1,DKGOCVPH2,DKE1,2038,6.468063503607565
REGION1,DKGOCVPH2,DKE1,2039,6.468063503607565
REGION1,DKGOCVPH2,DKE1,2040,6.468063695441347
REGION1,DKGOCVPH2,DKE1,2041,6.468063503607564
REGION1,DKGOCVPH2,DKE1,2042,6.468063746355504
REGION1,DKGOCVPH2,DKE1,2043,6.437951263834255
REGION1,DKGOCVPH2,DKE1,2044,6.4077416370824665
REGION1,DKGOCVPH2,DKE1,2045,6.377384554488822
REGION1,DKGOCVPH2,DKE1,2046,6.349003845241172
REGION1,DKGOCVPH2,DKE1,2047,6.320482410261508
REGION1,DKGOCVPH2,DKE1,2048,6.291844356327282
REGION1,DKGOCVPH2,DKE1,2049,6.263089763017419
REGION1,DKGOCVPH2,DKE1,2050,6.23424187391403
REGION1,DKGOCVPH2,DKE1,2051,6.198972920708083
REGION1,DKGOCVPH2,DKE1,2052,6.163907915729038
REGION1,DKGOCVPH2,DKE1,2053,6.129047713375574
REGION1,DKGOCVPH2,DKE1,2054,6.094391927304468
REGION1,DKGOCVPH2,DKE1,2055,6.059926913699511
REGION1,DKGOCVPH2,DKE1,2056,6.025628185664146
REGION1,DKGOCVPH2,DKE1,2057,5.991562571602684
REGION1,DKGOCVPH2,DKE1,2058,5.957678850568489
REGION1,DKGOCVPH2,DKE1,2059,5.923978718159956
REGION1,DKGOCVPH2,DKE1,2060,5.890472509318411
REGION1,DKHGSLPN2,DKH1,2015,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2016,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2017,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2018,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2019,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2020,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2021,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2022,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2023,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2024,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2025,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2026,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2027,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2028,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2029,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2030,0.7420740938583886
REGION1,DKHGSLPN2,DKH1,2031,0.7420740938583885
REGION1,DKHGSLPN2,DKH1,2032,0.7353590514960008
REGION1,DKHGSLPN2,DKH1,2033,0.6637705605623576
REGION1,DKHGSLPN2,DKH1,2034,0.5920967401019736
REGION1,DKHGSLPN2,DKH1,2035,0.5204476750912406
REGION1,DKHGSLPN2,DKH1,2036,0.4487986275716588
REGION1,DKHGSLPN2,DKH1,2037,0.3771495800644355
