REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,S01B2,DKBM00X00,1,2015,11.29267051068196
REGION1,S02B2,DKBM00X00,1,2015,45.93655310340097
REGION1,S03B1,DKBM00X00,1,2015,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2015,45.93655310340096
REGION1,S04B1,DKBM00X00,1,2015,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2015,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2015,45.93655310340096
REGION1,S01B1,DKBM00X00,1,2016,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2016,45.93655310340096
REGION1,S01B3,DKBM00X00,1,2016,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2016,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2016,27.5180045787474
REGION1,S03B3,DKBM00X00,1,2016,45.93655310340096
REGION1,S04B1,DKBM00X00,1,2016,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2016,45.93655310340096
REGION1,S05B1,DKBM00X00,1,2016,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2016,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2017,45.93655310340096
REGION1,S01B3,DKBM00X00,1,2017,45.93655310340096
REGION1,S03B1,DKBM00X00,1,2017,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2017,30.40472883750124
REGION1,S03B3,DKBM00X00,1,2017,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2017,45.93655310340096
REGION1,S04B3,DKBM00X00,1,2017,45.93655310340096
REGION1,S05B1,DKBM00X00,1,2017,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2017,45.93655310340096
REGION1,S01B1,DKBM00X00,1,2018,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S01B3,DKBM00X00,1,2018,45.93655310340096
REGION1,S02B1,DKBM00X00,1,2018,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S03B1,DKBM00X00,1,2018,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2018,7.797323740559997
REGION1,S03B3,DKBM00X00,1,2018,45.93655310340096
REGION1,S04B1,DKBM00X00,1,2018,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S05B1,DKBM00X00,1,2018,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S05B3,DKBM00X00,1,2018,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2019,5.550611852036927
REGION1,S02B2,DKBM00X00,1,2019,45.93655310340097
REGION1,S03B1,DKBM00X00,1,2019,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S04B1,DKBM00X00,1,2019,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S05B3,DKBM00X00,1,2019,45.93655310340096
REGION1,S01B1,DKBM00X00,1,2020,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2020,45.93655310340096
REGION1,S01B3,DKBM00X00,1,2020,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2020,45.93655310340096
REGION1,S03B1,DKBM00X00,1,2020,22.702818766753595
REGION1,S03B2,DKBM00X00,1,2020,24.28280619472415
REGION1,S03B3,DKBM00X00,1,2020,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2020,45.93655310340096
REGION1,S05B1,DKBM00X00,1,2020,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2020,45.93655310340096
REGION1,S01B3,DKBM00X00,1,2021,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2021,45.93655310340097
REGION1,S02B3,DKBM00X00,1,2021,45.93655310340096
REGION1,S03B1,DKBM00X00,1,2021,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2021,45.93655310340096
REGION1,S03B3,DKBM00X00,1,2021,8.534552752277785
REGION1,S04B1,DKBM00X00,1,2021,45.93655310340096
REGION1,S04B3,DKBM00X00,1,2021,45.93655310340096
REGION1,S05B1,DKBM00X00,1,2021,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2021,45.93655310340096
REGION1,S05B3,DKBM00X00,1,2021,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2022,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2022,45.93655310340097
