REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00X00,1,DKBM,2016,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2018,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2020,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2023,32.89688065737216
REGION1,S01B1,DKBM00X00,1,DKBM,2030,34.46254236396025
REGION1,S01B1,DKBM00X00,1,DKBM,2031,43.29935130378416
REGION1,S01B1,DKBM00X00,1,DKBM,2032,59.08875011347442
REGION1,S01B1,DKBM00X00,1,DKBM,2033,57.634190264678026
REGION1,S01B1,DKBM00X00,1,DKBM,2034,50.747699862833
REGION1,S01B1,DKBM00X00,1,DKBM,2035,47.09002763283357
REGION1,S01B1,DKBM00X00,1,DKBM,2036,41.86523649523548
REGION1,S01B1,DKBM00X00,1,DKBM,2037,55.77374990634934
REGION1,S01B1,DKBM00X00,1,DKBM,2038,64.74651032713531
REGION1,S01B1,DKBM00X00,1,DKBM,2040,22.070423843454705
REGION1,S01B1,DKBM00X00,1,DKBM,2048,6.9783319830331445
REGION1,S01B1,DKBM00X00,1,DKBM,2052,12.71559476549611
REGION1,S01B1,DKBM00X00,1,DKBM,2055,21.106165402457
REGION1,S01B1,DKBM00X00,1,DKBM,2057,2.598011330896656
REGION1,S01B1,DKBM00X00,1,DKBM,2058,2.595937998355252
REGION1,S01B1,DKBM00X00,1,DKBM,2060,66.56815279115816
REGION1,S01B1,DKBMCCPH1,1,DKE1,2057,1.25656517660838
REGION1,S01B1,DKBMCCPH1,1,DKE1,2058,1.25656517660838
REGION1,S01B1,DKBMSTPH3,1,DKE1,2016,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2018,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2020,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2023,11.513919744
REGION1,S01B1,DKBMSTPH3,1,DKE1,2030,12.06190188928798
REGION1,S01B1,DKBMSTPH3,1,DKE1,2031,15.154788111112568
REGION1,S01B1,DKBMSTPH3,1,DKE1,2032,20.681083220799273
REGION1,S01B1,DKBMSTPH3,1,DKE1,2033,20.17198676462408
REGION1,S01B1,DKBMSTPH3,1,DKE1,2034,17.761712713704267
REGION1,S01B1,DKBMSTPH3,1,DKE1,2035,16.481526153017903
REGION1,S01B1,DKBMSTPH3,1,DKE1,2036,14.652847426179846
REGION1,S01B1,DKBMSTPH3,1,DKE1,2037,19.520831988054255
REGION1,S01B1,DKBMSTPH3,1,DKE1,2038,22.66130127579864
REGION1,S01B1,DKBMSTPH3,1,DKE1,2040,7.724656069865218
REGION1,S01B1,DKBMSTPH3,1,DKE1,2048,2.4424186364802374
REGION1,S01B1,DKBMSTPH3,1,DKE1,2052,4.450462618386258
REGION1,S01B1,DKBMSTPH3,1,DKE1,2055,7.387165278025229
REGION1,S01B1,DKBMSTPH3,1,DKE1,2060,23.298876775782126
REGION1,S01B1,DKCO00I00,1,DKCO,2016,44.13369837867087
REGION1,S01B1,DKCO00I00,1,DKCO,2017,1.993315334473368
REGION1,S01B1,DKCO00I00,1,DKCO,2020,15.187175767072931
REGION1,S01B1,DKCO00I00,1,DKCO,2021,85.69137740778933
REGION1,S01B1,DKCO00I00,1,DKCO,2022,131.05443000756063
REGION1,S01B1,DKCO00I00,1,DKCO,2023,33.601734144
REGION1,S01B1,DKCOCHPH3,1,DKE1,2016,17.381699104273924
REGION1,S01B1,DKCOCHPH3,1,DKE1,2020,6.226753272655793
REGION1,S01B1,DKCOCHPH3,1,DKE1,2021,34.350034807781185
REGION1,S01B1,DKCOCHPH3,1,DKE1,2022,53.9894084672802
REGION1,S01B1,DKCOCHPH3,1,DKE1,2023,13.87584
REGION1,S01B1,DKCOSTPH1,1,DKE1,2017,0.7928638957838755
REGION1,S01B1,DKCOSTPH1,1,DKE1,2021,0.86724
REGION1,S01B1,DKEL00TD0,1,DKE2,2015,96.45140963052862
REGION1,S01B1,DKEL00TD0,1,DKE2,2016,96.00468021425509
REGION1,S01B1,DKEL00TD0,1,DKE2,2017,95.56637965489237
REGION1,S01B1,DKEL00TD0,1,DKE2,2018,95.12807909552964
REGION1,S01B1,DKEL00TD0,1,DKE2,2019,94.68977853616697
REGION1,S01B1,DKEL00TD0,1,DKE2,2020,94.25990683371506
REGION1,S01B1,DKEL00TD0,1,DKE2,2021,96.46826734435027
REGION1,S01B1,DKEL00TD0,1,DKE2,2022,98.6934855688071
REGION1,S01B1,DKEL00TD0,1,DKE2,2023,100.92713265017474
REGION1,S01B1,DKEL00TD0,1,DKE2,2024,103.16920858845322
REGION1,S01B1,DKEL00TD0,1,DKE2,2025,105.42814224055334
REGION1,S01B1,DKEL00TD0,1,DKE2,2026,107.29091961784485
REGION1,S01B1,DKEL00TD0,1,DKE2,2027,109.15369699513639
REGION1,S01B1,DKEL00TD0,1,DKE2,2028,111.01647437242788
