REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCCPH1,DKBM,2057,2.59801289029404
REGION1,S01B1,DKBMCCPH1,DKBM,2058,2.595934479972758
REGION1,S01B1,DKBMSTPH3,DKBM,2016,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2018,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2020,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2023,32.89691355264087
REGION1,S01B1,DKBMSTPH3,DKBM,2030,34.46257682481396
REGION1,S01B1,DKBMSTPH3,DKBM,2031,43.299394601013795
REGION1,S01B1,DKBMSTPH3,DKBM,2032,59.0888091993292
REGION1,S01B1,DKBMSTPH3,DKBM,2033,57.63424789604423
REGION1,S01B1,DKBMSTPH3,DKBM,2034,50.74775060804623
REGION1,S01B1,DKBMSTPH3,DKBM,2035,47.09007472055379
REGION1,S01B1,DKBMSTPH3,DKBM,2036,41.86527835842058
REGION1,S01B1,DKBMSTPH3,DKBM,2037,55.77380567736632
REGION1,S01B1,DKBMSTPH3,DKBM,2038,64.74657507047307
REGION1,S01B1,DKBMSTPH3,DKBM,2040,22.0704459127971
REGION1,S01B1,DKBMSTPH3,DKBM,2048,6.97833896102319
REGION1,S01B1,DKBMSTPH3,DKBM,2052,12.715607480467813
REGION1,S01B1,DKBMSTPH3,DKBM,2055,21.106186507588202
REGION1,S01B1,DKBMSTPH3,DKBM,2060,66.56821935604908
REGION1,S01B1,DKCOCHPH3,DKCO,2016,44.133644999472935
REGION1,S01B1,DKCOCHPH3,DKCO,2020,15.187203102519799
REGION1,S01B1,DKCOCHPH3,DKCO,2021,83.58109513704149
REGION1,S01B1,DKCOCHPH3,DKCO,2022,131.05442935968773
REGION1,S01B1,DKCOCHPH3,DKCO,2023,33.60177281596608
REGION1,S01B1,DKCOSTPH1,DKCO,2017,1.993316361232113
REGION1,S01B1,DKCOSTPH1,DKCO,2021,2.1101832749883602
REGION1,S01B1,DKEL00TD0,DKE1,2015,101.52779961108276
REGION1,S01B1,DKEL00TD0,DKE1,2016,101.05755812026852
REGION1,S01B1,DKEL00TD0,DKE1,2017,100.59618911041302
REGION1,S01B1,DKEL00TD0,DKE1,2018,100.13482010055752
REGION1,S01B1,DKEL00TD0,DKE1,2019,99.67345109070207
REGION1,S01B1,DKEL00TD0,DKE1,2020,99.22095456180534
REGION1,S01B1,DKEL00TD0,DKE1,2021,101.54554457300029
REGION1,S01B1,DKEL00TD0,DKE1,2022,103.88787954611274
REGION1,S01B1,DKEL00TD0,DKE1,2023,106.23908700018394
REGION1,S01B1,DKEL00TD0,DKE1,2024,108.59916693521392
REGION1,S01B1,DKEL00TD0,DKE1,2025,110.97699183216142
REGION1,S01B1,DKEL00TD0,DKE1,2026,112.93781012404722
REGION1,S01B1,DKEL00TD0,DKE1,2027,114.89862841593305
REGION1,S01B1,DKEL00TD0,DKE1,2028,116.85944670781883
REGION1,S01B1,DKEL00TD0,DKE1,2029,118.8291374806634
REGION1,S01B1,DKEL00TD0,DKE1,2030,120.79882825350798
REGION1,S01B1,DKEL00TD0,DKE1,2031,125.64320285699054
REGION1,S01B1,DKEL00TD0,DKE1,2032,130.51419490334942
REGION1,S01B1,DKEL00TD0,DKE1,2033,135.4206768735433
REGION1,S01B1,DKEL00TD0,DKE1,2034,140.35377628661348
REGION1,S01B1,DKEL00TD0,DKE1,2035,145.3223656235187
REGION1,S01B1,DKEL00TD0,DKE1,2036,150.10463286028997
REGION1,S01B1,DKEL00TD0,DKE1,2037,154.90464505897876
REGION1,S01B1,DKEL00TD0,DKE1,2038,159.72240221958504
REGION1,S01B1,DKEL00TD0,DKE1,2039,164.56677682306764
REGION1,S01B1,DKEL00TD0,DKE1,2040,169.42002390750898
REGION1,S01B1,DKEL00TD0,DKE1,2041,173.50136514853827
REGION1,S01B1,DKEL00TD0,DKE1,2042,177.5915788705263
REGION1,S01B1,DKEL00TD0,DKE1,2043,181.7084100353906
REGION1,S01B1,DKEL00TD0,DKE1,2044,185.84298616217245
REGION1,S01B1,DKEL00TD0,DKE1,2045,189.98643476991305
REGION1,S01B1,DKEL00TD0,DKE1,2046,194.1387558586124
REGION1,S01B1,DKEL00TD0,DKE1,2047,198.29994942827048
REGION1,S01B1,DKEL00TD0,DKE1,2048,202.47888795984613
REGION1,S01B1,DKEL00TD0,DKE1,2049,206.66669897238057
REGION1,S01B1,DKEL00TD0,DKE1,2050,210.88112742779123
REGION1,S01B1,DKEL00TD0,DKE1,2051,211.83048289037845
REGION1,S01B1,DKEL00TD0,DKE1,2052,212.77983835296567
REGION1,S01B1,DKEL00TD0,DKE1,2053,213.73806629651173
REGION1,S01B1,DKEL00TD0,DKE1,2054,214.70516672101647
REGION1,S01B1,DKEL00TD0,DKE1,2055,215.66339466456247
REGION1,S01B1,DKEL00TD0,DKE1,2056,216.71034741769608
REGION1,S01B1,DKEL00TD0,DKE1,2057,217.7484276898709
REGION1,S01B1,DKEL00TD0,DKE1,2058,218.80425292396328
REGION1,S01B1,DKEL00TD0,DKE1,2059,219.85120567709689
REGION1,S01B1,DKEL00TD0,DKE1,2060,220.915903392148
REGION1,S01B1,DKELDEEH1,DKE1,2028,22.99705807900448
REGION1,S01B1,DKELDEEH1,DKE1,2029,14.273804097294889
REGION1,S01B1,DKELDEEH1,DKE1,2030,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2031,65.7108053669672
REGION1,S01B1,DKELDEEH1,DKE1,2032,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2033,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2034,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2035,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2036,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2037,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2038,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2039,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2040,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2041,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2042,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2043,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2044,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2045,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2046,72.57404014825968
REGION1,S01B1,DKELDEEH1,DKE1,2047,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2048,66.67632668350626
REGION1,S01B1,DKELDEEH1,DKE1,2049,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2050,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2051,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2052,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2053,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2054,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2055,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2056,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2057,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2058,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2059,73.258128
REGION1,S01B1,DKELDEEH1,DKE1,2060,73.258128
REGION1,S01B1,DKELNLEH1,DKE1,2022,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2030,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2031,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2032,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2033,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2034,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2035,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2036,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2037,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2038,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2039,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2040,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2041,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2042,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2043,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2044,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2045,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2046,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2047,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2048,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2049,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2050,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2051,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2052,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2053,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2054,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2055,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2056,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2057,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2058,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2059,22.295952
REGION1,S01B1,DKELNLEH1,DKE1,2060,22.295952
REGION1,S01B1,DKELNOPH1,NOE1,2020,10.184705284137328
REGION1,S01B1,DKELNOPH1,NOE1,2022,10.157863997009793
REGION1,S01B1,DKELNOPH1,NOE1,2024,39.46041947839178
REGION1,S01B1,DKELNOPH1,NOE1,2025,18.047423517764127
REGION1,S01B1,DKELNOPH1,NOE1,2026,48.69727269494136
REGION1,S01B1,DKELNOPH1,NOE1,2027,57.746326813236834
REGION1,S01B1,DKELNOPH1,NOE1,2028,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2029,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2030,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2031,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2032,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2033,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2034,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2035,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2036,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2037,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2038,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2039,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2040,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2041,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2042,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2043,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2044,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2045,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2046,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2047,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2048,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2049,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2050,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2051,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2052,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2053,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2054,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2055,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2056,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2057,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2058,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2059,88.3008
REGION1,S01B1,DKELNOPH1,NOE1,2060,88.3008
REGION1,S01B1,DKELSEPH1,DKE1,2043,0.18851894861520063
REGION1,S01B1,DKELSEPH1,SEE1,2017,33.09363269751008
