REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCCPH1,1,2057,DKBM,S01B1,2.59801289029404
REGION1,DKBMCCPH1,1,2057,DKBM,S01B2,2.59801289029404
REGION1,DKBMCCPH1,1,2057,DKBM,S02B1,2.59801289029404
REGION1,DKBMCCPH1,1,2057,DKBM,S02B2,2.59801289029404
REGION1,DKBMCCPH1,1,2057,DKBM,S03B1,2.59801289029404
REGION1,DKBMCCPH1,1,2057,DKBM,S03B2,2.1818690730615398
REGION1,DKBMCCPH1,1,2057,DKBM,S05B2,2.59801289029404
REGION1,DKBMCCPH1,1,2058,DKBM,S01B1,2.595934479972758
REGION1,DKBMCCPH1,1,2058,DKBM,S01B2,2.595934479972758
REGION1,DKBMCCPH1,1,2058,DKBM,S02B1,2.595934479972758
REGION1,DKBMCCPH1,1,2058,DKBM,S02B2,2.595934479972758
REGION1,DKBMCCPH1,1,2058,DKBM,S03B1,2.595934479972758
REGION1,DKBMCCPH1,1,2058,DKBM,S03B2,2.180123577795493
REGION1,DKBMCCPH1,1,2058,DKBM,S05B2,2.595934479972758
REGION1,DKBMCCPH1,1,2059,DKBM,S01B2,2.593857733343769
REGION1,DKBMCCPH1,1,2059,DKBM,S02B1,2.593857733343769
REGION1,DKBMCCPH1,1,2059,DKBM,S02B2,2.593857733343769
REGION1,DKBMCCPH1,1,2059,DKBM,S03B1,2.593857733343769
REGION1,DKBMCCPH1,1,2059,DKBM,S03B2,1.4873936344758254
REGION1,DKBMCCPH1,1,2059,DKBM,S03B3,2.593857733343769
REGION1,DKBMCCPH1,1,2059,DKBM,S04B2,2.593857733343769
REGION1,DKBMCCPH1,1,2059,DKBM,S05B2,2.593857733343769
REGION1,DKBMCCPH1,1,2060,DKBM,S01B2,2.591782646637379
REGION1,DKBMCCPH1,1,2060,DKBM,S01B3,2.591782646637379
REGION1,DKBMCCPH1,1,2060,DKBM,S02B1,2.591782646637379
REGION1,DKBMCCPH1,1,2060,DKBM,S03B1,2.591782646637379
REGION1,DKBMCCPH1,1,2060,DKBM,S03B2,2.384651977556856
REGION1,DKBMCCPH1,1,2060,DKBM,S03B3,2.591782646637379
REGION1,DKBMCCPH1,1,2060,DKBM,S05B2,2.591782646637379
REGION1,DKBMSTPH3,1,2015,DKBM,S01B2,11.292681802799128
REGION1,DKBMSTPH3,1,2015,DKBM,S02B2,45.93659903770317
REGION1,DKBMSTPH3,1,2015,DKBM,S03B1,45.93659903770317
REGION1,DKBMSTPH3,1,2015,DKBM,S03B2,45.93659903770317
REGION1,DKBMSTPH3,1,2015,DKBM,S04B1,45.93659903770317
REGION1,DKBMSTPH3,1,2015,DKBM,S04B2,45.93659903770317
REGION1,DKBMSTPH3,1,2015,DKBM,S05B2,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S01B1,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S01B2,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S01B3,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S02B2,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S03B2,27.518032095403594
REGION1,DKBMSTPH3,1,2016,DKBM,S03B3,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S04B1,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S04B2,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S05B1,45.93659903770317
REGION1,DKBMSTPH3,1,2016,DKBM,S05B2,45.93659903770317
REGION1,DKBMSTPH3,1,2017,DKBM,S01B2,45.93659903770317
REGION1,DKBMSTPH3,1,2017,DKBM,S01B3,45.93659903770317
REGION1,DKBMSTPH3,1,2017,DKBM,S03B1,45.93659903770317
REGION1,DKBMSTPH3,1,2017,DKBM,S03B2,30.404759240740248
REGION1,DKBMSTPH3,1,2017,DKBM,S03B3,45.93659903770317
REGION1,DKBMSTPH3,1,2017,DKBM,S04B2,45.93659903770317
REGION1,DKBMSTPH3,1,2017,DKBM,S04B3,45.93659903770317
REGION1,DKBMSTPH3,1,2017,DKBM,S05B1,45.93659903770317
REGION1,DKBMSTPH3,1,2017,DKBM,S05B2,45.93659903770317
REGION1,DKBMSTPH3,1,2018,DKBM,S01B1,45.93659903770317
REGION1,DKBMSTPH3,1,2018,DKBM,S01B2,45.93659903770317
REGION1,DKBMSTPH3,1,2018,DKBM,S01B3,45.93659903770317
REGION1,DKBMSTPH3,1,2018,DKBM,S02B1,45.93659903770317
