REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
REGION1,DKHGSTPN2,1,1,2015,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2016,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2017,0.021565698767799568
REGION1,DKHGSTPN2,1,1,2018,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2019,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2020,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2021,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2022,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2023,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2024,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2025,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2026,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2027,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2028,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2029,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2030,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2031,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2032,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2033,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2034,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2035,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2036,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2037,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2038,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2039,0.007979121457762861
REGION1,DKHGSTPN2,1,1,2040,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2041,0.021565698767799457
REGION1,DKHGSTPN2,1,1,2042,0.020326401878864128
REGION1,DKHGSTPN2,2,1,2015,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2016,0.021565698767799457
REGION1,DKHGSTPN2,2,1,2017,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2018,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2019,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2020,0.02156569876779943
REGION1,DKHGSTPN2,2,1,2021,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2022,0.02156569876779943
REGION1,DKHGSTPN2,2,1,2023,0.02156569876779943
REGION1,DKHGSTPN2,2,1,2024,0.02156569876779943
REGION1,DKHGSTPN2,2,1,2025,0.02156569876779943
REGION1,DKHGSTPN2,2,1,2026,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2027,0.02156569876779943
REGION1,DKHGSTPN2,2,1,2028,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2029,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2030,0.02156569876779943
REGION1,DKHGSTPN2,2,1,2031,0.021565698767799436
REGION1,DKHGSTPN2,2,1,2032,0.02097687349348177
REGION1,DKHGSTPN2,2,1,2033,0.017993959622870724
REGION1,DKHGSTPN2,2,1,2034,0.015990438098665943
REGION1,DKHGSTPN2,2,1,2035,0.013987608571565526
REGION1,DKHGSTPN2,2,1,2036,0.011984779533400934
REGION1,DKHGSTPN2,2,1,2037,0.009981950495581794
REGION1,DKHGSTPN2,2,1,2038,0.007979121457762903
REGION1,DKHGSTPN2,2,1,2039,0.006318474041974073
REGION1,DKHGSTPN2,2,1,2040,0.003984478195638061
REGION1,DKHGSTPN2,2,1,2041,0.0019706421269064
REGION1,DKHGSTPN2,3,1,2015,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2016,0.021565698767799457
REGION1,DKHGSTPN2,3,1,2017,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2018,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2019,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2020,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2021,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2022,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2023,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2024,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2025,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2026,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2027,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2028,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2029,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2030,0.02156569876779943
REGION1,DKHGSTPN2,3,1,2031,0.021565698767799436
REGION1,DKHGSTPN2,3,1,2032,0.02097687349348177
REGION1,DKHGSTPN2,3,1,2033,0.017993959622870724
REGION1,DKHGSTPN2,3,1,2034,0.015990438098665943
REGION1,DKHGSTPN2,3,1,2035,0.013987608571565526
REGION1,DKHGSTPN2,3,1,2036,0.011984779533400934
REGION1,DKHGSTPN2,3,1,2037,0.009981950495581794
REGION1,DKHGSTPN2,3,1,2038,0.007979121457762903
REGION1,DKHGSTPN2,3,1,2039,0.006318474041974073
REGION1,DKHGSTPN2,3,1,2040,0.003984478195638061
REGION1,DKHGSTPN2,3,1,2041,0.0019706421269064
REGION1,DKHGSTPN2,4,1,2015,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2016,0.021565698767799457
REGION1,DKHGSTPN2,4,1,2017,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2018,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2019,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2020,0.02156569876779943
REGION1,DKHGSTPN2,4,1,2021,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2022,0.02156569876779943
REGION1,DKHGSTPN2,4,1,2023,0.02156569876779943
REGION1,DKHGSTPN2,4,1,2024,0.02156569876779943
REGION1,DKHGSTPN2,4,1,2025,0.02156569876779943
REGION1,DKHGSTPN2,4,1,2026,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2027,0.02156569876779943
REGION1,DKHGSTPN2,4,1,2028,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2029,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2030,0.02156569876779943
REGION1,DKHGSTPN2,4,1,2031,0.021565698767799436
REGION1,DKHGSTPN2,4,1,2032,0.02097687349348177
REGION1,DKHGSTPN2,4,1,2033,0.017993959622870724
REGION1,DKHGSTPN2,4,1,2034,0.015990438098665943
REGION1,DKHGSTPN2,4,1,2035,0.013987608571565526
REGION1,DKHGSTPN2,4,1,2036,0.011984779533400934
REGION1,DKHGSTPN2,4,1,2037,0.009981950495581794
REGION1,DKHGSTPN2,4,1,2038,0.007979121457762903
REGION1,DKHGSTPN2,4,1,2039,0.006318474041974073
