REGION,STORAGE,YEAR,VALUE
REGION1,DKHGSTPN2,2015,0.021565698767799235
REGION1,DKHGSTPN2,2016,0.021565698767799568
REGION1,DKHGSTPN2,2017,0.021565698767799436
REGION1,DKHGSTPN2,2018,0.021565698767799207
REGION1,DKHGSTPN2,2019,0.021565698767799044
REGION1,DKHGSTPN2,2020,0.021565698767799457
REGION1,DKHGSTPN2,2021,0.021565698767799235
REGION1,DKHGSTPN2,2022,0.021565698767799013
REGION1,DKHGSTPN2,2023,0.02156569876779879
REGION1,DKHGSTPN2,2024,0.02156569876779857
REGION1,DKHGSTPN2,2025,0.021565698767798347
REGION1,DKHGSTPN2,2026,0.021565698767798125
REGION1,DKHGSTPN2,2027,0.021565698767797903
REGION1,DKHGSTPN2,2028,0.021565698767797903
REGION1,DKHGSTPN2,2029,0.02156569876779768
REGION1,DKHGSTPN2,2030,0.021565698767797455
REGION1,DKHGSTPN2,2031,0.021565698767799457
REGION1,DKHGSTPN2,2032,0.02097687349348164
REGION1,DKHGSTPN2,2033,0.01799395962287069
REGION1,DKHGSTPN2,2034,0.01599043809866592
REGION1,DKHGSTPN2,2035,0.013987608571565502
REGION1,DKHGSTPN2,2036,0.011984779533400908
REGION1,DKHGSTPN2,2037,0.009981950495581773
REGION1,DKHGSTPN2,2038,0.007979121457762861
REGION1,DKHGSTPN2,2039,0.021565698767799457
REGION1,DKHGSTPN2,2040,0.003984478195638047
REGION1,DKHGSTPN2,2041,0.001970642126906421
REGION1,NOHGSTPN2,2058,2.6559303730166917e-05
REGION1,NOHGSTPN2,2059,0.0037083703705672096
