REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,0.063007
REGION1,DKBFHPFH1,2016,0.063007
REGION1,DKBFHPFH1,2017,0.063007
REGION1,DKBFHPFH1,2018,0.063007
REGION1,DKBFHPFH1,2019,0.063007
REGION1,DKBFHPFH1,2020,0.063007
REGION1,DKBFHPFH1,2021,0.063007
REGION1,DKBFHPFH1,2022,0.063007
REGION1,DKBFHPFH1,2023,0.047405
REGION1,DKBFHPFH1,2024,0.021909
REGION1,DKBFHPFH1,2025,0.019007
REGION1,DKBFHPFH1,2026,0.018507
REGION1,DKBFHPFH1,2027,0.017662
REGION1,DKBFHPFH1,2028,0.011327
REGION1,DKBFHPFH1,2029,0.009876
REGION1,DKBFHPFH1,2030,0.008176
REGION1,DKBFHPFH1,2031,0.007331
REGION1,DKBMCCPH1,2057,0.03984542036429414
REGION1,DKBMCCPH1,2058,0.03984542036429414
REGION1,DKBMCCPH1,2059,0.03984542036429414
REGION1,DKBMCCPH1,2060,0.03984542036429414
REGION1,DKBMSTPH3,2015,0.5098239999999999
REGION1,DKBMSTPH3,2016,0.5098239999999999
REGION1,DKBMSTPH3,2017,0.5098239999999999
REGION1,DKBMSTPH3,2018,0.5098239999999999
REGION1,DKBMSTPH3,2019,0.5098239999999999
REGION1,DKBMSTPH3,2020,0.5098239999999999
REGION1,DKBMSTPH3,2021,0.5098239999999999
REGION1,DKBMSTPH3,2022,0.5098239999999999
REGION1,DKBMSTPH3,2023,0.365104
REGION1,DKBMSTPH3,2024,0.365104
REGION1,DKBMSTPH3,2025,0.365104
REGION1,DKBMSTPH3,2026,0.44836971239161905
REGION1,DKBMSTPH3,2027,0.7931927767549634
REGION1,DKBMSTPH3,2028,0.8949687000439069
REGION1,DKBMSTPH3,2029,0.9365714232936063
REGION1,DKBMSTPH3,2030,1.0635500061534855
REGION1,DKBMSTPH3,2031,1.0635500061534855
REGION1,DKBMSTPH3,2032,1.1499067913876693
REGION1,DKBMSTPH3,2033,1.195044037044637
REGION1,DKBMSTPH3,2034,1.233978995855389
REGION1,DKBMSTPH3,2035,1.2627330333401343
REGION1,DKBMSTPH3,2036,1.2886027013195862
REGION1,DKBMSTPH3,2037,1.2886027013195862
REGION1,DKBMSTPH3,2038,1.3191994982687787
REGION1,DKBMSTPH3,2039,1.3191994982687787
REGION1,DKBMSTPH3,2040,1.3191994982687787
REGION1,DKBMSTPH3,2041,1.3312374223688368
REGION1,DKBMSTPH3,2042,1.3885331043444373
REGION1,DKBMSTPH3,2043,1.3711032428827707
REGION1,DKBMSTPH3,2044,1.39524355420741
REGION1,DKBMSTPH3,2045,1.49324355420741
REGION1,DKBMSTPH3,2046,1.510511131965398
REGION1,DKBMSTPH3,2047,1.5277787097233861
REGION1,DKBMSTPH3,2048,1.545047872971941
REGION1,DKBMSTPH3,2049,1.5623154507299295
REGION1,DKBMSTPH3,2050,1.5795830284879175
REGION1,DKBMSTPH3,2051,1.5953840274720428
REGION1,DKBMSTPH3,2052,1.6113340625694041
REGION1,DKBMSTPH3,2053,1.6113340625694041
REGION1,DKBMSTPH3,2054,1.6113340625694041
REGION1,DKBMSTPH3,2055,1.6113340625694041
REGION1,DKBMSTPH3,2056,1.5280683501777852
REGION1,DKBMSTPH3,2057,1.1832452858144407
REGION1,DKBMSTPH3,2058,1.0814693625254972
REGION1,DKBMSTPH3,2059,1.0398666392757978
REGION1,DKBMSTPH3,2060,0.8562060564159187
REGION1,DKCOCHPH3,2015,3.806
REGION1,DKCOCHPH3,2016,3.806
REGION1,DKCOCHPH3,2017,3.806
REGION1,DKCOCHPH3,2018,3.806
REGION1,DKCOCHPH3,2019,3.806
REGION1,DKCOCHPH3,2020,3.806
REGION1,DKCOCHPH3,2021,3.104
REGION1,DKCOCHPH3,2022,2.132
REGION1,DKCOCHPH3,2023,0.44
REGION1,DKCOSTPH1,2015,0.171
REGION1,DKCOSTPH1,2016,0.171
REGION1,DKCOSTPH1,2017,0.171
REGION1,DKCOSTPH1,2018,0.171
REGION1,DKCOSTPH1,2019,0.171
REGION1,DKCOSTPH1,2020,0.1645
REGION1,DKCOSTPH1,2021,0.0275
REGION1,DKELDEEH1,2015,2.24321
REGION1,DKELDEEH1,2016,2.39774
REGION1,DKELDEEH1,2017,2.33512
REGION1,DKELDEEH1,2018,2.23513
REGION1,DKELDEEH1,2019,2.323
REGION1,DKELDEEH1,2020,2.323
REGION1,DKELDEEH1,2021,2.323
REGION1,DKELDEEH1,2022,2.323
REGION1,DKELDEEH1,2023,2.323
REGION1,DKELDEEH1,2024,2.323
REGION1,DKELDEEH1,2025,2.323
REGION1,DKELDEEH1,2026,2.323
REGION1,DKELDEEH1,2027,2.323
REGION1,DKELDEEH1,2028,2.323
REGION1,DKELDEEH1,2029,2.323
REGION1,DKELDEEH1,2030,2.323
REGION1,DKELDEEH1,2031,2.323
REGION1,DKELDEEH1,2032,2.323
REGION1,DKELDEEH1,2033,2.323
REGION1,DKELDEEH1,2034,2.323
REGION1,DKELDEEH1,2035,2.323
REGION1,DKELDEEH1,2036,2.323
REGION1,DKELDEEH1,2037,2.323
REGION1,DKELDEEH1,2038,2.323
REGION1,DKELDEEH1,2039,2.323
REGION1,DKELDEEH1,2040,2.323
REGION1,DKELDEEH1,2041,2.323
REGION1,DKELDEEH1,2042,2.323
REGION1,DKELDEEH1,2043,2.323
REGION1,DKELDEEH1,2044,2.323
REGION1,DKELDEEH1,2045,2.323
REGION1,DKELDEEH1,2046,2.323
REGION1,DKELDEEH1,2047,2.323
REGION1,DKELDEEH1,2048,2.323
REGION1,DKELDEEH1,2049,2.323
