REGION,YEAR,VALUE
REGION1,2015,17414.798642777594
REGION1,2016,9040.56247328132
REGION1,2017,8738.134581969462
REGION1,2018,17444.664443359474
REGION1,2019,9334.90903497714
REGION1,2020,8997.8938099354
REGION1,2021,9203.495746625593
REGION1,2022,16449.523018312735
REGION1,2023,13344.73101667324
REGION1,2024,14711.853437963584
REGION1,2025,9337.17432904412
REGION1,2026,8803.853602229614
REGION1,2027,9653.065631811914
REGION1,2028,9207.343237558685
REGION1,2029,10167.46572943656
REGION1,2030,11860.135276523788
REGION1,2031,9222.939599157566
REGION1,2032,9518.174722057747
REGION1,2033,10597.89761289308
REGION1,2034,8902.931557356855
REGION1,2035,8866.138684746838
REGION1,2036,6872.684211768558
REGION1,2037,7340.058729353824
REGION1,2038,7066.1752463018165
REGION1,2039,6726.082260874164
REGION1,2040,8498.37629762223
REGION1,2041,6802.393139714842
REGION1,2042,5546.309818665969
REGION1,2043,6228.553386692684
REGION1,2044,5441.474147400727
REGION1,2045,5958.985287968614
REGION1,2046,4957.896612402916
REGION1,2047,5044.12065288087
REGION1,2048,4599.591572825826
REGION1,2049,4448.304335686611
REGION1,2050,4025.318573583205
REGION1,2051,3565.6651685543884
REGION1,2052,3563.7587282760096
REGION1,2053,3130.76371613727
REGION1,2054,3135.6614665804814
REGION1,2055,2919.7634556163066
REGION1,2056,2461.67436628028
REGION1,2057,2360.830286268797
REGION1,2058,2293.7034662734573
REGION1,2059,2018.9065490305543
REGION1,2060,1841.699430511696
