REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,11.7249414673799
REGION1,DKBFHPFH1,2016,11.0903651368028
REGION1,DKBFHPFH1,2017,10.4896374783728
REGION1,DKBFHPFH1,2018,9.92097375762365
REGION1,DKBFHPFH1,2019,9.38263187367094
REGION1,DKBFHPFH1,2020,8.87311228407666
REGION1,DKBFHPFH1,2021,8.42498002744309
REGION1,DKBFHPFH1,2022,7.99940659732774
REGION1,DKBFHPFH1,2023,5.7144965862424
REGION1,DKBFHPFH1,2024,2.50759374922575
REGION1,DKBFHPFH1,2025,2.06549862164519
REGION1,DKBFHPFH1,2026,1.9094907523462
REGION1,DKBFHPFH1,2027,1.73017436615883
REGION1,DKBFHPFH1,2028,1.05348702379892
REGION1,DKBFHPFH1,2029,0.872078302808432
REGION1,DKBFHPFH1,2030,0.685442738311622
REGION1,DKBFHPFH1,2031,0.583505795289972
REGION1,DKBM00X00,2015,73.0466267455146
REGION1,DKBM00X00,2016,69.56821594810908
REGION1,DKBM00X00,2017,66.25544376010396
REGION1,DKBM00X00,2018,63.10042262867032
REGION1,DKBM00X00,2019,60.0956405987337
REGION1,DKBM00X00,2020,57.233943427365446
REGION1,DKBM00X00,2021,54.508517549871776
REGION1,DKBM00X00,2022,51.9128738570208
REGION1,DKBM00X00,2023,35.40642577810935
REGION1,DKBM00X00,2024,33.72040550296133
REGION1,DKBM00X00,2025,32.11467190758217
REGION1,DKBM00X00,2026,37.560716442317904
REGION1,DKBM00X00,2027,63.282998804229095
REGION1,DKBM00X00,2028,68.00280831795995
REGION1,DKBM00X00,2029,67.77516829166828
REGION1,DKBM00X00,2030,73.29904521035142
REGION1,DKBM00X00,2031,69.80861448604901
REGION1,DKBM00X00,2032,71.88271035720507
REGION1,DKBM00X00,2033,71.14697098546053
REGION1,DKBM00X00,2034,69.9666329028636
REGION1,DKBM00X00,2035,68.18760703211028
REGION1,DKBM00X00,2036,66.27101864661951
REGION1,DKBM00X00,2037,63.11525585392325
REGION1,DKBM00X00,2038,61.53702380056259
REGION1,DKBM00X00,2039,58.606689333868985
REGION1,DKBM00X00,2040,55.815894603684846
REGION1,DKBM00X00,2041,53.643070778497616
REGION1,DKBM00X00,2042,53.287464045576456
REGION1,DKBM00X00,2043,50.11291585980091
REGION1,DKBM00X00,2044,48.566884055123225
REGION1,DKBM00X00,2045,49.50300533521832
REGION1,DKBM00X00,2046,47.69090328736096
REGION1,DKBM00X00,2047,45.939130674140365
REGION1,DKBM00X00,2048,44.246096314321605
REGION1,DKBM00X00,2049,42.61008971560396
REGION1,DKBM00X00,2050,41.02956198498552
REGION1,DKBM00X00,2051,39.4666589156644
REGION1,DKBM00X00,2052,37.96307749735907
REGION1,DKBM00X00,2053,36.15531190224701
REGION1,DKBM00X00,2054,34.43363038309209
REGION1,DKBM00X00,2055,32.793933698182975
REGION1,DKBM00X00,2056,29.618387306156368
REGION1,DKBM00X00,2057,22.37485916513318
REGION1,DKBM00X00,2058,19.51967722953668
REGION1,DKBM00X00,2059,17.89319878227877
REGION1,DKBM00X00,2060,14.112057886753924
REGION1,DKBMCCPH1,2057,3.213049171539037
REGION1,DKBMCCPH1,2058,0.32513863310984903
