REGION,TECHNOLOGY,VALUE
REGION1,DKBM00X00,3172.51500698108
REGION1,DKBMCCPH1,3.5183823781567556
REGION1,DKBMSTPH3,1107.8383632175803
REGION1,DKCO00I00,569.203103489303
REGION1,DKCOCHPH3,202.5724357173468
REGION1,DKCOSTPH1,26.41455231125838
REGION1,DKEL00TD0,8634.139285968526
REGION1,DKELDEEH1,2325.3958365584876
REGION1,DKELDEIH1,24.742834118234903
REGION1,DKELNLEH1,681.9932181890824
REGION1,DKELNLIH1,0.5563263025611902
REGION1,DKELNOPH1,3248.2230254351925
REGION1,DKELSEPH1,1327.5489958731905
REGION1,DKGO00X00,869.2878639424108
REGION1,DKGOCVPH2,206.6317876017125
REGION1,DKHGSLPN2,36.05140947764713
REGION1,DKHGSRPH2,155.03930051699777
REGION1,DKHGSRPN2,1380.4269611627712
REGION1,DKHGTDP00,1528.0616292733464
REGION1,DKHYDMPH0,1.127520591491823
REGION1,DKHYDMPH3,2.494513423229439
REGION1,DKNG00I00,1206.2208269681194
REGION1,DKNG00X00,1392.3407554574394
REGION1,DKNGCCPH2,159.0555134910273
REGION1,DKNGCHPH3,1.9974003698571956
REGION1,DKNGSTPH2,4.223364268808234
REGION1,DKOCWVPH1,0.07456691754192406
REGION1,DKSODIFH1,0.0029411907325744262
REGION1,DKSOUTPH2,583.6172805142357
REGION1,DKWIOFPH3,260.3058758644768
REGION1,DKWIONPH3,4173.010466515561
REGION1,DKWS00X00,1600.9512000605052
REGION1,DKWSCHPH2,67.90969364351135
REGION1,DKWSSTPH1,469.73511574384895
REGION1,FIBM00X00,5824.820365744234
REGION1,FIBMSTPH3,2038.6891666996487
REGION1,FICO00I00,331.72786404187536
REGION1,FICO00X00,545.4188054394372
REGION1,FICOCHPH3,192.86746630926146
REGION1,FICOSTPH3,188.12810623972604
REGION1,FIEL00TD0,19331.388078908334
REGION1,FIELEEEH1,1203.8616562747638
REGION1,FIELNOPH1,104.40125714952188
REGION1,FIELSEPH1,999.8578803875953
REGION1,FIGO00X00,15.907141909199272
REGION1,FIGOCVPH2,3.922956703588286
REGION1,FIHGSRPH2,726.2663544068098
REGION1,FIHGSRPN2,604.3620423107658
REGION1,FIHGTDP00,1325.3006879520085
REGION1,FIHYDMPH1,177.41173516783826
REGION1,FIHYDMPH2,948.5745666655657
REGION1,FIHYDMPH3,1305.3101886272975
REGION1,FING00I00,2097.774261582154
REGION1,FINGCCPH2,48.730134619348846
REGION1,FINUG2PH3,1125.5703670404584
REGION1,FINUG3PN3,3023.406803692384
REGION1,FISOUTPH2,175.55076798789995
REGION1,FIUR00I00,12572.645520471733
REGION1,FIWIOFPH3,5.849749066759375
REGION1,FIWIONPH3,125.92281842893497
REGION1,FIWIONPN3,8351.41242739068
REGION1,FIWS00X00,6109.970449126277
REGION1,FIWSCHPH2,31.51446222845012
REGION1,FIWSSTPH1,2205.32473919868
REGION1,NOCO00I00,1.1866937691190047
REGION1,NOCOCHPH3,0.23876641128976073
REGION1,NOCOSTPH1,0.24017761221863393
REGION1,NOEL00TD0,28141.995701589567
REGION1,NOELDEEH1,1677.2099579687813
REGION1,NOELDEIH1,1.9221598879377741
REGION1,NOELNLEH1,869.7563874096465
REGION1,NOELSEPH1,3614.2488106737233
