REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCCPH1,DKBM,2057,0.1138854954219794
REGION1,S01B1,DKBMCCPH1,DKBM,2058,0.11379438702524525
REGION1,S01B1,DKBMSTPH3,DKBM,2016,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2018,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2020,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2023,1.4420564700787575
REGION1,S01B1,DKBMSTPH3,DKBM,2030,1.5106882840630405
REGION1,S01B1,DKBMSTPH3,DKBM,2031,1.8980556347625095
REGION1,S01B1,DKBMSTPH3,DKBM,2032,2.5901943499590563
REGION1,S01B1,DKBMSTPH3,DKBM,2033,2.5264327592197966
REGION1,S01B1,DKBMSTPH3,DKBM,2034,2.224558908518076
REGION1,S01B1,DKBMSTPH3,DKBM,2035,2.064222432861498
REGION1,S01B1,DKBMSTPH3,DKBM,2036,1.8351902658528307
REGION1,S01B1,DKBMSTPH3,DKBM,2037,2.4448791285316442
REGION1,S01B1,DKBMSTPH3,DKBM,2038,2.8382060021044238
REGION1,S01B1,DKBMSTPH3,DKBM,2040,0.9674715919821409
REGION1,S01B1,DKBMSTPH3,DKBM,2048,0.3058997870132508
REGION1,S01B1,DKBMSTPH3,DKBM,2052,0.5573964867205132
REGION1,S01B1,DKBMSTPH3,DKBM,2055,0.9252026869710154
REGION1,S01B1,DKBMSTPH3,DKBM,2060,2.9180589014955283
REGION1,S01B1,DKCOCHPH3,DKCO,2016,1.9346255148772111
REGION1,S01B1,DKCOCHPH3,DKCO,2020,0.665740403316065
REGION1,S01B1,DKCOCHPH3,DKCO,2021,3.6638287912868095
REGION1,S01B1,DKCOCHPH3,DKCO,2022,5.744851640510384
REGION1,S01B1,DKCOCHPH3,DKCO,2023,1.4729544100799243
REGION1,S01B1,DKCOSTPH1,DKCO,2017,0.08737825057748798
REGION1,S01B1,DKCOSTPH1,DKCO,2021,0.09250118373201195
REGION1,S01B1,DKEL00TD0,DKE1,2015,4.450533637076362
REGION1,S01B1,DKEL00TD0,DKE1,2016,4.429920311657763
REGION1,S01B1,DKEL00TD0,DKE1,2017,4.409695916907436
REGION1,S01B1,DKEL00TD0,DKE1,2018,4.389471522157111
REGION1,S01B1,DKEL00TD0,DKE1,2019,4.369247127406787
REGION1,S01B1,DKEL00TD0,DKE1,2020,4.349411663324737
REGION1,S01B1,DKEL00TD0,DKE1,2021,4.451311498412914
REGION1,S01B1,DKEL00TD0,DKE1,2022,4.553989194837642
REGION1,S01B1,DKEL00TD0,DKE1,2023,4.657055821930644
REGION1,S01B1,DKEL00TD0,DKE1,2024,4.7605113796919225
REGION1,S01B1,DKEL00TD0,DKE1,2025,4.8647447987897525
REGION1,S01B1,DKEL00TD0,DKE1,2026,4.950698476478634
REGION1,S01B1,DKEL00TD0,DKE1,2027,5.036652154167517
REGION1,S01B1,DKEL00TD0,DKE1,2028,5.122605831856398
REGION1,S01B1,DKEL00TD0,DKE1,2029,5.208948440213557
REGION1,S01B1,DKEL00TD0,DKE1,2030,5.295291048570714
REGION1,S01B1,DKEL00TD0,DKE1,2031,5.507647193449127
