REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2028,0.01788358572713652
REGION1,DKBMCSPN2,2029,0.06205485611790709
REGION1,DKBMCSPN2,2030,0.3050567462222136
REGION1,DKBMCSPN2,2031,0.31439570411791656
REGION1,DKBMCSPN2,2032,0.32610747443722243
REGION1,DKBMCSPN2,2033,0.340516059023364
REGION1,DKBMCSPN2,2034,0.35803534468648346
REGION1,DKBMCSPN2,2035,0.37919367435155005
REGION1,DKBMCSPN2,2036,0.40466677857633854
REGION1,DKBMCSPN2,2037,0.4353242914008817
REGION1,DKBMCSPN2,2038,0.4729012034643081
REGION1,DKBMCSPN2,2039,0.5321818739967114
REGION1,DKBMCSPN2,2040,0.6134965714995442
REGION1,DKBMCSPN2,2041,0.7051536195023876
REGION1,DKBMCSPN2,2042,0.8081595217040255
REGION1,DKBMCSPN2,2043,0.9235810434340566
REGION1,DKBMCSPN2,2044,1.052545849621034
REGION1,DKBMCSPN2,2045,1.1962434691417232
REGION1,DKBMCSPN2,2046,1.3485120408891023
REGION1,DKBMCSPN2,2047,1.4961719794522355
REGION1,DKBMCSPN2,2048,1.6389372761133663
REGION1,DKBMCSPN2,2049,1.7764543201571763
REGION1,DKBMCSPN2,2050,1.908284232976667
REGION1,DKBMCSPN2,2051,2.0474113896856307
REGION1,DKBMCSPN2,2052,2.1949193747028874
REGION1,DKBMCSPN2,2053,2.3523267430537143
REGION1,DKBMCSPN2,2054,2.5217868906896195
REGION1,DKBMCSPN2,2055,2.7064240302868825
REGION1,DKBMCSPN2,2056,2.908930010946724
REGION1,DKBMCSPN2,2057,3.1363428135712113
REGION1,DKBMCSPN2,2058,3.401330772428571
REGION1,DKBMCSPN2,2059,3.730819191483107
REGION1,DKBMCSPN2,2060,4.203881193014792
REGION1,DKBMSTPH3,2024,0.06575643119703113
REGION1,DKBMSTPH3,2025,0.098
REGION1,DKBMSTPH3,2026,0.098
REGION1,DKBMSTPH3,2027,0.098
REGION1,DKBMSTPH3,2028,0.098
