REGION,EMISSION,YEAR,VALUE
REGION1,BMIM,2015,0.0
REGION1,BMIM,2016,0.0
REGION1,BMIM,2017,0.0
REGION1,BMIM,2018,0.0
REGION1,BMIM,2019,0.0
REGION1,BMIM,2020,0.0
REGION1,BMIM,2021,0.0
REGION1,BMIM,2022,0.0
REGION1,BMIM,2023,0.0
REGION1,BMIM,2024,0.0
REGION1,BMIM,2025,0.0
REGION1,BMIM,2026,0.0
REGION1,BMIM,2027,0.0
REGION1,BMIM,2028,0.0
REGION1,BMIM,2029,0.0
REGION1,BMIM,2030,0.0
REGION1,BMIM,2031,0.0
REGION1,BMIM,2032,0.0
REGION1,BMIM,2033,0.0
REGION1,BMIM,2034,0.0
REGION1,BMIM,2035,0.0
REGION1,BMIM,2036,0.0
REGION1,BMIM,2037,0.0
REGION1,BMIM,2038,0.0
REGION1,BMIM,2039,0.0
REGION1,BMIM,2040,0.0
REGION1,BMIM,2041,0.0
REGION1,BMIM,2042,0.0
REGION1,BMIM,2043,0.0
REGION1,BMIM,2044,0.0
REGION1,BMIM,2045,0.0
REGION1,BMIM,2046,0.0
REGION1,BMIM,2047,0.0
REGION1,BMIM,2048,0.0
REGION1,BMIM,2049,0.0
REGION1,BMIM,2050,0.0
REGION1,BMIM,2051,0.0
REGION1,BMIM,2052,0.0
REGION1,BMIM,2053,0.0
REGION1,BMIM,2054,0.0
REGION1,BMIM,2055,0.0
REGION1,BMIM,2056,0.0
REGION1,BMIM,2057,0.0
REGION1,BMIM,2058,0.0
REGION1,BMIM,2059,0.0
REGION1,BMIM,2060,0.0
REGION1,CO2,2015,18231.133928702387
REGION1,CO2,2016,20581.662934707154
REGION1,CO2,2017,21654.317765111027
REGION1,CO2,2018,6519.047589758646
REGION1,CO2,2019,6212.2716500479
REGION1,CO2,2020,5982.327526558252
REGION1,CO2,2021,10319.840039504012
REGION1,CO2,2022,22591.87530641755
REGION1,CO2,2023,10617.025420203829
REGION1,CO2,2024,4121.513204552679
REGION1,CO2,2025,3651.7408611276214
REGION1,CO2,2026,3107.6038836040243
REGION1,CO2,2027,3013.47654201678
REGION1,CO2,2028,2326.075452855039
REGION1,CO2,2029,1128.577939519761
REGION1,CO2,2030,-8801.205997786192
REGION1,CO2,2031,-9044.727471835953
REGION1,CO2,2032,-15175.485159057685
REGION1,CO2,2033,-17814.74556867638
REGION1,CO2,2034,-18677.318693333043
REGION1,CO2,2035,-19723.897106061406
REGION1,CO2,2036,-20987.878070718143
REGION1,CO2,2037,-22512.284769350692
REGION1,CO2,2038,-24384.23338521975
REGION1,CO2,2039,-27360.687506171074
REGION1,CO2,2040,-31448.76776748028
REGION1,CO2,2041,-36147.247824604114
REGION1,CO2,2042,-41427.486801548665
REGION1,CO2,2043,-47344.16860292057
REGION1,CO2,2044,-53955.10190815815
REGION1,CO2,2045,-61321.26087143834
REGION1,CO2,2046,-69231.18824243291
REGION1,CO2,2047,-74064.88279651433
REGION1,CO2,2048,-75519.3540173064
REGION1,CO2,2049,-76873.4094949363
REGION1,CO2,2050,-78176.6601672328
REGION1,CO2,2051,-79372.1915395744
REGION1,CO2,2052,-80476.79757784047
REGION1,CO2,2053,-81508.3244817816
REGION1,CO2,2054,-82481.83158494212
REGION1,CO2,2055,-83409.50148044265
REGION1,CO2,2056,-84119.66751462616
REGION1,CO2,2057,-84799.03308041695
REGION1,CO2,2058,-85454.3317972787
REGION1,CO2,2059,-86090.6658732595
REGION1,CO2,2060,-86712.75907558866
REGION1,DKHO,2015,0.07999995404822358
REGION1,DKHO,2016,0.07999994796426124
REGION1,DKHO,2017,0.02203546456110083
REGION1,DKHO,2018,0.07999996781719172
REGION1,DKHO,2019,0.07999996781719171
REGION1,DKHO,2020,0.07999996781719174
REGION1,DKHO,2021,0.07999996806326987
REGION1,DKHO,2022,0.07999996781719197
REGION1,DKHO,2023,0.079999967817192
REGION1,DKHO,2024,0.07999996781719171
REGION1,DKHO,2025,0.07999996812244123
REGION1,DKHO,2026,0.07999996812244121
REGION1,DKHO,2027,0.07999996812244166
REGION1,DKHO,2028,0.07999996812244124
REGION1,DKHO,2029,0.07999996812244121
REGION1,DKHO,2030,0.07999996730359174
REGION1,DKHO,2031,0.07999996812244123
REGION1,DKHO,2032,0.07999996812243144
REGION1,DKHO,2033,0.07999996781719171
REGION1,DKHO,2034,0.07999996763687173
REGION1,DKHO,2035,0.07999996746805921
REGION1,DKHO,2036,0.0799999679290241
REGION1,DKHO,2037,0.0799999679290241
REGION1,DKHO,2038,0.07999996792901612
REGION1,DKHO,2039,0.07999996792903033
REGION1,DKHO,2040,0.07999996792902413
REGION1,DKHO,2041,0.07999996862839752
REGION1,DKHO,2042,0.07999996833611718
REGION1,DKHO,2043,0.07999996862838182
REGION1,DKHO,2044,0.07999996862838459
REGION1,DKHO,2045,0.07999996756735789
REGION1,DKHO,2046,0.07999996804240825
REGION1,DKHO,2047,0.07999996804243223
REGION1,DKHO,2048,0.07999996804242422
REGION1,DKHO,2049,0.07999996760641297
REGION1,DKHO,2050,0.07999996764837919
REGION1,DKHO,2051,0.0799999676483472
REGION1,DKHO,2052,0.07999996781719172
REGION1,DKHO,2053,0.07999996781719172
REGION1,DKHO,2054,0.07999996781719174
REGION1,DKHO,2055,0.07999996781719793
REGION1,DKHO,2056,0.07999996781719172
REGION1,DKHO,2057,0.07999996760641295
REGION1,DKHO,2058,0.07999996781719172
REGION1,DKHO,2059,0.07999996742042323
REGION1,DKHO,2060,0.07999996791256801
REGION1,DKPM25,2015,1.5993204332385058
REGION1,DKPM25,2016,1.6325856846769888
REGION1,DKPM25,2017,1.6485312941108416
REGION1,DKPM25,2018,1.5263972617277841
REGION1,DKPM25,2019,1.5283426020989213
REGION1,DKPM25,2020,1.5296311033762793
REGION1,DKPM25,2021,1.5630182586414612
REGION1,DKPM25,2022,1.6884912307577258
REGION1,DKPM25,2023,1.136459814987941
REGION1,DKPM25,2024,1.2962340917639628
REGION1,DKPM25,2025,1.390639596197972
REGION1,DKPM25,2026,1.390075922947262
REGION1,DKPM25,2027,1.389634324229895
REGION1,DKPM25,2028,1.3891928301683507
REGION1,DKPM25,2029,1.388751686605654
REGION1,DKPM25,2030,1.2218922293235248
REGION1,DKPM25,2031,1.2213738992307974
REGION1,DKPM25,2032,1.2208557411681242
REGION1,DKPM25,2033,1.220337542088647
REGION1,DKPM25,2034,1.2198193275037117
REGION1,DKPM25,2035,1.2193011279557244
REGION1,DKPM25,2036,1.2190755701901608
REGION1,DKPM25,2037,1.2188500396291342
REGION1,DKPM25,2038,1.218624512164293
REGION1,DKPM25,2039,1.2183991409213137
REGION1,DKPM25,2040,1.2181734662018224
REGION1,DKPM25,2041,1.2181418047124997
REGION1,DKPM25,2042,1.193324325515699
REGION1,DKPM25,2043,0.4851291068198003
REGION1,DKPM25,2044,0.024791165290164733
REGION1,DKPM25,2045,0.31248752274901687
REGION1,DKPM25,2046,0.024485115004556877
REGION1,DKPM25,2047,0.02421080531963805
REGION1,DKPM25,2048,0.023936496746527144
REGION1,DKPM25,2049,0.023662191741692297
REGION1,DKPM25,2050,0.023387885909380818
REGION1,DKPM25,2051,0.02308383952978995
REGION1,DKPM25,2052,0.022783730832677315
REGION1,DKPM25,2053,0.022487562830520797
REGION1,DKPM25,2054,0.022195199269927145
REGION1,DKPM25,2055,0.021906678362899442
REGION1,DKPM25,2056,0.0215781129888704
REGION1,DKPM25,2057,0.0212544319119267
REGION1,DKPM25,2058,0.020935597144079613
REGION1,DKPM25,2059,0.020621514673429358
REGION1,DKPM25,2060,0.020312199681052148
REGION1,DKSO,2015,2.771097774546021
REGION1,DKSO,2016,2.771097774546021
REGION1,DKSO,2017,2.771097774546021
REGION1,DKSO,2018,2.771097774546021
REGION1,DKSO,2019,2.771097774546026
REGION1,DKSO,2020,2.771097774546026
REGION1,DKSO,2021,2.771097774546026
REGION1,DKSO,2022,2.771097774546026
REGION1,DKSO,2023,2.7710800565295646
REGION1,DKSO,2024,5.003762383154654
REGION1,DKSO,2025,8.439992080335903
