REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,12.014504280309298
REGION1,DKBFHPFH1,2016,11.932454006825099
REGION1,DKBFHPFH1,2017,11.850403733340897
REGION1,DKBFHPFH1,2018,11.7683534598567
REGION1,DKBFHPFH1,2019,11.686303186372498
REGION1,DKBFHPFH1,2020,11.604252912888299
REGION1,DKBFHPFH1,2021,11.569088510866598
REGION1,DKBFHPFH1,2022,11.5339241088449
REGION1,DKBFHPFH1,2023,8.651399112828
REGION1,DKBFHPFH1,2024,3.9861588320805
REGION1,DKBFHPFH1,2025,3.4475564011798
REGION1,DKBFHPFH1,2026,3.3465358314080995
REGION1,DKBFHPFH1,2027,3.1838811426761997
REGION1,DKBFHPFH1,2028,2.0355661310540003
REGION1,DKBFHPFH1,2029,1.7692962527363998
REGION1,DKBFHPFH1,2030,1.4601763336608
REGION1,DKBFHPFH1,2031,1.3051737983837
REGION1,DKBMCSPN2,2028,2.2738702145893246
REGION1,DKBMCSPN2,2029,7.890178801392332
REGION1,DKBMCSPN2,2030,38.78749259672619
REGION1,DKBMCSPN2,2031,39.97492662244956
REGION1,DKBMCSPN2,2032,41.46406007116119
REGION1,DKBMCSPN2,2033,43.29608927518728
REGION1,DKBMCSPN2,2034,45.52363930111978
REGION1,DKBMCSPN2,2035,48.21388813320118
REGION1,DKBMCSPN2,2036,51.45275386480804
REGION1,DKBMCSPN2,2037,55.35080911663258
REGION1,DKBMCSPN2,2038,60.128655260072
REGION1,DKBMCSPN2,2039,67.66610066286809
REGION1,DKBMCSPN2,2040,78.0051384532295
REGION1,DKBMCSPN2,2041,89.65919008419516
REGION1,DKBMCSPN2,2042,102.75623094148796
REGION1,DKBMCSPN2,2043,117.43189858381349
REGION1,DKBMCSPN2,2044,133.82957385952048
REGION1,DKBMCSPN2,2045,152.10050352211465
REGION1,DKBMCSPN2,2046,171.461216479642
REGION1,DKBMCSPN2,2047,190.23594886886957
REGION1,DKBMCSPN2,2048,208.38833512450518
REGION1,DKBMCSPN2,2049,225.87341419201587
REGION1,DKBMCSPN2,2050,242.6353833365642
REGION1,DKBMCSPN2,2051,260.32518573457963
REGION1,DKBMCSPN2,2052,279.080597465901
REGION1,DKBMCSPN2,2053,299.0947004489914
REGION1,DKBMCSPN2,2054,320.641295642398
REGION1,DKBMCSPN2,2055,344.11762184694214
REGION1,DKBMCSPN2,2056,369.86594350482403
REGION1,DKBMCSPN2,2057,398.7811289823899
REGION1,DKBMCSPN2,2058,432.4739373522609
REGION1,DKBMCSPN2,2059,474.3678792927398
REGION1,DKBMCSPN2,2060,534.5169797779222
REGION1,DKBMSTPH3,2015,39.360586592669435
REGION1,DKBMSTPH3,2016,39.07605223271679
REGION1,DKBMSTPH3,2017,38.79151787276416
REGION1,DKBMSTPH3,2018,38.506983512811516
REGION1,DKBMSTPH3,2019,38.222449147760635
REGION1,DKBMSTPH3,2020,37.937914787808
REGION1,DKBMSTPH3,2021,37.81145507057408
REGION1,DKBMSTPH3,2022,37.6849953584384
REGION1,DKBMSTPH3,2023,26.897069570570082
REGION1,DKBMSTPH3,2024,31.63444712920922
REGION1,DKBMSTPH3,2025,33.88694939391744
REGION1,DKBMSTPH3,2026,33.772078382492154
REGION1,DKBMSTPH3,2027,33.65720736643584
REGION1,DKBMSTPH3,2028,33.542336350379514
REGION1,DKBMSTPH3,2029,33.427465334323195
REGION1,DKBMSTPH3,2030,29.235271580251556
REGION1,DKBMSTPH3,2031,29.134460297931298
REGION1,DKBMSTPH3,2032,29.033649015611033
REGION1,DKBMSTPH3,2033,28.932837733290775
REGION1,DKBMSTPH3,2034,28.832026455034736
REGION1,DKBMSTPH3,2035,28.731215172714478
REGION1,DKBMSTPH3,2036,28.645021528220514
REGION1,DKBMSTPH3,2037,28.55908646159562
REGION1,DKBMSTPH3,2038,28.4734092047022
REGION1,DKBMSTPH3,2039,28.387988977210018
REGION1,DKBMSTPH3,2040,28.302825006917274
REGION1,DKBMSTPH3,2041,28.217916533814833
REGION1,DKBMSTPH3,2042,27.548892342081
REGION1,DKBMSTPH3,2043,10.8200361699612
REGION1,DKBMSTPH3,2045,6.722865842280001
REGION1,DKBMSTPH3,2046,6.70269724432
REGION1,DKBMSTPH3,2047,6.682589152539999
REGION1,DKBMSTPH3,2048,6.662541385640001
REGION1,DKBMSTPH3,2049,6.64255376134
REGION1,DKBMSTPH3,2050,6.62262609932
REGION1,DKBMSTPH3,2051,6.60275822122
REGION1,DKBMSTPH3,2052,6.58294994672
REGION1,DKBMSTPH3,2053,6.56320109746
REGION1,DKBMSTPH3,2054,2.1529200313574584
REGION1,DKCOSTPH1,2015,6.83955363699
REGION1,DKCOSTPH1,2016,6.83955363699
REGION1,DKCOSTPH1,2017,6.83955363699
REGION1,DKCOSTPH1,2018,6.83955363699
REGION1,DKCOSTPH1,2019,6.83955363699
REGION1,DKCOSTPH1,2020,6.579570604005
REGION1,DKCOSTPH1,2021,1.099928216475
REGION1,DKGOCVPH2,2022,2.1404006499441617
REGION1,DKGOCVPH2,2023,2.277298057917302
REGION1,DKGOCVPH2,2024,2.4132882848153048
REGION1,DKGOCVPH2,2025,2.5483666523889617
REGION1,DKGOCVPH2,2026,4.004435237025109
REGION1,DKGOCVPH2,2027,5.451326792072058
REGION1,DKGOCVPH2,2028,6.8889751191113655
REGION1,DKGOCVPH2,2029,8.31732948727279
REGION1,DKGOCVPH2,2030,9.7363554791921
REGION1,DKGOCVPH2,2031,10.835015730348033
REGION1,DKGOCVPH2,2032,11.931336863967505
REGION1,DKGOCVPH2,2033,13.025300749662609
REGION1,DKGOCVPH2,2034,13.572645868923692
REGION1,DKGOCVPH2,2035,13.53049479377076
REGION1,DKGOCVPH2,2036,13.488343720776784
REGION1,DKGOCVPH2,2037,13.446192645623853
REGION1,DKGOCVPH2,2038,13.404041572629877
REGION1,DKGOCVPH2,2039,13.361890497476946
REGION1,DKGOCVPH2,2040,13.31973942448297
REGION1,DKGOCVPH2,2041,13.277588349330038
REGION1,DKGOCVPH2,2042,13.235437274177107
REGION1,DKGOCVPH2,2043,13.193286201183131
REGION1,DKGOCVPH2,2044,13.1511351260302
REGION1,DKGOCVPH2,2045,13.108984053036224
REGION1,DKGOCVPH2,2046,13.066832977883292
REGION1,DKGOCVPH2,2047,13.024681904889317
REGION1,DKGOCVPH2,2048,12.982530829736385
REGION1,DKGOCVPH2,2049,12.940379756742411
REGION1,DKGOCVPH2,2050,12.898228681589478
REGION1,DKGOCVPH2,2051,12.885330454449385
REGION1,DKGOCVPH2,2052,12.872445122762171
REGION1,DKGOCVPH2,2053,12.859572677892006
REGION1,DKGOCVPH2,2054,12.84671310472619
REGION1,DKGOCVPH2,2055,12.833866392469934
REGION1,DKGOCVPH2,2056,12.821032526010537
REGION1,DKGOCVPH2,2057,12.808211492394252
REGION1,DKGOCVPH2,2058,12.795403280826294
REGION1,DKGOCVPH2,2059,12.782607878352918
REGION1,DKGOCVPH2,2060,12.769825269861421
REGION1,DKHFCHPH3,2015,0.003085250308
REGION1,DKHFCHPH3,2016,0.003085250308
REGION1,DKHFCHPH3,2017,0.003085250308
REGION1,DKHFCHPH3,2018,0.003085250308
REGION1,DKHFCHPH3,2019,0.003085250308
REGION1,DKHFCHPH3,2020,0.003085250308
REGION1,DKHFCHPH3,2021,0.000200095112
REGION1,DKHFCHPH3,2022,0.002980275157857676
REGION1,DKHFCHPH3,2023,0.018921040068132493
REGION1,DKHFCHPH3,2024,0.02927286917095642
REGION1,DKHFCHPH3,2025,0.029691686627251714
REGION1,DKHFCHPH3,2026,0.030161955198238655
REGION1,DKHFCHPH3,2027,0.03202675005456208
REGION1,DKHFCHPH3,2028,0.03223269709073541
REGION1,DKHFCHPH3,2029,0.03223269709073541
REGION1,DKHFCHPH3,2030,0.03223269709073541
REGION1,DKHFCHPH3,2031,0.03223269709073541
REGION1,DKHFCHPH3,2032,0.03223269709073541
REGION1,DKHFCHPH3,2033,0.03223269709073541
REGION1,DKHFCHPH3,2034,0.03223269709073541
REGION1,DKHFCHPH3,2035,0.03223269709073541
REGION1,DKHFCHPH3,2036,0.03223269709073541
REGION1,DKHFCHPH3,2037,0.03223269709073541
REGION1,DKHFCHPH3,2038,0.03223269709073541
REGION1,DKHFCHPH3,2039,0.03223269709073541
REGION1,DKHFCHPH3,2040,0.03223269709073541
REGION1,DKHFCHPH3,2041,0.03223269709073541
REGION1,DKHFCHPH3,2042,0.03223269709073541
REGION1,DKHFCHPH3,2043,0.03223269709073541
REGION1,DKHFCHPH3,2044,0.032404886401323836
REGION1,DKHFCHPH3,2045,0.032404886401323836
REGION1,DKHFCHPH3,2046,0.032404886401323836
REGION1,DKHFCHPH3,2047,0.031082197521143825
REGION1,DKHFCHPH3,2048,0.030834091497867547
REGION1,DKHFCHPH3,2049,0.030614367898787655
REGION1,DKHFCHPH3,2050,0.030425400168877764
REGION1,DKHFCHPH3,2051,0.030181794338491445
REGION1,DKHFCHPH3,2052,0.030149351127524076
REGION1,DKHFCHPH3,2053,0.030068116397975395
REGION1,DKHFCHPH3,2054,0.030068116397975395
REGION1,DKHFCHPH3,2055,0.030068116397975395
REGION1,DKHFCHPH3,2056,0.030068116397975395
REGION1,DKHFCHPH3,2057,0.030068116397975395
REGION1,DKHFCHPH3,2058,0.030068116397975395
REGION1,DKHFCHPH3,2059,0.030068116397975395
REGION1,DKHFCHPH3,2060,0.030068116397975395
REGION1,DKHFGCPH3,2015,1.7263838892864
REGION1,DKHFGCPH3,2016,1.7642481814536
REGION1,DKHFGCPH3,2017,1.8021124733902
REGION1,DKHFGCPH3,2018,1.8399767653268
REGION1,DKHFGCPH3,2019,1.8778410572634
REGION1,DKHFGCPH3,2020,1.9157053492
REGION1,DKHFGCPH3,2021,1.9157053492
REGION1,DKHFGCPH3,2022,0.103843525
REGION1,DKHFSTPH3,2015,33.7652382705
REGION1,DKHFSTPH3,2016,33.7652382705
REGION1,DKHFSTPH3,2017,33.7652382705
REGION1,DKHFSTPH3,2018,33.7652382705
REGION1,DKHFSTPH3,2019,33.7652382705
REGION1,DKHFSTPH3,2020,33.7652382705
REGION1,DKHFSTPH3,2021,33.7652382705
