REGION,TECHNOLOGY,YEAR,VALUE,absolute_production
REGION1,DKELRENEW,2015,0.6694,66.84
REGION1,DKELRENEW,2016,0.6021,66.84
REGION1,DKELRENEW,2017,0.578,66.79
REGION1,DKELRENEW,2018,0.9432,66.84
REGION1,DKELRENEW,2019,0.9487,66.84
REGION1,DKELRENEW,2020,0.9547,66.84
REGION1,DKELRENEW,2021,0.8452,66.84
REGION1,DKELRENEW,2022,0.5695,75.59
REGION1,DKELRENEW,2023,0.8521,71.47
REGION1,DKELRENEW,2024,0.9917,73.4
REGION1,DKELRENEW,2025,0.9921,76.65
REGION1,DKELRENEW,2026,1.0,77.38
REGION1,DKELRENEW,2027,1.0,76.12
REGION1,DKELRENEW,2028,1.0,80.91
REGION1,DKELRENEW,2029,1.0,83.31
REGION1,DKELRENEW,2030,1.0,90.72
REGION1,DKELRENEW,2031,1.0,93.98
REGION1,DKELRENEW,2032,1.0,99.92
REGION1,DKELRENEW,2033,1.0,105.73
REGION1,DKELRENEW,2034,1.0,113.83
REGION1,DKELRENEW,2035,1.0,125.65
REGION1,DKELRENEW,2036,1.0,136.93
REGION1,DKELRENEW,2037,1.0,148.12
REGION1,DKELRENEW,2038,1.0,158.38
REGION1,DKELRENEW,2039,1.0,171.42
REGION1,DKELRENEW,2040,1.0,199.42
REGION1,DKELRENEW,2041,1.0,223.85
REGION1,DKELRENEW,2042,1.0,226.72
REGION1,DKELRENEW,2043,1.0,225.4
REGION1,DKELRENEW,2044,1.0,225.66
REGION1,DKELRENEW,2045,1.0,231.92
REGION1,DKELRENEW,2046,1.0,232.63
REGION1,DKELRENEW,2047,1.0,233.26
REGION1,DKELRENEW,2048,1.0,233.91
REGION1,DKELRENEW,2049,1.0,234.57
REGION1,DKELRENEW,2050,1.0,235.23
REGION1,DKELRENEW,2051,1.0,235.77
REGION1,DKELRENEW,2052,1.0,236.27
REGION1,DKELRENEW,2053,1.0,230.26
REGION1,DKELRENEW,2054,1.0,230.7
REGION1,DKELRENEW,2055,1.0,229.3
REGION1,DKELRENEW,2056,1.0,227.62
REGION1,DKELRENEW,2057,1.0,223.11
REGION1,DKELRENEW,2058,1.0,210.96
REGION1,DKELRENEW,2059,1.0,210.14
REGION1,DKELRENEW,2060,1.0,211.4
REGION1,ELRENEW,2015,0.931,1273.51
REGION1,ELRENEW,2016,0.924,1279.67
REGION1,ELRENEW,2017,0.9207,1276.01
REGION1,ELRENEW,2018,0.9694,1362.63
REGION1,ELRENEW,2019,0.9707,1348.28
REGION1,ELRENEW,2020,0.9717,1338.49
REGION1,ELRENEW,2021,0.9586,1359.75
REGION1,ELRENEW,2022,0.9265,1439.98
REGION1,ELRENEW,2023,0.9588,1499.91
REGION1,ELRENEW,2024,0.9792,1553.58
REGION1,ELRENEW,2025,0.9828,1595.85
REGION1,ELRENEW,2026,0.987,1634.67
REGION1,ELRENEW,2027,0.9876,1678.76
REGION1,ELRENEW,2028,0.9895,1735.2
REGION1,ELRENEW,2029,0.9961,1770.23
REGION1,ELRENEW,2030,1.0,1826.42
REGION1,ELRENEW,2031,1.0,1872.26
REGION1,ELRENEW,2032,1.0,1934.9
REGION1,ELRENEW,2033,1.0,2018.77
REGION1,ELRENEW,2034,1.0,2090.63
REGION1,ELRENEW,2035,1.0,2138.48
REGION1,ELRENEW,2036,1.0,2181.84
REGION1,ELRENEW,2037,1.0,2226.87
REGION1,ELRENEW,2038,1.0,2271.22
REGION1,ELRENEW,2039,1.0,2319.16
REGION1,ELRENEW,2040,1.0,2366.4
REGION1,ELRENEW,2041,1.0,2395.78
REGION1,ELRENEW,2042,1.0,2442.25
REGION1,ELRENEW,2043,1.0,2477.45
REGION1,ELRENEW,2044,1.0,2516.15
REGION1,ELRENEW,2045,1.0,2552.12
REGION1,ELRENEW,2046,1.0,2595.95
REGION1,ELRENEW,2047,1.0,2638.83
REGION1,ELRENEW,2048,1.0,2680.72
REGION1,ELRENEW,2049,1.0,2723.46
REGION1,ELRENEW,2050,1.0,2764.11
REGION1,ELRENEW,2051,1.0,2761.15
REGION1,ELRENEW,2052,1.0,2758.89
REGION1,ELRENEW,2053,1.0,2758.11
REGION1,ELRENEW,2054,1.0,2770.81
REGION1,ELRENEW,2055,1.0,2763.91
REGION1,ELRENEW,2056,1.0,2741.26
REGION1,ELRENEW,2057,1.0,2728.46
REGION1,ELRENEW,2058,1.0,2734.49
REGION1,ELRENEW,2059,1.0,2738.9
REGION1,ELRENEW,2060,1.0,2744.34
REGION1,FIELRENEW,2015,0.7536,177.07
REGION1,FIELRENEW,2016,0.7533,177.0
REGION1,FIELRENEW,2017,0.7519,176.89
REGION1,FIELRENEW,2018,0.8565,218.37
REGION1,FIELRENEW,2019,0.8608,217.14
REGION1,FIELRENEW,2020,0.8641,216.96
REGION1,FIELRENEW,2021,0.8238,217.18
REGION1,FIELRENEW,2022,0.8003,228.05
REGION1,FIELRENEW,2023,0.8625,253.97
REGION1,FIELRENEW,2024,0.935,300.42
REGION1,FIELRENEW,2025,0.9524,316.08
REGION1,FIELRENEW,2026,0.9709,331.74
REGION1,FIELRENEW,2027,0.9728,341.03
REGION1,FIELRENEW,2028,0.9815,364.38
REGION1,FIELRENEW,2029,0.9812,360.02
REGION1,FIELRENEW,2030,1.0,386.3
REGION1,FIELRENEW,2031,1.0,385.18
REGION1,FIELRENEW,2032,1.0,388.67
REGION1,FIELRENEW,2033,1.0,409.32
REGION1,FIELRENEW,2034,1.0,441.17
REGION1,FIELRENEW,2035,1.0,476.16
REGION1,FIELRENEW,2036,1.0,478.55
REGION1,FIELRENEW,2037,1.0,482.23
REGION1,FIELRENEW,2038,1.0,487.85
REGION1,FIELRENEW,2039,1.0,492.55
REGION1,FIELRENEW,2040,1.0,497.18
