REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DKBMCSPN2,CO2,2028,-105.59894833407672
REGION1,DKBMCSPN2,CO2,2029,-358.89213973690505
REGION1,DKBMCSPN2,CO2,2030,-1727.2721690916983
REGION1,DKBMCSPN2,CO2,2031,-1775.0644967686478
REGION1,DKBMCSPN2,CO2,2032,-1835.9130033090412
REGION1,DKBMCSPN2,CO2,2033,-1911.5216001349124
REGION1,DKBMCSPN2,CO2,2034,-2004.0754598365745
REGION1,DKBMCSPN2,CO2,2035,-2116.3733666172216
REGION1,DKBMCSPN2,CO2,2036,-2251.9984830085978
REGION1,DKBMCSPN2,CO2,2037,-2415.5673375709075
REGION1,DKBMCSPN2,CO2,2038,-2616.427055246989
REGION1,DKBMCSPN2,CO2,2039,-2935.800620623519
REGION1,DKBMCSPN2,CO2,2040,-3374.451425875561
REGION1,DKBMCSPN2,CO2,2041,-3878.5979024845888
REGION1,DKBMCSPN2,CO2,2042,-4445.167459959827
REGION1,DKBMCSPN2,CO2,2043,-5080.027211128629
REGION1,DKBMCSPN2,CO2,2044,-5789.3799008607375
REGION1,DKBMCSPN2,CO2,2045,-6579.768420929313
REGION1,DKBMCSPN2,CO2,2046,-7182.396765116427
REGION1,DKBMCSPN2,CO2,2047,-7325.191146321543
REGION1,DKBMCSPN2,CO2,2048,-7470.427502049135
REGION1,DKBMCSPN2,CO2,2049,-7618.098109841053
REGION1,DKBMCSPN2,CO2,2050,-7768.326393754103
REGION1,DKBMCSPN2,CO2,2051,-7899.799141779603
REGION1,DKBMCSPN2,CO2,2052,-8022.48866914868
REGION1,DKBMCSPN2,CO2,2053,-8138.159993519288
REGION1,DKBMCSPN2,CO2,2054,-8248.361900325788
REGION1,DKBMCSPN2,CO2,2055,-8354.146397619994
REGION1,DKBMCSPN2,CO2,2056,-8414.731348898835
REGION1,DKBMCSPN2,CO2,2057,-8471.947931483925
REGION1,DKBMCSPN2,CO2,2058,-8526.539498632295
REGION1,DKBMCSPN2,CO2,2059,-8578.963886863092
REGION1,DKBMCSPN2,CO2,2060,-8629.754137199936
REGION1,DKBMSTPH3,DKPM25,2015,1.4968439441693124
REGION1,DKBMSTPH3,DKPM25,2016,1.49684378555454
REGION1,DKBMSTPH3,DKPM25,2017,1.496843934103477
REGION1,DKBMSTPH3,DKPM25,2018,1.4968438769023416
REGION1,DKBMSTPH3,DKPM25,2019,1.4968437992440213
REGION1,DKBMSTPH3,DKPM25,2020,1.496843899760125
REGION1,DKBMSTPH3,DKPM25,2021,1.496843844967314
REGION1,DKBMSTPH3,DKPM25,2022,1.4968438416196022
REGION1,DKBMSTPH3,DKPM25,2023,1.071945755553076
REGION1,DKBMSTPH3,DKPM25,2024,1.2650065012149079
REGION1,DKBMSTPH3,DKPM25,2025,1.3596739020372284
REGION1,DKBMSTPH3,DKPM25,2026,1.3596742690190835
REGION1,DKBMSTPH3,DKPM25,2027,1.3596739441924732
REGION1,DKBMSTPH3,DKPM25,2028,1.3596737204481633
REGION1,DKBMSTPH3,DKPM25,2029,1.3596739276407181
REGION1,DKBMSTPH3,DKPM25,2030,1.1932557478214556
REGION1,DKBMSTPH3,DKPM25,2031,1.1932555548140118
REGION1,DKBMSTPH3,DKPM25,2032,1.1932556106555274
REGION1,DKBMSTPH3,DKPM25,2033,1.193255552628272
REGION1,DKBMSTPH3,DKPM25,2034,1.193255551400283
REGION1,DKBMSTPH3,DKPM25,2035,1.1932554918440224
REGION1,DKBMSTPH3,DKPM25,2036,1.1932554722102875
REGION1,DKBMSTPH3,DKPM25,2037,1.1932554110664935
REGION1,DKBMSTPH3,DKPM25,2038,1.1932554285184038
REGION1,DKBMSTPH3,DKPM25,2039,1.1932555284273287
REGION1,DKBMSTPH3,DKPM25,2040,1.193255400105782
REGION1,DKBMSTPH3,DKPM25,2041,1.1932554764947092
REGION1,DKBMSTPH3,DKPM25,2042,1.168469743364372
REGION1,DKBMSTPH3,DKPM25,2043,0.4603062723024539
REGION1,DKBMSTPH3,DKPM25,2045,0.28772810023484974
REGION1,DKCO00I00,CO2,2015,6536.7491045927745
REGION1,DKCO00I00,CO2,2016,9037.437458228764
REGION1,DKCO00I00,CO2,2017,10086.448499232123
REGION1,DKCO00I00,CO2,2018,0.0028762759159255908
REGION1,DKCO00I00,CO2,2020,0.011264267674457932
REGION1,DKCO00I00,CO2,2021,2697.3115821948577
REGION1,DKCO00I00,CO2,2022,12559.569634579568
REGION1,DKCO00I00,CO2,2023,2585.827023810138
REGION1,DKCOCHPH3,DKPM25,2015,0.06676396810449323
REGION1,DKCOCHPH3,DKPM25,2016,0.09799992401558895
REGION1,DKCOCHPH3,DKPM25,2017,0.11199995258018967
REGION1,DKCOCHPH3,DKPM25,2021,0.03234117576317616
REGION1,DKCOCHPH3,DKPM25,2022,0.1600187038644292
REGION1,DKCOCHPH3,DKPM25,2023,0.03302449527223778
REGION1,DKCOSTPH1,DKPM25,2015,0.01207954808918185
REGION1,DKCOSTPH1,DKPM25,2016,0.012079547720984997
REGION1,DKCOSTPH1,DKPM25,2017,0.01207954795248471
REGION1,DKCOSTPH1,DKPM25,2018,3.573833423070648e-08
REGION1,DKCOSTPH1,DKPM25,2020,1.4283239797430095e-07
REGION1,DKCOSTPH1,DKPM25,2021,0.00194261742770139
REGION1,DKHYDMPH0,DKHO,2015,0.07999995404822358
REGION1,DKHYDMPH0,DKHO,2016,0.07999994796426124
REGION1,DKHYDMPH0,DKHO,2017,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2018,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2019,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2020,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2021,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2022,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2023,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2024,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2025,0.022035464866350336
REGION1,DKHYDMPH0,DKHO,2026,0.022035464866350336
REGION1,DKHYDMPH0,DKHO,2027,0.022035464866350336
REGION1,DKHYDMPH0,DKHO,2028,0.022035464866350336
REGION1,DKHYDMPH0,DKHO,2029,0.022035464866350336
REGION1,DKHYDMPH0,DKHO,2030,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2031,0.022035464866350336
REGION1,DKHYDMPH0,DKHO,2032,0.022035464866350336
REGION1,DKHYDMPH0,DKHO,2033,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2034,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2035,0.022035464392288297
REGION1,DKHYDMPH0,DKHO,2036,0.02203546467293323
REGION1,DKHYDMPH0,DKHO,2037,0.02203546467293323
REGION1,DKHYDMPH0,DKHO,2038,0.02203546467293323
REGION1,DKHYDMPH0,DKHO,2039,0.02203546467293323
REGION1,DKHYDMPH0,DKHO,2040,0.02203546467293323
REGION1,DKHYDMPH0,DKHO,2041,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,2042,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2043,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,2044,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,2045,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2046,0.022035464786333354
REGION1,DKHYDMPH0,DKHO,2047,0.022035464786333354
REGION1,DKHYDMPH0,DKHO,2048,0.022035464786333354
REGION1,DKHYDMPH0,DKHO,2049,0.022035464350322068
REGION1,DKHYDMPH0,DKHO,2050,0.022035464392288297
REGION1,DKHYDMPH0,DKHO,2051,0.022035464392288297
REGION1,DKHYDMPH0,DKHO,2052,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2053,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2054,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2055,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2056,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2057,0.022035464350322068
REGION1,DKHYDMPH0,DKHO,2058,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2059,0.02101559012372937
REGION1,DKHYDMPH0,DKHO,2060,0.021015590615874144
REGION1,DKHYDMPH3,DKHO,2018,0.05796450325609089
REGION1,DKHYDMPH3,DKHO,2019,0.057964503256090885
REGION1,DKHYDMPH3,DKHO,2020,0.0579645032560909
REGION1,DKHYDMPH3,DKHO,2021,0.05796450350216904
REGION1,DKHYDMPH3,DKHO,2022,0.05796450325609114
REGION1,DKHYDMPH3,DKHO,2023,0.05796450325609117
REGION1,DKHYDMPH3,DKHO,2024,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2025,0.0579645032560909
REGION1,DKHYDMPH3,DKHO,2026,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2027,0.05796450325609133
REGION1,DKHYDMPH3,DKHO,2028,0.0579645032560909
REGION1,DKHYDMPH3,DKHO,2029,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2030,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,2031,0.05796450325609089
REGION1,DKHYDMPH3,DKHO,2032,0.057964503256081115
REGION1,DKHYDMPH3,DKHO,2033,0.057964503256090885
REGION1,DKHYDMPH3,DKHO,2034,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,2035,0.05796450307577092
REGION1,DKHYDMPH3,DKHO,2036,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,2037,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,2038,0.05796450325608289
REGION1,DKHYDMPH3,DKHO,2039,0.0579645032560971
REGION1,DKHYDMPH3,DKHO,2040,0.0579645032560909
REGION1,DKHYDMPH3,DKHO,2041,0.057964504035671216
REGION1,DKHYDMPH3,DKHO,2042,0.057964504035643356
REGION1,DKHYDMPH3,DKHO,2043,0.05796450403565551
REGION1,DKHYDMPH3,DKHO,2044,0.05796450403565829
REGION1,DKHYDMPH3,DKHO,2045,0.05796450326688406
REGION1,DKHYDMPH3,DKHO,2046,0.0579645032560749
REGION1,DKHYDMPH3,DKHO,2047,0.05796450325609888
REGION1,DKHYDMPH3,DKHO,2048,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,2049,0.0579645032560909
REGION1,DKHYDMPH3,DKHO,2050,0.057964503256090885
REGION1,DKHYDMPH3,DKHO,2051,0.05796450325605891
REGION1,DKHYDMPH3,DKHO,2052,0.05796450325609089
REGION1,DKHYDMPH3,DKHO,2053,0.057964503256090885
REGION1,DKHYDMPH3,DKHO,2054,0.0579645032560909
REGION1,DKHYDMPH3,DKHO,2055,0.0579645032560971
REGION1,DKHYDMPH3,DKHO,2056,0.057964503256090885
REGION1,DKHYDMPH3,DKHO,2057,0.057964503256090885
