REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBM00X00,2015,74.85032406605664
REGION1,DKBM00X00,2016,74.85031613445685
REGION1,DKBM00X00,2017,74.85032356271023
REGION1,DKBM00X00,2018,74.85032070234288
REGION1,DKBM00X00,2019,74.85031681900524
REGION1,DKBM00X00,2020,74.85032184535616
REGION1,DKBM00X00,2021,74.85031910541814
REGION1,DKBM00X00,2022,74.85031893801435
REGION1,DKBM00X00,2023,53.603107723369995
REGION1,DKBM00X00,2024,63.257193196683765
REGION1,DKBM00X00,2025,67.99107721822372
REGION1,DKBM00X00,2026,67.99109556930894
REGION1,DKBM00X00,2027,67.99107932621486
REGION1,DKBM00X00,2028,71.41372810262438
REGION1,DKBM00X00,2029,79.6234275473272
REGION1,DKBM00X00,2030,115.65340686745434
REGION1,DKBM00X00,2031,117.2023064559138
REGION1,DKBM00X00,2032,119.17458757602077
REGION1,DKBM00X00,2033,121.62527027471738
REGION1,DKBM00X00,2034,124.6249670036152
REGION1,DKBM00X00,2035,128.2648216279177
REGION1,DKBM00X00,2036,132.6607659992723
REGION1,DKBM00X00,2037,137.9621576436591
REGION1,DKBM00X00,2038,144.47248438370363
REGION1,DKBM00X00,2039,154.82408827016596
REGION1,DKBM00X00,2040,169.04132780285758
REGION1,DKBM00X00,2041,184.38944560252463
REGION1,DKBM00X00,2042,200.23101029295293
REGION1,DKBM00X00,2043,183.77096567726363
REGION1,DKBM00X00,2044,181.71903321642444
REGION1,DKBM00X00,2045,219.23206510137234
REGION1,DKBM00X00,2046,221.7672281038063
REGION1,DKBM00X00,2047,224.3023573329284
REGION1,DKBM00X00,2048,226.83773275650591
REGION1,DKBM00X00,2049,229.37292597090595
REGION1,DKBM00X00,2050,231.90804121958735
REGION1,DKBM00X00,2051,234.22786952751372
REGION1,DKBM00X00,2052,236.56963794183577
REGION1,DKBM00X00,2053,238.9345990025115
REGION1,DKBM00X00,2054,241.32516027097165
REGION1,DKBM00X00,2055,243.73683731370582
REGION1,DKBM00X00,2056,244.95650821493453
REGION1,DKBM00X00,2057,246.1809767937817
REGION1,DKBM00X00,2058,247.4123330965905
REGION1,DKBM00X00,2059,248.64836709464242
REGION1,DKBM00X00,2060,249.89136671668012
REGION1,DKCO00I00,2015,188.77008689292143
REGION1,DKCO00I00,2016,269.1768744489513
REGION1,DKCO00I00,2017,309.56328519745506
REGION1,DKCO00I00,2018,9.08827624186621e-05
REGION1,DKCO00I00,2020,0.00037634030625152085
REGION1,DKCO00I00,2021,92.41914998811025
REGION1,DKCO00I00,2022,441.0514279385591
REGION1,DKCO00I00,2023,93.01244207565568
REGION1,DKCOCHPH3,2015,0.12403791502841921
REGION1,DKCOCHPH3,2016,0.1820698588318192
REGION1,DKCOCHPH3,2017,0.20807991190076666
REGION1,DKCOCHPH3,2021,0.06008528440001514
REGION1,DKCOCHPH3,2022,0.29729189196527167
REGION1,DKCOCHPH3,2023,0.06135479443077891
REGION1,DKNG00X00,2015,60.76158209788677
REGION1,DKNG00X00,2016,62.05439795763543
REGION1,DKNG00X00,2017,57.588352689972794
REGION1,DKNG00X00,2018,52.88730215822611
REGION1,DKNG00X00,2019,47.95114770956392
REGION1,DKNG00X00,2020,42.77991178007883
REGION1,DKNG00X00,2023,6.7635417742572495
REGION1,DKNG00X00,2024,6.931395751037525
REGION1,DKNG00X00,2025,7.098009449594744
REGION1,DKNGCCPH2,2015,0.0015825385205637933
REGION1,DKNGCCPH2,2016,0.0015825384218969012
REGION1,DKNGCCPH2,2017,0.0015825385024277026
REGION1,DKNGCCPH2,2018,0.0015825384399369776
REGION1,DKNGCCPH2,2019,0.0015825385024277026
REGION1,DKNGCCPH2,2020,0.0015825385024277026
REGION1,DKNGCCPH2,2023,0.001252250537207818
REGION1,DKNGCCPH2,2024,0.0012522503056043614
REGION1,DKNGCCPH2,2025,0.00125225039408274
REGION1,DKNGCHPH3,2015,0.007672447651355647
REGION1,DKNGCHPH3,2016,0.007681623317031353
REGION1,DKNGCHPH3,2017,0.006662625009358248
REGION1,DKNGCHPH3,2018,0.005643635808221893
REGION1,DKNGCHPH3,2019,0.004624645782508815
REGION1,DKNGCHPH3,2020,0.005867787103996179
REGION1,DKWSCHPH2,2015,0.04145322274512911
REGION1,DKWSCHPH2,2016,0.041453232771827886
REGION1,DKWSCHPH2,2017,0.04145322488069608
REGION1,DKWSCHPH2,2018,0.04145323071037129
REGION1,DKWSCHPH2,2019,0.041453227172994905
REGION1,DKWSCHPH2,2020,0.04145322488839864
REGION1,DKWSCHPH2,2021,0.04145322594734432
REGION1,DKWSCHPH2,2022,0.0414532303745735
REGION1,DKWSCHPH2,2023,0.03339199207806666
REGION1,DKWSCHPH2,2024,0.020211690271670527
REGION1,DKWSCHPH2,2025,0.017175409873387663
REGION1,DKWSCHPH2,2026,0.015660817944105718
REGION1,DKWSCHPH2,2027,0.015182583977377368
REGION1,DKWSCHPH2,2028,0.012004103327311201
REGION1,DKWSCHPH2,2029,0.010458300969762264
REGION1,DKWSCHPH2,2030,0.0033736453356910633
REGION1,DKWSCHPH2,2031,0.0033736454768972498
REGION1,DKWSCHPH2,2032,0.0033736454768972498
REGION1,DKWSCHPH2,2033,0.0033736454768972498
REGION1,DKWSCHPH2,2034,0.0033736459156239796
REGION1,DKWSCHPH2,2035,0.0021246755715195725
REGION1,DKWSCHPH2,2036,0.001844429092884905
