REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2028,98.86385978089885
REGION1,DKBMCSPN2,2029,244.18717526155396
REGION1,DKBMCSPN2,2030,1343.3606188557262
REGION1,DKBMCSPN2,2031,51.62753364944602
REGION1,DKBMCSPN2,2032,64.7448915614834
REGION1,DKBMCSPN2,2033,79.65339322326187
REGION1,DKBMCSPN2,2034,96.84993981000035
REGION1,DKBMCSPN2,2035,116.96726647112445
REGION1,DKBMCSPN2,2036,140.82016004443344
REGION1,DKBMCSPN2,2037,169.48055582151108
REGION1,DKBMCSPN2,2038,207.73230949991324
REGION1,DKBMCSPN2,2039,327.71481003052656
REGION1,DKBMCSPN2,2040,449.5230975881855
REGION1,DKBMCSPN2,2041,506.69757619883904
REGION1,DKBMCSPN2,2042,569.4361984920724
REGION1,DKBMCSPN2,2043,638.07210221274
REGION1,DKBMCSPN2,2044,712.941951914787
REGION1,DKBMCSPN2,2045,794.387743258079
REGION1,DKBMCSPN2,2046,841.7695956481431
REGION1,DKBMCSPN2,2047,816.2921957653274
REGION1,DKBMCSPN2,2048,789.2336853490963
REGION1,DKBMCSPN2,2049,760.22034771255
REGION1,DKBMCSPN2,2050,728.7808057495797
REGION1,DKBMCSPN2,2051,769.1213564469293
REGION1,DKBMCSPN2,2052,815.4521676925493
REGION1,DKBMCSPN2,2053,870.1778396433565
REGION1,DKBMCSPN2,2054,936.8078935593337
REGION1,DKBMCSPN2,2055,1020.7091887501934
REGION1,DKBMCSPN2,2056,1119.4915372239295
REGION1,DKBMCSPN2,2057,1257.181181340664
REGION1,DKBMCSPN2,2058,1464.9037842756684
REGION1,DKBMCSPN2,2059,1821.4745833330908
REGION1,DKBMCSPN2,2060,2615.1766262474453
REGION1,DKBMSTPH3,2024,131.63779961333665
REGION1,DKBMSTPH3,2025,64.31979348385032
REGION1,DKGOCVPH2,2022,107.01992463046398
REGION1,DKGOCVPH2,2023,7.350268315015901
REGION1,DKGOCVPH2,2024,7.339806246402141
REGION1,DKGOCVPH2,2025,7.329204240353604
REGION1,DKGOCVPH2,2026,73.4138810879569
REGION1,DKGOCVPH2,2027,73.3083840153135
REGION1,DKGOCVPH2,2028,73.20077583569497
REGION1,DKGOCVPH2,2029,73.09183142553395
REGION1,DKGOCVPH2,2030,72.98237162843328
REGION1,DKGOCVPH2,2031,56.42633558985317
REGION1,DKGOCVPH2,2032,56.48303315420992
REGION1,DKGOCVPH2,2033,56.53953540784892
REGION1,DKGOCVPH2,2034,29.383525173448795
REGION1,DKHFCHPH3,2022,294.137979524623
REGION1,DKHFCHPH3,2023,1686.5038614212376
REGION1,DKHFCHPH3,2024,1116.3743417515843
REGION1,DKHFCHPH3,2025,44.310123212303104
REGION1,DKHFCHPH3,2026,49.75355733170071
REGION1,DKHFCHPH3,2027,197.29189556774517
REGION1,DKHFCHPH3,2028,21.788820907251665
REGION1,DKHFCHPH3,2044,18.217315093560558
REGION1,DKHFCHPH3,2047,154.1999077671827
REGION1,DKHFCHPH3,2048,1660.2546965503843
REGION1,DKHFCHPH3,2049,1093.1279856087406
REGION1,DKHFCHPH3,2050,24.317681947980773
REGION1,DKHFCHPH3,2051,23.98050466303981
REGION1,DKHFCHPH3,2052,193.85946300372785
REGION1,DKHFCHPH3,2053,13.19433464285346
REGION1,DKHYDMPH3,2018,4.125711164432215
REGION1,DKHYDMPH3,2059,0.07018802999999658
REGION1,DKSOUTPH2,2024,250.19968125418728
REGION1,DKSOUTPH2,2025,369.0652409918216
REGION1,DKSOUTPH2,2026,70.87694180469185
REGION1,DKSOUTPH2,2027,67.16321129764525
REGION1,DKSOUTPH2,2028,64.66857773516145
REGION1,DKSOUTPH2,2029,62.36583906209948
REGION1,DKSOUTPH2,2030,60.25499527845898
REGION1,DKSOUTPH2,2031,37.62268626135334
REGION1,DKSOUTPH2,2032,35.93624423273244
REGION1,DKSOUTPH2,2033,34.46206455322796
REGION1,DKSOUTPH2,2034,34.043302171448
REGION1,DKSOUTPH2,2035,33.812831412681845
REGION1,DKSOUTPH2,2036,29.01376713218349
REGION1,DKSOUTPH2,2037,121.8650358358092
REGION1,DKSOUTPH2,2038,67.72128195013265
REGION1,DKSOUTPH2,2039,32.74675606715228
REGION1,DKSOUTPH2,2040,64.44579900691795
REGION1,DKSOUTPH2,2041,18.577118486235037
REGION1,DKSOUTPH2,2042,18.086093328008708
REGION1,DKSOUTPH2,2043,17.595068169783254
REGION1,DKSOUTPH2,2044,17.267718064297195
REGION1,DKSOUTPH2,2045,16.85853043244279
REGION1,DKSOUTPH2,2046,6.2704477102260325
REGION1,DKSOUTPH2,2047,5.587527662576776
REGION1,DKSOUTPH2,2048,6.022113147444356
REGION1,DKSOUTPH2,2049,125.64086636553944
REGION1,DKSOUTPH2,2050,186.8960569998122
REGION1,DKSOUTPH2,2051,42.70225686369648
REGION1,DKSOUTPH2,2052,41.285621062374986
REGION1,DKSOUTPH2,2053,40.633742835075466
REGION1,DKSOUTPH2,2054,40.63374283507574
