REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2028,1.1899949771183072
REGION1,DKBMCSPN2,2029,4.304694669186706
REGION1,DKBMCSPN2,2030,30.835967930254455
REGION1,DKBMCSPN2,2031,1.446935212294928
REGION1,DKBMCSPN2,2032,2.1273212467541427
REGION1,DKBMCSPN2,2033,2.98361677536453
REGION1,DKBMCSPN2,2034,4.0520995941817946
REGION1,DKBMCSPN2,2035,5.381869558674371
REGION1,DKBMCSPN2,2036,7.039017195661025
REGION1,DKBMCSPN2,2037,9.113092268852215
REGION1,DKBMCSPN2,2038,11.918714928404276
REGION1,DKBMCSPN2,2039,19.927792204322145
REGION1,DKBMCSPN2,2040,28.80446984288996
REGION1,DKBMCSPN2,2041,34.045849580015954
REGION1,DKBMCSPN2,2042,39.95004633180216
REGION1,DKBMCSPN2,2043,46.56746992133794
REGION1,DKBMCSPN2,2044,53.949278159314815
REGION1,DKBMCSPN2,2045,62.147408470447466
REGION1,DKBMCSPN2,2046,67.90794930999627
REGION1,DKBMCSPN2,2047,67.74933251268337
REGION1,DKBMCSPN2,2048,67.2500920220182
REGION1,DKBMCSPN2,2049,66.38008866064114
REGION1,DKBMCSPN2,2050,65.09768883457569
REGION1,DKBMCSPN2,2051,70.17133405886352
REGION1,DKBMCSPN2,2052,75.88295708558813
REGION1,DKBMCSPN2,2053,82.4843168984761
REGION1,DKBMCSPN2,2054,90.34716398412064
REGION1,DKBMCSPN2,2055,100.04398854319068
REGION1,DKBMCSPN2,2056,111.40283333357446
REGION1,DKBMCSPN2,2057,126.8979411298747
REGION1,DKBMCSPN2,2058,149.85528316342229
REGION1,DKBMCSPN2,2059,188.68813429478087
REGION1,DKBMCSPN2,2060,274.13094978670296
REGION1,DKGOCVPH2,2022,0.629612620253135
REGION1,DKGOCVPH2,2023,0.08442606324355453
REGION1,DKGOCVPH2,2024,0.12347239625729868
REGION1,DKGOCVPH2,2025,0.16054159608603158
REGION1,DKGOCVPH2,2026,1.96341303871899
REGION1,DKGOCVPH2,2027,2.2985131646111268
REGION1,DKGOCVPH2,2028,2.616496887344937
REGION1,DKGOCVPH2,2029,2.918202191989567
REGION1,DKGOCVPH2,2030,3.204443203815033
REGION1,DKGOCVPH2,2031,2.6915026981482644
REGION1,DKGOCVPH2,2032,2.898208846296801
