REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00X00,DKBM,2015,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2016,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2017,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2019,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2020,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2021,2.013657102204288
REGION1,S01B1,DKBM00X00,DKBM,2023,1.44205502809439
REGION1,S01B1,DKBM00X00,DKBM,2024,1.7017738814545875
REGION1,S01B1,DKBM00X00,DKBM,2025,0.27341195256450496
REGION1,S01B1,DKBM00X00,DKBM,2026,1.8291266371516732
REGION1,S01B1,DKBM00X00,DKBM,2028,0.07582888410805662
REGION1,S01B1,DKBM00X00,DKBM,2029,2.086840829325724
REGION1,S01B1,DKBM00X00,DKBM,2030,1.3307643824897202
REGION1,S01B1,DKBM00X00,DKBM,2031,1.2746423069965167
REGION1,S01B1,DKBM00X00,DKBM,2032,1.3183380709402368
REGION1,S01B1,DKBM00X00,DKBM,2033,1.1778848288360892
REGION1,S01B1,DKBM00X00,DKBM,2035,1.5197319317693108
REGION1,S01B1,DKBM00X00,DKBM,2036,1.6171239515526905
REGION1,S01B1,DKBM00X00,DKBM,2037,1.7345760198060796
REGION1,S01B1,DKBM00X00,DKBM,2039,1.0279104535143646
REGION1,S01B1,DKBM00X00,DKBM,2051,1.5235554471232085
REGION1,S01B1,DKBM00X00,DKBM,2053,0.787712734466145
REGION1,S01B1,DKBM00X00,DKBM,2055,1.3110804172947617
REGION1,S01B1,DKBM00X00,DKBM,2056,3.4864513950682707
REGION1,S01B1,DKBM00X00,DKBM,2057,2.4908140924568047
REGION1,S01B1,DKBM00X00,DKBM,2059,0.18839707705437544
REGION1,S01B1,DKBM00X00,DKBM,2060,0.11740288295574922
REGION1,S01B1,DKBMCSPN2,DKE1,2028,0.024722268661970782
REGION1,S01B1,DKBMCSPN2,DKE1,2029,0.08578463223954821
REGION1,S01B1,DKBMCSPN2,DKE1,2030,0.4217104417604826
REGION1,S01B1,DKBMCSPN2,DKE1,2031,0.4346206170264006
REGION1,S01B1,DKBMCSPN2,DKE1,2032,0.4508109681539056
REGION1,S01B1,DKBMCSPN2,DKE1,2033,0.4039427116314946
REGION1,S01B1,DKBMCSPN2,DKE1,2035,0.5241973301816082
REGION1,S01B1,DKBMCSPN2,DKE1,2036,0.5594113491098155
REGION1,S01B1,DKBMCSPN2,DKE1,2037,0.6017922944146544
REGION1,S01B1,DKBMCSPN2,DKE1,2039,0.35871314529998244
REGION1,S01B1,DKBMCSPN2,DKE1,2051,0.5829180604755797
REGION1,S01B1,DKBMCSPN2,DKE1,2053,0.3043594661976527
REGION1,S01B1,DKBMCSPN2,DKE1,2055,0.509779077125023
REGION1,S01B1,DKBMCSPN2,DKE1,2056,1.35864706056937
REGION1,S01B1,DKBMCSPN2,DKE1,2057,0.972393098053431
REGION1,S01B1,DKBMCSPN2,DKE1,2059,0.0737386453070634
REGION1,S01B1,DKBMCSPN2,DKE1,2060,0.04599363115727524
REGION1,S01B1,DKBMSTPH3,DKE1,2015,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2016,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2017,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2019,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2020,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2021,0.7047806905521914
REGION1,S01B1,DKBMSTPH3,DKE1,2023,0.5047197645528011
REGION1,S01B1,DKBMSTPH3,DKE1,2024,0.59562145413056
REGION1,S01B1,DKBMSTPH3,DKE1,2025,0.09569427909185584
REGION1,S01B1,DKBMSTPH3,DKE1,2026,0.6401949631980489
REGION1,S01B1,DKBMSTPH3,DKE1,2029,0.6401949631980489
REGION1,S01B1,DKBMSTPH3,DKE1,2030,0.03165335454077294
REGION1,S01B1,DKCO00I00,DKCO,2015,1.9087072532463156
REGION1,S01B1,DKCO00I00,DKCO,2016,1.8518365889317556
REGION1,S01B1,DKCO00I00,DKCO,2017,1.9706875247850595
REGION1,S01B1,DKCO00I00,DKCO,2018,1.3926396447864341e-06
REGION1,S01B1,DKCO00I00,DKCO,2021,2.0414478426935165
REGION1,S01B1,DKCO00I00,DKCO,2022,5.078216875671117
REGION1,S01B1,DKCO00I00,DKCO,2023,1.472952714870469
REGION1,S01B1,DKCOCHPH3,DKE1,2015,0.508006175526541
REGION1,S01B1,DKCOCHPH3,DKE1,2016,0.492940421252465
REGION1,S01B1,DKCOCHPH3,DKE1,2017,0.5474730289133083
REGION1,S01B1,DKCOCHPH3,DKE1,2021,0.8009742448683349
REGION1,S01B1,DKCOCHPH3,DKE1,2022,2.0920309612595798
REGION1,S01B1,DKCOCHPH3,DKE1,2023,0.6082559939174386
REGION1,S01B1,DKCOSTPH1,DKE1,2015,0.23639039763609543
REGION1,S01B1,DKCOSTPH1,DKE1,2016,0.23639039763609543
REGION1,S01B1,DKCOSTPH1,DKE1,2017,0.23639039763609543
REGION1,S01B1,DKCOSTPH1,DKE1,2018,5.595042485060362e-07
REGION1,S01B1,DKCOSTPH1,DKE1,2021,0.03801599961983991
REGION1,S01B1,DKEL00TD0,DKE2,2015,4.228006955222544
REGION1,S01B1,DKEL00TD0,DKE2,2016,4.208424296074875
REGION1,S01B1,DKEL00TD0,DKE2,2017,4.189211121062065
REGION1,S01B1,DKEL00TD0,DKE2,2018,4.169997946049255
REGION1,S01B1,DKEL00TD0,DKE2,2019,4.150784771036448
REGION1,S01B1,DKEL00TD0,DKE2,2020,4.131941080158501
REGION1,S01B1,DKEL00TD0,DKE2,2021,4.228745923492268
REGION1,S01B1,DKEL00TD0,DKE2,2022,4.326289735095759
REGION1,S01B1,DKEL00TD0,DKE2,2023,4.424203030834112
REGION1,S01B1,DKEL00TD0,DKE2,2024,4.522485810707326
REGION1,S01B1,DKEL00TD0,DKE2,2025,4.621507558850265
REGION1,S01B1,DKEL00TD0,DKE2,2026,4.703163552654702
REGION1,S01B1,DKEL00TD0,DKE2,2027,4.784819546459141
REGION1,S01B1,DKEL00TD0,DKE2,2028,4.866475540263578
REGION1,S01B1,DKEL00TD0,DKE2,2029,4.948501018202879
REGION1,S01B1,DKEL00TD0,DKE2,2030,5.030526496142178
REGION1,S01B1,DKEL00TD0,DKE2,2031,5.232264833776671
REGION1,S01B1,DKEL00TD0,DKE2,2032,5.43511162381575
REGION1,S01B1,DKEL00TD0,DKE2,2033,5.639436350394275
REGION1,S01B1,DKEL00TD0,DKE2,2034,5.8448695293773865
REGION1,S01B1,DKEL00TD0,DKE2,2035,6.051780644899943
REGION1,S01B1,DKEL00TD0,DKE2,2036,6.250932593590405
REGION1,S01B1,DKEL00TD0,DKE2,2037,6.45082351055059
REGION1,S01B1,DKEL00TD0,DKE2,2038,6.651453395780498
REGION1,S01B1,DKEL00TD0,DKE2,2039,6.853191733414992
REGION1,S01B1,DKEL00TD0,DKE2,2040,7.055299555184347
REGION1,S01B1,DKEL00TD0,DKE2,2041,7.2252622572207335
REGION1,S01B1,DKEL00TD0,DKE2,2042,7.395594443391981
REGION1,S01B1,DKEL00TD0,DKE2,2043,7.5670350819678145
REGION1,S01B1,DKEL00TD0,DKE2,2044,7.73921468881337
REGION1,S01B1,DKEL00TD0,DKE2,2045,7.91176377979379
REGION1,S01B1,DKEL00TD0,DKE2,2046,8.08468235490907
