REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DKBM00X00,DKBM,2015,32.155584260480516
REGION1,DKBM00X00,DKBM,2016,32.15558085307743
REGION1,DKBM00X00,DKBM,2017,32.15558404424367
REGION1,DKBM00X00,DKBM,2018,32.15558281543426
REGION1,DKBM00X00,DKBM,2019,32.155581147158365
REGION1,DKBM00X00,DKBM,2020,32.155583306471
REGION1,DKBM00X00,DKBM,2021,32.155582129397835
REGION1,DKBM00X00,DKBM,2022,32.155582057481425
REGION1,DKBM00X00,DKBM,2023,23.02781275203696
REGION1,DKBM00X00,DKBM,2024,27.17519304421926
REGION1,DKBM00X00,DKBM,2025,29.20886234937328
REGION1,DKBM00X00,DKBM,2026,29.208870232971304
REGION1,DKBM00X00,DKBM,2027,29.20886325496303
REGION1,DKBM00X00,DKBM,2028,30.679227912659627
REGION1,DKBM00X00,DKBM,2029,34.20610218529989
REGION1,DKBM00X00,DKBM,2030,49.6845259648585
REGION1,DKBM00X00,DKBM,2031,50.349930849195104
REGION1,DKBM00X00,DKBM,2032,51.19721978928019
REGION1,DKBM00X00,DKBM,2033,52.25002931277799
REGION1,DKBM00X00,DKBM,2034,53.53869442045123
REGION1,DKBM00X00,DKBM,2035,55.10237037680872
REGION1,DKBM00X00,DKBM,2036,56.990861327265115
REGION1,DKBM00X00,DKBM,2037,59.26833103559191
REGION1,DKBM00X00,DKBM,2038,62.06515740427954
REGION1,DKBM00X00,DKBM,2039,66.51219053547214
REGION1,DKBM00X00,DKBM,2040,72.61989480327792
REGION1,DKBM00X00,DKBM,2041,79.21342263772563
REGION1,DKBM00X00,DKBM,2042,86.01893449858773
REGION1,DKBM00X00,DKBM,2043,78.94772461172114
REGION1,DKBM00X00,DKBM,2044,78.0662175779894
REGION1,DKBM00X00,DKBM,2045,94.18175846166007
REGION1,DKBM00X00,DKBM,2046,95.27086059389501
REGION1,DKBM00X00,DKBM,2047,96.35994821716704
REGION1,DKBM00X00,DKBM,2048,97.44914160519899
