REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,S01B1,DKBM00X00,1,2015,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2015,24.212365368313865
REGION1,S01B3,DKBM00X00,1,2015,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2015,45.93655310340097
REGION1,S03B1,DKBM00X00,1,2015,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2015,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2015,45.93655310340096
REGION1,S01B1,DKBM00X00,1,2016,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2016,45.93655310340096
REGION1,S02B1,DKBM00X00,1,2016,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2016,37.94412006736294
REGION1,S03B2,DKBM00X00,1,2016,45.93655310340097
REGION1,S03B3,DKBM00X00,1,2016,45.93655310340096
REGION1,S05B2,DKBM00X00,1,2016,45.93655310340096
REGION1,S01B1,DKBM00X00,1,2017,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2017,35.744352037130135
REGION1,S03B1,DKBM00X00,1,2017,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2017,45.93655310340096
REGION1,S03B3,DKBM00X00,1,2017,45.93655310340096
REGION1,S04B1,DKBM00X00,1,2017,45.93655310340096
REGION1,S04B3,DKBM00X00,1,2017,45.93655310340096
REGION1,S05B1,DKBM00X00,1,2017,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2018,45.93655310340097
REGION1,S03B1,DKBM00X00,1,2018,5.974220423647111
REGION1,S03B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S03B3,DKBM00X00,1,2018,45.93655310340096
REGION1,S04B1,DKBM00X00,1,2018,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2018,45.93655310340096
REGION1,S04B3,DKBM00X00,1,2018,45.93655310340096
REGION1,S01B1,DKBM00X00,1,2019,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S01B3,DKBM00X00,1,2019,45.93655310340096
REGION1,S02B2,DKBM00X00,1,2019,45.93655310340097
REGION1,S02B3,DKBM00X00,1,2019,45.93655310340096
REGION1,S03B1,DKBM00X00,1,2019,7.37991360376751
REGION1,S03B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S04B2,DKBM00X00,1,2019,45.93655310340096
REGION1,S05B1,DKBM00X00,1,2019,45.93655310340096
REGION1,S01B1,DKBM00X00,1,2020,45.93655310340096
REGION1,S01B2,DKBM00X00,1,2020,34.57953488820146
REGION1,S02B2,DKBM00X00,1,2020,45.93655310340097
REGION1,S02B3,DKBM00X00,1,2020,45.93655310340096
REGION1,S03B1,DKBM00X00,1,2020,45.93655310340096
REGION1,S03B2,DKBM00X00,1,2020,40.858785774624536
REGION1,S05B1,DKBM00X00,1,2020,45.93655310340096
