REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B1,DKBM00X00,1,DKBM,2015,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2016,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2017,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2019,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2020,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2021,45.93655310340096
REGION1,S01B1,DKBM00X00,1,DKBM,2023,32.89688065737216
REGION1,S01B1,DKBM00X00,1,DKBM,2024,38.82171705890004
REGION1,S01B1,DKBM00X00,1,DKBM,2025,6.237210230249886
REGION1,S01B1,DKBM00X00,1,DKBM,2026,41.72695182729216
REGION1,S01B1,DKBM00X00,1,DKBM,2028,1.7298464360135102
REGION1,S01B1,DKBM00X00,1,DKBM,2029,47.60605689505376
REGION1,S01B1,DKBM00X00,1,DKBM,2030,30.35806277912744
REGION1,S01B1,DKBM00X00,1,DKBM,2031,29.077777919135887
REGION1,S01B1,DKBM00X00,1,DKBM,2032,30.0745875440701
REGION1,S01B1,DKBM00X00,1,DKBM,2033,26.870497926528326
REGION1,S01B1,DKBM00X00,1,DKBM,2035,34.668885040176335
REGION1,S01B1,DKBM00X00,1,DKBM,2036,36.890640513702245
REGION1,S01B1,DKBM00X00,1,DKBM,2037,39.57001584752644
REGION1,S01B1,DKBM00X00,1,DKBM,2039,23.449207455288573
REGION1,S01B1,DKBM00X00,1,DKBM,2051,34.75610898505936
REGION1,S01B1,DKBM00X00,1,DKBM,2053,17.969696934705944
REGION1,S01B1,DKBM00X00,1,DKBM,2055,29.90902231862704
REGION1,S01B1,DKBM00X00,1,DKBM,2056,79.53467324534185
REGION1,S01B1,DKBM00X00,1,DKBM,2057,56.82169705238796
REGION1,S01B1,DKBM00X00,1,DKBM,2059,4.2978083632810336
REGION1,S01B1,DKBM00X00,1,DKBM,2060,2.678253294210568
REGION1,S01B1,DKBMCSPN2,1,DKE1,2028,0.5639767594909774
REGION1,S01B1,DKBMCSPN2,1,DKE1,2029,1.9569619425343177
REGION1,S01B1,DKBMCSPN2,1,DKE1,2030,9.620269548863728
REGION1,S01B1,DKBMCSPN2,1,DKE1,2031,9.914782925062616
REGION1,S01B1,DKBMCSPN2,1,DKE1,2032,10.284125313852249
REGION1,S01B1,DKBMCSPN2,1,DKE1,2033,9.214943201242924
REGION1,S01B1,DKBMCSPN2,1,DKE1,2035,11.958251714350482
REGION1,S01B1,DKBMCSPN2,1,DKE1,2036,12.761571529183412
REGION1,S01B1,DKBMCSPN2,1,DKE1,2037,13.728386853618204
REGION1,S01B1,DKBMCSPN2,1,DKE1,2039,8.183143708987306
REGION1,S01B1,DKBMCSPN2,1,DKE1,2051,13.297818387577376
REGION1,S01B1,DKBMCSPN2,1,DKE1,2053,6.943200392065973
REGION1,S01B1,DKBMCSPN2,1,DKE1,2055,11.629335313207967
REGION1,S01B1,DKBMCSPN2,1,DKE1,2056,30.994136379180187
REGION1,S01B1,DKBMCSPN2,1,DKE1,2057,22.182717771171124
REGION1,S01B1,DKBMCSPN2,1,DKE1,2059,1.6821628628890164
REGION1,S01B1,DKBMCSPN2,1,DKE1,2060,1.0492297212676411
REGION1,S01B1,DKBMSTPH3,1,DKE1,2015,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2016,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2017,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2019,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2020,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2021,16.077809664
REGION1,S01B1,DKBMSTPH3,1,DKE1,2023,11.513919744
REGION1,S01B1,DKBMSTPH3,1,DKE1,2024,13.587614558229577
REGION1,S01B1,DKBMSTPH3,1,DKE1,2025,2.183025763613224
REGION1,S01B1,DKBMSTPH3,1,DKE1,2026,14.604447744000002
REGION1,S01B1,DKBMSTPH3,1,DKE1,2029,14.604447744000002
REGION1,S01B1,DKBMSTPH3,1,DKE1,2030,0.722092157682306
REGION1,S01B1,DKCO00I00,1,DKCO,2015,43.542384650105525
REGION1,S01B1,DKCO00I00,1,DKCO,2016,42.245022607456
REGION1,S01B1,DKCO00I00,1,DKCO,2017,44.95630960872237
REGION1,S01B1,DKCO00I00,1,DKCO,2018,3.1769592214386525e-05
REGION1,S01B1,DKCO00I00,1,DKCO,2021,46.570529377151246
REGION1,S01B1,DKCO00I00,1,DKCO,2022,115.84682363471588
REGION1,S01B1,DKCO00I00,1,DKCO,2023,33.601734144
REGION1,S01B1,DKCOCHPH3,1,DKE1,2015,11.588890995088155
REGION1,S01B1,DKCOCHPH3,1,DKE1,2016,11.24520347227392
REGION1,S01B1,DKCOCHPH3,1,DKE1,2017,12.489228596977162
REGION1,S01B1,DKCOCHPH3,1,DKE1,2021,18.272225143781185
REGION1,S01B1,DKCOCHPH3,1,DKE1,2022,47.72445678097884
REGION1,S01B1,DKCOCHPH3,1,DKE1,2023,13.87584
REGION1,S01B1,DKCOSTPH1,1,DKE1,2015,5.392656
REGION1,S01B1,DKCOSTPH1,1,DKE1,2016,5.392656
REGION1,S01B1,DKCOSTPH1,1,DKE1,2017,5.392656
REGION1,S01B1,DKCOSTPH1,1,DKE1,2018,1.2763690796680888e-05
REGION1,S01B1,DKCOSTPH1,1,DKE1,2021,0.86724
REGION1,S01B1,DKEL00TD0,1,DKE2,2015,96.45140963052862
REGION1,S01B1,DKEL00TD0,1,DKE2,2016,96.00468021425509
REGION1,S01B1,DKEL00TD0,1,DKE2,2017,95.56637965489237
REGION1,S01B1,DKEL00TD0,1,DKE2,2018,95.12807909552964
REGION1,S01B1,DKEL00TD0,1,DKE2,2019,94.68977853616697
REGION1,S01B1,DKEL00TD0,1,DKE2,2020,94.25990683371506
REGION1,S01B1,DKEL00TD0,1,DKE2,2021,96.46826734435027
REGION1,S01B1,DKEL00TD0,1,DKE2,2022,98.6934855688071
REGION1,S01B1,DKEL00TD0,1,DKE2,2023,100.92713265017474
REGION1,S01B1,DKEL00TD0,1,DKE2,2024,103.16920858845322
REGION1,S01B1,DKEL00TD0,1,DKE2,2025,105.42814224055334
REGION1,S01B1,DKEL00TD0,1,DKE2,2026,107.29091961784485
REGION1,S01B1,DKEL00TD0,1,DKE2,2027,109.15369699513639
REGION1,S01B1,DKEL00TD0,1,DKE2,2028,111.01647437242788
REGION1,S01B1,DKEL00TD0,1,DKE2,2029,112.88768060663023
REGION1,S01B1,DKEL00TD0,1,DKE2,2030,114.75888684083257
REGION1,S01B1,DKEL00TD0,1,DKE2,2031,119.361042714141
REGION1,S01B1,DKEL00TD0,1,DKE2,2032,123.98848515818194
