REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCSPN2,DKBM,2028,1.729844682609765
REGION1,S01B1,DKBMCSPN2,DKBM,2029,5.879108357414623
REGION1,S01B1,DKBMCSPN2,DKBM,2030,28.294910441795782
REGION1,S01B1,DKBMCSPN2,DKBM,2031,29.077808744196002
REGION1,S01B1,DKBMCSPN2,DKBM,2032,30.074584952470524
REGION1,S01B1,DKBMCSPN2,DKBM,2033,26.870464632938546
REGION1,S01B1,DKBMCSPN2,DKBM,2035,34.66888102220376
REGION1,S01B1,DKBMCSPN2,DKBM,2036,36.890593334172294
REGION1,S01B1,DKBMCSPN2,DKBM,2037,39.57005622271217
REGION1,S01B1,DKBMCSPN2,DKBM,2039,23.449176506639066
REGION1,S01B1,DKBMCSPN2,DKBM,2051,34.75613471633794
REGION1,S01B1,DKBMCSPN2,DKBM,2053,17.969694796200223
REGION1,S01B1,DKBMCSPN2,DKBM,2055,29.909079476810106
REGION1,S01B1,DKBMCSPN2,DKBM,2056,79.5345841681939
REGION1,S01B1,DKBMCSPN2,DKBM,2057,56.82165588126379
REGION1,S01B1,DKBMCSPN2,DKBM,2059,4.297815803487378
REGION1,S01B1,DKBMCSPN2,DKBM,2060,2.6782575771662906
REGION1,S01B1,DKBMSTPH3,DKBM,2015,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2016,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2017,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2019,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2020,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2021,45.93659903770317
REGION1,S01B1,DKBMSTPH3,DKBM,2023,32.89691355264087
REGION1,S01B1,DKBMSTPH3,DKBM,2024,38.821755878714846
REGION1,S01B1,DKBMSTPH3,DKBM,2025,6.237216467154493
REGION1,S01B1,DKBMSTPH3,DKBM,2026,41.72699355219937
REGION1,S01B1,DKBMSTPH3,DKBM,2029,41.72699355219937
REGION1,S01B1,DKBMSTPH3,DKBM,2030,2.063120450417718
REGION1,S01B1,DKCOCHPH3,DKCO,2015,29.71510511442205
REGION1,S01B1,DKCOCHPH3,DKCO,2016,28.552549150396125
REGION1,S01B1,DKCOCHPH3,DKCO,2017,31.398811112353407
REGION1,S01B1,DKCOCHPH3,DKCO,2021,44.46029230112638
REGION1,S01B1,DKCOCHPH3,DKCO,2022,115.84682306202237
REGION1,S01B1,DKCOCHPH3,DKCO,2023,33.60177281596608
REGION1,S01B1,DKCOSTPH1,DKCO,2015,13.827323076369984
REGION1,S01B1,DKCOSTPH1,DKCO,2016,13.692422362193424
REGION1,S01B1,DKCOSTPH1,DKCO,2017,13.557521653409518
REGION1,S01B1,DKCOSTPH1,DKCO,2018,3.1769536819968476e-05
REGION1,S01B1,DKCOSTPH1,DKCO,2021,2.1101832749883602
REGION1,S01B1,DKEL00TD0,DKE1,2015,101.52779961108276
REGION1,S01B1,DKEL00TD0,DKE1,2016,101.05755812026852
REGION1,S01B1,DKEL00TD0,DKE1,2017,100.59618911041302
REGION1,S01B1,DKEL00TD0,DKE1,2018,100.13482010055752
REGION1,S01B1,DKEL00TD0,DKE1,2019,99.67345109070207
REGION1,S01B1,DKEL00TD0,DKE1,2020,99.22095456180534
REGION1,S01B1,DKEL00TD0,DKE1,2021,101.54554457300029
REGION1,S01B1,DKEL00TD0,DKE1,2022,103.88787954611274
REGION1,S01B1,DKEL00TD0,DKE1,2023,106.23908700018394
REGION1,S01B1,DKEL00TD0,DKE1,2024,108.59916693521392
REGION1,S01B1,DKEL00TD0,DKE1,2025,110.97699183216142
REGION1,S01B1,DKEL00TD0,DKE1,2026,112.93781012404722
REGION1,S01B1,DKEL00TD0,DKE1,2027,114.89862841593305
REGION1,S01B1,DKEL00TD0,DKE1,2028,116.85944670781883
REGION1,S01B1,DKEL00TD0,DKE1,2029,118.8291374806634
REGION1,S01B1,DKEL00TD0,DKE1,2030,120.79882825350798
REGION1,S01B1,DKEL00TD0,DKE1,2031,125.64320285699054
REGION1,S01B1,DKEL00TD0,DKE1,2032,130.51419490334942
REGION1,S01B1,DKEL00TD0,DKE1,2033,135.4206768735433
REGION1,S01B1,DKEL00TD0,DKE1,2034,140.35377628661348
REGION1,S01B1,DKEL00TD0,DKE1,2035,145.3223656235187
REGION1,S01B1,DKEL00TD0,DKE1,2036,150.10463286028997
REGION1,S01B1,DKEL00TD0,DKE1,2037,154.90464505897876
REGION1,S01B1,DKEL00TD0,DKE1,2038,159.72240221958504
REGION1,S01B1,DKEL00TD0,DKE1,2039,164.56677682306764
