REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCSPN2,1,2028,DKBM,S01B1,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S01B2,1.2577411761568955
REGION1,DKBMCSPN2,1,2028,DKBM,S01B3,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S02B1,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S02B2,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S03B1,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S03B2,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S03B3,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S04B1,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S05B2,1.729844682609765
REGION1,DKBMCSPN2,1,2028,DKBM,S05B3,1.729844682609765
REGION1,DKBMCSPN2,1,2029,DKBM,S01B1,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S01B2,4.274601491419926
REGION1,DKBMCSPN2,1,2029,DKBM,S01B3,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S02B1,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S02B2,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S03B1,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S03B2,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S03B3,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S04B1,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S05B2,5.879108357414623
REGION1,DKBMCSPN2,1,2029,DKBM,S05B3,5.879108357414623
REGION1,DKBMCSPN2,1,2030,DKBM,S01B1,28.294910441795782
REGION1,DKBMCSPN2,1,2030,DKBM,S01B2,28.294910441795782
REGION1,DKBMCSPN2,1,2030,DKBM,S01B3,20.445306361453163
REGION1,DKBMCSPN2,1,2030,DKBM,S02B1,2.480834980181383
REGION1,DKBMCSPN2,1,2030,DKBM,S02B2,12.456174679551316
REGION1,DKBMCSPN2,1,2030,DKBM,S03B1,28.294910441795782
REGION1,DKBMCSPN2,1,2030,DKBM,S03B2,28.294910441795782
REGION1,DKBMCSPN2,1,2030,DKBM,S03B3,14.637350673356552
REGION1,DKBMCSPN2,1,2030,DKBM,S04B2,28.294910441795782
REGION1,DKBMCSPN2,1,2030,DKBM,S04B3,16.88403886580693
REGION1,DKBMCSPN2,1,2030,DKBM,S05B1,28.294910441795782
REGION1,DKBMCSPN2,1,2030,DKBM,S05B2,28.294910441795782
REGION1,DKBMCSPN2,1,2030,DKBM,S05B3,6.551255818503
REGION1,DKBMCSPN2,1,2031,DKBM,S01B1,29.077808744196002
REGION1,DKBMCSPN2,1,2031,DKBM,S01B2,22.084904025470607
REGION1,DKBMCSPN2,1,2031,DKBM,S01B3,11.589285799194272
REGION1,DKBMCSPN2,1,2031,DKBM,S02B1,9.356626722169805
REGION1,DKBMCSPN2,1,2031,DKBM,S02B2,20.645866572753604
REGION1,DKBMCSPN2,1,2031,DKBM,S02B3,6.613623766274241
REGION1,DKBMCSPN2,1,2031,DKBM,S03B1,29.077808744196002
REGION1,DKBMCSPN2,1,2031,DKBM,S03B2,29.077808744196002
REGION1,DKBMCSPN2,1,2031,DKBM,S03B3,23.098302503252558
REGION1,DKBMCSPN2,1,2031,DKBM,S04B2,24.04911876191698
REGION1,DKBMCSPN2,1,2031,DKBM,S05B1,29.077808744196002
REGION1,DKBMCSPN2,1,2031,DKBM,S05B2,29.077808744196002
REGION1,DKBMCSPN2,1,2031,DKBM,S05B3,29.077808744196002
REGION1,DKBMCSPN2,1,2032,DKBM,S01B1,30.074584952470524
REGION1,DKBMCSPN2,1,2032,DKBM,S01B2,30.074584952470524
REGION1,DKBMCSPN2,1,2032,DKBM,S01B3,9.429964773216453
REGION1,DKBMCSPN2,1,2032,DKBM,S02B1,7.728053932969312
REGION1,DKBMCSPN2,1,2032,DKBM,S02B2,20.63377048075227
REGION1,DKBMCSPN2,1,2032,DKBM,S03B1,23.86909995174531
REGION1,DKBMCSPN2,1,2032,DKBM,S03B2,30.074584952470524
REGION1,DKBMCSPN2,1,2032,DKBM,S03B3,25.54626269137998
REGION1,DKBMCSPN2,1,2032,DKBM,S04B2,27.58378167392216
REGION1,DKBMCSPN2,1,2032,DKBM,S04B3,8.829199403534066
REGION1,DKBMCSPN2,1,2032,DKBM,S05B1,26.011956490032503
REGION1,DKBMCSPN2,1,2032,DKBM,S05B2,30.074584952470524
REGION1,DKBMCSPN2,1,2032,DKBM,S05B3,12.604851707079401
REGION1,DKBMCSPN2,1,2033,DKBM,S01B1,26.870464632938546
REGION1,DKBMCSPN2,1,2033,DKBM,S01B2,31.313147145658334
REGION1,DKBMCSPN2,1,2033,DKBM,S01B3,8.166701268861553
REGION1,DKBMCSPN2,1,2033,DKBM,S02B2,21.357567108596996
REGION1,DKBMCSPN2,1,2033,DKBM,S03B1,31.313147145658334
REGION1,DKBMCSPN2,1,2033,DKBM,S03B2,31.313147145658334
REGION1,DKBMCSPN2,1,2033,DKBM,S03B3,28.55400580383778
REGION1,DKBMCSPN2,1,2033,DKBM,S04B2,26.272479384886466
REGION1,DKBMCSPN2,1,2033,DKBM,S04B3,31.313147145658334
REGION1,DKBMCSPN2,1,2033,DKBM,S05B2,31.313147145658334
REGION1,DKBMCSPN2,1,2033,DKBM,S05B3,31.313147145658334
REGION1,DKBMCSPN2,1,2034,DKBM,S01B2,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S01B3,0.22544713019861742
REGION1,DKBMCSPN2,1,2034,DKBM,S02B1,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S02B2,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S02B3,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S03B1,21.953007442218173
REGION1,DKBMCSPN2,1,2034,DKBM,S03B2,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S03B3,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S04B2,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S04B3,10.969752384112649
REGION1,DKBMCSPN2,1,2034,DKBM,S05B1,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S05B2,32.82930176226154
REGION1,DKBMCSPN2,1,2034,DKBM,S05B3,3.205949855489828
REGION1,DKBMCSPN2,1,2035,DKBM,S01B1,34.66888102220376
REGION1,DKBMCSPN2,1,2035,DKBM,S01B2,34.66888102220376
REGION1,DKBMCSPN2,1,2035,DKBM,S01B3,34.66888102220376
REGION1,DKBMCSPN2,1,2035,DKBM,S02B2,33.886488271621445
REGION1,DKBMCSPN2,1,2035,DKBM,S02B3,0.4474915965504514
