REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2028,11.226719850806576
REGION1,DKBMCSPN2,2029,40.61160090881207
REGION1,DKBMCSPN2,2030,290.9144827818928
REGION1,DKBMCSPN2,2031,13.650760367106583
REGION1,DKBMCSPN2,2032,20.069697880416296
REGION1,DKBMCSPN2,2033,28.148210978418557
REGION1,DKBMCSPN2,2034,38.22855375541918
REGION1,DKBMCSPN2,2035,50.77394692466358
REGION1,DKBMCSPN2,2036,66.40790557962156
REGION1,DKBMCSPN2,2037,85.97526531137923
REGION1,DKBMCSPN2,2038,112.44423384613832
REGION1,DKBMCSPN2,2039,188.00393667608708
REGION1,DKBMCSPN2,2040,271.7488053270852
REGION1,DKBMCSPN2,2041,321.1973350031543
REGION1,DKBMCSPN2,2042,376.899051523724
REGION1,DKBMCSPN2,2043,439.32953417478745
REGION1,DKBMCSPN2,2044,508.9714189504938
REGION1,DKBMCSPN2,2045,586.3146969249703
REGION1,DKBMCSPN2,2046,640.6611264799541
REGION1,DKBMCSPN2,2047,639.164694661917
REGION1,DKBMCSPN2,2048,634.4547309774905
REGION1,DKBMCSPN2,2049,626.2468946460358
REGION1,DKBMCSPN2,2050,614.1484035928854
REGION1,DKBMCSPN2,2051,662.0144825686114
REGION1,DKBMCSPN2,2052,715.8994088476558
REGION1,DKBMCSPN2,2053,778.178341682427
REGION1,DKBMCSPN2,2054,852.3584711431636
REGION1,DKBMCSPN2,2055,943.8408175903091
REGION1,DKBMCSPN2,2056,1051.0030920053166
REGION1,DKBMCSPN2,2057,1197.187939531624
REGION1,DKBMCSPN2,2058,1413.773431475395
REGION1,DKBMCSPN2,2059,1780.1325750371393
REGION1,DKBMCSPN2,2060,2586.222156284673
REGION1,DKGOCVPH2,2022,5.939928014848652
REGION1,DKGOCVPH2,2023,0.7964972780281185
REGION1,DKGOCVPH2,2024,1.1648704647857164
REGION1,DKGOCVPH2,2025,1.51459086661341
REGION1,DKGOCVPH2,2026,18.52334552747234
REGION1,DKGOCVPH2,2027,21.68476663235068
REGION1,DKGOCVPH2,2028,24.684707170666183
REGION1,DKGOCVPH2,2029,27.531072909914815
REGION1,DKGOCVPH2,2030,30.23154451808736
REGION1,DKGOCVPH2,2031,25.392331355022588
REGION1,DKGOCVPH2,2032,27.342450524703946
REGION1,DKGOCVPH2,2033,29.20459279645833
REGION1,DKGOCVPH2,2034,16.08572173603254
REGION1,DKHFCHPH3,2044,8.354111427318566
REGION1,DKHFCHPH3,2047,90.87933476191408
REGION1,DKHFCHPH3,2048,1044.083513112016
REGION1,DKHFCHPH3,2049,728.5666173109202
REGION1,DKHFCHPH3,2050,17.079108050296036
REGION1,DKHFCHPH3,2051,17.660736270030657
REGION1,DKHFCHPH3,2052,149.07140987022518
REGION1,DKHFCHPH3,2053,10.554447845447411
REGION1,DKHYDMPH3,2018,3.5182856012920003
REGION1,DKHYDMPH3,2059,0.07003988215024273
REGION1,DKSOUTPH2,2037,8.234879763246985
REGION1,DKSOUTPH2,2038,8.93445106568939
REGION1,DKSOUTPH2,2039,6.327365522849824
REGION1,DKSOUTPH2,2040,16.214170022371388
REGION1,DKSOUTPH2,2041,5.7066494562118395
REGION1,DKSOUTPH2,2042,6.513395877403723
REGION1,DKSOUTPH2,2043,7.223785641126756
REGION1,DKSOUTPH2,2044,7.918644436009801
REGION1,DKSOUTPH2,2045,8.502050470377986
REGION1,DKSOUTPH2,2046,3.43542823506842
REGION1,DKSOUTPH2,2047,3.2930680977154325
REGION1,DKSOUTPH2,2048,3.787123183211533
REGION1,DKSOUTPH2,2049,83.73927134705892
REGION1,DKSOUTPH2,2050,131.26324945372264
REGION1,DKSOUTPH2,2051,31.448599902369708
REGION1,DKSOUTPH2,2052,31.74725465435628
REGION1,DKSOUTPH2,2053,32.50385344367595
REGION1,DKSOUTPH2,2054,33.701826044847394
REGION1,DKSOUTPH2,2055,34.84275233167698
REGION1,DKSOUTPH2,2056,24.730590729249972
REGION1,DKSOUTPH2,2057,25.66471932373576
REGION1,DKSOUTPH2,2058,25.628421232272487
REGION1,DKSOUTPH2,2059,26.62024568126113
REGION1,DKSOUTPH2,2060,27.748831337996485
REGION1,DKWIONPH3,2037,120.72889338247664
REGION1,DKWIONPH3,2038,305.57784181597407
REGION1,DKWIONPH3,2039,340.7023844976249
REGION1,DKWIONPH3,2040,994.3067313938178
REGION1,DKWIONPH3,2041,973.9992988850424
REGION1,DKWIONPH3,2043,39.31931640784897
REGION1,DKWIONPH3,2058,1213.6335419218294
REGION1,DKWIONPH3,2059,1153.2755893182527
REGION1,DKWIONPH3,2060,1928.7033372375663
REGION1,DKWSSTPH1,2038,1.2207403278468187
REGION1,DKWSSTPH1,2052,474.2061653095506
REGION1,DKWSSTPH1,2053,90.34877645790931
REGION1,DKWSSTPH1,2054,134.19916742208517
REGION1,DKWSSTPH1,2055,6.80873833407903
REGION1,DKWSSTPH1,2059,12.18758622627559
REGION1,DKWSSTPH1,2060,14.230504338894836
REGION1,FIBMCSPN2,2030,13.180407788566876
REGION1,FIBMCSPN2,2031,0.49266234007068366
REGION1,FIBMCSPN2,2032,1772.4752483042878
REGION1,FIBMCSPN2,2033,90.2589361916178
REGION1,FIBMCSPN2,2034,122.58216327686728
REGION1,FIBMCSPN2,2035,162.80972311822882
REGION1,FIBMCSPN2,2036,212.94095446867385
REGION1,FIBMCSPN2,2037,275.6848736051777
REGION1,FIBMCSPN2,2038,360.559217621871
REGION1,FIBMCSPN2,2039,602.8459619416025
REGION1,FIBMCSPN2,2040,871.3789341344428
REGION1,FIBMCSPN2,2041,1029.93862690581
REGION1,FIBMCSPN2,2042,1208.5495404394767
REGION1,FIBMCSPN2,2043,1408.7366483993565
REGION1,FIBMCSPN2,2044,1632.0475522096906
REGION1,FIBMCSPN2,2045,1880.0534378022369
REGION1,FIBMCSPN2,2046,2154.355956464519
REGION1,FIBMCSPN2,2047,2456.6032688910386
REGION1,FIBMCSPN2,2048,2437.1461300785163
REGION1,FIBMCSPN2,2049,2404.975061079087
REGION1,FIBMCSPN2,2050,2358.778850918037
REGION1,FIBMCSPN2,2051,2539.5659170167005
REGION1,FIBMCSPN2,2052,2743.231245223214
REGION1,FIBMCSPN2,2053,2978.7766181522966
REGION1,FIBMCSPN2,2054,3259.4284813566137
REGION1,FIBMCSPN2,2055,3605.773496203869
REGION1,FIBMCSPN2,2056,4052.0917017507286
REGION1,FIBMCSPN2,2057,4661.119191457276
REGION1,FIBMCSPN2,2058,5563.073492994973
REGION1,FIBMCSPN2,2059,7087.79885998442
REGION1,FIBMCSPN2,2060,10439.744759296842
REGION1,FIGOCVPH2,2022,0.024195212006078985
REGION1,FIGOCVPH2,2023,0.02362634685776817
REGION1,FIGOCVPH2,2024,0.03455434899821582
REGION1,FIGOCVPH2,2025,0.04492992537626751
REGION1,FIGOCVPH2,2026,0.16342207038385634
REGION1,FIGOCVPH2,2027,0.19131234548462275
