REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,0.063007
REGION1,DKBFHPFH1,2016,0.063007
REGION1,DKBFHPFH1,2017,0.063007
REGION1,DKBFHPFH1,2018,0.063007
REGION1,DKBFHPFH1,2019,0.063007
REGION1,DKBFHPFH1,2020,0.063007
REGION1,DKBFHPFH1,2021,0.063007
REGION1,DKBFHPFH1,2022,0.063007
REGION1,DKBFHPFH1,2023,0.047405
REGION1,DKBFHPFH1,2024,0.021909
REGION1,DKBFHPFH1,2025,0.019007
REGION1,DKBFHPFH1,2026,0.018507
REGION1,DKBFHPFH1,2027,0.017662
REGION1,DKBFHPFH1,2028,0.011327
REGION1,DKBFHPFH1,2029,0.009876
REGION1,DKBFHPFH1,2030,0.008176
REGION1,DKBFHPFH1,2031,0.007331
REGION1,DKBMCSPN2,2028,0.01788358572713652
REGION1,DKBMCSPN2,2029,0.06205485611790709
REGION1,DKBMCSPN2,2030,0.3050567462222136
REGION1,DKBMCSPN2,2031,0.31439570411791656
REGION1,DKBMCSPN2,2032,0.32610747443722243
REGION1,DKBMCSPN2,2033,0.340516059023364
REGION1,DKBMCSPN2,2034,0.35803534468648346
REGION1,DKBMCSPN2,2035,0.37919367435155005
REGION1,DKBMCSPN2,2036,0.40466677857633854
REGION1,DKBMCSPN2,2037,0.4353242914008817
REGION1,DKBMCSPN2,2038,0.4729012034643081
REGION1,DKBMCSPN2,2039,0.5321818739967114
REGION1,DKBMCSPN2,2040,0.6134965714995442
REGION1,DKBMCSPN2,2041,0.7051536195023876
REGION1,DKBMCSPN2,2042,0.8081595217040255
REGION1,DKBMCSPN2,2043,0.9235810434340566
REGION1,DKBMCSPN2,2044,1.052545849621034
REGION1,DKBMCSPN2,2045,1.1962434691417232
REGION1,DKBMCSPN2,2046,1.3485120408891023
REGION1,DKBMCSPN2,2047,1.4961719794522355
REGION1,DKBMCSPN2,2048,1.6389372761133663
REGION1,DKBMCSPN2,2049,1.7764543201571763
REGION1,DKBMCSPN2,2050,1.908284232976667
REGION1,DKBMCSPN2,2051,2.0474113896856307
REGION1,DKBMCSPN2,2052,2.1949193747028874
REGION1,DKBMCSPN2,2053,2.3523267430537143
REGION1,DKBMCSPN2,2054,2.5217868906896195
REGION1,DKBMCSPN2,2055,2.7064240302868825
REGION1,DKBMCSPN2,2056,2.908930010946724
REGION1,DKBMCSPN2,2057,3.1363428135712113
REGION1,DKBMCSPN2,2058,3.401330772428571
REGION1,DKBMCSPN2,2059,3.730819191483107
REGION1,DKBMCSPN2,2060,4.203881193014792
REGION1,DKBMSTPH3,2015,0.5098239999999999
REGION1,DKBMSTPH3,2016,0.5098239999999999
REGION1,DKBMSTPH3,2017,0.5098239999999999
REGION1,DKBMSTPH3,2018,0.5098239999999999
REGION1,DKBMSTPH3,2019,0.5098239999999999
REGION1,DKBMSTPH3,2020,0.5098239999999999
REGION1,DKBMSTPH3,2021,0.5098239999999999
REGION1,DKBMSTPH3,2022,0.5098239999999999
REGION1,DKBMSTPH3,2023,0.365104
REGION1,DKBMSTPH3,2024,0.4308604311970311
REGION1,DKBMSTPH3,2025,0.46310399999999996
REGION1,DKBMSTPH3,2026,0.46310399999999996
REGION1,DKBMSTPH3,2027,0.46310399999999996
REGION1,DKBMSTPH3,2028,0.46310399999999996
REGION1,DKBMSTPH3,2029,0.46310399999999996
REGION1,DKBMSTPH3,2030,0.40642199999999995
REGION1,DKBMSTPH3,2031,0.40642199999999995
REGION1,DKBMSTPH3,2032,0.40642199999999995
REGION1,DKBMSTPH3,2033,0.40642199999999995
REGION1,DKBMSTPH3,2034,0.40642199999999995
REGION1,DKBMSTPH3,2035,0.40642199999999995
REGION1,DKBMSTPH3,2036,0.40642199999999995
REGION1,DKBMSTPH3,2037,0.40642199999999995
REGION1,DKBMSTPH3,2038,0.40642199999999995
REGION1,DKBMSTPH3,2039,0.40642199999999995
REGION1,DKBMSTPH3,2040,0.40642199999999995
REGION1,DKBMSTPH3,2041,0.40642199999999995
REGION1,DKBMSTPH3,2042,0.39798
REGION1,DKBMSTPH3,2043,0.15678
REGION1,DKBMSTPH3,2045,0.098
REGION1,DKBMSTPH3,2046,0.098
REGION1,DKBMSTPH3,2047,0.098
REGION1,DKBMSTPH3,2048,0.098
REGION1,DKBMSTPH3,2049,0.098
REGION1,DKBMSTPH3,2050,0.098
REGION1,DKBMSTPH3,2051,0.098
REGION1,DKBMSTPH3,2052,0.098
REGION1,DKBMSTPH3,2053,0.098
REGION1,DKBMSTPH3,2054,0.032243568802968865
REGION1,DKCOCHPH3,2015,3.806
REGION1,DKCOCHPH3,2016,3.806
REGION1,DKCOCHPH3,2017,3.806
REGION1,DKCOCHPH3,2018,3.806
REGION1,DKCOCHPH3,2019,3.806
REGION1,DKCOCHPH3,2020,3.806
REGION1,DKCOCHPH3,2021,3.104
REGION1,DKCOCHPH3,2022,2.132
REGION1,DKCOCHPH3,2023,0.44
REGION1,DKCOSTPH1,2015,0.171
REGION1,DKCOSTPH1,2016,0.171
REGION1,DKCOSTPH1,2017,0.171
REGION1,DKCOSTPH1,2018,0.171
REGION1,DKCOSTPH1,2019,0.171
REGION1,DKCOSTPH1,2020,0.1645
REGION1,DKCOSTPH1,2021,0.0275
REGION1,DKELDEEH1,2015,2.24321
REGION1,DKELDEEH1,2016,2.39774
REGION1,DKELDEEH1,2017,2.33512
REGION1,DKELDEEH1,2018,2.23513
REGION1,DKELDEEH1,2019,2.323
REGION1,DKELDEEH1,2020,2.323
REGION1,DKELDEEH1,2021,2.323
REGION1,DKELDEEH1,2022,2.323
REGION1,DKELDEEH1,2023,2.323
