REGION,YEAR,VALUE
REGION1,2015,16159.075066489258
REGION1,2016,8449.193606968336
REGION1,2017,8169.417041146358
REGION1,2018,16891.97656534633
REGION1,2019,8793.224739126808
REGION1,2020,8470.24089356503
REGION1,2021,8920.884715461376
REGION1,2022,15620.260390551275
REGION1,2023,13026.234485262155
REGION1,2024,13908.88487365632
REGION1,2025,8606.209297968744
REGION1,2026,7903.399885825634
REGION1,2027,9079.74677321098
REGION1,2028,8784.997219664416
REGION1,2029,8952.664525944429
REGION1,2030,13265.258896626989
REGION1,2031,7564.495539237527
REGION1,2032,9469.20494369021
REGION1,2033,9938.96232266231
REGION1,2034,7980.402761720765
REGION1,2035,8543.963675527652
REGION1,2036,5953.78802061938
REGION1,2037,6032.26021997671
REGION1,2038,6050.345762152357
REGION1,2039,5377.488113350447
REGION1,2040,7382.749858598456
REGION1,2041,5886.647818379897
REGION1,2042,3766.0315806310105
REGION1,2043,4506.025061132913
REGION1,2044,3739.346331022527
REGION1,2045,4518.82140107477
REGION1,2046,3115.408228151308
REGION1,2047,3716.2473433078353
REGION1,2048,3686.7411756880456
REGION1,2049,3484.9033605765085
REGION1,2050,3179.0022174052874
REGION1,2051,2601.1311564383677
REGION1,2052,2729.804557310475
REGION1,2053,2374.8858005254533
REGION1,2054,2265.89424584429
REGION1,2055,2093.038565860374
REGION1,2056,1689.4912025603303
REGION1,2057,1574.7768654696354
REGION1,2058,1626.248760804986
REGION1,2059,1421.161798231787
REGION1,2060,1283.8062753568322
