REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,11.7249414673799
REGION1,DKBFHPFH1,2016,11.0903651368028
REGION1,DKBFHPFH1,2017,10.4896374783728
REGION1,DKBFHPFH1,2018,9.92097375762365
REGION1,DKBFHPFH1,2019,9.38263187367094
REGION1,DKBFHPFH1,2020,8.87311228407666
REGION1,DKBFHPFH1,2021,8.42498002744309
REGION1,DKBFHPFH1,2022,7.99940659732774
REGION1,DKBFHPFH1,2023,5.7144965862424
REGION1,DKBFHPFH1,2024,2.50759374922575
REGION1,DKBFHPFH1,2025,2.06549862164519
REGION1,DKBFHPFH1,2026,1.9094907523462
REGION1,DKBFHPFH1,2027,1.73017436615883
REGION1,DKBFHPFH1,2028,1.05348702379892
REGION1,DKBFHPFH1,2029,0.872078302808432
REGION1,DKBFHPFH1,2030,0.685442738311622
REGION1,DKBFHPFH1,2031,0.583505795289972
REGION1,DKBM00X00,2015,73.04662674551456
REGION1,DKBM00X00,2016,69.5682159481091
REGION1,DKBM00X00,2017,66.25544376010393
REGION1,DKBM00X00,2018,63.10042262867033
REGION1,DKBM00X00,2019,60.09564059873368
REGION1,DKBM00X00,2020,57.23394342736548
REGION1,DKBM00X00,2021,54.50851754987177
REGION1,DKBM00X00,2022,51.912873857020784
REGION1,DKBM00X00,2023,35.40642577810935
REGION1,DKBM00X00,2024,39.7935614376853
REGION1,DKBM00X00,2025,40.73478520938952
REGION1,DKBM00X00,2026,38.79503353275191
REGION1,DKBM00X00,2027,36.94765098357324
REGION1,DKBM00X00,2028,36.9596091325049
REGION1,DKBM00X00,2029,39.24615962043704
REGION1,DKBM00X00,2030,54.290692492886606
REGION1,DKBM00X00,2031,52.397895114311
REGION1,DKBM00X00,2032,50.74252034742207
REGION1,DKBM00X00,2033,49.31997961636209
REGION1,DKBM00X00,2034,48.12988920843948
REGION1,DKBM00X00,2035,47.1767542040394
REGION1,DKBM00X00,2036,46.470110563213915
REGION1,DKBM00X00,2037,46.02585630563288
REGION1,DKBM00X00,2038,45.90264903564408
REGION1,DKBM00X00,2039,46.84916214903254
REGION1,DKBM00X00,2040,48.71546971047691
REGION1,DKBM00X00,2041,50.60818497917473
REGION1,DKBM00X00,2042,52.33915822644607
REGION1,DKBM00X00,2043,45.74914557514198
REGION1,DKBM00X00,2044,43.08411794758574
REGION1,DKBM00X00,2045,49.50300533521831
REGION1,DKBM00X00,2046,47.69090328736096
REGION1,DKBM00X00,2047,45.939130674140394
REGION1,DKBM00X00,2048,44.24609631432158
REGION1,DKBM00X00,2049,42.61008971560396
REGION1,DKBM00X00,2050,41.02956198498551
REGION1,DKBM00X00,2051,39.46665891566442
REGION1,DKBM00X00,2052,37.963077497359066
REGION1,DKBM00X00,2053,36.51675829497213
REGION1,DKBM00X00,2054,35.125826652625214
REGION1,DKBM00X00,2055,33.78746436685076
REGION1,DKBM00X00,2056,32.3395700075521
REGION1,DKBM00X00,2057,30.953540143606027
REGION1,DKBM00X00,2058,29.627016994015555
REGION1,DKBM00X00,2059,28.35717088775643
REGION1,DKBM00X00,2060,27.141839545339607
REGION1,DKBMCSPN2,2028,51.86991963260848
REGION1,DKBMCSPN2,2029,119.37751243012946
