REGION,TECHNOLOGY,VALUE
REGION1,DKBM00X00,3037.9458850348337
REGION1,DKBMCSPN2,835.8604564194412
REGION1,DKBMSTPH3,280.7943104384559
REGION1,DKCO00I00,480.51159427165936
REGION1,DKCOCHPH3,179.33864985718392
REGION1,DKCOSTPH1,13.63622848610184
REGION1,DKEL00TD0,8634.139285968526
REGION1,DKELDEEH1,2325.395851880025
REGION1,DKELDEIH1,24.74282815608315
REGION1,DKELNLEH1,681.9932243709776
REGION1,DKELNLIH1,0.5563259085665866
REGION1,DKELNOPH1,3256.1724176308417
REGION1,DKELSEPH1,1307.8569885252168
REGION1,DKGO00X00,869.2878832905075
REGION1,DKGOCVPH2,206.6317926014307
REGION1,DKHYDMPH0,1.1275205960022765
REGION1,DKHYDMPH3,2.494513390927246
REGION1,DKNG00X00,59.029627094046944
REGION1,DKNGCCPH2,6.496069669890048
REGION1,DKNGCHPH3,15.585279686467373
REGION1,DKNGSTPH2,4.730399555354551
REGION1,DKOCWVPH1,0.07456681768260949
REGION1,DKSODIFH1,0.0029411907325744262
REGION1,DKSOUTPH2,586.7101610008436
REGION1,DKWIOFPH3,260.3058758644768
REGION1,DKWIONPH3,4364.084985380651
REGION1,DKWS00X00,1600.9512498077365
REGION1,DKWSCHPH2,67.9323202142073
REGION1,DKWSSTPH1,469.45018295043553
REGION1,FIBM00X00,7706.556843752703
REGION1,FIBMCSPN2,2894.6468092280934
REGION1,FIBMSTPH3,0.4194287298624755
REGION1,FICO00I00,253.0870539111866
REGION1,FICO00X00,545.4187230210541
REGION1,FICOCHPH3,160.85287839230986
REGION1,FICOSTPH3,188.12803899787124
REGION1,FIEL00TD0,19331.38482572093
REGION1,FIELEEEH1,1203.8616289354743
REGION1,FIELNOPH1,62.426849562482694
REGION1,FIELSEPH1,930.2973398319724
REGION1,FIGO00X00,15.90714092217481
REGION1,FIGOCVPH2,3.922956458070299
REGION1,FIHYDMPH1,177.4117335641162
REGION1,FIHYDMPH2,948.5745524169137
REGION1,FIHYDMPH3,1073.733553925075
REGION1,FING00I00,248.85043946053548
REGION1,FINGCCPH2,136.47649063668996
REGION1,FINGCHPH3,6.129937121771346
REGION1,FINGFCFH1,0.0030905280363177096
REGION1,FINGSTPH2,2.2201342910705666
REGION1,FINUG2PH3,1125.570317223889
REGION1,FINUG3PN3,3023.4069997558827
REGION1,FISOUTPH2,180.17130556183818
REGION1,FIUR00I00,12572.645963643801
REGION1,FIWIOFPH3,5.849749066759375
REGION1,FIWIONPH3,125.92281842893497
REGION1,FIWIONPN3,8215.29280225723
REGION1,FIWS00X00,6109.969752822703
REGION1,FIWSCHPH2,32.52443453453493
REGION1,FIWSSTPH1,2203.6403344688138
REGION1,NOBM00X00,2441.7571017247396
REGION1,NOBMCSPN2,917.271071618903
REGION1,NOCO00I00,0.8969053723439118
REGION1,NOCOCHPH3,0.18466560767591386
REGION1,NOCOSTPH1,0.17835839256595032
REGION1,NOEL00TD0,28141.796179848818
REGION1,NOELDEEH1,1677.2099510487187
REGION1,NOELDEIH1,1.9221598911665119
REGION1,NOELNLEH1,869.756362116311
REGION1,NOELSEPH1,3784.2280723423964
REGION1,NOELUKEH1,1428.663197945766
REGION1,NOELUKIH1,63.432140322743464
REGION1,NOHYDMPH1,1450.0122654560946
REGION1,NOHYDMPH2,8506.45201447333
REGION1,NOHYDMPH3,6302.599829109932
REGION1,NOHYDSPH2,268.67914614374524
REGION1,NOHYDSPH3,367.90804174437375
REGION1,NONG00X00,113.20685201594662
REGION1,NONGCCPH2,69.15092626994932
REGION1,NOSODIFH1,0.0007346332672504327
REGION1,NOSOUTPH2,182.68457430309076
REGION1,NOWIOFPH3,0.7543386271128751
REGION1,NOWIONPH3,139.96250724166595
REGION1,NOWIONPN3,20701.73342474265
REGION1,NOWS00X00,547.3997677516611
REGION1,NOWSCHPH2,34.76640993357313
REGION1,NOWSSTPH1,154.70975040016535
REGION1,SEBM00X00,11628.52999230906
REGION1,SEBMCCPH1,9.81904755217204
REGION1,SEBMCHPH3,0.402405663897768
REGION1,SEBMCSPN2,3453.759941528329
REGION1,SEBMSTPH3,829.6427474443371
REGION1,SECO00X00,38.309217139280086
REGION1,SECOCHPH3,15.01150531572554
REGION1,SECOSTPH1,0.23967362013269972
REGION1,SEEL00TD0,32988.33947933412
REGION1,SEELDEEH1,752.1085997950273
REGION1,SEELLTEH1,457.16689364054366
REGION1,SEELLTIH1,28.03764067241977
REGION1,SEELPLEH1,718.795001737705
REGION1,SEELPLIH1,90.50494068701323
REGION1,SEGO00X00,18.867228321410355
REGION1,SEGOCVPH2,4.655854849141027
REGION1,SEHYDMPH1,456.3318574379811
REGION1,SEHYDMPH2,3925.655685630499
REGION1,SEHYDMPH3,7093.686390351515
REGION1,SEHYDSPH2,47.10857406343939
REGION1,SEHYDSPH3,170.11937520669
REGION1,SENUG2PH3,4906.674155488626
REGION1,SEOCWVPH1,2.0703390993559228
REGION1,SESODIFH1,0.02069771145307573
REGION1,SESOUTPH2,409.37046245172667
REGION1,SEUR00I00,14868.694693377181
REGION1,SEWIOFPH3,45.72239502269832
REGION1,SEWIONPH3,887.622203503458
REGION1,SEWIONPN3,8165.267381895572
REGION1,SEWS00X00,6915.658961424896
REGION1,SEWSCHPH2,148.251325291295
REGION1,SEWSSTPH1,2010.3160984107988
