REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,S01B1,DKBMCSPN2,DKBM,2028,0.07582880724652336
REGION1,S01B1,DKBMCSPN2,DKBM,2029,0.25771433637801755
REGION1,S01B1,DKBMCSPN2,DKBM,2030,1.2403248288809474
REGION1,S01B1,DKBMCSPN2,DKBM,2031,1.274643658232015
REGION1,S01B1,DKBMCSPN2,DKBM,2032,1.3183379573358731
REGION1,S01B1,DKBMCSPN2,DKBM,2033,1.1778833693910722
REGION1,S01B1,DKBMCSPN2,DKBM,2035,1.519731755639008
REGION1,S01B1,DKBMCSPN2,DKBM,2036,1.6171218834089325
REGION1,S01B1,DKBMCSPN2,DKBM,2037,1.734577789677217
REGION1,S01B1,DKBMCSPN2,DKBM,2039,1.0279090968612492
REGION1,S01B1,DKBMCSPN2,DKBM,2051,1.5235565750696554
REGION1,S01B1,DKBMCSPN2,DKBM,2053,0.7877126407234294
REGION1,S01B1,DKBMCSPN2,DKBM,2055,1.3110829228589256
REGION1,S01B1,DKBMCSPN2,DKBM,2056,3.486447490316619
REGION1,S01B1,DKBMCSPN2,DKBM,2057,2.4908122876952152
REGION1,S01B1,DKBMCSPN2,DKBM,2059,0.1883974032004037
REGION1,S01B1,DKBMCSPN2,DKBM,2060,0.11740307070175161
REGION1,S01B1,DKBMSTPH3,DKBM,2015,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2016,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2017,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2019,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2020,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2021,2.013659115762721
REGION1,S01B1,DKBMSTPH3,DKBM,2023,1.4420564700787575
REGION1,S01B1,DKBMSTPH3,DKBM,2024,1.7017755831450825
REGION1,S01B1,DKBMSTPH3,DKBM,2025,0.2734122259630603
REGION1,S01B1,DKBMSTPH3,DKBM,2026,1.829128466188683
REGION1,S01B1,DKBMSTPH3,DKBM,2029,1.829128466188683
REGION1,S01B1,DKBMSTPH3,DKBM,2030,0.0904381558262579
REGION1,S01B1,DKCOCHPH3,DKCO,2015,1.302579937195438
REGION1,S01B1,DKCOCHPH3,DKCO,2016,1.2516185803778879
REGION1,S01B1,DKCOCHPH3,DKCO,2017,1.3763862267776537
REGION1,S01B1,DKCOCHPH3,DKCO,2021,1.9489443005599278
REGION1,S01B1,DKCOCHPH3,DKCO,2022,5.078216850566744
REGION1,S01B1,DKCOCHPH3,DKCO,2023,1.4729544100799243
REGION1,S01B1,DKCOSTPH1,DKCO,2015,0.6061292246836919
REGION1,S01B1,DKCOSTPH1,DKCO,2016,0.6002157687789225
REGION1,S01B1,DKCOSTPH1,DKCO,2017,0.5943023131105433
REGION1,S01B1,DKCOSTPH1,DKCO,2018,1.3926372165379959e-06
REGION1,S01B1,DKCOSTPH1,DKCO,2021,0.09250118373201195
REGION1,S01B1,DKEL00TD0,DKE1,2015,4.450533637076362
REGION1,S01B1,DKEL00TD0,DKE1,2016,4.429920311657763
REGION1,S01B1,DKEL00TD0,DKE1,2017,4.409695916907436
REGION1,S01B1,DKEL00TD0,DKE1,2018,4.389471522157111
REGION1,S01B1,DKEL00TD0,DKE1,2019,4.369247127406787
REGION1,S01B1,DKEL00TD0,DKE1,2020,4.349411663324737
REGION1,S01B1,DKEL00TD0,DKE1,2021,4.451311498412914
REGION1,S01B1,DKEL00TD0,DKE1,2022,4.553989194837642
REGION1,S01B1,DKEL00TD0,DKE1,2023,4.657055821930644
REGION1,S01B1,DKEL00TD0,DKE1,2024,4.7605113796919225
REGION1,S01B1,DKEL00TD0,DKE1,2025,4.8647447987897525
REGION1,S01B1,DKEL00TD0,DKE1,2026,4.950698476478634
REGION1,S01B1,DKEL00TD0,DKE1,2027,5.036652154167517
REGION1,S01B1,DKEL00TD0,DKE1,2028,5.122605831856398
REGION1,S01B1,DKEL00TD0,DKE1,2029,5.208948440213557
REGION1,S01B1,DKEL00TD0,DKE1,2030,5.295291048570714
REGION1,S01B1,DKEL00TD0,DKE1,2031,5.507647193449127
REGION1,S01B1,DKEL00TD0,DKE1,2032,5.721170130332369
REGION1,S01B1,DKEL00TD0,DKE1,2033,5.936248789888711
REGION1,S01B1,DKEL00TD0,DKE1,2034,6.15249424144988
REGION1,S01B1,DKEL00TD0,DKE1,2035,6.370295415684151
REGION1,S01B1,DKEL00TD0,DKE1,2036,6.579929045884637
REGION1,S01B1,DKEL00TD0,DKE1,2037,6.790340537421674
REGION1,S01B1,DKEL00TD0,DKE1,2038,7.001529890295261
REGION1,S01B1,DKEL00TD0,DKE1,2039,7.213886035173676
REGION1,S01B1,DKEL00TD0,DKE1,2040,7.426631110720366
REGION1,S01B1,DKEL00TD0,DKE1,2041,7.605539218127088
REGION1,S01B1,DKEL00TD0,DKE1,2042,7.784836256202086
REGION1,S01B1,DKEL00TD0,DKE1,2043,7.9653000862819106
REGION1,S01B1,DKEL00TD0,DKE1,2044,8.146541777698285
REGION1,S01B1,DKEL00TD0,DKE1,2045,8.328172399782938
REGION1,S01B1,DKEL00TD0,DKE1,2046,8.510191952535864
REGION1,S01B1,DKEL00TD0,DKE1,2047,8.692600435957063
REGION1,S01B1,DKEL00TD0,DKE1,2048,8.875786780714817
REGION1,S01B1,DKEL00TD0,DKE1,2049,9.059362056140849
REGION1,S01B1,DKEL00TD0,DKE1,2050,9.244104123571702
REGION1,S01B1,DKEL00TD0,DKE1,2051,9.285719705077177
REGION1,S01B1,DKEL00TD0,DKE1,2052,9.327335286582654
REGION1,S01B1,DKEL00TD0,DKE1,2053,9.369339798756409
REGION1,S01B1,DKEL00TD0,DKE1,2054,9.411733241598435
REGION1,S01B1,DKEL00TD0,DKE1,2055,9.453737753772188
REGION1,S01B1,DKEL00TD0,DKE1,2056,9.499631572628696
REGION1,S01B1,DKEL00TD0,DKE1,2057,9.545136460816925
REGION1,S01B1,DKEL00TD0,DKE1,2058,9.591419210341709
REGION1,S01B1,DKEL00TD0,DKE1,2059,9.637313029198216
REGION1,S01B1,DKEL00TD0,DKE1,2060,9.683984709391275
REGION1,S01B1,DKELDEEH1,DKE1,2027,1.1013971855339384
REGION1,S01B1,DKELDEEH1,DKE1,2028,1.9342495677993614
REGION1,S01B1,DKELDEEH1,DKE1,2029,1.7089180907982517
REGION1,S01B1,DKELDEEH1,DKE1,2030,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2031,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2032,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2033,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2034,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2035,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2036,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2037,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2038,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2039,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2040,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2041,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2042,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2043,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2044,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2045,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2046,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2047,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2048,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2049,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2050,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2051,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2052,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2053,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2054,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2055,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2056,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2057,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2058,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2059,3.2113151678868403
REGION1,S01B1,DKELDEEH1,DKE1,2060,3.2113151678868403
REGION1,S01B1,DKELNLEH1,DKE1,2022,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2030,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2031,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2032,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2033,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2034,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2035,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2036,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2037,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2038,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2039,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2040,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2041,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2042,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2043,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2044,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2045,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2046,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2047,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2048,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2049,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2050,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2051,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2052,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2053,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2054,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2055,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2056,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2057,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2058,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2059,0.9773567902264297
REGION1,S01B1,DKELNLEH1,DKE1,2060,0.9773567902264297
REGION1,S01B1,DKELNOPH1,NOE1,2024,0.8606218734879538
REGION1,S01B1,DKELNOPH1,NOE1,2025,1.5459551796174298
REGION1,S01B1,DKELNOPH1,NOE1,2026,2.023878832445451
REGION1,S01B1,DKELNOPH1,NOE1,2027,3.334902174281031
REGION1,S01B1,DKELNOPH1,NOE1,2028,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2029,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2030,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2031,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2032,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2033,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2034,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2035,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2036,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2037,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2038,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2039,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2040,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2041,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2042,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2043,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2044,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2045,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2046,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2047,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2048,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2049,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2050,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2051,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2052,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2053,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2054,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2055,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2056,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2057,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2058,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2059,3.8707199612927905
REGION1,S01B1,DKELNOPH1,NOE1,2060,3.8707199612927905
REGION1,S01B1,DKELSEPH1,DKE1,2041,0.7627043746526188
REGION1,S01B1,DKELSEPH1,DKE1,2042,0.5829576328780958
REGION1,S01B1,DKELSEPH1,DKE1,2043,0.5584216780241922
REGION1,S01B1,DKELSEPH1,DKE1,2044,0.34376258899787976
REGION1,S01B1,DKELSEPH1,DKE1,2045,0.07480207594095176
REGION1,S01B1,DKELSEPH1,SEE1,2018,1.4632460465250348
REGION1,S01B1,DKELSEPH1,SEE1,2019,0.652008650615383
REGION1,S01B1,DKELSEPH1,SEE1,2020,1.0734935311291725
REGION1,S01B1,DKELSEPH1,SEE1,2023,0.12143585500898343
REGION1,S01B1,DKELSEPH1,SEE1,2030,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2031,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2032,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2033,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2034,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2035,1.8869194593708625
REGION1,S01B1,DKELSEPH1,SEE1,2036,0.8570105120349627
REGION1,S01B1,DKELSEPH1,SEE1,2037,0.4493323514389392
REGION1,S01B1,DKELSEPH1,SEE1,2038,0.7989243179538724
REGION1,S01B1,DKELSEPH1,SEE1,2046,0.1111419191103466
REGION1,S01B1,DKELSEPH1,SEE1,2052,0.6571304016659869
REGION1,S01B1,DKELSEPH1,SEE1,2054,0.37485479594861826
REGION1,S01B1,DKELSEPH1,SEE1,2058,2.8293866156134855
REGION1,S01B1,DKELSEPH1,SEE1,2059,2.833919971660793
REGION1,S01B1,DKELSEPH1,SEE1,2060,2.833919971660793
REGION1,S01B1,DKGOCVPH2,DKGO,2022,0.18971288358511043
REGION1,S01B1,DKGOCVPH2,DKGO,2023,0.202463880173571
REGION1,S01B1,DKGOCVPH2,DKGO,2024,0.21521441789316226
REGION1,S01B1,DKGOCVPH2,DKGO,2025,0.22796448258126734
REGION1,S01B1,DKGOCVPH2,DKGO,2026,0.3593340688458895
REGION1,S01B1,DKGOCVPH2,DKGO,2028,0.6220739083183608
REGION1,S01B1,DKGOCVPH2,DKGO,2029,0.7534420715358218
REGION1,S01B1,DKGOCVPH2,DKGO,2030,0.8848101165899661
REGION1,S01B1,DKGOCVPH2,DKGO,2031,0.9856587514287178
REGION1,S01B1,DKGOCVPH2,DKGO,2032,1.086505183156982
REGION1,S01B1,DKGOCVPH2,DKGO,2033,1.187349057858238
REGION1,S01B1,DKGOCVPH2,DKGO,2034,1.2385268998875971
REGION1,S01B1,DKGOCVPH2,DKGO,2035,1.235967960091343
REGION1,S01B1,DKGOCVPH2,DKGO,2036,1.2334090202950887
REGION1,S01B1,DKGOCVPH2,DKGO,2037,1.2308500804988345
REGION1,S01B1,DKGOCVPH2,DKGO,2038,1.2282911404041261
REGION1,S01B1,DKGOCVPH2,DKGO,2039,1.225732200607872
REGION1,S01B1,DKGOCVPH2,DKGO,2040,1.050636578811365
REGION1,S01B1,DKGOCVPH2,DKGO,2043,0.48523392163823637
REGION1,S01B1,DKGOCVPH2,DKGO,2044,0.34839715609124006
REGION1,S01B1,DKGOCVPH2,DKGO,2047,1.1637098685018372
REGION1,S01B1,DKGOCVPH2,DKGO,2048,1.2035238911516355
REGION1,S01B1,DKGOCVPH2,DKGO,2049,1.2010677199068307
REGION1,S01B1,DKGOCVPH2,DKGO,2050,1.1986115486620261
REGION1,S01B1,DKGOCVPH2,DKGO,2051,1.1974129371900668
REGION1,S01B1,DKGOCVPH2,DKGO,2052,1.1962155243104786
REGION1,S01B1,DKGOCVPH2,DKGO,2053,1.1950193085309897
REGION1,S01B1,DKGOCVPH2,DKGO,2054,1.1938242892546918
REGION1,S01B1,DKGOCVPH2,DKGO,2055,1.1926304649893134
REGION1,S01B1,DKGOCVPH2,DKGO,2056,1.1914378345410375
REGION1,S01B1,DKGOCVPH2,DKGO,2057,1.190246396716047
REGION1,S01B1,DKGOCVPH2,DKGO,2059,0.08650512193728488
REGION1,S01B1,DKGOCVPH2,DKGO,2060,0.13684145305958464
REGION1,S01B1,DKNGCCPH2,DKNG,2015,0.06897699241229864
REGION1,S01B1,DKNGCCPH2,DKNG,2016,0.06851714579114915
REGION1,S01B1,DKNGCCPH2,DKNG,2017,0.06805729916999964
REGION1,S01B1,DKNGCCPH2,DKNG,2018,0.06759745254885013
REGION1,S01B1,DKNGCCPH2,DKNG,2019,0.0671376059677073
REGION1,S01B1,DKNGCCPH2,DKNG,2020,0.0666777593465578
REGION1,S01B1,DKNGCCPH2,DKNG,2023,0.05225100333552248
REGION1,S01B1,DKNGCCPH2,DKNG,2024,0.052080804630270226
REGION1,S01B1,DKNGCCPH2,DKNG,2025,0.05191060592501797
