REGION,EMISSION,YEAR,VALUE
REGION1,ATHY,2015,134.85998901743218
REGION1,ATHY,2016,134.44468747504334
REGION1,ATHY,2017,134.04179435907722
REGION1,ATHY,2018,133.52652253275792
REGION1,ATHY,2019,133.27216866688076
REGION1,ATHY,2020,133.27064737337
REGION1,ATHY,2021,133.15780285989607
REGION1,ATHY,2022,157.5199377572667
REGION1,ATHY,2023,158.4599534331224
REGION1,ATHY,2024,159.40995696190356
REGION1,ATHY,2025,160.34995683567166
REGION1,ATHY,2026,160.36995534986775
REGION1,ATHY,2027,160.38993250145955
REGION1,ATHY,2028,160.39995409902818
REGION1,ATHY,2029,160.41992436478918
REGION1,ATHY,2030,160.43992200680802
REGION1,ATHY,2031,160.7199449340942
REGION1,ATHY,2032,161.00993259596558
REGION1,ATHY,2033,161.28994725132097
REGION1,ATHY,2034,161.57994156026194
REGION1,ATHY,2035,161.85995058763245
REGION1,ATHY,2036,161.9599594582004
REGION1,ATHY,2037,162.05995082213414
REGION1,ATHY,2038,162.15995380690612
REGION1,ATHY,2039,162.25994059721015
REGION1,ATHY,2040,162.3599383038019
REGION1,ATHY,2041,162.36995512695393
REGION1,ATHY,2042,162.37994413508557
REGION1,ATHY,2043,162.38994029801813
REGION1,ATHY,2044,162.39993966244563
REGION1,ATHY,2045,162.40992738221803
REGION1,ATHY,2046,162.8899307596087
REGION1,ATHY,2047,163.37994684380897
REGION1,ATHY,2048,163.85994369646775
REGION1,ATHY,2049,164.34994722481954
REGION1,ATHY,2050,164.82995820233032
REGION1,ATHY,2051,164.9999572723464
REGION1,ATHY,2052,165.15996680135993
REGION1,ATHY,2053,165.32996871109208
REGION1,ATHY,2054,165.48994509344723
REGION1,ATHY,2055,165.65995083476253
REGION1,ATHY,2056,165.82995958004898
REGION1,ATHY,2057,165.9899578924203
REGION1,ATHY,2058,166.1599454896227
REGION1,ATHY,2059,166.31994179995365
REGION1,ATHY,2060,166.4899330484417
REGION1,ATPM25,2015,1.3685399287389515
REGION1,ATPM25,2016,1.3871608061753002
REGION1,ATPM25,2017,1.4015261229087002
REGION1,ATPM25,2018,1.3340727391243337
REGION1,ATPM25,2019,1.3335988096457776
REGION1,ATPM25,2020,1.3243654054840657
REGION1,ATPM25,2021,0.9159792339498053
REGION1,ATPM25,2022,0.7453737725177212
REGION1,ATPM25,2023,3.0735799856987382
REGION1,ATPM25,2024,4.834964799318559
REGION1,ATPM25,2025,5.297313479807602
REGION1,ATPM25,2026,5.29652375229658
REGION1,ATPM25,2027,5.295734267860171
REGION1,ATPM25,2028,5.294942189297263
REGION1,ATPM25,2029,5.285289953715222
REGION1,ATPM25,2030,4.8349523949336675
REGION1,ATPM25,2031,4.833720068569833
REGION1,ATPM25,2032,4.824798043513833
REGION1,ATPM25,2033,4.824435036762651
REGION1,ATPM25,2034,4.796805113959845
REGION1,ATPM25,2035,4.786136085258883
REGION1,ATPM25,2036,4.617391902562159
REGION1,ATPM25,2037,4.611335079510576
REGION1,ATPM25,2038,4.611908195542794
REGION1,ATPM25,2039,4.568149009725469
REGION1,ATPM25,2040,4.315198962485349
REGION1,ATPM25,2041,3.9747137490233007
REGION1,ATPM25,2042,3.5859475070981266
REGION1,ATPM25,2043,3.148531457290675
REGION1,ATPM25,2044,2.657733430912092
REGION1,ATPM25,2045,2.1097098155832854
REGION1,ATPM25,2046,1.5133804786866147
REGION1,ATPM25,2047,0.8516436748287094
REGION1,ATPM25,2048,0.12042113275164454
REGION1,ATPM25,2049,0.04867103558743087
REGION1,ATPM25,2050,0.04816084298859453
REGION1,ATPM25,2051,0.04768396344421811
REGION1,ATPM25,2052,0.04721280883010664
REGION1,ATPM25,2053,0.046392071994116456
REGION1,ATPM25,2054,0.04628736098862874
REGION1,ATPM25,2055,0.04412629260205248
REGION1,ATPM25,2056,0.03841037077414869
REGION1,ATPM25,2057,0.03893589261477793
REGION1,ATPM25,2058,0.04141573036193105
REGION1,ATPM25,2059,0.036760655778533546
REGION1,ATPM25,2060,0.03848637753863289
REGION1,ATSO,2015,3.1399968421668265
REGION1,ATSO,2016,3.119996843874746
REGION1,ATSO,2017,3.1299969336998292
REGION1,ATSO,2018,3.149997219739999
REGION1,ATSO,2019,3.1799973893952616
REGION1,ATSO,2020,3.2099976954207663
REGION1,ATSO,2021,4.1047648362411016
REGION1,ATSO,2022,5.139913731212702
REGION1,ATSO,2023,9.519992284237105
REGION1,ATSO,2024,13.189989309778088
REGION1,ATSO,2025,16.249149088543707
REGION1,ATSO,2026,17.959985443791847
REGION1,ATSO,2027,18.179985265486398
REGION1,ATSO,2028,18.389985095285756
REGION1,ATSO,2029,18.5999849250851
REGION1,ATSO,2030,18.80998475488444
REGION1,ATSO,2031,18.929984657626935
REGION1,ATSO,2032,19.049984560369413
REGION1,ATSO,2033,19.159984471216692
REGION1,ATSO,2034,19.279984373959174
REGION1,ATSO,2035,19.389984284806452
REGION1,ATSO,2036,19.489984203758517
REGION1,ATSO,2037,19.589984122710597
REGION1,ATSO,2038,19.68998404166265
REGION1,ATSO,2039,19.78998396061475
REGION1,ATSO,2040,19.889983879566806
REGION1,ATSO,2041,20.329983522955917
REGION1,ATSO,2042,20.77998315824022
REGION1,ATSO,2043,21.219982801629335
REGION1,ATSO,2044,21.659982445018453
REGION1,ATSO,2045,22.099982088407558
REGION1,ATSO,2046,23.42998101047012
REGION1,ATSO,2047,24.759980620013838
REGION1,ATSO,2048,26.089978664999325
REGION1,ATSO,2049,27.419977776657714
REGION1,ATSO,2050,28.739976706825036
REGION1,ATSO,2051,29.88997577477384
REGION1,ATSO,2052,31.089974802198693
REGION1,ATSO,2053,32.32997379720437
REGION1,ATSO,2054,33.62997274358129
REGION1,ATSO,2055,34.96997165753903
REGION1,ATSO,2056,35.66997109020352
REGION1,ATSO,2057,36.38997050665843
REGION1,ATSO,2058,37.10996992311334
REGION1,ATSO,2059,37.85996931525386
REGION1,ATSO,2060,38.60996870739439
REGION1,ATWI,2015,19.201476905332495
REGION1,ATWI,2016,19.201476905332495
REGION1,ATWI,2017,19.201476905332495
REGION1,ATWI,2018,19.201476905332495
REGION1,ATWI,2019,19.201476905332495
REGION1,ATWI,2020,19.201476905332495
REGION1,ATWI,2021,19.201476905332495
REGION1,ATWI,2022,19.201476905332495
REGION1,ATWI,2023,19.201476905332495
REGION1,ATWI,2024,18.79997887667352
REGION1,ATWI,2025,18.50631269148028
REGION1,ATWI,2026,18.366503128917802
REGION1,ATWI,2027,17.99623915146958
REGION1,ATWI,2028,16.879911024862704
REGION1,ATWI,2029,14.13668545304763
REGION1,ATWI,2030,12.974084657980365
REGION1,ATWI,2031,12.043590873101008
REGION1,ATWI,2032,12.025825473602824
REGION1,ATWI,2033,10.948415966361742
REGION1,ATWI,2034,10.948415966361742
REGION1,ATWI,2035,52.1397859841512
REGION1,ATWI,2036,89.99997112681932
REGION1,ATWI,2037,89.99997117315623
REGION1,ATWI,2038,89.99997122170711
REGION1,ATWI,2039,89.99997128575642
REGION1,ATWI,2040,89.9999712857564
REGION1,ATWI,2041,89.9999712857564
REGION1,ATWI,2042,89.9999712857564
REGION1,ATWI,2043,89.9999712857564
REGION1,ATWI,2044,89.9999712857564
REGION1,ATWI,2045,89.9999712857564
REGION1,ATWI,2046,89.99997128575639
REGION1,ATWI,2047,89.9999712857564
REGION1,ATWI,2048,89.9999712857564
REGION1,ATWI,2049,89.9999712857564
REGION1,ATWI,2050,89.9999712857564
REGION1,ATWI,2051,89.9999712857564
REGION1,ATWI,2052,89.9999712857564
REGION1,ATWI,2053,89.99997128575639
REGION1,ATWI,2054,89.9999712857564
REGION1,ATWI,2055,89.9999712857564
REGION1,ATWI,2056,89.99997128575637
REGION1,ATWI,2057,89.9999712857564
REGION1,ATWI,2058,89.9999712857564
REGION1,ATWI,2059,89.9999712857564
REGION1,ATWI,2060,89.99997128575637
REGION1,BEHO,2015,1.2999992276455041
REGION1,BEHO,2016,1.309998239626851
REGION1,BEHO,2017,1.309999457274453
REGION1,BEHO,2018,1.3200004818001794
REGION1,BEHO,2019,1.3299996021679215
REGION1,BEHO,2020,1.3400000880553193
REGION1,BEHO,2021,1.339999723486163
REGION1,BEHO,2022,1.3400004891001804
REGION1,BEHO,2023,1.3400004122192066
REGION1,BEHO,2024,1.3400004062235416
REGION1,BEHO,2025,1.34000060210776
REGION1,BEHO,2026,1.4799987350959352
REGION1,BEHO,2027,1.619999733780357
REGION1,BEHO,2028,1.7699982146991406
REGION1,BEHO,2029,1.9099986058467888
REGION1,BEHO,2030,2.050000546036275
REGION1,BEHO,2031,2.060000505099296
REGION1,BEHO,2032,2.0699997077194463
REGION1,BEHO,2033,2.079999857952315
REGION1,BEHO,2034,2.089999692962404
REGION1,BEHO,2035,2.0899993980272376
REGION1,BEHO,2036,2.10000078076804
REGION1,BEHO,2037,2.110000783443149
REGION1,BEHO,2038,2.1200007856175525
REGION1,BEHO,2039,2.130000789195125
REGION1,BEHO,2040,2.140000793592783
REGION1,BEHO,2041,2.140000792936387
REGION1,BEHO,2042,2.1500007966776384
REGION1,BEHO,2043,2.16000080041889
REGION1,BEHO,2044,2.170000804160141
REGION1,BEHO,2045,2.1800008450417243
REGION1,BEHO,2046,2.190000034354854
REGION1,BEHO,2047,2.2099997752188134
REGION1,BEHO,2048,2.230001620620795
REGION1,BEHO,2049,1.9877108275272601
REGION1,BEHO,2050,1.987710050268268
REGION1,BEHO,2051,1.9872522106663657
REGION1,BEHO,2052,1.98725216069902
REGION1,BEHO,2053,1.9872520643343765
REGION1,BEHO,2054,1.9872495762849651
REGION1,BEHO,2055,1.9668269759941432
REGION1,BEHO,2056,1.9668266413918318
REGION1,BEHO,2057,1.9668265420701267
REGION1,BEHO,2058,0.4657166833267284
REGION1,BEHO,2059,0.4657166833267284
REGION1,BEHO,2060,0.09389867004556812
REGION1,BEPM25,2015,0.09397688296235049
REGION1,BEPM25,2016,0.08752770321712669
REGION1,BEPM25,2017,0.40209209380034455
REGION1,BEPM25,2018,2.611688203949824
REGION1,BEPM25,2019,3.119109323971184
REGION1,BEPM25,2020,3.608330686574558
REGION1,BEPM25,2021,3.606552234022288
REGION1,BEPM25,2022,3.6048509261804007
REGION1,BEPM25,2023,3.604630969176455
REGION1,BEPM25,2024,3.6058473955580355
REGION1,BEPM25,2025,4.987785177042919
REGION1,BEPM25,2026,4.992946885621494
REGION1,BEPM25,2027,4.984457345306744
REGION1,BEPM25,2028,5.104462108673546
REGION1,BEPM25,2029,5.099951407523195
REGION1,BEPM25,2030,1.6626846556302015
REGION1,BEPM25,2031,1.6610018154627273
REGION1,BEPM25,2032,1.6619554595567083
REGION1,BEPM25,2033,1.6727498671860006
REGION1,BEPM25,2034,1.671165432011082
REGION1,BEPM25,2035,1.6905216510776875
REGION1,BEPM25,2036,1.6907004014115796
REGION1,BEPM25,2037,1.6914048897610903
REGION1,BEPM25,2038,1.5763899614316863
REGION1,BEPM25,2039,1.5759322821163857
REGION1,BEPM25,2040,1.5761111850107918
REGION1,BEPM25,2041,1.5753203689991342
REGION1,BEPM25,2042,1.5728713764959914
REGION1,BEPM25,2043,1.151964196053288
REGION1,BEPM25,2044,1.1144858653736256
REGION1,BEPM25,2045,0.43197858741840706
REGION1,BEPM25,2046,0.11220032758549912
REGION1,BEPM25,2047,0.11179726931846433
REGION1,BEPM25,2048,0.09719360767069471
REGION1,BEPM25,2049,0.1109909940581629
REGION1,BEPM25,2050,0.06477573505255226
REGION1,BEPM25,2051,0.06441435594916194
REGION1,BEPM25,2052,0.06405738932899309
REGION1,BEPM25,2053,0.06370465423195401
REGION1,BEPM25,2054,0.0633562215207355
REGION1,BEPM25,2055,0.06301188607379217
REGION1,BEPM25,2056,0.06267171776492807
REGION1,BEPM25,2057,0.0623356334927378
REGION1,BEPM25,2058,0.05068666111788023
REGION1,BEPM25,2059,0.05387263572107304
REGION1,BEPM25,2060,0.053075439678506996
REGION1,BESO,2015,12.20752524146678
REGION1,BESO,2016,12.20752524146678
REGION1,BESO,2017,12.20752524146678
REGION1,BESO,2018,12.20752524146678
REGION1,BESO,2019,12.20752524146678
REGION1,BESO,2020,12.20752524146678
REGION1,BESO,2021,12.207525241466815
REGION1,BESO,2022,13.365716841492029
REGION1,BESO,2023,17.252567529889603
REGION1,BESO,2024,21.139418218287176
REGION1,BESO,2025,25.026268906684756
REGION1,BESO,2026,28.91311959508233
REGION1,BESO,2027,32.7999702834799
REGION1,BESO,2028,33.68996947714749
REGION1,BESO,2029,34.5799686708151
REGION1,BESO,2030,35.46996786448268
REGION1,BESO,2031,35.71996763798483
REGION1,BESO,2032,35.979967402427036
REGION1,BESO,2033,36.22996717592916
REGION1,BESO,2034,36.48996694037139
REGION1,BESO,2035,36.73996671387352
REGION1,BESO,2036,37.54996634425834
REGION1,BESO,2037,37.995407825673816
REGION1,BESO,2038,39.16996451231427
REGION1,BESO,2039,39.97996377846117
REGION1,BESO,2040,40.7899630446081
REGION1,BESO,2041,41.16996270033133
REGION1,BESO,2042,41.53996236511449
REGION1,BESO,2043,41.91996202083772
REGION1,BESO,2044,42.29996167656097
REGION1,BESO,2045,42.6699613413441
REGION1,BESO,2046,44.03996010013582
REGION1,BESO,2047,45.40995885892751
REGION1,BESO,2048,46.7799576177192
REGION1,BESO,2049,48.1499563765109
REGION1,BESO,2050,49.519955135302595
REGION1,BESO,2051,50.00995469136676
REGION1,BESO,2052,50.50995423837101
REGION1,BESO,2053,51.019953776315376
REGION1,BESO,2054,51.52995331425972
REGION1,BESO,2055,52.03995285220409
REGION1,BESO,2056,52.559952381088536
REGION1,BESO,2057,53.08995190091307
REGION1,BESO,2058,53.61995142073756
REGION1,BESO,2059,54.1499509405621
REGION1,BESO,2060,54.69995044226679
REGION1,BEWI,2015,19.17843391109933
REGION1,BEWI,2016,19.17843391109933
REGION1,BEWI,2017,19.17843391109933
REGION1,BEWI,2018,19.17843391109933
REGION1,BEWI,2019,19.17843391109933
REGION1,BEWI,2020,19.17843391109933
REGION1,BEWI,2021,19.17843391109933
REGION1,BEWI,2022,19.17843391109933
REGION1,BEWI,2023,19.17843391109933
REGION1,BEWI,2024,19.14285125421892
REGION1,BEWI,2025,19.115064363813392
REGION1,BEWI,2026,21.51382665863974
REGION1,BEWI,2027,30.33198969687803
REGION1,BEWI,2028,38.840251721287984
REGION1,BEWI,2029,51.92161510401639
REGION1,BEWI,2030,64.79997981517107
REGION1,BEWI,2031,64.79997981410912
REGION1,BEWI,2032,64.79997981053342
REGION1,BEWI,2033,64.79997980702666
REGION1,BEWI,2034,64.79997980148285
REGION1,BEWI,2035,64.79997979440604
REGION1,BEWI,2036,64.79997978881991
REGION1,BEWI,2037,64.79997978554678
REGION1,BEWI,2038,64.79997977439625
REGION1,BEWI,2039,64.79997976605878
REGION1,BEWI,2040,64.79997976605878
REGION1,BEWI,2041,64.79997976605878
REGION1,BEWI,2042,64.79997976605878
REGION1,BEWI,2043,64.79997976605878
REGION1,BEWI,2044,64.79997976605875
