REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBFHPFH1,2015,5.608052611359
REGION1,ATBFHPFH1,2016,5.5697537153129995
REGION1,ATBFHPFH1,2017,5.531454819266999
REGION1,ATBFHPFH1,2018,5.493155923221
REGION1,ATBFHPFH1,2019,5.454857027175
REGION1,ATBFHPFH1,2020,5.416558131128999
REGION1,ATBFHPFH1,2021,5.400144318958
REGION1,ATBFHPFH1,2022,5.383730506787
REGION1,ATBFHPFH1,2023,5.0977646117208
REGION1,ATBFHPFH1,2024,2.1107046698145
REGION1,ATBFHPFH1,2025,1.5283374670563998
REGION1,ATBFHPFH1,2026,1.370656594914
REGION1,ATBFHPFH1,2027,0.8256242573579999
REGION1,ATBFHPFH1,2028,0.7637641085000001
REGION1,ATBFHPFH1,2029,0.7613921703250001
REGION1,ATBMCSPN2,2030,51.4084531127146
REGION1,ATBMCSPN2,2031,52.982263182638896
REGION1,ATBMCSPN2,2032,54.95594185974751
REGION1,ATBMCSPN2,2033,57.38409024292627
REGION1,ATBMCSPN2,2034,60.336456931203585
REGION1,ATBMCSPN2,2035,63.90207877697521
REGION1,ATBMCSPN2,2036,68.19483053674591
REGION1,ATBMCSPN2,2037,73.36126376633564
REGION1,ATBMCSPN2,2038,79.69376073896801
REGION1,ATBMCSPN2,2039,89.68379573834291
REGION1,ATBMCSPN2,2040,103.38702592655156
REGION1,ATBMCSPN2,2041,118.83315886101772
REGION1,ATBMCSPN2,2042,136.19181150267556
REGION1,ATBMCSPN2,2043,155.6427561598188
REGION1,ATBMCSPN2,2044,177.3760279990985
REGION1,ATBMCSPN2,2045,201.59208755857765
REGION1,ATBMCSPN2,2046,228.5020971335695
REGION1,ATBMCSPN2,2047,258.32839977058535
REGION1,ATBMCSPN2,2048,291.30533648304936
REGION1,ATBMCSPN2,2049,323.5582441298801
REGION1,ATBMCSPN2,2050,354.59134442239105
REGION1,ATBMCSPN2,2051,387.17263496289985
REGION1,ATBMCSPN2,2052,421.54024537571246
REGION1,ATBMCSPN2,2053,458.027365919209
REGION1,ATBMCSPN2,2054,497.1056092140228
REGION1,ATBMCSPN2,2055,539.4604754137206
REGION1,ATBMCSPN2,2056,586.1321919877857
REGION1,ATBMCSPN2,2057,638.8114219204994
REGION1,ATBMCSPN2,2058,700.5371479056569
REGION1,ATBMCSPN2,2059,777.7686949493495
REGION1,ATBMCSPN2,2060,889.4716136202616
REGION1,ATBMSTPH3,2015,32.22243476932446
REGION1,ATBMSTPH3,2016,31.9895015067162
REGION1,ATBMSTPH3,2017,31.756568244107942
REGION1,ATBMSTPH3,2018,31.523634981499683
REGION1,ATBMSTPH3,2019,31.290701714717763
REGION1,ATBMSTPH3,2020,31.0577684521095
REGION1,ATBMSTPH3,2021,21.68545806198864
REGION1,ATBMSTPH3,2022,17.2167527399588
REGION1,ATBMSTPH3,2023,75.4583697372409
REGION1,ATBMSTPH3,2024,119.28299759204553
