REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATBMCSPN2,CO2,1,2030,-2289.3048416903594
REGION1,ATBMCSPN2,CO2,1,2031,-2352.6482794731214
REGION1,ATBMCSPN2,CO2,1,2032,-2433.296033030698
REGION1,ATBMCSPN2,CO2,1,2033,-2533.5066466091316
REGION1,ATBMCSPN2,CO2,1,2034,-2656.1768274688034
REGION1,ATBMCSPN2,CO2,1,2035,-2805.0149027002094
REGION1,ATBMCSPN2,CO2,1,2036,-2984.7704784081884
REGION1,ATBMCSPN2,CO2,1,2037,-3201.5626099697733
REGION1,ATBMCSPN2,CO2,1,2038,-3467.7795864264613
REGION1,ATBMCSPN2,CO2,1,2039,-3891.0735592236924
REGION1,ATBMCSPN2,CO2,1,2040,-4472.455313626281
REGION1,ATBMCSPN2,CO2,1,2041,-5140.645054795841
REGION1,ATBMCSPN2,CO2,1,2042,-5891.56919860807
REGION1,ATBMCSPN2,CO2,1,2043,-6733.004285395317
REGION1,ATBMCSPN2,CO2,1,2044,-7673.171962028632
REGION1,ATBMCSPN2,CO2,1,2045,-8720.742147541538
REGION1,ATBMCSPN2,CO2,1,2046,-9884.852409259734
REGION1,ATBMCSPN2,CO2,1,2047,-11175.116753825561
REGION1,ATBMCSPN2,CO2,1,2048,-12601.677964967772
REGION1,ATBMCSPN2,CO2,1,2049,-12957.175106264382
REGION1,ATBMCSPN2,CO2,1,2050,-13199.48291342913
REGION1,ATBMCSPN2,CO2,1,2051,-13396.23067317027
REGION1,ATBMCSPN2,CO2,1,2052,-13577.366818660554
REGION1,ATBMCSPN2,CO2,1,2053,-13745.901993815114
REGION1,ATBMCSPN2,CO2,1,2054,-13904.381879219416
REGION1,ATBMCSPN2,CO2,1,2055,-14054.899694772674
REGION1,ATBMCSPN2,CO2,1,2056,-14199.005899038864
REGION1,ATBMCSPN2,CO2,1,2057,-14338.27909255236
REGION1,ATBMCSPN2,CO2,1,2058,-14473.730901664296
REGION1,ATBMCSPN2,CO2,1,2059,-14606.220798897044
REGION1,ATBMCSPN2,CO2,1,2060,-14736.572892763503
REGION1,ATBMSTPH3,ATPM25,1,2015,1.2253871684179023
REGION1,ATBMSTPH3,ATPM25,1,2016,1.2253870963892552
REGION1,ATBMSTPH3,ATPM25,1,2017,1.2253869718279284
REGION1,ATBMSTPH3,ATPM25,1,2018,1.2253871871231496
REGION1,ATBMSTPH3,ATPM25,1,2019,1.2253870923220087
REGION1,ATBMSTPH3,ATPM25,1,2020,1.2253870352113807
REGION1,ATBMSTPH3,ATPM25,1,2021,0.8584632890035959
REGION1,ATBMSTPH3,ATPM25,1,2022,0.6838475770165109
REGION1,ATBMSTPH3,ATPM25,1,2023,3.007289712492168
REGION1,ATBMSTPH3,ATPM25,1,2024,4.769920455649149
REGION1,ATBMSTPH3,ATPM25,1,2025,5.233099052767662
REGION1,ATBMSTPH3,ATPM25,1,2026,5.233099988535514
REGION1,ATBMSTPH3,ATPM25,1,2027,5.233101171425596
REGION1,ATBMSTPH3,ATPM25,1,2028,5.233099763383835
