REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBM00X00,2015,61.27601145045801
REGION1,ATBM00X00,2016,61.276007848634585
REGION1,ATBM00X00,2017,61.27600161989197
REGION1,ATBM00X00,2018,61.27601238582193
REGION1,ATBM00X00,2019,61.276007645250175
REGION1,ATBM00X00,2020,61.27600478940871
REGION1,ATBM00X00,2021,42.92782532944114
REGION1,ATBM00X00,2022,34.19609168401301
REGION1,ATBM00X00,2023,150.38081318856288
REGION1,ATBM00X00,2024,238.52192024786424
REGION1,ATBM00X00,2025,261.6833648525804
REGION1,ATBM00X00,2026,261.6834116460535
REGION1,ATBM00X00,2027,261.6834707969799
REGION1,ATBM00X00,2028,261.68340038724716
REGION1,ATBM00X00,2029,261.51034014213707
REGION1,ATBM00X00,2030,313.34323136627836
REGION1,ATBM00X00,2031,315.3960495606265
REGION1,ATBM00X00,2032,317.62545997543594
REGION1,ATBM00X00,2033,320.87349256904986
REGION1,ATBM00X00,2034,323.4260953984156
REGION1,ATBM00X00,2035,327.67325356826376
REGION1,ATBM00X00,2036,325.0371362650183
REGION1,ATBM00X00,2037,331.75582230886886
REGION1,ATBM00X00,2038,340.3845013362197
REGION1,ATBM00X00,2039,352.0099754441405
REGION1,ATBM00X00,2040,358.0924239137169
REGION1,ATBM00X00,2041,361.3651790906189
REGION1,ATBM00X00,2042,364.6403799279198
REGION1,ATBM00X00,2043,367.91327580934484
REGION1,ATBM00X00,2044,371.1860113533338
REGION1,ATBM00X00,2045,374.4588667446614
REGION1,ATBM00X00,2046,378.37647079851445
REGION1,ATBM00X00,2047,382.2916771769113
REGION1,ATBM00X00,2048,386.2092997294047
REGION1,ATBM00X00,2049,390.1269219153251
REGION1,ATBM00X00,2050,394.04449200614454
REGION1,ATBM00X00,2051,397.1962468869747
REGION1,ATBM00X00,2052,400.37361035436254
REGION1,ATBM00X00,2053,403.5766786884877
REGION1,ATBM00X00,2054,406.8052815843214
REGION1,ATBM00X00,2055,410.05946476365375
REGION1,ATBM00X00,2056,413.3392690673329
REGION1,ATBM00X00,2057,416.64698379799
REGION1,ATBM00X00,2058,419.9804072411076
REGION1,ATBM00X00,2059,423.33934481656036
REGION1,ATBM00X00,2060,426.726217496564
REGION1,ATCO00I00,2015,179.37920625488618
REGION1,ATCO00I00,2016,230.46577813921402
REGION1,ATCO00I00,2017,272.7533761317481
REGION1,ATCO00I00,2018,108.30037063095426
REGION1,ATCO00I00,2019,110.92677465461347
REGION1,ATCO00I00,2020,93.3930023461005
REGION1,ATCOCHPH3,2015,0.0613937824509684
REGION1,ATCOCHPH3,2016,0.09686929520353775
REGION1,ATCOCHPH3,2017,0.12443868993405706
REGION1,ATNG00I00,2023,370.77377269415
REGION1,ATNG00I00,2024,383.1207767056384
REGION1,ATNG00I00,2025,422.47330042654204
REGION1,ATNG00I00,2026,446.12479459800414
REGION1,ATNG00I00,2027,470.4156699349775
REGION1,ATNG00I00,2028,495.3541575113534
REGION1,ATNG00I00,2029,142.01680031164796
REGION1,ATNG00I00,2033,62.22621763308861
REGION1,ATNG00I00,2034,209.81064826428678
REGION1,ATNG00I00,2035,360.29600895585503
REGION1,ATNG00I00,2036,412.11652396909335
REGION1,ATNG00I00,2037,436.0527472204442
REGION1,ATNG00I00,2038,494.13231355654534
REGION1,ATNG00I00,2039,376.8331340370214
REGION1,ATNG00I00,2040,554.2521441723093
REGION1,ATNG00I00,2041,658.0898057921862
REGION1,ATNG00I00,2042,590.2387696897024
REGION1,ATNG00I00,2043,592.9248960790505
REGION1,ATNG00I00,2044,595.6112674983937
REGION1,ATNG00I00,2045,598.297514264536
REGION1,ATNG00I00,2046,597.3401851670761
REGION1,ATNG00I00,2047,596.382983021467
REGION1,ATNG00I00,2048,595.4257700784331
REGION1,ATNG00I00,2049,594.4686153701192
REGION1,ATNG00I00,2050,593.5113460888442
REGION1,ATNG00I00,2051,593.5113926378001
REGION1,ATNG00I00,2052,593.5113712698729
REGION1,ATNG00I00,2053,568.4768402366492
REGION1,ATNG00I00,2054,593.5113243926174
REGION1,ATNG00I00,2055,473.2308579505568
REGION1,ATNG00I00,2056,102.0399447246889
REGION1,ATNG00I00,2057,170.3376020340662
REGION1,ATNG00I00,2058,375.98720810229275
REGION1,ATNG00I00,2059,78.43341132626006
REGION1,ATNG00I00,2060,230.19887463618238
REGION1,ATNG00X00,2022,259.993145831742
REGION1,ATNG00X00,2023,241.14551400026275
REGION1,ATNG00X00,2024,220.81138489098484
REGION1,ATNG00X00,2025,198.99015913706475
REGION1,ATNG00X00,2026,191.20214515682102
REGION1,ATNG00X00,2027,182.7339069051186
REGION1,ATNG00X00,2028,173.58522905880665
REGION1,ATNG00X00,2029,163.7568116885121
REGION1,ATNG00X00,2030,153.24781763049577
REGION1,ATNG00X00,2031,133.1051406301411
REGION1,ATNG00X00,2032,112.96165611641594
REGION1,ATNG00X00,2033,92.8189915410817
REGION1,ATNG00X00,2034,72.67574313614826
REGION1,ATNG00X00,2035,52.53268835751935
REGION1,ATNG00X00,2036,45.30524682919969
REGION1,ATNG00X00,2037,38.077827140249774
REGION1,ATNG00X00,2038,30.850392402611266
REGION1,ATNG00X00,2039,23.622936773829
REGION1,ATNG00X00,2040,16.39551114375868
REGION1,ATNG00X00,2041,13.116478331385538
REGION1,ATNG00X00,2042,9.837338768892288
REGION1,ATNG00X00,2043,6.55822318197526
REGION1,ATNG00X00,2044,3.2791075950582567
REGION1,ATNGCCPH2,2022,0.049371637496642896
REGION1,ATNGCCPH2,2023,0.10643034580296838
REGION1,ATNGCCPH2,2024,0.10218691132067724
REGION1,ATNGCCPH2,2025,0.10218690628248508
REGION1,ATNGCCPH2,2026,0.10218690346617712
REGION1,ATNGCCPH2,2027,0.10218691828826063
REGION1,ATNGCCPH2,2028,0.10218692414350247
REGION1,ATNGCCPH2,2029,0.04709940357719452
REGION1,ATNGCCPH2,2030,0.0242532187164725
REGION1,ATNGCCPH2,2031,0.02106540985642876
REGION1,ATNGCCPH2,2032,0.0178774731981645
REGION1,ATNGCCPH2,2033,0.02355287545427819
REGION1,ATNGCCPH2,2034,0.04138620685454643
REGION1,ATNGCCPH2,2035,0.05963276370327929
REGION1,ATNGCCPH2,2036,0.06587000838756765
REGION1,ATNGCCPH2,2037,0.0681355494362381
REGION1,ATNGCCPH2,2038,0.07526430496496493
REGION1,ATNGCCPH2,2039,0.05741293523777496
REGION1,ATNGCCPH2,2040,0.08153984010181853
REGION1,ATNGCCPH2,2041,0.09596335612901392
REGION1,ATNGCCPH2,2042,0.08590038240831477
REGION1,ATNGCCPH2,2043,0.08590036534820761
REGION1,ATNGCCPH2,2044,0.08590038335751148
REGION1,ATNGCCPH2,2045,0.08590038480231667
REGION1,ATNGCCPH2,2046,0.0859003685666647
REGION1,ATNGCCPH2,2047,0.08590037056447897
REGION1,ATNGCCPH2,2048,0.08590037101100306
REGION1,ATNGCCPH2,2049,0.0859003798738494
REGION1,ATNGCCPH2,2050,0.08590037218285435
REGION1,ATNGCCPH2,2051,0.08590037892000044
REGION1,ATNGCCPH2,2052,0.08590037582736723
REGION1,ATNGCCPH2,2053,0.082277065932201
REGION1,ATNGCCPH2,2054,0.08590036904270552
REGION1,ATNGCCPH2,2055,0.06849187819954365
REGION1,ATNGCCPH2,2056,0.014768494801540941
REGION1,ATNGCCPH2,2057,0.02465338448520731
REGION1,ATNGCCPH2,2058,0.05441756307577745
REGION1,ATNGCCPH2,2059,0.01135186255308436
REGION1,ATNGCCPH2,2060,0.03331725524310744
REGION1,ATWSCHPH2,2015,0.017312127830007417
REGION1,ATWSCHPH2,2016,0.017312128780272492
REGION1,ATWSCHPH2,2017,0.01731213095718994
REGION1,ATWSCHPH2,2018,0.017312128704864465
REGION1,ATWSCHPH2,2019,0.017312130265703447
REGION1,ATWSCHPH2,2020,0.017312129040098625
REGION1,ATWSCHPH2,2021,0.017312129293028212
REGION1,ATWSCHPH2,2022,0.01731212904875469
REGION1,ATWSCHPH2,2023,0.01580286892035856
REGION1,ATWSCHPH2,2024,0.013494584696036496
REGION1,ATWSCHPH2,2025,0.013494583966417418
REGION1,ATWSCHPH2,2026,0.01349458451292311
REGION1,ATWSCHPH2,2027,0.013494584501222538
REGION1,ATWSCHPH2,2028,0.01216287986732856
REGION1,ATWSCHPH2,2029,0.012077366749025738
REGION1,ATWSCHPH2,2030,0.007990213634595534
REGION1,ATWSCHPH2,2031,0.007990213466840158
REGION1,ATWSCHPH2,2032,0.0058638931965701024
REGION1,ATWSCHPH2,2033,0.003702230163835853
REGION1,ATWSCHPH2,2034,0.001652786798363874
REGION1,ATWSCHPH2,2035,8.269931437300568e-05
REGION1,ATWSCHPH2,2036,0.0004961958900111903
REGION1,ATWSSTPH1,2015,7.880844910390051e-05
REGION1,ATWSSTPH1,2016,7.880845003095993e-05
REGION1,ATWSSTPH1,2017,7.880845909843193e-05
REGION1,ATWSSTPH1,2018,7.880845602803555e-05
REGION1,ATWSSTPH1,2019,7.880847217163814e-05
REGION1,ATWSSTPH1,2020,7.880844848434329e-05
REGION1,ATWSSTPH1,2021,0.010147336185102019
REGION1,ATWSSTPH1,2022,0.07975818251466461
REGION1,ATWSSTPH1,2023,0.08144702038573919
REGION1,ATWSSTPH1,2024,0.08144703585856457
REGION1,ATWSSTPH1,2025,0.08144703862481023
REGION1,ATWSSTPH1,2026,0.0814470445686373
REGION1,ATWSSTPH1,2027,0.08144704341579596
REGION1,ATWSSTPH1,2028,0.08144703464431595
REGION1,ATWSSTPH1,2029,0.08144702900926906
REGION1,ATWSSTPH1,2030,0.08144703370948315
REGION1,ATWSSTPH1,2031,0.08144703514920168
REGION1,ATWSSTPH1,2032,0.0814470448335902
REGION1,ATWSSTPH1,2033,0.0814469990548843
REGION1,ATWSSTPH1,2034,0.08136819560415008
REGION1,ATWSSTPH1,2035,0.08101640263416507
REGION1,ATWSSTPH1,2036,0.08101530999895636
REGION1,ATWSSTPH1,2037,0.08149639881134137
REGION1,ATWSSTPH1,2038,0.08171810982382934
REGION1,ATWSSTPH1,2039,0.08171811891895617
REGION1,ATWSSTPH1,2040,0.08171812286652554
REGION1,ATWSSTPH1,2041,0.08117005773426772
REGION1,ATWSSTPH1,2042,0.0801713349823691
REGION1,ATWSSTPH1,2043,0.07917261211653953
REGION1,ATWSSTPH1,2044,0.07817375401332036
REGION1,ATWSSTPH1,2045,0.07717501512375873
REGION1,ATWSSTPH1,2046,0.07624399014040446
REGION1,ATWSSTPH1,2047,0.07531294450861456
REGION1,ATWSSTPH1,2048,0.07438193034148392
REGION1,ATWSSTPH1,2049,0.07345087816254939
REGION1,ATWSSTPH1,2050,0.07251983294535584
REGION1,ATWSSTPH1,2051,0.0716495778865206
REGION1,ATWSSTPH1,2052,0.070789771968039
REGION1,ATWSSTPH1,2053,0.06910093723341279
REGION1,ATWSSTPH1,2054,0.06910093045474114
REGION1,ATWSSTPH1,2055,0.06827178402941368
REGION1,ATWSSTPH1,2056,0.06745254702979814
REGION1,ATWSSTPH1,2057,0.0666430521533502
REGION1,ATWSSTPH1,2058,0.06584334967447267
REGION1,ATWSSTPH1,2059,0.06505326783894634
REGION1,ATWSSTPH1,2060,0.06427267356368538
REGION1,BEBM00I00,2036,6.404452387214103
REGION1,BEBM00I00,2037,16.776234978345382
REGION1,BEBM00I00,2038,20.919548248994253
REGION1,BEBM00I00,2039,53.398813698967615
REGION1,BEBM00I00,2040,102.79544906191245
REGION1,BEBM00I00,2041,161.53729332615916
REGION1,BEBM00I00,2042,227.86033416580727
REGION1,BEBM00I00,2043,260.3026024021779
REGION1,BEBM00I00,2044,339.9031962780728
REGION1,BEBM00I00,2045,364.45046085145
REGION1,BEBM00I00,2046,438.2065711558104
REGION1,BEBM00I00,2047,554.7037944882755
REGION1,BEBM00I00,2048,681.2644619020793
REGION1,BEBM00I00,2049,659.5589473256546
REGION1,BEBM00I00,2050,582.324142424565
REGION1,BEBM00I00,2051,462.19916783071955
REGION1,BEBM00I00,2052,380.62816838809425
REGION1,BEBM00I00,2053,307.2626539518608
REGION1,BEBM00I00,2054,231.93284340839705
REGION1,BEBM00I00,2055,172.71911063671723
REGION1,BEBM00I00,2056,116.08227138488517
REGION1,BEBM00I00,2057,59.694053072124774
REGION1,BEBM00I00,2058,716.3206170777798
REGION1,BEBM00I00,2059,444.80504949991564
REGION1,BEBM00I00,2060,423.0670152486342
REGION1,BEBM00X00,2017,17.377155760818464
REGION1,BEBM00X00,2018,127.83089059328033
REGION1,BEBM00X00,2019,153.1673696614003
REGION1,BEBM00X00,2020,177.59451722845037
REGION1,BEBM00X00,2021,177.5945104333428
REGION1,BEBM00X00,2022,177.59944777696288
REGION1,BEBM00X00,2023,177.59943151186238
REGION1,BEBM00X00,2024,177.59943926575568
REGION1,BEBM00X00,2025,246.88853885565734
REGION1,BEBM00X00,2026,246.8885675721397
REGION1,BEBM00X00,2027,246.8886163292101
REGION1,BEBM00X00,2028,252.95051240532598
REGION1,BEBM00X00,2029,252.94555913304524
REGION1,BEBM00X00,2030,203.64769465207618
REGION1,BEBM00X00,2031,207.03788798733845
REGION1,BEBM00X00,2032,211.35475774349706
REGION1,BEBM00X00,2033,216.7187162143858
REGION1,BEBM00X00,2034,223.28440398893324
REGION1,BEBM00X00,2035,231.2511730088471
REGION1,BEBM00X00,2036,237.67064628812585
REGION1,BEBM00X00,2037,244.0882808211904
REGION1,BEBM00X00,2038,250.5059247005392
REGION1,BEBM00X00,2039,256.9235313126474
REGION1,BEBM00X00,2040,263.34346895533037
REGION1,BEBM00X00,2041,267.5659991510329
REGION1,BEBM00X00,2042,271.79080995674633
REGION1,BEBM00X00,2043,276.0133697729456
REGION1,BEBM00X00,2044,280.23825723681796
REGION1,BEBM00X00,2045,284.4608607840481
REGION1,BEBM00X00,2046,287.28445420217156
REGION1,BEBM00X00,2047,290.10561592936284
REGION1,BEBM00X00,2048,292.92692109127063
REGION1,BEBM00X00,2049,295.7480989334485
REGION1,BEBM00X00,2050,298.5695019425107
REGION1,BEBM00X00,2051,302.7501404243129
REGION1,BEBM00X00,2052,306.9889550840788
REGION1,BEBM00X00,2053,311.2857731916872
REGION1,BEBM00X00,2054,315.64348062171774
REGION1,BEBM00X00,2055,320.06388819053046
REGION1,BEBM00X00,2056,324.54479963823104
REGION1,BEBM00X00,2057,329.0886881113201
REGION1,BEBM00X00,2058,333.69539785380545
REGION1,BEBM00X00,2059,338.36710347156014
REGION1,BEBM00X00,2060,343.10397213631967
REGION1,BECO00I00,2015,85.25556809439804
REGION1,BECO00I00,2016,70.04575426334327
REGION1,BENG00I00,2015,865.3922760424583
REGION1,BENG00I00,2016,883.8048368159483
REGION1,BENG00I00,2017,831.831691342436
REGION1,BENG00I00,2018,783.5148975597608
REGION1,BENG00I00,2019,732.58641472812
REGION1,BENG00I00,2020,679.0463406489952
REGION1,BENG00I00,2021,629.946063661457
REGION1,BENG00I00,2022,576.6670996558145
REGION1,BENG00I00,2023,615.550222493073
REGION1,BENG00I00,2024,745.5939440601212
REGION1,BENG00I00,2025,565.6244447231834
REGION1,BENG00I00,2026,932.8927644740083
REGION1,BENG00I00,2027,398.36893614063405
REGION1,BENG00I00,2028,338.7720428066526
REGION1,BENG00I00,2029,51.2818071368222
REGION1,BENG00I00,2032,188.7951602560828
REGION1,BENG00I00,2033,1082.3278439985306
REGION1,BENG00I00,2034,1089.3390328657267
REGION1,BENG00I00,2035,2596.006031423503
REGION1,BENG00I00,2036,2596.00603714046
REGION1,BENG00I00,2037,2633.6507319216153
REGION1,BENG00I00,2038,2633.6508119953705
REGION1,BENG00I00,2039,2588.1031787113766
REGION1,BENG00I00,2040,2588.103416290132
REGION1,BENG00I00,2041,2541.564524749135
REGION1,BENG00I00,2042,2376.790712351369
REGION1,BENG00I00,2043,2373.0061269077987
REGION1,BENG00I00,2044,2369.2215535121686
REGION1,BENG00I00,2045,2365.4369249085776
REGION1,BENG00I00,2046,2361.652764920786
REGION1,BENG00I00,2047,2357.868133241011
REGION1,BENG00I00,2048,2354.083627662777
REGION1,BENG00I00,2049,2350.299202663219
REGION1,BENG00I00,2050,2443.013115613975
REGION1,BENG00I00,2051,2443.0126332609816
REGION1,BENG00I00,2052,2443.012614705838
REGION1,BENG00I00,2053,2443.012925074638
REGION1,BENG00I00,2054,2443.012641177859
REGION1,BENG00I00,2055,2443.012764677709
REGION1,BENG00I00,2056,2443.012762439546
REGION1,BENG00I00,2057,2443.0126764567517
REGION1,BENG00I00,2058,1645.4510396389248
REGION1,BENG00I00,2059,1893.1018379347533
REGION1,BENG00I00,2060,1859.7608702398763
REGION1,BENGCCPH2,2015,0.16683093273486704
REGION1,BENGCCPH2,2016,0.16795115789242737
REGION1,BENGCCPH2,2017,0.1558944741488857
REGION1,BENGCCPH2,2018,0.14488114845498754
REGION1,BENGCCPH2,2019,0.13371781399721194
REGION1,BENGCCPH2,2020,0.12239971317446811
REGION1,BENGCCPH2,2021,0.11051648780900838
REGION1,BENGCCPH2,2022,0.09855605623607609
REGION1,BENGCCPH2,2023,0.1025706368453668
REGION1,BENGCCPH2,2024,0.12123145900667652
REGION1,BENGCCPH2,2025,0.08981012140211922
REGION1,BENGCCPH2,2026,0.14475179252232137
REGION1,BENGCCPH2,2027,0.06044679155891455
REGION1,BENGCCPH2,2028,0.050300397161902745
REGION1,BENGCCPH2,2029,0.007455478525787155
REGION1,BENGCCPH2,2032,0.02689109278147033
REGION1,BENGCCPH2,2033,0.15416167677950576
REGION1,BENGCCPH2,2034,0.15516031747601755
REGION1,BENGCCPH2,2035,0.36976286339954956
REGION1,BENGCCPH2,2036,0.3697628642138459
REGION1,BENGCCPH2,2037,0.3751247971082966
REGION1,BENGCCPH2,2038,0.3751248085136248
REGION1,BENGCCPH2,2039,0.3686372183076318
REGION1,BENGCCPH2,2040,0.36863725214723003
REGION1,BENGCCPH2,2041,0.3625839662093483
REGION1,BENGCCPH2,2042,0.33961694877355175
REGION1,BENGCCPH2,2043,0.33961693127666176
REGION1,BENGCCPH2,2044,0.3396169154508911
REGION1,BENGCCPH2,2045,0.3396168916480148
REGION1,BENGCCPH2,2046,0.33961693515803965
REGION1,BENGCCPH2,2047,0.339616910867305
REGION1,BENGCCPH2,2048,0.3396169046907785
REGION1,BENGCCPH2,2049,0.3396169101379341
REGION1,BENGCCPH2,2050,0.3535833598831002
REGION1,BENGCCPH2,2051,0.35358329007095274
REGION1,BENGCCPH2,2052,0.3535832873854207
REGION1,BENGCCPH2,2053,0.3535833323058684
REGION1,BENGCCPH2,2054,0.35358329121678206
REGION1,BENGCCPH2,2055,0.3535833090912222
REGION1,BENGCCPH2,2056,0.3535833087672872
REGION1,BENGCCPH2,2057,0.35358329632278374
REGION1,BENGCCPH2,2058,0.23815021843321252
REGION1,BENGCCPH2,2059,0.27399333396113074
REGION1,BENGCCPH2,2060,0.2691678128438011
REGION1,BENUG2PH3,2015,2.157771395476141
REGION1,BENUG2PH3,2016,2.1577714532090293
REGION1,BENUG2PH3,2017,2.15777121037669
REGION1,BENUG2PH3,2018,2.1577711821829095
REGION1,BENUG2PH3,2019,2.1577713051574263
REGION1,BENUG2PH3,2020,2.1577711528697607
REGION1,BENUG2PH3,2021,2.1577711593369444
REGION1,BENUG2PH3,2022,2.1577711367403722
REGION1,BENUG2PH3,2023,2.157771061289196
REGION1,BENUG2PH3,2024,2.157771347330297
REGION1,BENUG2PH3,2025,1.4925589555712657
REGION1,BENUG2PH3,2026,1.4925588367075797
REGION1,BENUG2PH3,2027,1.492558910870344
REGION1,BENUG2PH3,2028,1.492558979529699
REGION1,BENUG2PH3,2029,1.4925589772791468
REGION1,BENUG2PH3,2030,1.4925590485433617
REGION1,BENUG2PH3,2031,1.4925590795287678
REGION1,BENUG2PH3,2032,1.117911320040815
REGION1,BENUG2PH3,2033,0.7436187009259774
REGION1,BENUG2PH3,2034,0.7436186358467355
REGION1,BEUR00I00,2015,635.6269858796429
REGION1,BEUR00I00,2016,635.627002886348
REGION1,BEUR00I00,2017,635.6269313538456
REGION1,BEUR00I00,2018,635.6269230486433
REGION1,BEUR00I00,2019,635.6269592739459
REGION1,BEUR00I00,2020,635.6269144137025
REGION1,BEUR00I00,2021,635.6269163187777
REGION1,BEUR00I00,2022,653.7667744154658
REGION1,BEUR00I00,2023,671.9066146633317
REGION1,BEUR00I00,2024,690.0465691371257
REGION1,BEUR00I00,2025,512.2310349314753
REGION1,BEUR00I00,2026,530.3708690855159
REGION1,BEUR00I00,2027,548.5107634946693
REGION1,BEUR00I00,2028,566.650659156603
REGION1,BEUR00I00,2029,584.7905352647483
REGION1,BEUR00I00,2030,602.9304227733693
REGION1,BEUR00I00,2031,621.0702812915818
