REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,S01B1,ATE2,2015,8.933456219490001
REGION1,S01B2,ATE2,2015,30.16806682032
REGION1,S01B3,ATE2,2015,5.04803837395
REGION1,S02B1,ATE2,2015,4.84533215419
REGION1,S02B2,ATE2,2015,17.10265930164
REGION1,S02B3,ATE2,2015,1.78643220096
REGION1,S03B1,ATE2,2015,17.28426838358
REGION1,S03B2,ATE2,2015,77.55123400937
REGION1,S03B3,ATE2,2015,12.35222785324
REGION1,S04B1,ATE2,2015,5.10268478126
REGION1,S04B2,ATE2,2015,17.81795396095
REGION1,S04B3,ATE2,2015,2.90378849222
REGION1,S05B1,ATE2,2015,5.400428943580001
REGION1,S05B2,ATE2,2015,18.23445208178
REGION1,S05B3,ATE2,2015,3.05897665106
REGION1,S01B1,ATE2,2016,8.94640951512
REGION1,S01B2,ATE2,2016,30.211809788159997
REGION1,S01B3,ATE2,2016,5.0553579075999995
REGION1,S02B1,ATE2,2016,4.85235776872
REGION1,S02B2,ATE2,2016,17.12745774432
REGION1,S02B3,ATE2,2016,1.7890224844799998
REGION1,S03B1,ATE2,2016,17.309330155039998
REGION1,S03B2,ATE2,2016,77.66368142456
REGION1,S03B3,ATE2,2016,12.37013828512
REGION1,S04B1,ATE2,2016,5.11008355088
REGION1,S04B2,ATE2,2016,17.843789563599998
REGION1,S04B3,ATE2,2016,2.90799891536
REGION1,S05B1,ATE2,2016,5.40825943504
REGION1,S05B2,ATE2,2016,18.260891596639997
REGION1,S05B3,ATE2,2016,3.0634120932799997
REGION1,S01B1,ATE2,2017,8.95857776253
REGION1,S01B2,ATE2,2017,30.252901667039996
REGION1,S01B3,ATE2,2017,5.06223383315
REGION1,S02B1,ATE2,2017,4.85895758843
REGION1,S02B2,ATE2,2017,17.15075325108
REGION1,S02B3,ATE2,2017,1.7914557811199998
REGION1,S03B1,ATE2,2017,17.33287303126
REGION1,S03B2,ATE2,2017,77.76931384489
REGION1,S03B3,ATE2,2017,12.38696323628
REGION1,S04B1,ATE2,2017,5.11703391022
REGION1,S04B2,ATE2,2017,17.86805937215
REGION1,S04B3,ATE2,2017,2.9119541613399997
REGION1,S05B1,ATE2,2017,5.41561535126
REGION1,S05B2,ATE2,2017,18.285728716659996
REGION1,S05B3,ATE2,2017,3.06757872082
REGION1,S01B1,ATE2,2018,8.96956843761
REGION1,S01B2,ATE2,2018,30.290016912479995
REGION1,S01B3,ATE2,2018,5.06844434655
REGION1,S02B1,ATE2,2018,4.86491871591
