REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBMCSPN2,2030,51.30638287937704
REGION1,ATBMCSPN2,2031,1.9177496671872505
REGION1,ATBMCSPN2,2032,2.81952472944004
REGION1,ATBMCSPN2,2033,3.954448014914537
REGION1,ATBMCSPN2,2034,5.370601656605334
REGION1,ATBMCSPN2,2035,7.1330619832128495
REGION1,ATBMCSPN2,2036,9.32942454478932
REGION1,ATBMCSPN2,2037,12.078377467861197
REGION1,ATBMCSPN2,2038,15.796914328316152
REGION1,ATBMCSPN2,2039,26.41204425939828
REGION1,ATBMCSPN2,2040,38.1770807603014
REGION1,ATBMCSPN2,2041,45.12393930729404
REGION1,ATBMCSPN2,2042,52.949287159453455
REGION1,ATBMCSPN2,2043,61.719936860030565
REGION1,ATBMCSPN2,2044,71.50369232560342
REGION1,ATBMCSPN2,2045,82.36939076333513
REGION1,ATBMCSPN2,2046,94.387204136487
REGION1,ATBMCSPN2,2047,107.62934209057168
REGION1,ATBMCSPN2,2048,122.17137721102456
REGION1,ATBMCSPN2,2049,122.44444882941534
REGION1,ATBMCSPN2,2050,120.52182467303382
REGION1,ATBMCSPN2,2051,129.24240594363104
REGION1,ATBMCSPN2,2052,139.04871529610116
REGION1,ATBMCSPN2,2053,150.3747240715934
REGION1,ATBMCSPN2,2054,163.859228034706
REGION1,ATBMCSPN2,2055,180.49458471107536
REGION1,ATBMCSPN2,2056,201.93011148362865
REGION1,ATBMCSPN2,2057,231.18944970818723
REGION1,ATBMCSPN2,2058,274.5371072791047
REGION1,ATBMCSPN2,2059,347.84686867323734
REGION1,ATBMCSPN2,2060,509.0886969581106
REGION1,ATGOCVPH2,2023,1.3358759540086893
REGION1,ATGOCVPH2,2024,0.11967151207627648
REGION1,ATGOCVPH2,2025,0.15471162046027656
REGION1,ATGOCVPH2,2026,0.3608107454778261
REGION1,ATGOCVPH2,2027,0.4198984496974335
REGION1,ATGOCVPH2,2028,0.47511805760595854
REGION1,ATGOCVPH2,2029,0.5266698225332517
REGION1,ATGOCVPH2,2030,0.5747239602059947
REGION1,ATGOCVPH2,2031,1.3410751708192352
REGION1,ATGOCVPH2,2032,1.4338526053694791
REGION1,ATGOCVPH2,2033,1.520468423760416
REGION1,ATGOCVPH2,2034,1.6013438388275745
REGION1,ATGOCVPH2,2035,1.6765947694685068
REGION1,ATGOCVPH2,2036,1.275130056407792
REGION1,ATGOCVPH2,2037,1.3227195530786933
REGION1,ATHFCHPH3,2037,0.3048745276745296
REGION1,ATHFCHPH3,2039,4.921457673639648
REGION1,ATHFCHPH3,2042,10.36026798119358
REGION1,ATHFCHPH3,2043,6.483328024654648
REGION1,ATHFCHPH3,2044,10.198167093840034
REGION1,ATHFCHPH3,2045,11.440948019670076
REGION1,ATHFCHPH3,2046,14.6432522087175
REGION1,ATHFCHPH3,2047,8.975817462039561
REGION1,ATHFCHPH3,2048,39.74834446881916
REGION1,ATHFCHPH3,2049,2.997257054224844
REGION1,ATHFCHPH3,2050,7.310017913624008
REGION1,ATHFCHPH3,2051,5.916805670645172
REGION1,ATHFCHPH3,2052,5.158327079141724
REGION1,ATHFCHPH3,2053,36.989470175779005
REGION1,ATHFCHPH3,2054,37.9642604779131
REGION1,ATHFCHPH3,2056,42.43169678185952
REGION1,ATHFCHPH3,2059,2.95514184973793
REGION1,ATHYDSPH3,2022,240.96525037984128
