REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBMCSPN2,2030,-48.35964936769536
REGION1,ATBMCSPN2,2031,-53.11596294462447
REGION1,ATBMCSPN2,2032,-58.01915994937445
REGION1,ATBMCSPN2,2033,-63.182280209054404
REGION1,ATBMCSPN2,2034,-68.72893232833883
REGION1,ATBMCSPN2,2035,-74.79847573516899
REGION1,ATBMCSPN2,2036,-81.5520423719419
REGION1,ATBMCSPN2,2037,-89.18452757409645
REGION1,ATBMCSPN2,2038,-99.16187500161395
REGION1,ATBMCSPN2,2039,-135.40346366744163
REGION1,ATBMCSPN2,2040,-167.55660649084328
REGION1,ATBMCSPN2,2041,-176.36423426592162
REGION1,ATBMCSPN2,2042,-184.80163351558505
REGION1,ATBMCSPN2,2043,-192.7573811635588
REGION1,ATBMCSPN2,2044,-200.11635122464972
REGION1,ATBMCSPN2,2045,-206.7609158456995
REGION1,ATBMCSPN2,2046,-212.5722440111088
REGION1,ATBMCSPN2,2047,-217.4316826801528
REGION1,ATBMCSPN2,2048,-221.22220605111428
REGION1,ATBMCSPN2,2049,-204.59629738053255
REGION1,ATBMCSPN2,2050,-186.82120389036217
REGION1,ATBMCSPN2,2051,-180.5770659752074
REGION1,ATBMCSPN2,2052,-174.30355689010204
REGION1,ATBMCSPN2,2053,-168.06394617339515
REGION1,ATBMCSPN2,2054,-161.9062794003331
REGION1,ATBMCSPN2,2055,-155.86567162847024
REGION1,ATBMCSPN2,2056,-149.96550224922967
REGION1,ATBMCSPN2,2057,-144.22521063816572
REGION1,ATBMCSPN2,2058,-138.6549135547237
REGION1,ATBMCSPN2,2059,-133.2610850427661
REGION1,ATBMCSPN2,2060,-128.04796799371746
REGION1,ATNG00I00,2028,15.236352503592856
REGION1,ATNG00I00,2029,8.119936469048387
REGION1,ATNG00I00,2033,8.78887615548895
REGION1,ATNG00I00,2034,30.74665745199012
REGION1,ATNG00I00,2035,54.413138502830805
REGION1,ATNG00I00,2036,63.772246452289274
REGION1,ATNG00I00,2037,68.79443276093984
REGION1,ATNG00I00,2038,80.02473160880528
REGION1,ATNG00I00,2039,74.26702919831129
REGION1,ATNG00I00,2040,117.60088262902552
REGION1,ATNG00I00,2041,127.86913887375226
REGION1,ATNG00I00,2042,104.85526854558488
REGION1,ATNG00I00,2043,96.1367842768501
REGION1,ATNG00I00,2044,87.97479464015478
REGION1,ATNG00I00,2045,80.33778638636218
REGION1,ATNG00I00,2046,72.75215778813644
REGION1,ATNG00I00,2047,65.7179012717027
REGION1,ATNG00I00,2048,59.1991774623813
REGION1,ATNG00I00,2049,53.16233515957128
REGION1,ATNG00I00,2050,47.57578300873239
REGION1,ATNG00I00,2051,45.31026953212604
REGION1,ATNG00I00,2052,43.15263764964386
REGION1,ATNG00I00,2053,39.36423576979308
REGION1,ATNG00I00,2054,39.14071442144568
